date_obj,Zamorak%20d'hide%20shield price
2019-04-11,20000
2019-04-11,20895
2019-04-12,21904
2019-04-13,22959
2019-04-14,24081
2019-04-15,1100000
2019-04-16,1100000
2019-04-17,1100000
2019-04-18,1122967
2019-04-19,1122967
2019-04-20,1169755
2019-04-21,1169755
2019-04-22,1221596
2019-04-23,1221596
2019-04-24,1275401
2019-04-25,1275401
2019-04-26,1327285
2019-04-27,1327285
2019-04-28,1327285
2019-04-29,1382040
2019-04-30,1382040
2019-05-01,1382040
2019-05-02,1425128
2019-05-03,1425128
2019-05-04,1477781
2019-05-05,1477781
2019-05-06,1477781
2019-05-07,1547574
2019-05-08,1547574
2019-05-09,1547574
2019-05-10,1555111
2019-05-11,1555111
2019-05-12,1555111
2019-05-13,1494044
2019-05-14,1494044
2019-05-15,1494044
2019-05-16,1438075
2019-05-17,1438075
2019-05-18,1378946
2019-05-19,1378946
2019-05-20,1328854
2019-05-21,1328854
2019-05-22,1328854
2019-05-23,1293108
2019-05-24,1293108
2019-05-25,1293108
2019-05-26,1264276
2019-05-27,1264276
2019-05-28,1230601
2019-05-29,1230601
2019-05-30,1203866
2019-05-31,1203866
2019-06-01,1203866
2019-06-02,1167307
2019-06-03,1167307
2019-06-04,1167307
2019-06-05,1137246
2019-06-06,1137246
2019-06-07,1129288
2019-06-08,1129288
2019-06-09,1106905
2019-06-10,1106905
2019-06-11,1106905
2019-06-12,1075706
2019-06-13,1075706
2019-06-14,1075706
2019-06-15,1052199
2019-06-16,1052199
2019-06-17,1032275
2019-06-18,1032275
2019-06-19,1032275
2019-06-20,995416
2019-06-21,995416
2019-06-22,986300
2019-06-23,986300
2019-06-24,969387
2019-06-25,969387
2019-06-26,969387
2019-06-27,951446
2019-06-28,951446
2019-06-29,951446
2019-06-30,939268
2019-07-01,939268
2019-07-02,954679
2019-07-03,954679
2019-07-04,942345
2019-07-05,942345
2019-07-06,922085
2019-07-07,922085
2019-07-08,907851
2019-07-09,907851
2019-07-10,892264
2019-07-11,892264
2019-07-12,889636
2019-07-13,889636
2019-07-14,863206
2019-07-15,863206
2019-07-16,863206
2019-07-17,831135
2019-07-18,831135
2019-07-19,831135
2019-07-20,804012
2019-07-21,804012
2019-07-22,792055
2019-07-23,792055
2019-07-24,792055
2019-07-25,774641
2019-07-26,774641
2019-07-27,780530
2019-07-28,780530
2019-07-29,795277
2019-07-30,795277
2019-07-31,787895
2019-08-01,787895
2019-08-02,787895
2019-08-03,788532
2019-08-04,788532
2019-08-05,788532
2019-08-06,786692
2019-08-07,786692
2019-08-08,786692
2019-08-09,767738
2019-08-10,767738
2019-08-11,737080
2019-08-12,737080
2019-08-13,733385
2019-08-14,733385
2019-08-15,733385
2019-08-16,749385
2019-08-17,749385
2019-08-18,748470
2019-08-19,748470
2019-08-20,742234
2019-08-21,742234
2019-08-22,747900
2019-08-23,747900
2019-08-24,747900
2019-08-24,747900
2019-08-25,764951
2019-08-25,764951
2019-08-26,764951
2019-08-26,764951
2019-08-27,764951
2019-08-27,764951
2019-08-28,755734
2019-08-29,755734
2019-08-30,755734
2019-08-31,755734
2019-09-01,754077
2019-09-02,754077
2019-09-03,746453
2019-09-04,746453
2019-09-05,746453
2019-09-06,758514
2019-09-07,758514
2019-09-08,785291
2019-09-09,785291
2019-09-10,785291
2019-09-11,817272
2019-09-12,817272
2019-09-13,817272
2019-09-14,854513
2019-09-15,854513
2019-09-16,893423
2019-09-17,893423
2019-09-18,893423
2019-09-19,932464
2019-09-20,932464
2019-09-21,932464
2019-09-22,973605
2019-09-23,973605
2019-09-24,973605
2019-09-25,973605
2019-09-26,1017596
2019-09-27,1017596
2019-09-28,1017596
2019-09-29,1017596
2019-09-30,1063659
2019-10-01,1063659
2019-10-02,1063659
2019-10-03,1063659
2019-10-04,1110708
2019-10-05,1110708
2019-10-06,1110708
2019-10-07,1163484
2019-10-08,1163484
2019-10-09,1163484
2019-10-10,1163484
2019-10-11,1194803
2019-10-12,1194803
2019-10-13,1194803
2019-10-14,1197964
2019-10-15,1197964
2019-10-16,1197964
2019-10-17,1197964
2019-10-18,1184605
2019-10-19,1184605
2019-10-20,1184605
2019-10-21,1184605
2019-10-22,1156982
2019-10-23,1156982
2019-10-24,1156982
2019-10-25,1156982
2019-10-26,1104279
2019-10-27,1104279
2019-10-28,1104279
2019-10-29,1055176
2019-10-30,1055176
2019-10-31,1055176
2019-11-01,1003154
2019-11-02,1003154
2019-11-03,1003154
2019-11-04,962265
2019-11-05,962265
2019-11-06,962265
2019-11-07,962265
2019-11-08,931974
2019-11-09,931974
2019-11-10,925330
2019-11-11,925330
2019-11-12,925330
2019-11-13,925330
2019-11-14,900371
2019-11-15,900371
2019-11-16,900371
2019-11-17,855352
2019-11-18,855352
2019-11-19,814726
2019-11-20,814726
2019-11-21,814726
2019-11-22,777461
2019-11-23,777461
2019-11-24,740676
2019-11-25,740676
2019-11-26,706728
2019-11-27,706728
2019-11-28,706728
2019-11-29,688854
2019-11-30,688854
2019-12-01,688854
2019-12-02,664787
2019-12-03,664787
2019-12-04,650326
2019-12-05,650326
2019-12-06,650326
2019-12-07,625936
2019-12-08,625936
2019-12-09,596547
2019-12-10,596547
2019-12-11,566763
2019-12-12,566763
2019-12-13,566763
2019-12-14,538424
2019-12-15,538424
2019-12-16,511502
2019-12-17,511502
2019-12-18,511502
2019-12-19,486103
2019-12-20,486103
2019-12-21,475333
2019-12-22,475333
2019-12-23,463147
2019-12-24,463147
2019-12-25,446736
2019-12-26,446736
2019-12-27,424886
2019-12-28,424886
2019-12-29,407948
2019-12-30,407948
2019-12-31,403688
2020-01-01,403688
2020-01-02,387062
2020-01-03,387062
2020-01-04,372323
2020-01-05,372323
2020-01-06,370995
2020-01-07,370995
2020-01-08,363447
2020-01-09,363447
2020-01-10,366473
2020-01-11,366473
2020-01-12,365210
2020-01-13,365210
2020-01-14,365210
2020-01-15,362963
2020-01-16,362963
2020-01-17,374749
2020-01-18,374749
2020-01-19,388921
2020-01-20,388921
2020-01-21,388921
2020-01-22,405736
