date_obj,Halloween%20mask%20set price
2015-03-26,79412
2015-03-27,79412
2015-03-28,77900
2015-03-29,77900
2015-03-30,75292
2015-03-31,75292
2015-04-01,75292
2015-04-02,72821
2015-04-03,72821
2015-04-04,69455
2015-04-05,69455
2015-04-06,69455
2015-04-07,65985
2015-04-08,65985
2015-04-09,65985
2015-04-10,65985
2015-04-11,64717
2015-04-12,64717
2015-04-13,64717
2015-04-14,63209
2015-04-15,63209
2015-04-16,63209
2015-04-17,62633
2015-04-18,62633
2015-04-19,62633
2015-04-20,62504
2015-04-21,62504
2015-04-22,62504
2015-04-23,63119
2015-04-24,63119
2015-04-25,63119
2015-04-26,64159
2015-04-27,64159
2015-04-28,64159
2015-04-29,66263
2015-04-30,66263
2015-05-01,66263
2015-05-02,65696
2015-05-03,65696
2015-05-04,65696
2015-05-05,65696
2015-05-06,64290
2015-05-07,64290
2015-05-08,64290
2015-05-09,64290
2015-05-10,62873
2015-05-11,62873
2015-05-12,62873
2015-05-13,62873
2015-05-14,63529
2015-05-15,63529
2015-05-16,63529
2015-05-17,63529
2015-05-18,62256
2015-05-19,62256
2015-05-20,62256
2015-05-21,62256
2015-05-22,62256
2015-05-23,61679
2015-05-24,61679
2015-05-25,61679
2015-05-26,62873
2015-05-27,62873
2015-05-28,62873
2015-05-29,64027
2015-05-30,64027
2015-05-31,64027
2015-06-01,65236
2015-06-02,65236
2015-06-03,65236
2015-06-04,65236
2015-06-05,64893
2015-06-06,64893
2015-06-07,64893
2015-06-08,65789
2015-06-09,65789
2015-06-10,65789
2015-06-11,65359
2015-06-12,65359
2015-06-13,65359
2015-06-14,67621
2015-06-15,67621
2015-06-16,67621
2015-06-17,70704
2015-06-18,70704
2015-06-19,70704
2015-06-20,73796
2015-06-21,73796
2015-06-22,73796
2015-06-23,77114
2015-06-24,77114
2015-06-25,77114
2015-06-26,80315
2015-06-27,80315
2015-06-28,80315
2015-06-29,80315
2015-06-30,83170
2015-07-01,83170
2015-07-02,83170
2015-07-03,85895
2015-07-04,85895
2015-07-05,85895
2015-07-06,85895
2015-07-07,88161
2015-07-08,88161
2015-07-09,88161
2015-07-10,88161
2015-07-11,91593
2015-07-12,91593
2015-07-13,91593
2015-07-14,91593
2015-07-15,93378
2015-07-16,93378
2015-07-17,93378
2015-07-18,93378
2015-07-19,94070
2015-07-20,94070
2015-07-21,94070
2015-07-22,92603
2015-07-23,92603
2015-07-24,92603
2015-07-25,92603
2015-07-26,91713
2015-07-27,91713
2015-07-28,91713
2015-07-29,94889
2015-07-30,94889
2015-07-31,94889
2015-08-01,94889
2015-08-02,98295
2015-08-03,98295
2015-08-04,98295
2015-08-05,102055
2015-08-06,102055
2015-08-07,102055
2015-08-08,102055
2015-08-09,106764
2015-08-10,106764
2015-08-11,111400
2015-08-12,111400
2015-08-13,111400
2015-08-14,111400
2015-08-15,111400
2015-08-16,116559
2015-08-17,116559
2015-08-18,116559
2015-08-19,116559
2015-08-20,116559
2015-08-21,120870
2015-08-22,120870
2015-08-23,120870
2015-08-24,120870
2015-08-25,120870
2015-08-26,120870
2015-08-27,124610
2015-08-28,124610
2015-08-29,124610
2015-08-30,124610
2015-08-31,124610
2015-09-01,130170
2015-09-02,130170
2015-09-03,130170
2015-09-04,130170
2015-09-05,130170
2015-09-06,136216
2015-09-07,136216
2015-09-08,136216
2015-09-09,136216
2015-09-10,142469
2015-09-11,142469
2015-09-12,142469
2015-09-13,142469
2015-09-14,148956
2015-09-15,148956
2015-09-16,148956
2015-09-17,148956
2015-09-18,154881
2015-09-19,154881
2015-09-20,154881
2015-09-21,154881
2015-09-22,154881
2015-09-23,152921
2015-09-24,152921
2015-09-25,152921
2015-09-27,152921
2015-09-28,152921
2015-09-29,145810
2015-09-30,145810
2015-10-05,138795
2015-10-06,138795
2015-10-07,138795
2015-10-08,138795
2015-10-09,132088
2015-10-10,132088
2015-10-11,132088
2015-10-12,132088
2015-10-13,132088
2015-10-14,132088
2015-10-15,127697
2015-10-16,127697
2015-10-17,127697
2015-10-18,127697
2015-10-19,127697
2015-10-20,127697
2015-10-22,121837
2015-10-23,121837
2015-10-24,121837
2015-10-25,121837
2015-10-26,121837
2015-10-27,119110
2015-10-29,113864
2015-10-30,108170
2015-10-31,102763
2015-11-01,98524
2015-11-02,93602
2015-11-03,89450
2015-11-04,85471
2015-11-05,81197
2015-11-06,77644
2015-11-07,73761
2015-11-08,70494
2015-11-09,67473
2015-11-10,64532
2015-11-11,61579
2015-11-12,61579
2015-11-13,58903
2015-11-14,58903
2015-11-15,56960
2015-11-16,56960
2015-11-17,56960
2015-11-18,55420
2015-11-19,55420
2015-11-20,54815
2015-11-21,54815
2015-11-22,54815
2015-11-23,53836
2015-11-24,53836
2015-11-25,53777
2015-11-26,53777
2015-11-27,53777
2015-11-28,53171
2015-11-29,53171
2015-11-30,53171
2015-12-01,51965
2015-12-02,51965
2015-12-03,51965
2015-12-04,51965
2015-12-05,51304
2015-12-06,51304
2015-12-07,51304
2015-12-08,51304
2015-12-09,49541
2015-12-10,49541
2015-12-11,49541
2015-12-12,49541
2015-12-13,49053
2015-12-14,49053
2015-12-15,49526
2015-12-16,49526
2015-12-17,49526
2015-12-18,50367
2015-12-19,50367
2015-12-20,50367
2015-12-21,51187
2015-12-22,51187
2015-12-23,51187
2015-12-24,51778
2015-12-25,51778
2015-12-26,51778
2015-12-27,52656
2015-12-28,52656
2015-12-29,52656
2015-12-30,52541
2015-12-31,52541
2016-01-01,52541
2016-01-02,52541
2016-01-03,53206
2016-01-04,53206
2016-01-05,53206
2016-01-06,53206
2016-01-07,52840
2016-01-08,52840
2016-01-09,52840
2016-01-10,52840
2016-01-11,52327
2016-01-12,52327
2016-01-13,52327
2016-01-14,52327
2016-01-15,51532
2016-01-16,51532
2016-01-17,51532
2016-01-18,51532
2016-01-19,50182
2016-01-20,50182
2016-01-21,50182
2016-01-22,50182
2016-01-23,48599
2016-01-24,48599
2016-01-25,48599
2016-01-26,48599
2016-01-27,46469
2016-01-28,46469
2016-01-29,46469
2016-01-30,46469
2016-01-31,44643
2016-02-01,44643
2016-02-02,44643
2016-02-03,44643
2016-02-04,42937
2016-02-05,42937
2016-02-06,42937
2016-02-07,42937
2016-02-08,41439
2016-02-09,41439
2016-02-10,41439
2016-02-11,41439
2016-02-12,41439
2016-02-13,41203
2016-02-14,41203
2016-02-15,41203
2016-02-16,41203
2016-02-17,41203
2016-02-18,39429
2016-02-19,39429
2016-02-20,39429
2016-02-21,39429
2016-02-22,38507
2016-02-23,38507
2016-02-24,38507
2016-02-25,38507
2016-02-26,38507
2016-02-27,38517
2016-02-28,38517
2016-02-29,38517
2016-03-01,38517
2016-03-02,38517
2016-03-03,38057
2016-03-04,38057
2016-03-05,38057
2016-03-06,38057
2016-03-07,38057
2016-03-08,39065
2016-03-09,39065
2016-03-10,39065
2016-03-11,39065
2016-03-12,39065
2016-03-13,40120
2016-03-14,40120
2016-03-15,40120
2016-03-16,40120
2016-03-17,40120
2016-03-18,40147
2016-03-19,40147
2016-03-20,40147
2016-03-21,40147
2016-03-22,40147
2016-03-23,40262
2016-03-24,40262
2016-03-25,40262
2016-03-26,40262
2016-03-27,40262
2016-03-28,40205
2016-03-29,40205
2016-03-30,40205
2016-03-31,40205
2016-04-01,40205
2016-04-02,40205
2016-04-03,40356
2016-04-04,40356
2016-04-05,40356
2016-04-06,40356
2016-04-07,40356
2016-04-08,40503
2016-04-09,40503
2016-04-10,40503
2016-04-11,40503
2016-04-12,40503
2016-04-13,40366
2016-04-14,40366
2016-04-15,40366
2016-04-16,40366
2016-04-17,40366
2016-04-18,38836
2016-04-19,38836
2016-04-20,38836
2016-04-21,38836
2016-04-22,38836
2016-04-23,38836
2016-04-24,38673
2016-04-25,38673
2016-04-26,38673
2016-04-27,38673
2016-04-28,38673
2016-04-29,39733
2016-04-30,39733
2016-05-01,39733
2016-05-02,39733
2016-05-03,39733
2016-05-04,41015
2016-05-05,41015
2016-05-06,41015
2016-05-07,41015
2016-05-08,41015
2016-05-09,40900
2016-05-10,40900
2016-05-11,40900
2016-05-12,40900
2016-05-13,40900
2016-05-14,40364
2016-05-15,40364
2016-05-16,40364
2016-05-17,40364
2016-05-18,40364
2016-05-19,40672
2016-05-22,40672
2016-05-23,40672
2016-05-24,39538
2016-05-25,39538
2016-05-26,39538
2016-05-27,39538
2016-05-28,39538
2016-05-29,39864
2016-05-30,39864
2016-05-31,39864
2016-06-01,39864
2016-06-02,39864
2016-06-03,40596
2016-06-04,40596
2016-06-05,40596
2016-06-06,40596
2016-06-07,40596
2016-06-08,41741
2016-06-09,41741
2016-06-10,41741
2016-06-11,41741
2016-06-12,41741
2016-06-13,42695
2016-06-14,42695
2016-06-15,42695
2016-06-16,42695
2016-06-17,42695
2016-06-18,42825
2016-06-19,42825
2016-06-20,42825
2016-06-21,42825
2016-06-22,42825
2016-06-23,42538
2016-06-24,42538
2016-06-25,42538
2016-06-26,42538
2016-06-27,42538
2016-06-28,42538
2016-06-29,42297
2016-06-30,42297
2016-07-01,42297
2016-07-02,42297
2016-07-03,42297
2016-07-04,40305
2016-07-05,40305
2016-07-06,40305
2016-07-07,40305
2016-07-08,40305
2016-07-09,40305
2016-07-10,38684
2016-07-11,38684
2016-07-12,38684
