date_obj,Chef's%20delight(m) price
2015-03-05,115000
2015-03-06,115000
2015-03-07,115000
2015-03-08,115000
2015-03-09,115000
2015-03-10,115000
2015-03-11,115000
2015-03-12,115000
2015-03-13,115000
2015-03-14,115000
2015-03-15,110405
2015-03-16,110405
2015-03-17,110405
2015-03-18,110405
2015-03-19,110405
2015-03-20,110405
2015-03-21,110405
2015-03-22,110405
2015-03-23,110405
2015-03-24,110405
2015-03-25,110405
2015-03-26,110405
2015-03-27,110405
2015-03-28,110405
2015-03-29,110405
2015-03-30,110405
2015-03-31,110405
2015-04-01,109657
2015-04-02,109657
2015-04-03,109657
2015-04-04,109657
2015-04-05,109657
2015-04-06,109657
2015-04-07,109657
2015-04-08,109657
2015-04-09,109657
2015-04-10,109657
2015-04-11,109657
2015-04-12,109657
2015-04-13,109657
2015-04-14,109657
2015-04-15,109657
2015-04-16,109657
2015-04-17,109657
2015-04-18,109657
2015-04-19,110153
2015-04-20,110153
2015-04-21,110153
2015-04-22,110153
2015-04-23,110153
2015-04-24,110153
2015-04-25,110153
2015-04-26,110153
2015-04-27,110153
2015-04-28,110153
2015-04-29,110153
2015-04-30,110153
2015-05-01,110153
2015-05-02,110153
2015-05-03,110153
2015-05-04,110153
2015-05-05,110153
2015-05-06,110153
2015-05-07,110153
2015-05-08,110153
2015-05-09,110153
2015-05-10,108842
2015-05-11,108842
2015-05-12,108842
2015-05-13,108842
2015-05-14,108842
2015-05-15,108842
2015-05-16,108842
2015-05-17,108842
2015-05-18,108842
2015-05-19,108842
2015-05-20,108842
2015-05-21,108842
2015-05-22,108842
2015-05-23,108842
2015-05-24,108842
2015-05-25,108842
2015-05-26,108842
2015-05-27,108842
2015-05-28,103399
2015-05-29,103399
2015-05-30,103399
2015-05-31,103399
2015-06-01,103399
2015-06-02,103399
2015-06-03,103399
2015-06-04,103399
2015-06-05,103399
2015-06-06,103399
2015-06-07,103399
2015-06-08,103399
2015-06-09,103399
2015-06-10,103399
2015-06-11,103399
2015-06-12,98229
2015-06-13,98229
2015-06-14,98229
2015-06-15,98229
2015-06-16,98229
2015-06-17,98229
2015-06-18,98229
2015-06-19,98229
2015-06-20,98229
2015-06-21,98229
2015-06-22,98229
2015-06-23,98229
2015-06-24,98229
2015-06-25,98229
2015-06-26,93453
2015-06-27,93453
2015-06-28,93453
2015-06-29,93453
2015-06-30,93453
2015-07-01,93453
2015-07-02,93453
2015-07-03,93453
2015-07-04,93453
2015-07-05,93453
2015-07-06,93453
2015-07-07,93453
2015-07-08,93453
2015-07-09,93453
2015-07-10,88916
2015-07-11,88916
2015-07-12,88916
2015-07-13,88916
2015-07-14,88916
2015-07-15,88916
2015-07-16,88916
2015-07-17,88916
2015-07-18,88916
2015-07-19,88916
2015-07-20,88916
2015-07-21,88916
2015-07-22,85285
2015-07-23,85285
2015-07-24,85285
2015-07-25,85285
2015-07-26,85285
2015-07-27,85285
2015-07-28,85285
2015-07-29,85285
2015-07-30,85285
2015-07-31,85285
2015-08-01,85285
2015-08-02,85285
2015-08-03,83888
2015-08-04,83888
2015-08-05,83888
2015-08-06,83888
2015-08-07,83888
2015-08-08,83888
2015-08-09,83888
2015-08-10,83888
2015-08-11,83888
2015-08-12,83888
2015-08-13,83888
2015-08-14,83888
2015-08-15,83888
2015-08-16,83096
2015-08-17,83096
2015-08-18,83096
2015-08-19,83096
2015-08-20,83096
2015-08-21,83096
2015-08-22,83096
2015-08-23,83096
2015-08-24,83096
2015-08-25,83096
2015-08-26,83096
2015-08-27,83096
2015-08-28,83096
2015-08-29,83096
2015-08-30,83096
2015-08-31,83096
2015-09-02,78982
2015-09-07,78982
2015-09-08,78982
2015-09-10,78982
2015-09-14,78982
2015-09-16,78982
2015-09-22,75032
2015-09-23,75032
2015-09-24,75032
2015-09-25,75032
2015-09-27,75032
2015-09-28,75032
2015-09-29,75032
2015-09-30,73333
2015-10-05,73333
2015-10-06,73333
2015-10-07,73333
2015-10-08,73333
2015-10-09,73333
2015-10-10,73333
2015-10-11,73333
2015-10-12,73333
2015-10-13,73333
2015-10-14,73600
2015-10-15,73600
2015-10-16,73600
2015-10-17,73600
2015-10-18,73600
2015-10-19,73600
2015-10-20,73600
2015-10-22,73600
2015-10-23,73600
2015-10-24,73600
2015-10-25,73600
2015-10-26,73600
2015-10-27,74233
2015-10-29,74233
2015-10-30,74233
2015-10-31,74233
2015-11-01,74233
2015-11-02,74233
2015-11-03,74233
2015-11-04,74233
2015-11-05,74233
2015-11-06,74233
2015-11-07,74233
2015-11-08,74233
2015-11-09,74233
2015-11-10,74233
2015-11-11,74233
2015-11-12,75429
2015-11-13,75429
2015-11-14,75429
2015-11-15,75429
2015-11-16,75429
2015-11-17,75429
2015-11-18,75429
2015-11-19,75429
2015-11-20,75429
2015-11-21,75429
2015-11-22,75429
2015-11-23,75429
2015-11-24,75429
2015-11-25,75429
2015-11-26,75429
2015-11-27,75429
2015-11-28,75429
2015-11-29,77081
2015-11-30,77081
2015-12-01,77081
2015-12-02,77081
2015-12-03,77081
2015-12-04,77081
2015-12-05,77081
2015-12-06,77081
2015-12-07,77081
2015-12-08,77081
2015-12-09,77081
2015-12-10,77081
2015-12-11,77081
2015-12-12,77081
2015-12-13,76552
2015-12-14,76552
2015-12-15,76552
2015-12-16,76552
2015-12-17,76552
2015-12-18,76552
2015-12-19,76552
2015-12-20,76552
2015-12-21,76552
2015-12-22,76552
2015-12-23,76552
2015-12-24,76552
2015-12-25,77690
2015-12-26,77690
2015-12-27,77690
2015-12-28,77690
2015-12-29,77690
2015-12-30,77690
2015-12-31,77690
2016-01-01,77690
2016-01-02,77690
2016-01-03,77690
2016-01-04,77690
2016-01-05,79632
2016-01-06,79632
2016-01-07,79632
2016-01-08,79632
2016-01-09,79632
2016-01-10,79632
2016-01-11,79632
2016-01-12,79632
2016-01-13,79632
2016-01-14,79632
2016-01-15,79632
2016-01-16,83435
2016-01-17,83435
2016-01-18,83435
2016-01-19,83435
2016-01-20,83435
2016-01-21,83435
2016-01-22,83435
2016-01-23,83435
2016-01-24,83435
2016-01-25,83435
2016-01-26,83435
2016-01-27,86040
2016-01-28,86040
2016-01-29,86040
2016-01-30,86040
2016-01-31,86040
2016-02-01,86040
2016-02-02,86040
2016-02-03,86040
2016-02-04,86040
2016-02-05,86040
2016-02-06,86040
2016-02-07,86040
2016-02-08,86040
2016-02-09,83485
2016-02-10,83485
2016-02-11,83485
2016-02-12,83485
2016-02-13,83485
2016-02-14,83485
2016-02-15,83485
2016-02-16,83485
2016-02-17,83485
2016-02-18,83485
2016-02-19,83485
2016-02-20,83485
2016-02-21,79391
2016-02-22,79391
2016-02-23,79391
2016-02-24,79391
2016-02-25,79391
2016-02-26,79391
2016-02-27,79391
2016-02-28,79391
2016-02-29,79391
2016-03-01,79391
2016-03-02,79391
2016-03-03,79391
2016-03-04,75504
2016-03-05,75504
2016-03-06,75504
2016-03-07,75504
2016-03-08,75504
2016-03-09,75504
2016-03-10,75504
2016-03-11,75504
2016-03-12,75504
2016-03-13,75504
2016-03-14,75504
2016-03-15,74649
2016-03-16,74649
2016-03-17,74649
2016-03-18,74649
2016-03-19,74649
2016-03-20,74649
2016-03-21,74649
2016-03-22,74649
2016-03-23,74649
2016-03-24,74649
2016-03-25,73766
2016-03-26,73766
2016-03-27,73766
2016-03-28,73766
2016-03-29,73766
2016-03-30,73766
2016-03-31,73766
2016-04-01,73766
2016-04-02,73766
2016-04-03,73766
2016-04-04,73766
2016-04-05,75392
2016-04-06,75392
2016-04-07,75392
2016-04-08,75392
2016-04-09,75392
2016-04-10,75392
2016-04-11,75392
2016-04-12,75392
2016-04-13,75392
2016-04-14,75392
2016-04-15,77293
2016-04-16,77293
2016-04-17,77293
2016-04-18,77293
2016-04-19,77293
2016-04-20,77293
2016-04-21,77293
2016-04-22,77293
2016-04-23,77293
2016-04-24,77293
2016-04-25,77293
