date_obj,Blamish%20blue%20shell%20(pointed) price
2015-03-26,4970
2015-03-27,4970
2015-03-28,4970
2015-03-29,4970
2015-03-30,4970
2015-03-31,4970
2015-04-01,4970
2015-04-02,4970
2015-04-03,4970
2015-04-04,5086
2015-04-05,5086
2015-04-06,5086
2015-04-07,5086
2015-04-08,5086
2015-04-09,5086
2015-04-10,5086
2015-04-11,5086
2015-04-12,5086
2015-04-13,5086
2015-04-14,5086
2015-04-15,5086
2015-04-16,5086
2015-04-17,5086
2015-04-18,5086
2015-04-19,5086
2015-04-20,5177
2015-04-21,5177
2015-04-22,5177
2015-04-23,5177
2015-04-24,5177
2015-04-25,5177
2015-04-26,5177
2015-04-27,5177
2015-04-28,5177
2015-04-29,5177
2015-04-30,5177
2015-05-01,5177
2015-05-02,5177
2015-05-03,5177
2015-05-04,5312
2015-05-05,5312
2015-05-06,5312
2015-05-07,5312
2015-05-08,5312
2015-05-09,5312
2015-05-10,5312
2015-05-11,5312
2015-05-12,5312
2015-05-13,5312
2015-05-14,5312
2015-05-15,5368
2015-05-16,5368
2015-05-17,5368
2015-05-18,5368
2015-05-19,5368
2015-05-20,5368
2015-05-21,5368
2015-05-22,5368
2015-05-23,5368
2015-05-24,5368
2015-05-25,5368
2015-05-26,5368
2015-05-27,5368
2015-05-28,5358
2015-05-29,5358
2015-05-30,5358
2015-05-31,5358
2015-06-01,5358
2015-06-02,5358
2015-06-03,5358
2015-06-04,5358
2015-06-05,5358
2015-06-06,5358
2015-06-07,5358
2015-06-08,5358
2015-06-09,5358
2015-06-10,5358
2015-06-11,5251
2015-06-12,5251
2015-06-13,5251
2015-06-14,5251
2015-06-15,5251
2015-06-16,5251
2015-06-17,5251
2015-06-18,5251
2015-06-19,5251
2015-06-20,5251
2015-06-21,5251
2015-06-22,5251
2015-06-23,5251
2015-06-24,5251
2015-06-25,5251
2015-06-26,5251
2015-06-27,5251
2015-06-28,5261
2015-06-29,5261
2015-06-30,5261
2015-07-01,5261
2015-07-02,5261
2015-07-03,5261
2015-07-04,5261
2015-07-05,5261
2015-07-06,5261
2015-07-07,5261
2015-07-08,5261
2015-07-09,5261
2015-07-10,5261
2015-07-11,5261
2015-07-12,5261
2015-07-13,5321
2015-07-14,5321
2015-07-15,5321
2015-07-16,5321
2015-07-17,5321
2015-07-18,5321
2015-07-19,5321
2015-07-20,5321
2015-07-21,5321
2015-07-22,5321
2015-07-23,5321
2015-07-24,5321
2015-07-25,5321
2015-07-26,5321
2015-07-27,5321
2015-07-28,5321
2015-07-29,5321
2015-07-30,5321
2015-07-31,5389
2015-08-01,5389
2015-08-02,5389
2015-08-03,5389
2015-08-04,5389
2015-08-05,5389
2015-08-06,5389
2015-08-07,5389
2015-08-08,5389
2015-08-09,5389
2015-08-10,5389
2015-08-11,5389
2015-08-12,5389
2015-08-13,5389
2015-08-14,5389
2015-08-15,5389
2015-08-16,5389
2015-08-17,5389
2015-08-18,5389
2015-08-19,5389
2015-08-20,5389
2015-08-21,5389
2015-08-22,5389
2015-08-23,5389
2015-08-24,5416
2015-08-25,5416
2015-08-26,5416
2015-08-27,5416
2015-08-28,5416
2015-08-29,5416
2015-08-30,5416
2015-08-31,5416
2015-09-01,5416
2015-09-02,5416
2015-09-03,5416
2015-09-04,5416
2015-09-05,5416
2015-09-06,5416
2015-09-07,5416
2015-09-08,5416
2015-09-09,5416
2015-09-10,5416
2015-09-11,5416
2015-09-12,5416
2015-09-13,5416
2015-09-14,5416
2015-09-15,5416
2015-09-16,5416
2015-09-17,5501
2015-09-18,5501
2015-09-19,5501
2015-09-20,5501
2015-09-21,5501
2015-09-22,5501
2015-09-23,5501
2015-09-24,5501
2015-09-25,5501
2015-09-27,5501
2015-09-28,5501
2015-09-29,5501
2015-09-30,5501
2015-10-05,5501
2015-10-06,5501
2015-10-07,5501
2015-10-08,5501
2015-10-09,5501
2015-10-10,5501
2015-10-11,5501
2015-10-12,5501
2015-10-13,5501
2015-10-14,5501
2015-10-15,5501
2015-10-16,5501
2015-10-17,5501
2015-10-18,5501
2015-10-19,5501
2015-10-20,5501
2015-10-22,5501
2015-10-23,5594
2015-10-24,5594
2015-10-25,5594
2015-10-26,5594
2015-10-27,5594
2015-10-29,5594
2015-10-30,5594
2015-10-31,5594
2015-11-01,5594
2015-11-02,5594
2015-11-03,5594
2015-11-04,5594
2015-11-05,5594
2015-11-06,5594
2015-11-07,5594
2015-11-08,5594
2015-11-09,5594
2015-11-10,5594
2015-11-11,5594
2015-11-12,5594
2015-11-13,5594
2015-11-14,5594
2015-11-15,5594
2015-11-16,5594
2015-11-17,5594
2015-11-18,5594
2015-11-19,5594
2015-11-20,5594
2015-11-21,5594
2015-11-22,5594
2015-11-23,5594
2015-11-24,5594
2015-11-25,5594
2015-11-26,5594
2015-11-27,5594
2015-11-28,5594
2015-11-29,5594
2015-11-30,5396
2015-12-01,5396
2015-12-02,5396
2015-12-03,5396
2015-12-04,5396
2015-12-05,5396
2015-12-06,5396
2015-12-07,5396
2015-12-08,5396
2015-12-09,5396
2015-12-10,5396
2015-12-11,5396
2015-12-12,5396
2015-12-13,5396
2015-12-14,5396
2015-12-15,5396
2015-12-16,5396
2015-12-17,5396
2015-12-18,5396
2015-12-19,5396
2015-12-20,5396
2015-12-21,5396
2015-12-22,5396
2015-12-23,5396
2015-12-24,5396
2015-12-25,5396
2015-12-26,5396
2015-12-27,5396
2015-12-28,5396
2015-12-29,5396
