date_obj,Soul%20rune price
2015-03-26,154
2015-03-27,154
2015-03-28,151
2015-03-29,152
2015-03-30,151
2015-03-31,159
2015-04-01,166
2015-04-02,172
2015-04-03,173
2015-04-04,173
2015-04-05,176
2015-04-06,182
2015-04-07,183
2015-04-08,185
2015-04-09,182
2015-04-10,174
2015-04-11,168
2015-04-12,164
2015-04-13,170
2015-04-14,179
2015-04-15,188
2015-04-16,185
2015-04-17,183
2015-04-18,185
2015-04-19,183
2015-04-20,179
2015-04-21,173
2015-04-22,173
2015-04-23,165
2015-04-24,164
2015-04-25,168
2015-04-26,168
2015-04-27,176
2015-04-28,185
2015-04-29,185
2015-04-30,195
2015-05-01,205
2015-05-02,209
2015-05-03,209
2015-05-04,208
2015-05-05,202
2015-05-06,192
2015-05-07,184
2015-05-08,178
2015-05-09,169
2015-05-10,168
2015-05-11,168
2015-05-12,171
2015-05-13,178
2015-05-14,183
2015-05-15,193
2015-05-16,197
2015-05-17,192
2015-05-18,186
2015-05-19,179
2015-05-20,179
2015-05-21,177
2015-05-22,179
2015-05-23,187
2015-05-24,193
2015-05-25,192
2015-05-26,194
2015-05-27,189
2015-05-28,189
2015-05-29,183
2015-05-30,176
2015-05-31,182
2015-06-01,183
2015-06-02,183
2015-06-03,184
2015-06-04,181
2015-06-05,174
2015-06-06,174
2015-06-07,177
2015-06-08,178
2015-06-09,179
2015-06-10,179
2015-06-11,179
2015-06-12,184
2015-06-13,185
2015-06-14,180
2015-06-15,187
2015-06-16,190
2015-06-17,189
2015-06-18,190
2015-06-19,181
2015-06-20,184
2015-06-21,179
2015-06-22,177
2015-06-23,178
2015-06-24,175
2015-06-25,181
2015-06-26,181
2015-06-27,179
2015-06-28,183
2015-06-29,179
2015-06-30,181
2015-07-01,180
2015-07-02,180
2015-07-03,183
2015-07-04,188
2015-07-05,192
2015-07-06,194
2015-07-07,193
2015-07-08,189
2015-07-09,189
2015-07-10,194
2015-07-11,203
2015-07-12,214
2015-07-13,215
2015-07-14,225
2015-07-15,223
2015-07-16,217
2015-07-17,224
2015-07-18,228
2015-07-19,217
2015-07-20,211
2015-07-21,211
2015-07-22,203
2015-07-23,203
2015-07-24,205
2015-07-25,197
2015-07-26,199
2015-07-27,201
2015-07-28,208
2015-07-29,212
2015-07-30,216
2015-07-31,219
2015-08-01,209
2015-08-02,216
2015-08-03,225
2015-08-04,236
2015-08-05,243
2015-08-06,236
2015-08-07,224
2015-08-08,215
2015-08-09,225
2015-08-10,236
2015-08-11,247
2015-08-12,249
2015-08-13,261
2015-08-14,257
2015-08-15,257
2015-08-16,259
2015-08-17,271
2015-08-18,279
2015-08-19,279
2015-08-20,267
2015-08-21,258
2015-08-22,245
2015-08-23,234
2015-08-24,222
2015-08-25,222
2015-08-26,220
2015-08-27,211
2015-08-28,204
2015-08-29,198
2015-08-30,192
2015-08-31,185
2015-09-01,190
2015-09-02,190
2015-09-03,192
2015-09-04,182
2015-09-05,182
2015-09-06,172
2015-09-07,168
2015-09-08,164
2015-09-09,165
2015-09-10,169
2015-09-11,175
2015-09-12,181
2015-09-13,190
2015-09-14,200
2015-09-15,210
2015-09-16,210
2015-09-17,216
2015-09-18,217
2015-09-19,211
2015-09-20,200
2015-09-21,191
2015-09-22,190
2015-09-23,192
2015-09-24,192
2015-09-25,191
2015-09-27,192
2015-09-28,192
2015-09-29,198
2015-09-30,198
2015-10-05,255
2015-10-06,268
2015-10-07,282
2015-10-08,297
2015-10-09,312
2015-10-10,312
2015-10-11,328
2015-10-12,344
2015-10-13,353
2015-10-14,350
2015-10-15,338
2015-10-16,341
2015-10-17,341
2015-10-18,345
2015-10-19,358
2015-10-20,369
2015-10-22,386
2015-10-23,387
2015-10-24,387
2015-10-25,372
2015-10-26,353
2015-10-27,340
2015-10-29,317
2015-10-30,307
2015-10-31,294
2015-11-01,294
2015-11-02,304
2015-11-03,314
2015-11-04,328
2015-11-05,335
2015-11-06,335
2015-11-07,342
2015-11-08,342
2015-11-09,333
2015-11-10,327
2015-11-11,317
2015-11-12,315
2015-11-13,329
2015-11-14,333
2015-11-15,340
2015-11-16,339
2015-11-17,354
2015-11-18,354
2015-11-19,364
2015-11-20,381
2015-11-21,381
2015-11-22,366
2015-11-23,366
2015-11-24,355
2015-11-25,347
2015-11-26,347
2015-11-27,335
2015-11-28,328
2015-11-29,331
2015-11-30,342
2015-12-01,353
2015-12-02,365
2015-12-03,377
2015-12-04,372
2015-12-05,381
2015-12-06,378
2015-12-07,366
2015-12-08,356
2015-12-09,345
2015-12-10,339
2015-12-11,338
2015-12-12,344
2015-12-13,345
2015-12-14,345
2015-12-15,343
2015-12-16,353
2015-12-17,348
2015-12-18,349
2015-12-19,360
2015-12-20,361
2015-12-21,358
2015-12-22,370
2015-12-23,359
2015-12-24,356
2015-12-25,371
2015-12-26,388
2015-12-27,384
2015-12-28,369
2015-12-29,359
2015-12-30,368
2015-12-31,363
2016-01-01,363
2016-01-02,361
2016-01-03,359
2016-01-04,348
2016-01-05,337
2016-01-06,338
2016-01-07,321
2016-01-08,304
2016-01-09,288
2016-01-10,273
2016-01-11,259
2016-01-12,246
2016-01-13,233
2016-01-14,221
2016-01-15,212
2016-01-16,211
2016-01-17,202
2016-01-18,191
2016-01-19,181
2016-01-20,173
2016-01-21,164
2016-01-22,160
2016-01-23,154
2016-01-24,156
2016-01-25,159
2016-01-26,159
2016-01-27,157
2016-01-28,157
2016-01-29,158
2016-01-30,165
2016-01-31,168
2016-02-01,177
2016-02-02,184
2016-02-03,186
2016-02-04,189
2016-02-05,184
2016-02-06,176
2016-02-07,170
2016-02-08,164
2016-02-09,162
2016-02-10,167
2016-02-11,166
2016-02-12,160
2016-02-13,157
2016-02-14,154
2016-02-15,155
2016-02-16,154
2016-02-17,158
2016-02-18,152
2016-02-19,157
2016-02-20,152
2016-02-21,154
2016-02-22,154
2016-02-23,156
2016-02-24,156
2016-02-25,159
2016-02-26,161
2016-02-27,167
2016-02-28,161
2016-02-29,162
2016-03-01,163
2016-03-02,169
2016-03-03,173
2016-03-04,172
2016-03-05,172
2016-03-06,172
2016-03-07,165
2016-03-08,168
2016-03-09,170
2016-03-10,169
2016-03-11,169
2016-03-12,175
2016-03-13,182
2016-03-14,192
2016-03-15,194
2016-03-16,202
2016-03-17,197
2016-03-18,192
2016-03-19,182
2016-03-20,177
2016-03-21,178
2016-03-22,174
2016-03-23,168
2016-03-24,173
2016-03-25,173
2016-03-26,169
2016-03-27,172
2016-03-28,167
2016-03-29,165
2016-03-30,165
2016-03-31,163
2016-04-01,170
2016-04-02,169
2016-04-03,164
2016-04-04,167
2016-04-05,171
2016-04-06,169
2016-04-07,172
2016-04-08,171
2016-04-09,164
2016-04-10,167
2016-04-11,167
2016-04-12,173
2016-04-13,180
2016-04-14,181
2016-04-15,181
2016-04-16,190
2016-04-17,197
2016-04-18,192
2016-04-19,195
2016-04-20,192
2016-04-21,190
2016-04-22,190
2016-04-23,194
2016-04-24,191
2016-04-25,190
2016-04-26,196
2016-04-27,202
2016-04-28,199
2016-04-29,196
2016-04-30,197
2016-05-01,198
2016-05-02,199
2016-05-03,205
2016-05-04,202
2016-05-05,200
2016-05-06,195
2016-05-07,188
2016-05-08,185
2016-05-09,180
2016-05-10,187
2016-05-11,195
2016-05-12,201
2016-05-13,211
2016-05-14,222
2016-05-15,228
2016-05-16,224
2016-05-17,232
2016-05-18,244
2016-05-19,253
2016-05-22,241
2016-05-23,238
2016-05-24,242
2016-05-25,237
2016-05-26,237
2016-05-27,242
2016-05-28,240
2016-05-29,245
2016-05-30,246
2016-05-31,252
2016-06-01,260
2016-06-02,264
2016-06-03,265
2016-06-04,259
2016-06-05,250
2016-06-06,247
2016-06-07,245
2016-06-08,242
2016-06-09,241
2016-06-10,238
2016-06-11,234
2016-06-12,231
2016-06-13,229
2016-06-14,227
2016-06-15,226
2016-06-16,217
2016-06-17,212
2016-06-18,208
2016-06-19,204
2016-06-20,201
2016-06-21,199
2016-06-22,196
2016-06-23,202
2016-06-24,205
2016-06-25,205
2016-06-26,209
2016-06-27,216
2016-06-28,222
2016-06-29,222
2016-06-30,219
2016-07-01,222
2016-07-02,232
2016-07-03,234
2016-07-04,236
2016-07-05,243
2016-07-06,233
2016-07-07,230
2016-07-08,224
2016-07-09,226
2016-07-10,221
2016-07-11,217
2016-07-12,216
2016-07-13,221
2016-07-14,219
2016-07-15,217
2016-07-16,224
2016-07-17,225
2016-07-18,220
2016-07-24,205
2016-07-25,195
2016-07-26,186
2016-07-27,182
2016-07-28,182
2016-07-29,182
2016-07-30,184
2016-07-31,185
2016-08-01,191
2016-08-02,197
2016-08-03,201
2016-08-04,200
2016-08-05,199
2016-08-06,198
2016-08-07,201
2016-08-08,195
2016-08-09,200
2016-08-10,198
2016-08-11,192
2016-08-12,189
2016-08-13,183
2016-08-14,180
2016-08-15,184
2016-08-16,180
2016-08-17,174
2016-08-18,174
2016-08-19,174
2016-08-20,175
2016-08-21,171
2016-08-22,169
2016-08-23,171
2016-08-24,180
2016-08-25,189
2016-08-26,198
2016-08-28,218
2016-08-31,252
2016-09-01,265
2016-09-02,265
2016-09-03,279
2016-09-04,293
