date_obj,Nose%20peg price
2016-02-05,659
2016-02-06,655
2016-02-07,655
2016-02-08,655
2016-02-09,655
2016-02-10,640
2016-02-11,640
2016-02-12,640
2016-02-13,640
2016-02-14,608
2016-02-15,608
2016-02-16,608
2016-02-17,585
2016-02-18,585
2016-02-19,585
2016-02-20,585
2016-02-21,601
2016-02-22,601
2016-02-23,601
2016-02-24,601
2016-02-25,611
2016-02-26,611
2016-02-27,611
2016-02-28,630
2016-02-29,630
2016-03-01,630
2016-03-02,630
2016-03-03,634
2016-03-04,634
2016-03-05,634
2016-03-06,644
2016-03-07,644
2016-03-08,644
2016-03-09,644
2016-03-10,649
2016-03-11,649
2016-03-12,649
2016-03-13,645
2016-03-14,645
2016-03-15,645
2016-03-16,620
2016-03-17,620
2016-03-18,620
2016-03-19,611
2016-03-20,611
2016-03-21,611
2016-03-22,611
2016-03-23,614
2016-03-24,614
2016-03-25,614
2016-03-26,590
2016-03-27,590
2016-03-28,590
2016-03-29,575
2016-03-30,575
2016-03-31,575
2016-04-01,575
2016-04-02,589
2016-04-03,589
2016-04-04,589
2016-04-05,603
2016-04-06,603
2016-04-07,603
2016-04-08,597
2016-04-09,597
2016-04-10,597
2016-04-11,595
2016-04-12,595
2016-04-13,595
2016-04-14,587
2016-04-15,587
2016-04-16,587
2016-04-17,577
2016-04-18,577
2016-04-19,577
2016-04-20,584
2016-04-21,584
2016-04-22,584
2016-04-23,584
2016-04-24,599
2016-04-25,599
2016-04-26,599
2016-04-27,606
2016-04-28,606
2016-04-29,606
2016-04-30,607
2016-05-01,607
2016-05-02,607
2016-05-03,617
2016-05-04,617
2016-05-05,617
2016-05-06,599
2016-05-07,599
2016-05-08,599
2016-05-09,591
2016-05-10,591
2016-05-11,591
2016-05-12,586
2016-05-13,586
2016-05-14,566
2016-05-15,566
2016-05-16,566
2016-05-17,580
2016-05-18,580
2016-05-19,580
2016-05-22,578
2016-05-23,572
2016-05-24,572
2016-05-25,572
2016-05-26,562
2016-05-27,562
2016-05-28,562
2016-05-29,568
2016-05-30,568
2016-05-31,568
2016-06-01,555
2016-06-02,555
2016-06-03,555
2016-06-04,547
2016-06-05,547
2016-06-06,547
2016-06-07,536
2016-06-08,536
2016-06-09,536
2016-06-10,532
2016-06-11,532
2016-06-12,532
2016-06-13,533
2016-06-14,533
2016-06-15,533
2016-06-16,539
2016-06-17,539
2016-06-18,539
2016-06-19,549
2016-06-20,549
2016-06-21,549
2016-06-22,549
2016-06-23,549
2016-06-24,549
2016-06-25,549
2016-06-26,549
2016-06-27,549
2016-06-28,559
2016-06-29,559
2016-06-30,559
2016-07-01,553
2016-07-02,553
2016-07-03,553
2016-07-04,538
2016-07-05,538
2016-07-06,538
2016-07-07,518
2016-07-08,518
2016-07-09,518
2016-07-10,522
2016-07-11,522
2016-07-12,522
2016-07-13,496
2016-07-14,496
2016-07-15,496
2016-07-16,491
2016-07-17,491
2016-07-18,491
2016-07-23,483
2016-07-24,458
2016-07-25,458
2016-07-26,458
2016-07-27,458
2016-07-28,435
2016-07-29,435
2016-07-30,435
2016-07-31,435
2016-08-01,413
2016-08-02,413
2016-08-03,413
2016-08-04,394
2016-08-05,394
2016-08-06,394
2016-08-07,375
2016-08-08,375
2016-08-09,375
2016-08-10,356
2016-08-11,356
2016-08-12,356
2016-08-13,356
2016-08-14,356
2016-08-15,344
2016-08-16,344
2016-08-17,344
2016-08-18,344
2016-08-19,334
2016-08-20,334
2016-08-21,334
2016-08-22,334
2016-08-23,321
2016-08-24,321
2016-08-25,321
2016-08-26,321
2016-08-28,307
2016-08-31,296
2016-09-01,296
2016-09-02,296
2016-09-03,296
2016-09-04,291
2016-09-05,291
2016-09-06,291
2016-09-07,291
2016-09-08,291
2016-09-09,290
2016-09-10,290
2016-09-11,290
2016-09-12,290
2016-09-13,293
2016-09-14,293
2016-09-15,293
2016-09-16,293
2016-09-17,296
2016-09-18,296
2016-09-19,296
2016-09-20,296
2016-09-21,289
2016-09-22,289
2016-09-23,289
2016-09-24,289
2016-09-25,276
2016-09-26,276
2016-09-27,276
2016-09-28,276
2016-09-29,274
2016-09-30,274
2016-10-01,274
2016-10-02,274
2016-10-03,274
2016-10-04,274
2016-10-05,274
2016-10-06,274
2016-10-07,270
2016-10-08,270
2016-10-09,270
2016-10-10,270
2016-10-11,274
2016-10-12,274
2016-10-13,274
2016-10-14,274
2016-10-15,279
2016-10-16,279
2016-10-17,279
2016-10-18,279
2016-10-19,270
2016-10-20,270
2016-10-21,270
2016-10-22,270
2016-10-23,271
2016-10-24,271
2016-10-25,271
2016-10-26,273
2016-10-27,273
2016-10-28,273
2016-10-29,273
2016-10-30,274
2016-10-31,274
2016-11-01,274
2016-11-02,274
2016-11-03,281
2016-11-04,281
2016-11-05,281
2016-11-06,283
2016-11-07,283
2016-11-08,283
2016-11-09,283
2016-11-10,285
2016-11-11,285
2016-11-12,285
2016-11-13,285
2016-11-14,295
2016-12-07,324
2016-12-08,324
2016-12-09,329
2016-12-10,329
2016-12-11,329
2016-12-12,329
2016-12-13,325
2016-12-14,325
2016-12-15,325
2016-12-16,329
2016-12-17,329
2016-12-18,329
2016-12-19,335
2016-12-20,335
2016-12-21,335
2016-12-22,340
2016-12-23,340
2016-12-24,340
2016-12-25,331
2016-12-26,331
2016-12-27,331
2016-12-28,336
2016-12-29,336
2016-12-30,336
2016-12-31,342
2017-01-01,342
2017-01-02,346
2017-01-03,346
2017-01-04,346
2017-01-05,348
2017-01-06,348
2017-01-07,351
2017-01-08,351
2017-01-09,351
2017-01-10,346
2017-01-11,346
2017-01-12,354
2017-01-13,354
2017-01-14,354
2017-01-15,365
2017-01-16,365
2017-01-17,365
2017-01-18,360
2017-01-19,360
2017-01-20,360
2017-01-21,360
2017-01-22,360
2017-01-27,362
2017-01-28,362
2017-01-29,362
2017-01-30,362
2017-01-31,362
2017-02-01,355
2017-02-02,355
2017-02-03,355
2017-02-04,358
2017-02-05,358
2017-02-06,358
2017-02-07,353
2017-02-08,353
2017-02-09,353
2017-02-10,367
2017-02-11,367
2017-02-12,367
2017-02-13,373
2017-02-14,373
2017-02-15,373
2017-02-16,373
2017-02-18,373
2017-02-19,357
2017-02-20,357
2017-02-21,357
2017-02-22,361
2017-02-23,361
2017-02-24,361
2017-02-25,349
2017-02-26,349
2017-02-27,349
2017-02-28,358
