date_obj,Green%20elegant%20blouse price
2016-01-05,8325
2016-01-06,8325
2016-01-07,8325
2016-01-08,8325
2016-01-09,8325
2016-01-10,8483
2016-01-11,8483
2016-01-12,8483
2016-01-13,8483
2016-01-14,8483
2016-01-15,8074
2016-01-16,8074
2016-01-17,8074
2016-01-18,8074
2016-01-19,7913
2016-01-20,7913
2016-01-21,7913
2016-01-22,7913
2016-01-23,7913
2016-01-24,7922
2016-01-25,7922
2016-01-26,7922
2016-01-27,7922
2016-01-28,7922
2016-01-29,8227
2016-01-30,8227
2016-01-31,8227
2016-02-01,8227
2016-02-02,8227
2016-02-03,8537
2016-02-04,8537
2016-02-05,8537
2016-02-06,8537
2016-02-07,8537
2016-02-08,8537
2016-02-09,8537
2016-02-10,8891
2016-02-11,8891
2016-02-12,8891
2016-02-13,8891
2016-02-14,8891
2016-02-15,8891
2016-02-16,9318
2016-02-17,9318
2016-02-18,9318
2016-02-19,9318
2016-02-20,9318
2016-02-21,9761
2016-02-22,9761
2016-02-23,9761
2016-02-24,9761
2016-02-25,9761
2016-02-26,9761
2016-02-27,10061
2016-02-28,10061
2016-02-29,10061
2016-03-01,10061
2016-03-02,10061
2016-03-03,10061
2016-03-04,10235
2016-03-05,10235
2016-03-06,10235
2016-03-07,10235
2016-03-08,10235
2016-03-09,10420
2016-03-10,10420
2016-03-11,10420
2016-03-12,10420
2016-03-13,10420
2016-03-14,9957
2016-03-15,9957
2016-03-16,9957
2016-03-17,9957
2016-03-18,9957
2016-03-19,9923
2016-03-20,9923
2016-03-21,9923
2016-03-22,9923
2016-03-23,9923
2016-03-24,9923
2016-03-25,10267
2016-03-26,10267
2016-03-27,10267
2016-03-28,10267
2016-03-29,10267
2016-03-30,10344
2016-03-31,10344
2016-04-01,10825
2016-04-02,10825
2016-04-03,10825
2016-04-04,11280
2016-04-05,11280
2016-04-06,11280
2016-04-07,11280
2016-04-08,11280
2016-04-09,11546
2016-04-10,11546
2016-04-11,11546
2016-04-12,11546
2016-04-13,11365
2016-04-14,11365
2016-04-15,11365
2016-04-16,11365
2016-04-17,11276
2016-04-18,11276
2016-04-19,11276
2016-04-20,11276
2016-04-21,10939
2016-04-22,10939
2016-04-23,10939
2016-04-24,10939
2016-04-25,10939
2016-04-26,10828
2016-04-27,10828
2016-04-28,10828
2016-04-29,10828
2016-04-30,10828
2016-05-01,10930
2016-05-02,10930
2016-05-03,10930
2016-05-04,10930
2016-05-05,10930
2016-05-06,10450
2016-05-07,10450
2016-05-08,10450
2016-05-09,10450
2016-05-10,10450
2016-05-11,9944
2016-05-12,9944
2016-05-13,9944
2016-05-14,9944
2016-05-15,9483
2016-05-16,9483
2016-05-17,9483
2016-05-18,9483
2016-05-19,9137
2016-05-22,9137
2016-05-23,8744
2016-05-24,8744
2016-05-25,8744
2016-05-26,8744
2016-05-27,8694
2016-05-28,8694
2016-05-29,8694
2016-05-30,8694
2016-05-31,8302
2016-06-01,8302
2016-06-02,8302
2016-06-03,8302
2016-06-04,8302
2016-06-05,8384
2016-06-06,8384
2016-06-07,8384
2016-06-08,8384
2016-06-09,8522
2016-06-10,8522
2016-06-11,8522
2016-06-12,8522
2016-06-13,8855
2016-06-14,8855
2016-06-15,8855
2016-06-16,8855
2016-06-17,8985
2016-06-18,8985
2016-06-19,8985
2016-06-20,8985
2016-06-21,8985
2016-06-22,8623
2016-06-23,8623
2016-06-24,8623
2016-06-25,8623
2016-06-26,8623
2016-06-27,8281
2016-06-28,8281
2016-06-29,8281
2016-06-30,8281
2016-07-01,8549
2016-07-02,8549
2016-07-03,8549
2016-07-04,8549
2016-07-05,8549
2016-07-06,8578
2016-07-07,8578
2016-07-08,8578
2016-07-09,8174
2016-07-10,8174
2016-07-11,7798
2016-07-12,7798
2016-07-13,7798
2016-07-14,7444
2016-07-15,7444
2016-07-16,7444
2016-07-17,7330
2016-07-18,7330
2016-07-23,7037
2016-07-24,7037
2016-07-25,6806
2016-07-26,6806
2016-07-27,6806
2016-07-28,6806
2016-07-29,6806
2016-07-30,6550
2016-07-31,6550
2016-08-01,6550
2016-08-02,6550
2016-08-03,6550
2016-08-04,6285
2016-08-05,6285
