date_obj,Zamorak%20hilt price
2015-03-26,598719
2015-03-27,598719
2015-03-28,598719
2015-03-29,598719
2015-03-30,598719
2015-03-31,617846
2015-04-01,617846
2015-04-02,617846
2015-04-03,617846
2015-04-04,617846
2015-04-05,617846
2015-04-06,617846
2015-04-07,617846
2015-04-08,617846
2015-04-09,617846
2015-04-10,617846
2015-04-11,617846
2015-04-12,617846
2015-04-13,617846
2015-04-14,617846
2015-04-15,617846
2015-04-16,617846
2015-04-17,645830
2015-04-18,645830
2015-04-19,645830
2015-04-20,645830
2015-04-21,645830
2015-04-22,645830
2015-04-23,645830
2015-04-24,645830
2015-04-25,645830
2015-04-26,668786
2015-04-27,668786
2015-04-28,668786
2015-04-29,698345
2015-04-30,698345
2015-05-01,698345
2015-05-02,729418
2015-05-03,729418
2015-05-04,729418
2015-05-05,729418
2015-05-06,729418
2015-05-07,729418
2015-05-08,729418
2015-05-09,761486
2015-05-10,761486
2015-05-11,761486
2015-05-12,761486
2015-05-13,761486
2015-05-14,761486
2015-05-15,761486
2015-05-16,761486
2015-05-17,761486
2015-05-18,761486
2015-05-19,794077
2015-05-20,794077
2015-05-21,794077
2015-05-22,794077
2015-05-23,794077
2015-05-24,794077
2015-05-25,794077
2015-05-26,794077
2015-05-27,794077
2015-05-28,822794
2015-05-29,822794
2015-05-30,822794
2015-05-31,822794
2015-06-01,822794
2015-06-02,822794
2015-06-03,822794
2015-06-04,822794
2015-06-05,822794
2015-06-06,822794
2015-06-07,859248
2015-06-08,859248
2015-06-09,859248
2015-06-10,859248
2015-06-11,859248
2015-06-12,859248
2015-06-13,859248
2015-06-14,859248
2015-06-15,859248
2015-06-16,859248
2015-06-17,859248
2015-06-18,859248
2015-06-19,896097
2015-06-20,896097
2015-06-21,896097
2015-06-22,896097
2015-06-23,896097
2015-06-24,896097
2015-06-25,896097
2015-06-26,896097
2015-06-27,896097
2015-06-28,896097
2015-06-29,896097
2015-06-30,896097
2015-07-01,934488
2015-07-02,934488
2015-07-03,934488
2015-07-04,934488
2015-07-05,934488
2015-07-06,934488
2015-07-07,934488
2015-07-08,934488
2015-07-09,934488
2015-07-10,934488
2015-07-11,934488
2015-07-12,934488
2015-07-13,934488
2015-07-14,934488
2015-07-15,934488
2015-07-16,934488
2015-07-17,976445
2015-07-18,976445
2015-07-19,976445
2015-07-20,976445
2015-07-21,976445
2015-07-22,976445
2015-07-23,976445
2015-07-24,976445
2015-07-25,976445
2015-07-26,976445
2015-07-27,976445
2015-07-28,976445
2015-07-29,976445
2015-07-30,976445
2015-07-31,976445
2015-08-01,976445
2015-08-02,1019339
2015-08-03,1019339
2015-08-04,1019339
2015-08-05,1019339
2015-08-06,1019339
2015-08-07,1019339
2015-08-08,1019339
2015-08-09,1019339
2015-08-10,1019339
2015-08-11,1019339
2015-08-12,1019339
2015-08-13,1019339
2015-08-14,1019339
2015-08-15,1019339
2015-08-16,1019339
2015-08-17,1019339
2015-08-18,1065645
2015-08-19,1065645
2015-08-20,1065645
2015-08-21,1065645
2015-08-22,1065645
2015-08-23,1065645
2015-08-24,1065645
2015-08-25,1065645
2015-08-26,1065645
2015-08-27,1065645
2015-08-28,1065645
2015-08-29,1065645
2015-08-30,1065645
2015-08-31,1065645
2015-09-01,1065645
2015-09-02,1065645
2015-09-03,1065645
2015-09-04,1110329
2015-09-05,1110329
2015-09-06,1110329
2015-09-07,1110329
2015-09-08,1110329
2015-09-09,1110329
2015-09-10,1110329
2015-09-11,1110329
2015-09-12,1110329
2015-09-13,1110329
2015-09-14,1110329
2015-09-15,1110329
2015-09-16,1110329
2015-09-17,1110329
2015-09-18,1110329
2015-09-19,1110329
2015-09-20,1110329
2015-09-21,1160444
2015-09-22,1160444
2015-09-23,1160444
2015-09-24,1160444
2015-09-25,1160444
2015-09-27,1160444
2015-09-28,1160444
2015-09-29,1160444
2015-09-30,1160444
2015-10-05,1160444
2015-10-06,1160444
2015-10-07,1160444
2015-10-08,1160444
2015-10-09,1160444
2015-10-10,1160444
2015-10-11,1212368
2015-10-12,1212368
2015-10-13,1212368
2015-10-14,1212368
2015-10-15,1212368
2015-10-16,1212368
2015-10-17,1212368
2015-10-18,1212368
2015-10-19,1212368
2015-10-20,1212368
2015-10-22,1212368
2015-10-23,1212368
2015-10-24,1212368
2015-10-25,1268554
2015-10-26,1268554
2015-10-27,1268554
2015-10-29,1268554
2015-10-30,1268554
2015-10-31,1268554
2015-11-01,1268554
2015-11-02,1268554
2015-11-03,1268554
2015-11-05,1268554
2015-11-06,1268554
2015-11-07,1268554
2015-11-08,1268554
2015-11-09,1268554
2015-11-10,1268554
2015-11-11,1268554
2015-11-12,1268554
2015-11-13,1268554
