date_obj,Adamant%20dragon%20mask price
2019-04-11,200000
2019-04-11,200000
2019-04-12,198020
2019-04-13,198020
2019-04-14,189047
2019-04-15,100000
2019-04-16,100000
2019-04-17,100000
2019-04-18,95609
2019-04-19,95609
2019-04-20,91445
2019-04-21,91445
2019-04-22,87450
2019-04-23,87450
2019-04-24,83686
2019-04-25,83686
2019-04-26,79876
2019-04-27,79876
2019-04-28,76235
2019-04-29,76235
2019-04-30,72846
2019-05-01,72846
2019-05-02,69659
2019-05-03,69659
2019-05-04,66176
2019-05-05,66176
2019-05-06,63182
2019-05-07,63182
2019-05-08,60613
2019-05-09,60613
2019-05-10,60613
2019-05-11,57852
2019-05-12,57852
2019-05-13,54959
2019-05-14,54959
2019-05-15,54959
2019-05-16,52353
2019-05-17,52353
2019-05-18,49978
2019-05-19,49978
2019-05-20,47674
2019-05-21,47674
2019-05-22,45575
2019-05-23,45575
2019-05-24,43572
2019-05-25,43572
2019-05-26,41650
2019-05-27,41650
2019-05-28,39766
2019-05-29,39766
2019-05-30,38010
2019-05-31,38010
2019-06-01,36308
2019-06-02,36308
2019-06-03,34828
2019-06-04,34828
2019-06-05,33209
2019-06-06,33209
2019-06-07,33209
2019-06-08,31735
2019-06-09,31735
2019-06-10,30319
2019-06-11,30319
2019-06-12,29145
2019-06-13,29145
2019-06-14,29145
2019-06-15,27876
2019-06-16,27876
2019-06-17,26741
2019-06-18,26741
2019-06-19,26741
2019-06-20,25403
2019-06-21,25403
2019-06-22,25403
2019-06-23,24265
2019-06-24,24265
2019-06-25,24265
2019-06-26,23172
2019-06-27,23172
2019-06-28,23172
2019-06-29,22013
2019-06-30,22013
2019-07-01,21046
2019-07-02,21046
2019-07-03,20110
2019-07-04,20110
2019-07-05,20110
2019-07-06,19217
2019-07-07,19217
2019-07-08,19217
2019-07-09,18441
2019-07-10,18441
2019-07-11,18441
2019-07-12,17921
2019-07-13,17921
2019-07-14,17144
2019-07-15,17144
2019-07-16,17144
2019-07-17,16620
2019-07-18,16620
2019-07-19,16620
2019-07-20,16470
2019-07-21,16470
2019-07-22,16470
2019-07-23,16592
2019-07-24,16592
2019-07-25,16592
2019-07-26,16592
2019-07-27,16634
2019-07-28,16634
2019-07-29,16634
2019-07-30,16022
2019-07-31,16022
2019-08-01,16022
2019-08-02,15551
2019-08-03,15551
2019-08-04,15551
2019-08-05,15294
2019-08-06,15294
2019-08-07,15294
2019-08-08,14692
2019-08-09,14692
2019-08-10,14692
2019-08-11,14281
2019-08-12,14281
2019-08-13,14281
2019-08-14,13813
2019-08-15,13813
2019-08-16,13400
2019-08-17,13400
2019-08-18,13400
2019-08-19,13094
2019-08-20,13094
2019-08-21,13094
2019-08-22,12718
2019-08-23,12718
2019-08-24,12718
2019-08-24,12718
2019-08-25,12718
2019-08-25,12718
2019-08-26,12245
2019-08-26,12245
2019-08-27,12245
2019-08-27,12245
2019-08-28,12245
2019-08-29,12245
2019-08-30,11828
2019-08-31,11828
2019-09-01,11828
2019-09-02,11539
2019-09-03,11539
2019-09-04,11539
2019-09-05,11208
2019-09-06,11208
2019-09-07,11208
2019-09-08,10724
2019-09-09,10724
2019-09-10,10724
2019-09-11,10724
2019-09-12,10252
2019-09-13,10252
2019-09-14,10252
2019-09-15,9887
2019-09-16,9887
2019-09-17,9887
2019-09-18,9559
2019-09-19,9559
2019-09-20,9559
2019-09-21,9559
2019-09-22,9382
2019-09-23,9382
2019-09-24,9382
2019-09-25,9110
2019-09-26,9110
2019-09-27,9110
2019-09-28,8942
2019-09-29,8942
2019-09-30,8942
2019-10-01,8741
2019-10-02,8741
2019-10-03,8741
2019-10-04,8741
2019-10-05,8480
2019-10-06,8480
2019-10-07,8480
2019-10-08,8755
2019-10-09,8755
2019-10-10,8755
2019-10-11,8755
2019-10-12,8991
2019-10-13,8991
2019-10-14,8937
2019-10-15,8937
2019-10-16,8937
2019-10-17,8937
2019-10-18,8923
2019-10-19,8923
2019-10-20,8923
2019-10-21,8923
2019-10-22,8684
2019-10-23,8684
2019-10-24,8684
2019-10-25,9009
2019-10-26,9009
2019-10-27,9009
2019-10-28,9253
2019-10-29,9253
2019-10-30,9253
2019-10-31,9253
2019-11-01,9357
2019-11-02,9357
2019-11-03,9357
2019-11-04,9357
2019-11-05,9359
2019-11-06,9359
2019-11-07,9359
2019-11-08,9359
2019-11-09,9321
2019-11-10,9321
2019-11-11,9321
2019-11-12,9537
2019-11-13,9537
2019-11-14,9537
2019-11-15,9537
2019-11-16,9954
2019-11-17,9954
2019-11-18,9954
2019-11-19,9954
2019-11-20,10315
2019-11-21,10315
2019-11-22,10315
2019-11-23,10315
2019-11-24,10721
2019-11-25,10721
2019-11-26,10721
2019-11-27,10721
2019-11-28,10466
2019-11-29,10466
2019-11-30,10466
2019-12-01,10466
2019-12-02,10730
2019-12-03,10730
2019-12-04,10730
2019-12-05,10730
2019-12-06,10730
2019-12-07,10694
2019-12-08,10694
2019-12-09,10694
2019-12-10,10694
2019-12-11,10684
2019-12-12,10684
2019-12-13,10684
2019-12-14,10684
2019-12-15,10245
2019-12-16,10245
2019-12-17,10245
2019-12-18,10245
2019-12-19,10245
2019-12-20,10328
2019-12-21,10328
2019-12-22,10328
2019-12-23,10328
2019-12-24,10068
2019-12-25,10068
2019-12-26,10068
2019-12-27,10068
2019-12-28,9914
2019-12-29,9914
2019-12-30,9914
2019-12-31,9914
2020-01-01,9635
2020-01-02,9635
2020-01-03,9635
2020-01-04,9635
2020-01-05,9235
2020-01-06,9235
2020-01-07,8838
2020-01-08,8838
2020-01-09,8838
2020-01-10,8838
2020-01-11,8707
2020-01-12,8707
2020-01-13,8707
2020-01-14,8707
2020-01-15,8643
2020-01-16,8643
2020-01-17,8643
2020-01-18,8619
2020-01-19,8619
2020-01-20,8619
2020-01-21,8365
2020-01-22,8365
2020-01-23,8365
2020-01-24,8078
2020-01-25,8078
2020-01-26,8078
2020-01-27,7808
2020-01-28,7808
2020-01-29,7808
2020-01-30,7808
2020-01-31,7660
2020-02-01,7660
2020-02-02,7660
2020-02-03,7375
2020-02-04,7375
2020-02-05,7375
2020-02-06,7473
2020-02-07,7473
2020-02-08,7473
2020-02-09,7443
2020-02-10,7443
2020-02-11,7443
2020-02-12,7447
2020-02-13,7447
2020-02-14,7447
2020-02-15,7447
2020-02-16,7128
2020-02-17,7128
2020-02-18,6914
2020-02-19,6914
2020-02-20,6914
2020-02-21,6914
2020-02-22,6792
2020-02-23,6792
2020-02-24,6792
2020-02-25,6586
2020-02-26,6586
2020-02-27,6586
2020-02-28,6399
2020-02-29,6399
2020-03-01,6399
2020-03-02,6399
2020-03-03,6258
2020-03-04,6258
2020-03-05,6258
2020-03-06,6224
2020-03-07,6224
2020-03-08,6224
2020-03-09,6185
2020-03-10,6185
2020-03-11,6185
2020-03-12,6181
2020-03-13,6181
2020-03-14,6181
2020-03-15,6090
2020-03-16,6090
2020-03-17,6090
2020-03-18,6104
2020-03-19,6104
2020-03-20,6104
2020-03-21,6228
2020-03-22,6228
2020-03-23,6275
2020-03-24,6275
2020-03-25,6235
2020-03-26,6235
2020-03-27,6276
2020-03-28,6276
2020-03-29,6383
2020-03-30,6383
2020-03-31,6399
2020-04-01,6399
2020-04-02,6406
2020-04-03,6406
2020-04-04,6428
2020-04-05,6428
2020-04-06,6401
2020-04-07,6401
2020-04-08,6337
2020-04-09,6337
2020-04-10,6337
2020-04-11,6267
2020-04-12,6267
2020-04-13,6267
2020-04-14,6133
2020-04-15,6133
2020-04-16,6169
2020-04-17,6169
2020-04-18,6270
2020-04-19,6270
2020-04-20,6108
2020-04-21,6108
2020-04-22,6065
2020-04-23,6065
2020-04-24,6014
2020-04-25,6014
2020-04-26,6124
2020-04-27,6124
2020-04-28,6054
2020-04-29,6054
2020-04-30,5916
2020-05-01,5916
2020-05-02,5916
2020-05-03,5887
2020-05-04,5887
2020-05-05,6051
2020-05-06,6051
2020-05-07,6022
2020-05-08,6022
2020-05-09,5910
2020-05-10,5910
2020-05-11,5910
2020-05-12,5889
2020-05-13,5889
