date_obj,Adamant%20platebody price
2015-03-26,9686
2015-03-27,9723
2015-03-28,9731
2015-03-29,9700
2015-03-30,9705
2015-03-31,9696
2015-04-01,9696
2015-04-02,9663
2015-04-03,9708
2015-04-04,9744
2015-04-05,9747
2015-04-06,9708
2015-04-07,9713
2015-04-08,9735
2015-04-09,9657
2015-04-10,9639
2015-04-11,9659
2015-04-12,9671
2015-04-13,9697
2015-04-14,9694
2015-04-15,9702
2015-04-16,9730
2015-04-17,9732
2015-04-18,9735
2015-04-19,9719
2015-04-20,9715
2015-04-21,9702
2015-04-22,9709
2015-04-23,9611
2015-04-24,9717
2015-04-25,9720
2015-04-26,9715
2015-04-27,9734
2015-04-28,9726
2015-04-29,9717
2015-04-30,9704
2015-05-01,9724
2015-05-02,9719
2015-05-03,9696
2015-05-04,9702
2015-05-05,9720
2015-05-06,9726
2015-05-07,9721
2015-05-08,9527
2015-05-09,9535
2015-05-10,9615
2015-05-11,9670
2015-05-12,9720
2015-05-13,9718
2015-05-14,9740
2015-05-15,9712
2015-05-16,9684
2015-05-17,9686
2015-05-18,9696
2015-05-19,9718
2015-05-20,9729
2015-05-21,9804
2015-05-22,9760
2015-05-23,9691
2015-05-24,9723
2015-05-25,9773
2015-05-26,9787
2015-05-27,9749
2015-05-28,9768
2015-05-29,9728
2015-05-30,9707
2015-05-31,9721
2015-06-01,9562
2015-06-02,9679
2015-06-03,9730
2015-06-04,9756
2015-06-05,9753
2015-06-06,9770
2015-06-07,9711
2015-06-08,9715
2015-06-09,9709
2015-06-10,9725
2015-06-11,9731
2015-06-12,9758
2015-06-13,9765
2015-06-14,9691
2015-06-15,9738
2015-06-16,9754
2015-06-17,9764
2015-06-18,9706
2015-06-19,9720
2015-06-20,9774
2015-06-21,9748
2015-06-22,9726
2015-06-23,9767
2015-06-24,9747
2015-06-25,9751
2015-06-26,9713
2015-06-27,9683
2015-06-28,9664
2015-06-29,9695
2015-06-30,9701
2015-07-01,9737
2015-07-02,9743
2015-07-03,9726
2015-07-04,9731
2015-07-05,9734
2015-07-06,9691
2015-07-07,9684
2015-07-08,9738
2015-07-09,9733
2015-07-10,9759
2015-07-11,9739
2015-07-12,9758
2015-07-13,9752
2015-07-14,9731
2015-07-15,9722
2015-07-16,9711
2015-07-17,9692
2015-07-18,9700
2015-07-19,9704
2015-07-20,9708
2015-07-21,9715
2015-07-22,9730
2015-07-23,9743
2015-07-24,9742
2015-07-25,9700
2015-07-26,9686
2015-07-27,9724
2015-07-28,9729
2015-07-29,9765
2015-07-30,9770
2015-07-31,9734
2015-08-01,9639
2015-08-02,9706
2015-08-03,9700
2015-08-04,9681
2015-08-05,9714
2015-08-06,9726
2015-08-07,9720
2015-08-08,9752
2015-08-09,9721
2015-08-10,9715
2015-08-11,9718
2015-08-12,9730
2015-08-13,9740
2015-08-14,9724
2015-08-15,9749
2015-08-16,9726
2015-08-17,9756
2015-08-18,9745
2015-08-19,9717
2015-08-20,9683
2015-08-21,9690
2015-08-22,9693
2015-08-23,9725
2015-08-24,9735
2015-08-25,9772
2015-08-26,9754
2015-08-27,9700
2015-08-28,9686
2015-08-29,9774
2015-08-30,9753
2015-08-31,9673
2015-09-01,9707
2015-09-02,9713
2015-09-03,9719
2015-09-04,9742
2015-09-05,9741
2015-09-06,9715
2015-09-07,9710
2015-09-08,9726
2015-09-09,9751
2015-09-10,9795
2015-09-11,9778
2015-09-12,9769
2015-09-13,9723
2015-09-14,9663
2015-09-15,9709
2015-09-16,9709
2015-09-17,9724
2015-09-18,9751
