date_obj,Bandit's%20brew price
2015-03-26,3754
2015-03-27,3754
2015-03-28,3754
2015-03-29,3570
2015-03-30,3570
2015-03-31,3570
2015-04-01,3570
2015-04-02,3570
2015-04-03,3570
2015-04-04,3570
2015-04-05,3459
2015-04-06,3459
2015-04-07,3459
2015-04-08,3459
2015-04-09,3459
2015-04-10,3459
2015-04-11,3288
2015-04-12,3288
2015-04-13,3288
2015-04-14,3288
2015-04-15,3288
2015-04-16,3288
2015-04-17,3288
2015-04-18,3127
2015-04-19,3127
2015-04-20,3127
2015-04-21,3127
2015-04-22,3127
2015-04-23,3127
2015-04-24,3127
2015-04-25,3127
2015-04-26,2981
2015-04-27,2981
2015-04-28,2981
2015-04-29,2981
2015-04-30,2981
2015-05-01,2981
2015-05-02,2863
2015-05-03,2863
2015-05-04,2863
2015-05-05,2863
2015-05-06,2863
2015-05-07,2863
2015-05-08,2728
2015-05-09,2728
2015-05-10,2728
2015-05-11,2728
2015-05-12,2728
2015-05-13,2728
2015-05-14,2596
2015-05-15,2596
2015-05-16,2596
2015-05-17,2596
2015-05-18,2596
2015-05-19,2596
2015-05-20,2596
2015-05-21,2535
2015-05-22,2535
2015-05-23,2535
2015-05-24,2535
2015-05-25,2535
2015-05-26,2473
2015-05-27,2473
2015-05-28,2473
2015-05-29,2473
2015-05-30,2355
2015-05-31,2355
2015-06-01,2355
2015-06-02,2355
2015-06-03,2238
2015-06-04,2238
2015-06-05,2238
2015-06-06,2238
2015-06-07,2130
2015-06-08,2130
2015-06-09,2130
2015-06-10,2130
2015-06-11,2070
2015-06-12,2070
2015-06-13,2070
2015-06-14,2070
2015-06-15,2070
2015-06-16,1978
2015-06-17,1978
2015-06-18,1978
2015-06-19,1978
2015-06-20,1941
2015-06-21,1941
2015-06-22,1941
2015-06-23,1941
2015-06-24,1902
2015-06-25,1902
2015-06-26,1902
2015-06-27,1902
2015-06-28,1889
2015-06-29,1889
2015-06-30,1889
2015-07-01,1889
2015-07-02,1889
2015-07-03,1845
2015-07-04,1845
2015-07-05,1845
2015-07-06,1845
2015-07-07,1845
2015-07-08,1868
2015-07-09,1868
2015-07-10,1868
2015-07-11,1868
2015-07-12,1853
2015-07-13,1853
2015-07-14,1853
2015-07-15,1843
2015-07-16,1843
2015-07-17,1843
2015-07-18,1843
2015-07-19,1847
2015-07-20,1847
2015-07-21,1847
2015-07-22,1847
2015-07-23,1931
2015-07-24,1931
2015-07-25,1931
2015-07-26,1931
2015-07-27,1894
2015-07-28,1894
2015-07-29,1894
2015-07-30,1894
2015-07-31,1970
2015-08-01,1970
2015-08-02,1970
2015-08-03,1925
2015-08-04,1925
2015-08-05,1925
2015-08-06,1925
2015-08-07,1864
2015-08-08,1864
2015-08-09,1864
2015-08-10,1774
2015-08-11,1774
2015-08-12,1774
2015-08-13,1774
2015-08-14,1687
2015-08-15,1687
2015-08-16,1687
2015-08-17,1687
2015-08-18,1621
2015-08-19,1621
2015-08-20,1621
2015-08-21,1621
2015-08-22,1552
2015-08-23,1552
2015-08-24,1552
