date_obj,Black%20d'hide%20chaps%20(t) price
2015-03-26,287713
2015-03-27,287713
2015-03-28,275767
2015-03-29,275767
2015-03-30,268498
2015-03-31,268498
2015-04-01,264613
2015-04-02,264613
2015-04-03,258511
2015-04-04,258511
2015-04-05,254065
2015-04-06,254065
2015-04-07,260788
2015-04-08,260788
2015-04-09,260788
2015-04-10,265692
2015-04-11,265692
2015-04-12,272511
2015-04-13,272511
2015-04-14,279147
2015-04-15,279147
2015-04-16,285716
2015-04-17,285716
2015-04-18,277048
2015-04-19,277048
2015-04-20,266822
2015-04-21,266822
2015-04-22,253750
2015-04-23,241939
2015-04-24,241939
2015-04-25,231729
2015-04-26,231729
2015-04-27,223589
2015-04-28,217478
2015-04-29,217478
2015-04-30,221692
2015-05-01,221692
2015-05-02,219969
2015-05-03,219969
2015-05-04,209037
2015-05-05,209037
2015-05-06,198585
2015-05-07,198585
2015-05-08,188655
2015-05-09,179607
2015-05-10,170987
2015-05-11,170987
2015-05-12,162437
2015-05-13,162437
2015-05-14,154315
2015-05-15,146873
2015-05-16,146873
2015-05-17,139529
2015-05-18,133122
2015-05-19,127191
2015-05-20,127191
2015-05-21,121341
2015-05-22,116877
2015-05-23,116877
2015-05-24,111374
2015-05-25,105998
2015-05-26,101399
2015-05-27,101399
2015-05-28,98106
2015-05-29,98106
2015-05-30,96799
2015-05-31,96799
2015-06-01,95568
2015-06-02,95568
2015-06-03,96677
2015-06-04,96677
2015-06-05,97576
2015-06-06,97576
2015-06-07,95437
2015-06-08,95437
2015-06-09,96754
2015-06-10,101261
2015-06-11,101261
2015-06-12,105334
2015-06-13,107657
2015-06-14,107657
2015-06-15,108740
2015-06-16,111392
2015-06-17,111392
2015-06-18,116020
2015-06-19,116020
2015-06-20,120134
2015-06-21,120134
2015-06-22,124190
2015-06-23,124190
2015-06-24,126515
2015-06-25,126515
2015-06-26,131479
2015-06-27,131479
2015-06-28,135832
2015-06-29,135832
2015-06-30,138054
2015-07-01,138054
2015-07-02,138367
2015-07-03,141423
2015-07-04,141423
2015-07-05,145307
2015-07-06,145307
2015-07-07,148327
2015-07-08,148327
2015-07-09,153296
2015-07-10,153296
2015-07-11,159802
2015-07-12,159802
2015-07-13,163050
2015-07-14,163050
2015-07-15,166983
2015-07-16,166983
2015-07-17,168779
2015-07-18,168779
2015-07-19,170091
2015-07-20,170091
2015-07-21,171249
2015-07-22,170892
2015-07-23,170892
2015-07-24,172899
2015-07-25,172899
2015-07-26,173961
2015-07-27,173961
2015-07-28,176250
2015-07-29,177858
2015-07-30,177858
2015-07-31,180277
2015-08-01,180277
2015-08-02,180701
2015-08-03,180701
2015-08-04,186359
2015-08-05,192393
2015-08-06,192393
2015-08-07,198497
2015-08-08,203201
2015-08-09,203201
2015-08-10,205735
2015-08-11,205735
2015-08-12,206782
2015-08-13,206782
2015-08-14,210728
2015-08-15,210728
2015-08-16,207865
2015-08-17,207865
2015-08-18,206767
2015-08-19,206767
2015-08-20,207172
2015-08-21,206800
2015-08-22,206800
2015-08-23,206672
2015-08-24,201226
2015-08-25,201226
2015-08-26,194899
2015-08-27,190976
2015-08-28,190976
2015-08-29,187099
2015-08-30,187099
2015-08-31,182963
2015-09-01,182963
2015-09-02,184204
2015-09-03,184204
2015-09-04,183591
2015-09-05,183591
2015-09-06,183483
2015-09-07,183483
2015-09-08,176908
2015-09-09,176908
2015-09-10,174299
2015-09-11,174299
2015-09-12,174707
2015-09-13,175676
2015-09-14,175676
2015-09-15,175562
2015-09-16,175562
2015-09-17,174672
2015-09-18,174672
2015-09-19,174616
2015-09-20,174616
2015-09-21,175403
2015-09-22,175403
2015-09-23,175096
2015-09-24,175096
2015-09-25,176405
2015-09-27,177119
2015-09-28,177119
2015-09-29,185090
2015-09-30,190883
2015-10-05,203003
2015-10-06,211379
2015-10-07,211379
2015-10-08,218998
2015-10-09,218998
2015-10-10,227683
2015-10-11,238274
2015-10-12,238274
2015-10-13,239145
2015-10-14,239145
2015-10-15,229643
2015-10-16,229643
2015-10-17,218160
2015-10-18,218160
2015-10-19,207606
2015-10-20,199136
2015-10-22,190535
2015-10-23,186944
2015-10-24,186944
2015-10-25,183664
2015-10-26,183794
2015-10-27,183794
2015-10-28,182625
2015-10-29,182625
2015-10-30,184449
2015-10-31,184449
2015-11-01,189398
