date_obj,Grand%20seed%20pod price
2015-03-26,44231
2015-03-27,44231
2015-03-28,44231
2015-03-29,44231
2015-03-30,45717
2015-03-31,45717
2015-04-01,45717
2015-04-02,45717
2015-04-03,45717
2015-04-04,45717
2015-04-05,45717
2015-04-06,45717
2015-04-07,45717
2015-04-08,45717
2015-04-09,45717
2015-04-10,45717
2015-04-11,45717
2015-04-12,45717
2015-04-13,45717
2015-04-14,45717
2015-04-15,45717
2015-04-16,45717
2015-04-17,47639
2015-04-18,47639
2015-04-19,47639
2015-04-20,47639
2015-04-21,47639
2015-04-22,47639
2015-04-23,47639
2015-04-24,47639
2015-04-25,47639
2015-04-26,47639
2015-04-27,47639
2015-04-28,47639
2015-04-29,47639
2015-04-30,47639
2015-05-01,47639
2015-05-02,47639
2015-05-03,47639
2015-05-04,47639
2015-05-05,47639
2015-05-06,49523
2015-05-07,49523
2015-05-08,49523
2015-05-09,49523
2015-05-10,49523
2015-05-11,49523
2015-05-12,49523
2015-05-13,49523
2015-05-14,49523
2015-05-15,49523
2015-05-16,49523
2015-05-17,49523
2015-05-18,49523
2015-05-19,49523
2015-05-20,49523
2015-05-21,49523
2015-05-22,49523
2015-05-23,49523
2015-05-24,49523
2015-05-25,49523
2015-05-26,49523
2015-05-27,51390
2015-05-28,51390
2015-05-29,51390
2015-05-30,51390
2015-05-31,51390
2015-06-01,51390
2015-06-02,51390
2015-06-03,51390
2015-06-04,51390
2015-06-05,51390
2015-06-06,51390
2015-06-07,51390
2015-06-08,51390
2015-06-09,51390
2015-06-10,53649
2015-06-11,53649
2015-06-12,53649
2015-06-13,53649
2015-06-14,53649
2015-06-15,53649
2015-06-16,53649
2015-06-17,53649
2015-06-18,53649
2015-06-19,53649
2015-06-20,53649
2015-06-21,53649
2015-06-22,53649
2015-06-23,53649
2015-06-24,53649
2015-06-25,53649
2015-06-26,56023
2015-06-27,56023
2015-06-28,56023
2015-06-29,56023
2015-06-30,56023
2015-07-01,56023
2015-07-02,56023
2015-07-03,56023
2015-07-04,56023
2015-07-05,56023
2015-07-06,56023
2015-07-07,56023
2015-07-08,56023
2015-07-09,56023
2015-07-10,56023
2015-07-11,58459
2015-07-12,58459
2015-07-13,58459
2015-07-14,58459
2015-07-15,58459
2015-07-16,58459
2015-07-17,58459
2015-07-18,58459
2015-07-19,58459
2015-07-20,58459
2015-07-21,58459
2015-07-22,58459
2015-07-23,58459
2015-07-24,58459
2015-07-25,60871
2015-07-26,60871
2015-07-27,60871
2015-07-28,60871
2015-07-29,60871
2015-07-30,60871
2015-07-31,60871
2015-08-01,60871
2015-08-02,60871
2015-08-03,60871
2015-08-04,60871
2015-08-05,63638
2015-08-06,63638
2015-08-07,63638
2015-08-08,63638
2015-08-09,63638
2015-08-10,63638
2015-08-11,63638
2015-08-12,63638
2015-08-13,63638
2015-08-14,63638
2015-08-15,63638
2015-08-16,63638
2015-08-17,66624
2015-08-18,66624
2015-08-19,66624
2015-08-20,66624
2015-08-21,66624
2015-08-22,66624
2015-08-23,66624
2015-08-24,66624
2015-08-25,66624
2015-08-26,66624
2015-08-27,66624
2015-08-28,66624
2015-08-29,66624
2015-08-30,69433
2015-08-31,69433
2015-09-01,69433
2015-09-02,69433
2015-09-03,69433
2015-09-04,69433
2015-09-05,69433
2015-09-06,69433
2015-09-07,69433
2015-09-08,69433
2015-09-09,69433
2015-09-10,69433
2015-09-11,69433
2015-09-12,69433
2015-09-13,72667
2015-09-14,72667
2015-09-15,72667
2015-09-16,72667
2015-09-17,72667
2015-09-18,72667
2015-09-19,72667
2015-09-20,72667
2015-09-21,72667
2015-09-22,72667
2015-09-23,72667
2015-09-24,72667
2015-09-25,72667
2015-09-27,75927
2015-09-28,75927
2015-09-29,75927
2015-09-30,75927
2015-10-05,75927
2015-10-06,75927
2015-10-07,75927
2015-10-08,75927
2015-10-09,79471
2015-10-10,79471
2015-10-11,79471
2015-10-12,79471
2015-10-13,79471
2015-10-14,79471
2015-10-15,79471
2015-10-16,79471
2015-10-17,79471
2015-10-18,79471
2015-10-19,79471
2015-10-20,79471
2015-10-22,79471
2015-10-23,79471
2015-10-24,83226
2015-10-25,83226
2015-10-26,83226
2015-10-27,83226
2015-10-29,83226
2015-10-30,83226
2015-10-31,83226
2015-11-01,83226
2015-11-02,83226
2015-11-03,83226
2015-11-04,83226
2015-11-05,83226
2015-11-06,83226
2015-11-07,87124
2015-11-08,87124
2015-11-09,87124
2015-11-10,87124
2015-11-11,87124
2015-11-12,87124
2015-11-13,87124
2015-11-14,87124
2015-11-15,87124
2015-11-16,87124
2015-11-17,87124
2015-11-18,87124
2015-11-19,87124
2015-11-20,87124
2015-11-21,87124
2015-11-22,91115
2015-11-23,91115
2015-11-24,91115
2015-11-25,91115
2015-11-26,91115
2015-11-27,91115
2015-11-28,91115
2015-11-29,91115
2015-11-30,91115
2015-12-01,91115
2015-12-02,91115
2015-12-03,91115
2015-12-04,91115
2015-12-05,91115
2015-12-06,91115
2015-12-07,91115
2015-12-08,95288
