date_obj,Topaz%20amulet price
2017-02-01,15000
2017-02-02,15000
2017-02-03,14260
2017-02-04,14260
2017-02-05,14260
2017-02-06,14260
2017-02-07,14260
2017-02-08,14260
2017-02-09,14260
2017-02-10,14260
2017-02-11,13549
2017-02-12,13549
2017-02-13,13549
2017-02-14,13549
2017-02-15,13549
2017-02-16,13549
2017-02-18,13549
2017-02-19,13549
2017-02-20,13549
2017-02-21,13549
2017-02-22,13549
2017-02-23,13549
2017-02-24,13549
2017-02-25,13549
2017-02-26,13549
2017-02-27,13549
2017-02-28,13549
2017-03-01,13549
2017-03-02,12874
2017-03-03,12874
2017-03-04,12874
2017-03-05,12874
2017-03-06,12874
2017-03-07,12874
2017-03-08,12874
2017-03-09,12874
2017-03-10,12874
2017-03-11,12874
2017-03-12,12874
2017-03-13,12874
2017-03-14,12874
2017-03-15,12874
2017-03-16,12874
2017-03-17,12874
2017-03-18,12874
2017-03-19,12235
2017-03-20,12235
2017-03-21,12235
2017-03-22,12235
2017-03-23,12235
2017-03-24,12235
2017-03-25,12235
2017-03-26,12235
2017-03-27,12235
2017-03-28,12235
2017-03-29,12235
2017-03-30,12235
2017-03-31,12235
2017-04-01,12235
2017-04-02,12235
2017-04-03,12235
2017-04-04,12235
2017-04-12,1215
2017-04-13,1215
2017-04-14,1215
2017-04-15,1215
2017-04-16,1215
2017-04-17,1215
2017-04-18,1215
2017-04-19,1215
2017-04-20,1215
2017-04-21,1215
2017-04-22,1215
2017-04-23,1215
2017-04-24,1215
2017-04-25,1256
2017-04-26,1256
2017-04-27,1256
2017-04-28,1256
2017-04-29,1256
2017-04-30,1256
2017-05-01,1256
2017-05-02,1256
2017-05-03,1256
2017-05-04,1256
2017-05-05,1256
2017-05-06,1256
2017-05-07,1256
2017-05-08,1256
2017-05-09,1256
2017-05-10,1256
2017-05-11,1308
2017-05-12,1308
2017-05-13,1308
2017-05-14,1308
2017-05-15,1308
2017-05-16,1308
2017-05-17,1308
2017-05-18,1308
2017-05-19,1308
