date_obj,Spectral%20spirit%20shield price
2015-03-26,35065053
2015-03-27,35065053
2015-03-28,35344529
2015-03-29,35369761
2015-03-30,35976936
2015-03-31,36032356
2015-04-01,36032356
2015-04-02,36601760
2015-04-03,36759230
2015-04-04,37436529
2015-04-05,38240889
2015-04-06,38417402
2015-04-07,38294981
2015-04-08,38294981
2015-04-09,38540863
2015-04-10,39219205
2015-04-11,40328856
2015-04-12,40328856
2015-04-13,40872294
2015-04-14,40872294
2015-04-15,41078294
2015-04-16,41078294
2015-04-17,41013631
2015-04-18,41545399
2015-04-19,42073587
2015-04-20,42073587
2015-04-21,42857072
2015-04-22,42857072
2015-04-23,44931729
2015-04-24,46930158
2015-04-25,49039254
2015-04-26,51060599
2015-04-27,49081219
2015-04-28,46627158
2015-04-29,46627158
2015-04-30,45029067
2015-05-01,45833331
2015-05-02,46447758
2015-05-03,46447758
2015-05-04,46982622
2015-05-05,46982622
2015-05-06,47234807
2015-05-07,47165676
2015-05-08,47302912
2015-05-09,47627871
2015-05-10,47213269
2015-05-11,47213269
2015-05-12,47180606
2015-05-13,47294904
2015-05-14,47792468
2015-05-15,47792468
2015-05-16,48302476
2015-05-17,46989238
2015-05-18,44639776
2015-05-19,42407787
2015-05-20,42407787
2015-05-21,40779874
2015-05-22,41322311
2015-05-23,41275360
2015-05-24,41529824
2015-05-25,41700329
2015-05-26,41370523
2015-05-27,41370523
2015-05-28,40907203
2015-05-29,40576914
2015-05-30,40730008
2015-05-31,40730008
2015-06-01,40385576
2015-06-02,40385576
2015-06-03,39447444
2015-06-04,37777913
2015-06-05,35968673
2015-06-06,34170239
2015-06-07,32722991
2015-06-08,32908551
2015-06-09,33669358
2015-06-10,35012445
2015-06-11,35459224
2015-06-12,36556201
2015-06-13,38362628
2015-06-14,38408023
2015-06-15,36646883
2015-06-16,36595638
2015-06-17,36595638
2015-06-18,35517365
2015-06-19,33741496
2015-06-20,32054421
2015-06-21,30472927
2015-06-22,30594537
2015-06-23,32123571
2015-06-24,32973050
2015-06-25,33426080
2015-06-26,34391409
2015-06-27,34391409
2015-06-28,33778974
2015-06-29,33248209
2015-06-30,32715621
2015-07-01,32053170
2015-07-02,32053170
2015-07-03,31766150
2015-07-04,32309304
2015-07-05,32478607
2015-07-06,33263185
2015-07-07,32987246
2015-07-08,32616176
2015-07-09,32616176
2015-07-10,32246427
2015-07-11,32013294
2015-07-12,32047428
2015-07-13,31943875
2015-07-14,32169512
2015-07-15,32564542
2015-07-16,31524181
2015-07-17,30462051
2015-07-18,30278653
2015-07-19,30187769
2015-07-20,30093459
2015-07-21,29063160
2015-07-22,28375208
2015-07-23,28375208
