date_obj,Fancy%20tiara price
2016-07-08,4773391
2016-07-09,4534721
2016-07-10,4534721
2016-07-11,4307984
2016-07-12,4307984
2016-07-13,4097066
2016-07-14,4097066
2016-07-15,4097066
2016-07-16,3896985
2016-07-17,3896985
2016-07-18,3896985
2016-07-23,3519925
2016-07-24,3519925
2016-07-25,3519925
2016-07-26,3344934
2016-07-27,3344934
2016-07-28,3180843
2016-07-29,3180843
2016-07-30,3022904
2016-07-31,3022904
2016-08-01,3022904
2016-08-02,2879126
2016-08-03,2879126
2016-08-04,2879126
2016-08-05,2879126
2016-08-06,2740486
2016-08-07,2740486
2016-08-08,2740486
2016-08-09,2603461
2016-08-10,2603461
2016-08-11,2603461
2016-08-12,2603461
2016-08-13,2473287
2016-08-14,2473287
2016-08-15,2473287
2016-08-16,2473287
2016-08-17,2473287
2016-08-18,2351197
2016-08-19,2351197
2016-08-20,2235927
2016-08-21,2235927
2016-08-22,2235927
2016-08-23,2124130
2016-08-24,2124130
2016-08-25,2124130
2016-08-26,2124130
2016-08-28,2020629
2016-08-31,2020629
2016-09-01,1922246
2016-09-02,1922246
2016-09-03,1922246
2016-09-04,1922246
2016-09-05,1828068
2016-09-06,1828068
2016-09-07,1828068
2016-09-08,1828068
2016-09-09,1828068
2016-09-10,1828068
2016-09-11,1737880
2016-09-12,1737880
2016-09-13,1737880
2016-09-14,1737880
2016-09-15,1737880
2016-09-16,1737880
2016-09-17,1651769
2016-09-18,1651769
2016-09-19,1651769
2016-09-20,1651769
2016-09-21,1569180
2016-09-22,1569180
2016-09-23,1569180
2016-09-24,1569180
2016-09-25,1492966
2016-09-26,1492966
2016-09-27,1492966
2016-09-28,1492966
2016-09-29,1492966
2016-09-30,1420027
2016-10-01,1420027
2016-10-02,1420027
2016-10-03,1420027
2016-10-04,1350847
2016-10-05,1350847
2016-10-06,1350847
2016-10-07,1350847
2016-10-08,1283304
2016-10-09,1283304
2016-10-10,1219138
2016-10-11,1219138
2016-10-12,1219138
2016-10-13,1159223
2016-10-14,1159223
2016-10-15,1159223
2016-10-16,1102100
2016-10-17,1102100
2016-10-18,1102100
2016-10-19,1048010
2016-10-20,1048010
2016-10-21,1048010
2016-10-22,1048010
2016-10-23,1048010
2016-10-24,996855
2016-10-25,996855
2016-10-26,996855
2016-10-27,996855
2016-10-28,996855
2016-10-29,950886
2016-10-30,950886
2016-10-31,950886
2016-11-01,950886
2016-11-02,903754
2016-11-03,903754
2016-11-04,903754
2016-11-05,903754
2016-11-06,903754
2016-11-07,860714
2016-11-08,860714
2016-11-09,860714
2016-11-10,860714
2016-11-11,860714
2016-11-12,860714
2016-11-13,818008
2016-11-14,818008
2016-11-15,818008
2016-12-07,638981
2016-12-08,638981
2016-12-09,638981
2016-12-10,608993
2016-12-11,608993
2016-12-12,608993
2016-12-13,578836
2016-12-14,578836
2016-12-15,578836
2016-12-16,551756
2016-12-17,551756
2016-12-18,551756
2016-12-19,551756
2016-12-20,524772
2016-12-21,524772
2016-12-22,524772
2016-12-23,524772
2016-12-24,500075
2016-12-25,500075
2016-12-26,500075
2016-12-27,476395
2016-12-28,476395
2016-12-29,476395
2016-12-30,476395
2016-12-31,476395
2017-01-01,453579
2017-01-02,453579
2017-01-03,453579
2017-01-04,431316
2017-01-05,431316
2017-01-06,431316
2017-01-07,431316
2017-01-08,410232
2017-01-09,410232
2017-01-10,410232
2017-01-11,390041
2017-01-12,390041
2017-01-13,390041
2017-01-14,390041
2017-01-15,371405
2017-01-16,371405
2017-01-17,371405
2017-01-18,353273
2017-01-19,353273
2017-01-20,353273
2017-01-21,353273
2017-01-22,353273
2017-01-23,336864
2017-01-27,320591
2017-01-28,320591
2017-01-29,320591
2017-01-30,305021
2017-01-31,305021
2017-02-01,305021
2017-02-02,305021
2017-02-03,290316
2017-02-04,290316
2017-02-05,290316
2017-02-06,290316
2017-02-07,290316
2017-02-08,276350
2017-02-09,276350
2017-02-10,276350
2017-02-11,276350
2017-02-12,276350
2017-02-13,262934
2017-02-14,262934
2017-02-15,262934
2017-02-16,262934
2017-02-18,250461
2017-02-19,250461
2017-02-20,250461
2017-02-21,250461
2017-02-22,250461
2017-02-23,238098
2017-02-24,238098
2017-02-25,238098
2017-02-26,238098
2017-02-27,226608
2017-02-28,226608
2017-03-01,226608
2017-03-02,215277
2017-03-03,215277
2017-03-04,215277
2017-03-05,215277
2017-03-06,205081
2017-03-07,205081
2017-03-08,205081
2017-03-09,205081
2017-03-10,205081
2017-03-11,195431
2017-03-12,195431
2017-03-13,195431
2017-03-14,195431
2017-03-15,195431
2017-03-16,186137
2017-03-17,186137
2017-03-18,186137
2017-03-19,186137
2017-03-20,176950
2017-03-21,176950
2017-03-22,176950
2017-03-23,176950
2017-03-24,176950
2017-03-25,176950
2017-03-26,168406
2017-03-27,168406
2017-03-28,168406
2017-03-29,168406
2017-03-30,168406
2017-03-31,160138
2017-04-01,160138
2017-04-02,160138
2017-04-03,160138
2017-04-04,160138
2017-04-12,62501
2017-04-13,62501
2017-04-14,62501
2017-04-15,62501
2017-04-16,62664
2017-04-17,62664
2017-04-18,62664
2017-04-19,62664
2017-04-20,62664
2017-04-21,62664
2017-04-22,60306
2017-04-23,60306
2017-04-24,60306
2017-04-25,60306
2017-04-26,60306
2017-04-27,59292
2017-04-28,59292
2017-04-29,59292
2017-04-30,59292
2017-05-01,59292
2017-05-02,59292
2017-05-03,58167
2017-05-04,58167
2017-05-05,58167
2017-05-06,58167
2017-05-07,58167
2017-05-08,55985
2017-05-09,55985
2017-05-10,55985
2017-05-11,55985
2017-05-12,55985
2017-05-13,55985
2017-05-14,53842
2017-05-15,53842
2017-05-16,53842
2017-05-17,53842
2017-05-18,51218
2017-05-19,51218
2017-05-20,51218
2017-05-21,51218
2017-05-22,51218
2017-05-23,48788
2017-05-24,48788
2017-05-25,48788
2017-05-26,48788
2017-05-27,46690
2017-05-28,46690
2017-05-29,46690
2017-05-30,46690
2017-05-31,46690
2017-06-01,46690
2017-06-02,44494
2017-06-03,44494
2017-06-04,44494
2017-06-05,44494
2017-06-06,44494
2017-06-07,42269
2017-06-08,42269
2017-06-09,42269
2017-06-10,42269
2017-06-11,40155
2017-06-12,40155
