date_obj,Willow%20sapling price
2015-03-26,6980
2015-03-27,6980
2015-03-28,7284
2015-03-29,7284
2015-03-30,7638
2015-03-31,7638
2015-04-01,7987
2015-04-02,7987
2015-04-03,8341
2015-04-04,8341
2015-04-05,8723
2015-04-06,8723
2015-04-07,9042
2015-04-08,9042
2015-04-09,9042
2015-04-10,9413
2015-04-11,9413
2015-04-12,9799
2015-04-13,9799
2015-04-14,9799
2015-04-15,9561
2015-04-16,9561
2015-04-17,9239
2015-04-18,9239
2015-04-19,9064
2015-04-20,9064
2015-04-21,9198
2015-04-22,9198
2015-04-23,9535
2015-04-24,9535
2015-04-25,9535
2015-04-26,9912
2015-04-27,9912
2015-04-28,10273
2015-04-29,10273
2015-04-30,10273
2015-05-01,10429
2015-05-02,10429
2015-05-03,10429
2015-05-04,10474
2015-05-05,10474
2015-05-06,10619
2015-05-07,10619
2015-05-08,11038
2015-05-09,11038
2015-05-10,11221
2015-05-11,11221
2015-05-12,11221
2015-05-13,11422
2015-05-14,11422
2015-05-15,11422
2015-05-16,11260
2015-05-17,11260
2015-05-18,11184
2015-05-19,11184
2015-05-20,11184
2015-05-21,11184
2015-05-22,10997
2015-05-23,10997
2015-05-24,10997
2015-05-25,10989
2015-05-26,10989
2015-05-27,10989
2015-05-28,10810
2015-05-29,10810
2015-05-30,10690
2015-05-31,10690
2015-06-01,10752
2015-06-02,10752
2015-06-03,10433
2015-06-04,10433
2015-06-05,10234
2015-06-06,10234
2015-06-07,9890
2015-06-08,9890
2015-06-09,9775
2015-06-10,9775
2015-06-11,9795
2015-06-12,9795
2015-06-13,9543
2015-06-14,9543
2015-06-15,9435
2015-06-16,9435
2015-06-17,9272
2015-06-18,9272
2015-06-19,9615
2015-06-20,9615
2015-06-21,9963
2015-06-22,9963
2015-06-23,10404
2015-06-24,10404
2015-06-25,10691
2015-06-26,10691
2015-06-27,10896
2015-06-28,10896
2015-06-29,10986
2015-06-30,10986
2015-07-01,10847
2015-07-02,10847
2015-07-03,10495
2015-07-04,10495
2015-07-05,10495
2015-07-06,9982
2015-07-07,9982
2015-07-08,9569
2015-07-09,9569
2015-07-10,9357
2015-07-11,9357
2015-07-12,9357
2015-07-13,9001
2015-07-14,9001
2015-07-15,8729
2015-07-16,8729
2015-07-17,9134
2015-07-18,9134
2015-07-19,9134
2015-07-20,9421
2015-07-21,9421
2015-07-22,9695
2015-07-23,9695
2015-07-24,10071
2015-07-25,10071
2015-07-26,10071
2015-07-27,10120
2015-07-28,10120
2015-07-29,10132
2015-07-30,10132
2015-07-31,10132
2015-08-01,10295
2015-08-02,10295
2015-08-03,10312
2015-08-04,10312
2015-08-05,10450
2015-08-06,10450
2015-08-07,10880
2015-08-08,10880
2015-08-09,11270
2015-08-10,11270
2015-08-11,11380
2015-08-12,11380
2015-08-13,11380
2015-08-14,11570
2015-08-15,11570
2015-08-16,11980
2015-08-17,11980
2015-08-18,11683
2015-08-19,11683
