date_obj,Gilded%20platebody price
2015-03-26,545795
2015-03-27,545795
2015-03-28,545795
2015-03-29,545795
2015-03-30,524293
2015-03-31,524293
2015-04-01,524293
2015-04-02,524293
2015-04-03,524293
2015-04-04,524293
2015-04-05,500147
2015-04-06,500147
2015-04-07,500147
2015-04-08,500147
2015-04-09,500147
2015-04-10,500147
2015-04-11,500147
2015-04-12,488057
2015-04-13,488057
2015-04-14,488057
2015-04-15,488057
2015-04-16,488057
2015-04-17,488057
2015-04-18,464172
2015-04-19,464172
2015-04-20,464172
2015-04-21,464172
2015-04-22,464172
2015-04-23,464172
2015-04-24,442127
2015-04-25,442127
2015-04-26,442127
2015-04-27,442127
2015-04-28,442127
2015-04-29,442127
2015-04-30,429621
2015-05-01,429621
2015-05-02,429621
2015-05-03,429621
2015-05-04,429621
2015-05-05,429621
2015-05-06,429087
2015-05-07,429087
2015-05-08,429087
2015-05-09,429087
2015-05-10,429087
2015-05-11,429087
2015-05-12,435590
2015-05-13,435590
2015-05-14,435590
2015-05-15,435590
2015-05-16,435590
2015-05-17,435590
2015-05-18,435768
2015-05-19,435768
2015-05-20,435768
2015-05-21,435768
2015-05-22,435768
2015-05-23,435768
2015-05-24,417659
2015-05-25,417659
2015-05-26,417659
2015-05-27,417659
2015-05-28,405774
2015-05-29,405774
2015-05-30,405774
2015-05-31,392642
2015-06-01,392642
2015-06-02,392642
2015-06-03,381932
2015-06-04,381932
2015-06-05,381932
2015-06-06,389402
2015-06-07,389402
2015-06-08,389402
2015-06-09,389402
2015-06-10,407832
2015-06-11,407832
2015-06-12,407832
2015-06-13,407832
2015-06-14,424716
2015-06-15,424716
2015-06-16,424716
2015-06-17,424716
2015-06-18,412317
2015-06-19,412317
2015-06-20,412317
2015-06-21,412317
2015-06-22,391701
2015-06-23,391701
2015-06-24,391701
2015-06-25,391701
2015-06-26,372972
2015-06-27,372972
2015-06-28,372972
2015-06-29,355941
2015-06-30,355941
2015-07-01,355941
2015-07-02,344467
2015-07-03,344467
2015-07-04,344467
2015-07-05,330174
2015-07-06,330174
2015-07-07,330174
2015-07-08,314149
2015-07-09,314149
2015-07-10,314149
2015-07-11,314149
2015-07-12,300904
2015-07-13,300904
2015-07-14,300904
2015-07-15,302120
2015-07-16,302120
2015-07-17,302120
2015-07-18,311709
2015-07-19,311709
2015-07-20,311709
2015-07-21,318248
2015-07-22,318248
2015-07-23,318248
