date_obj,Gilded%20four-poster%20(flatpack) price
2015-03-05,14000
2015-03-06,14000
2015-03-07,14000
2015-03-08,14000
2015-03-09,14000
2015-03-10,14000
2015-03-11,14000
2015-03-12,14000
2015-03-13,14000
2015-03-14,14000
2015-03-15,14000
2015-03-16,14000
2015-03-17,14000
2015-03-18,14000
2015-03-19,14000
2015-03-20,14000
2015-03-21,14000
2015-03-22,14000
2015-03-23,14000
2015-03-24,14000
2015-03-25,14000
2015-03-26,14000
2015-03-27,14000
2015-03-28,14000
2015-03-29,14000
2015-03-30,14000
2015-03-31,14000
2015-04-01,14000
2015-04-02,14000
2015-04-03,14000
2015-04-04,14000
2015-04-05,14000
2015-04-06,14000
2015-04-07,14000
2015-04-08,14000
2015-04-09,14000
2015-04-10,14000
2015-04-11,14000
2015-04-12,14000
2015-04-13,14000
2015-04-14,14000
2015-04-15,14000
2015-04-16,14000
2015-04-17,14000
2015-04-18,14000
2015-04-19,14000
2015-04-20,14000
2015-04-21,14000
2015-04-22,14000
2015-04-23,14000
2015-04-24,14000
2015-04-25,14000
2015-04-26,14000
2015-04-27,14000
2015-04-28,14000
2015-04-29,14000
2015-04-30,14000
2015-05-01,14000
2015-05-02,14000
2015-05-03,14000
2015-05-04,14000
2015-05-05,14000
2015-05-06,14000
2015-05-07,14000
2015-05-08,14000
2015-05-09,14000
2015-05-10,14000
2015-05-11,14000
2015-05-12,14000
2015-05-13,14000
2015-05-14,14000
2015-05-15,14000
2015-05-16,14000
2015-05-17,14000
2015-05-18,14000
2015-05-19,14000
2015-05-20,14000
2015-05-21,14000
2015-05-22,14000
2015-05-23,14000
2015-05-24,14000
2015-05-25,14000
2015-05-26,14000
2015-05-27,14000
2015-05-28,14000
2015-05-29,14000
2015-05-30,14000
2015-05-31,14000
2015-06-01,14000
2015-06-02,14000
2015-06-03,14000
2015-06-04,14000
2015-06-05,14000
2015-06-06,14000
2015-06-07,14000
2015-06-08,14000
2015-06-09,14000
2015-06-10,14000
2015-06-11,14000
2015-06-12,14000
2015-06-13,14000
2015-06-14,14000
2015-06-15,14000
2015-06-16,14000
2015-06-17,14000
2015-06-18,14000
2015-06-19,14000
2015-06-20,14000
2015-06-21,14000
2015-06-22,14000
2015-06-23,14000
2015-06-24,14000
2015-06-25,14000
2015-06-26,14000
2015-06-27,14000
2015-06-28,14000
2015-06-29,14000
2015-06-30,14000
2015-07-01,14000
2015-07-02,14000
2015-07-03,14000
2015-07-04,14000
2015-07-05,14000
2015-07-06,14000
2015-07-07,14000
2015-07-08,14000
2015-07-09,14000
2015-07-10,14000
2015-07-11,14000
2015-07-12,14000
2015-07-13,14000
2015-07-14,14000
2015-07-15,14000
2015-07-16,14000
2015-07-17,14604
2015-07-18,14604
2015-07-19,14604
2015-07-20,14604
2015-07-21,14604
2015-07-22,14604
2015-07-23,14604
2015-07-24,14604
2015-07-25,14604
2015-07-26,14604
2015-07-27,14604
2015-07-28,14604
2015-07-29,14604
2015-07-30,14604
2015-07-31,14604
2015-08-01,14604
2015-08-02,14604
2015-08-03,14604
2015-08-04,14604
2015-08-05,14604
2015-08-06,14604
2015-08-07,14604
2015-08-08,14604
2015-08-09,14604
2015-08-10,14604
2015-08-11,14604
2015-08-12,14604
2015-08-13,14604
2015-08-14,14604
2015-08-15,14604
2015-08-16,14604
2015-08-17,14604
2015-08-18,14604
2015-08-19,14604
2015-08-20,14604
2015-08-21,14604
2015-08-22,14604
2015-08-23,14604
2015-08-24,14604
2015-08-25,14604
2015-08-26,14604
2015-08-27,14604
2015-08-28,14604
2015-08-29,14604
2015-08-30,14604
2015-08-31,14604
2015-09-02,14604
2015-09-07,14604
2015-09-08,14604
2015-09-10,14604
2015-09-14,14604
2015-09-16,14604
2015-09-22,14604
2015-09-23,14604
2015-09-24,14604
2015-09-25,14604
2015-09-27,14604
2015-09-28,14604
2015-09-29,14604
2015-09-30,14604
2015-10-05,14604
2015-10-06,14604
2015-10-07,14604
2015-10-08,14604
2015-10-09,14604
2015-10-10,14604
2015-10-11,14604
2015-10-12,14604
2015-10-13,14604
2015-10-14,14604
2015-10-15,14604
2015-10-16,14604
2015-10-17,14604
2015-10-18,14604
2015-10-19,14604
2015-10-20,14604
2015-10-22,14604
2015-10-23,14604
2015-10-24,14604
2015-10-25,14604
2015-10-26,14604
2015-10-27,14604
2015-10-29,14604
2015-10-30,14604
2015-10-31,14604
2015-11-01,14604
2015-11-02,14604
2015-11-03,14604
2015-11-04,14604
2015-11-05,14604
2015-11-06,14604
2015-11-07,14604
2015-11-08,14604
2015-11-09,14604
2015-11-10,14604
2015-11-11,14604
2015-11-12,14604
2015-11-13,14604
2015-11-14,14604
2015-11-15,14604
2015-11-16,14604
2015-11-17,14604
2015-11-18,14604
2015-11-19,14604
2015-11-20,14604
2015-11-21,14604
2015-11-22,14604
2015-11-23,14604
2015-11-24,14604
2015-11-25,14604
2015-11-26,14604
2015-11-27,14604
2015-11-28,14604
2015-11-29,14604
2015-11-30,14604
2015-12-01,14604
2015-12-02,14604
2015-12-03,14604
2015-12-04,14604
2015-12-05,14604
2015-12-06,14604
