date_obj,Mithril%20bar price
2015-03-26,1111
2015-03-27,1111
2015-03-28,1076
2015-03-29,1065
2015-03-30,1043
2015-03-31,1062
2015-04-01,1066
2015-04-02,1051
2015-04-03,1078
2015-04-04,1109
2015-04-05,1083
2015-04-06,1060
2015-04-07,1053
2015-04-08,1065
2015-04-09,1094
2015-04-10,1091
2015-04-11,1074
2015-04-12,1046
2015-04-13,1032
2015-04-14,1023
2015-04-15,1035
2015-04-16,1064
2015-04-17,1080
2015-04-18,1058
2015-04-19,1057
2015-04-20,1057
2015-04-21,1048
2015-04-22,1057
2015-04-23,1059
2015-04-24,1053
2015-04-25,1039
2015-04-26,1057
2015-04-27,1082
2015-04-28,1060
2015-04-29,1060
2015-04-30,1056
2015-05-01,1057
2015-05-02,1057
2015-05-03,1063
2015-05-04,1083
2015-05-05,1079
2015-05-06,1078
2015-05-07,1064
2015-05-08,1058
2015-05-09,1056
2015-05-10,1063
2015-05-11,1063
2015-05-12,1093
2015-05-13,1094
2015-05-14,1081
2015-05-15,1078
2015-05-16,1091
2015-05-17,1067
2015-05-18,1055
2015-05-19,1061
2015-05-20,1061
2015-05-21,1091
2015-05-22,1113
2015-05-23,1120
2015-05-24,1108
2015-05-25,1058
2015-05-26,1034
2015-05-27,1034
2015-05-28,1051
2015-05-29,1062
2015-05-30,1065
2015-05-31,1040
2015-06-01,1031
2015-06-02,1031
2015-06-03,1024
2015-06-04,1024
2015-06-05,1030
2015-06-06,1060
2015-06-07,1063
2015-06-08,1051
2015-06-09,1061
2015-06-10,1057
2015-06-11,1064
2015-06-12,1084
2015-06-13,1084
2015-06-14,1106
2015-06-15,1103
2015-06-16,1089
2015-06-17,1074
2015-06-18,1073
2015-06-19,1049
2015-06-20,1034
2015-06-21,1028
2015-06-22,1030
2015-06-23,1044
2015-06-24,1042
2015-06-25,1042
2015-06-26,1042
2015-06-27,1051
2015-06-28,1066
2015-06-29,1102
2015-06-30,1116
2015-07-01,1127
2015-07-02,1127
2015-07-03,1127
2015-07-04,1126
2015-07-05,1088
2015-07-06,1077
2015-07-07,1094
2015-07-08,1139
2015-07-09,1139
2015-07-10,1148
2015-07-11,1100
2015-07-12,1067
2015-07-13,1048
2015-07-14,1027
2015-07-15,1029
2015-07-16,1030
2015-07-17,1021
2015-07-18,994
2015-07-19,989
2015-07-20,1011
2015-07-21,1013
2015-07-22,1019
2015-07-23,1019
2015-07-24,993
2015-07-25,1007
2015-07-26,1021
