date_obj,Bowl%20of%20water price
2016-03-20,67
2016-03-21,67
2016-03-22,68
2016-03-23,72
2016-03-24,76
2016-03-25,80
2016-03-26,83
2016-03-27,79
2016-03-28,79
2016-03-29,79
2016-03-30,79
2016-03-31,80
2016-04-01,83
2016-04-02,87
2016-04-03,86
2016-04-04,91
2016-04-05,95
2016-04-06,93
2016-04-07,88
2016-04-08,83
2016-04-09,80
2016-04-10,77
2016-04-11,77
2016-04-12,73
2016-04-13,69
2016-04-14,65
2016-04-15,61
2016-04-16,57
2016-04-17,54
2016-04-18,51
2016-04-19,48
2016-04-20,45
2016-04-21,42
2016-04-22,42
2016-04-23,40
2016-04-24,42
2016-04-25,45
2016-04-26,47
2016-04-27,50
2016-04-28,49
2016-04-29,49
2016-04-30,47
2016-05-01,44
2016-05-02,45
2016-05-03,47
2016-05-04,50
2016-05-05,53
2016-05-06,53
2016-05-07,55
2016-05-08,55
2016-05-09,56
2016-05-10,58
2016-05-11,58
2016-05-12,59
2016-05-13,62
2016-05-14,66
2016-05-15,66
2016-05-16,68
2016-05-17,71
2016-05-18,73
2016-05-19,73
2016-05-22,74
2016-05-23,73
2016-05-24,70
2016-05-25,69
2016-05-26,70
2016-05-27,70
2016-05-28,70
2016-05-29,69
2016-05-30,69
2016-05-31,67
2016-06-01,68
2016-06-02,69
2016-06-03,69
2016-06-04,70
2016-06-05,74
2016-06-06,78
2016-06-07,78
2016-06-08,80
2016-06-09,84
2016-06-10,89
2016-06-11,94
2016-06-12,94
2016-06-13,94
2016-06-14,90
2016-06-15,85
2016-06-16,87
2016-06-17,89
2016-06-18,89
2016-06-19,88
2016-06-20,84
2016-06-21,86
2016-06-22,83
2016-06-23,83
2016-06-24,83
2016-06-25,88
2016-06-26,93
2016-06-27,96
2016-06-28,100
2016-06-29,101
2016-06-30,102
2016-07-01,104
2016-07-02,107
2016-07-03,109
2016-07-04,108
2016-07-05,114
2016-07-06,118
2016-07-07,120
2016-07-08,123
2016-07-09,122
2016-07-10,115
2016-07-11,110
2016-07-12,114
2016-07-13,116
2016-07-14,115
2016-07-15,112
2016-07-16,117
2016-07-17,119
2016-07-18,125
2016-07-23,124
2016-07-24,120
2016-07-25,115
2016-07-26,115
2016-07-27,109
2016-07-28,103
2016-07-29,97
2016-07-30,92
2016-07-31,92
2016-08-01,88
2016-08-02,90
2016-08-03,87
2016-08-04,91
2016-08-05,91
2016-08-06,86
2016-08-07,87
2016-08-08,87
2016-08-09,86
2016-08-10,85
2016-08-11,85
2016-08-12,85
2016-08-13,83
2016-08-14,84
2016-08-15,84
2016-08-16,88
2016-08-17,93
2016-08-18,93
2016-08-19,97
2016-08-20,98
2016-08-21,99
2016-08-22,104
2016-08-23,110
2016-08-24,116
2016-08-25,122
2016-08-26,122
2016-08-28,124
2016-08-31,117
2016-09-01,117
2016-09-02,117
2016-09-03,122
2016-09-04,119
2016-09-05,117
2016-09-06,111
2016-09-07,111
2016-09-08,105
2016-09-09,105
2016-09-10,101
2016-09-11,101
2016-09-12,107
2016-09-13,108
2016-09-14,108
2016-09-15,102
2016-09-16,102
2016-09-17,99
2016-09-18,100
2016-09-19,100
2016-09-20,100
2016-09-21,100
2016-09-22,99
2016-09-23,98
2016-09-24,98
2016-09-25,99
2016-09-26,99
2016-09-27,99
2016-09-28,99
2016-09-29,99
2016-09-30,95
2016-10-01,90
2016-10-02,90
2016-10-03,89
2016-10-04,92
2016-10-05,92
2016-10-06,92
2016-10-07,92
2016-10-08,89
2016-10-09,89
2016-10-10,84
2016-10-11,79
2016-10-12,79
2016-10-13,75
2016-10-14,71
2016-10-15,68
2016-10-16,68
2016-10-17,64
2016-10-18,64
2016-10-19,60
2016-10-20,60
2016-10-21,57
2016-10-22,57
2016-10-23,54
2016-10-24,54
2016-10-25,54
2016-10-26,54
2016-10-27,54
2016-10-28,56
2016-10-29,58
2016-10-30,61
2016-10-31,63
2016-11-01,63
2016-11-02,66
2016-11-03,66
2016-11-04,70
2016-11-05,70
2016-11-06,69
2016-11-07,71
2016-11-08,73
2016-11-09,74
2016-11-10,75
2016-11-11,78
2016-11-12,79
2016-11-13,79
2016-11-14,79
2016-11-15,80
2016-12-07,60
2016-12-08,59
2016-12-09,56
2016-12-10,57
2016-12-11,58
2016-12-12,58
2016-12-13,60
2016-12-14,60
2016-12-15,60
2016-12-16,60
2016-12-17,58
2016-12-18,58
2016-12-19,56
2016-12-20,54
2016-12-21,56
2016-12-22,56
2016-12-23,57
2016-12-24,59
2016-12-25,58
2016-12-26,59
2016-12-27,58
2016-12-28,59
2016-12-29,57
2016-12-30,58
2016-12-31,55
2017-01-01,52
2017-01-02,55
2017-01-03,55
2017-01-04,57
2017-01-05,59
2017-01-06,62
2017-01-07,65
2017-01-08,69
2017-01-09,73
2017-01-10,76
2017-01-11,80
2017-01-12,84
2017-01-13,85
2017-01-14,83
2017-01-15,78
2017-01-16,77
2017-01-17,78
2017-01-18,75
2017-01-19,75
2017-01-20,71
2017-01-21,68
2017-01-22,68
2017-01-23,69
2017-01-27,70
2017-01-28,68
2017-01-29,66
2017-01-30,68
2017-01-31,69
2017-02-01,70
2017-02-02,72
2017-02-03,75
