date_obj,Super%20kebab price
2015-03-26,842
2015-03-27,842
2015-03-28,842
2015-03-29,842
2015-03-30,842
2015-03-31,842
2015-04-01,842
2015-04-02,844
2015-04-03,844
2015-04-04,844
2015-04-05,844
2015-04-06,844
2015-04-07,844
2015-04-08,844
2015-04-09,844
2015-04-10,844
2015-04-11,844
2015-04-12,822
2015-04-13,822
2015-04-14,822
2015-04-15,822
2015-04-16,822
2015-04-17,822
2015-04-18,822
2015-04-19,822
2015-04-20,834
2015-04-21,834
2015-04-22,834
2015-04-23,834
2015-04-24,834
2015-04-25,834
2015-04-26,834
2015-04-27,834
2015-04-28,834
2015-04-29,827
2015-04-30,827
2015-05-01,827
2015-05-02,827
2015-05-03,827
2015-05-04,827
2015-05-05,827
2015-05-06,827
2015-05-07,827
2015-05-08,827
2015-05-09,818
2015-05-10,818
2015-05-11,818
2015-05-12,818
2015-05-13,818
2015-05-14,818
2015-05-15,818
2015-05-16,818
2015-05-17,818
2015-05-18,818
2015-05-19,818
2015-05-20,818
2015-05-21,818
2015-05-22,818
2015-05-23,801
2015-05-24,801
2015-05-25,801
2015-05-26,801
2015-05-27,801
2015-05-28,801
2015-05-29,801
2015-05-30,801
2015-05-31,801
2015-06-01,801
2015-06-02,801
2015-06-03,775
2015-06-04,775
2015-06-05,775
2015-06-06,775
2015-06-07,775
2015-06-08,775
2015-06-09,775
2015-06-10,775
2015-06-11,775
2015-06-12,775
2015-06-13,775
2015-06-14,775
2015-06-15,775
2015-06-16,775
2015-06-17,775
2015-06-18,737
2015-06-19,737
2015-06-20,737
2015-06-21,737
2015-06-22,737
2015-06-23,737
2015-06-24,737
2015-06-25,737
2015-06-26,737
2015-06-27,737
2015-06-28,737
2015-06-29,701
2015-06-30,701
2015-07-01,701
2015-07-02,701
2015-07-03,701
2015-07-04,701
2015-07-05,701
2015-07-06,701
2015-07-07,701
2015-07-08,701
2015-07-09,701
2015-07-10,694
2015-07-11,694
2015-07-12,694
2015-07-13,694
2015-07-14,694
2015-07-15,694
2015-07-16,694
2015-07-17,694
2015-07-18,694
2015-07-19,694
2015-07-20,694
2015-07-21,694
2015-07-22,680
2015-07-23,680
2015-07-24,680
2015-07-25,680
2015-07-26,680
2015-07-27,680
2015-07-28,680
2015-07-29,680
2015-07-30,680
2015-07-31,680
2015-08-01,680
2015-08-02,680
2015-08-03,680
2015-08-04,669
2015-08-05,669
2015-08-06,669
2015-08-07,669
2015-08-08,669
2015-08-09,669
2015-08-10,669
2015-08-11,669
2015-08-12,669
2015-08-13,669
2015-08-14,673
2015-08-15,673
2015-08-16,673
2015-08-17,673
2015-08-18,673
2015-08-19,673
2015-08-20,673
2015-08-21,673
2015-08-22,673
2015-08-23,673
2015-08-24,673
2015-08-25,673
2015-08-26,673
2015-08-27,662
2015-08-28,662
2015-08-29,662
2015-08-30,662
2015-08-31,662
2015-09-01,662
2015-09-02,662
2015-09-03,662
2015-09-04,662
2015-09-05,662
2015-09-06,662
2015-09-07,662
2015-09-08,662
2015-09-09,662
2015-09-10,662
2015-09-11,662
2015-09-12,662
2015-09-13,662
2015-09-14,662
2015-09-15,662
2015-09-16,662
2015-09-17,662
2015-09-18,662
2015-09-19,662
2015-09-20,648
2015-09-21,648
2015-09-22,648
2015-09-23,648
2015-09-24,648
2015-09-25,648
2015-09-27,648
2015-09-28,648
2015-09-29,648
2015-09-30,648
2015-10-05,642
2015-10-06,642
2015-10-07,642
2015-10-08,642
2015-10-09,642
2015-10-10,642
2015-10-11,642
2015-10-12,642
2015-10-13,642
2015-10-14,642
2015-10-15,642
2015-10-16,642
2015-10-17,630
2015-10-18,630
2015-10-19,630
2015-10-20,630
2015-10-22,630
2015-10-23,630
2015-10-24,630
2015-10-25,630
2015-10-26,630
2015-10-27,630
2015-10-29,616
2015-10-30,616
2015-10-31,616
2015-11-01,616
2015-11-02,616
2015-11-03,616
2015-11-04,616
2015-11-05,616
2015-11-06,616
2015-11-07,616
2015-11-08,616
2015-11-09,616
2015-11-10,616
2015-11-11,616
2015-11-12,616
2015-11-13,616
2015-11-14,616
2015-11-15,616
2015-11-16,602
2015-11-17,602
2015-11-18,602
2015-11-19,602
2015-11-20,602
2015-11-21,602
2015-11-22,602
2015-11-23,602
2015-11-24,602
2015-11-25,602
2015-11-26,602
2015-11-27,602
2015-11-28,602
2015-11-29,602
2015-11-30,615
2015-12-01,615
2015-12-02,615
2015-12-03,615
2015-12-04,615
2015-12-05,615
2015-12-06,615
2015-12-07,615
2015-12-08,615
2015-12-09,615
2015-12-10,615
2015-12-11,615
2015-12-13,615
2015-12-14,629
2015-12-15,629
2015-12-16,629
2015-12-17,629
2015-12-18,629
2015-12-19,629
2015-12-20,629
2015-12-21,629
2015-12-22,629
2015-12-23,629
2015-12-24,629
2015-12-25,629
2015-12-26,629
2015-12-27,629
2015-12-28,608
2015-12-29,608
2015-12-30,608
2015-12-31,608
2016-01-01,608
2016-01-02,608
2016-01-03,608
2016-01-04,608
2016-01-05,608
2016-01-06,608
2016-01-07,608
2016-01-08,593
2016-01-09,593
2016-01-10,593
2016-01-11,593
2016-01-12,593
2016-01-13,593
2016-01-14,593
2016-01-15,593
2016-01-16,593
2016-01-17,593
2016-01-18,593
2016-01-19,593
2016-01-20,593
2016-01-21,588
2016-01-22,588
2016-01-23,588
2016-01-24,588
2016-01-25,588
2016-01-26,588
2016-01-27,588
2016-01-28,588
2016-01-29,588
2016-01-30,588
2016-01-31,588
2016-02-01,588
2016-02-02,579
2016-02-03,579
2016-02-04,579
2016-02-05,579
2016-02-06,579
2016-02-07,579
2016-02-08,579
2016-02-09,579
2016-02-10,579
2016-02-11,579
2016-02-12,579
2016-02-13,579
2016-02-14,579
2016-02-15,584
2016-02-16,584
2016-02-17,584
2016-02-18,584
2016-02-19,584
