date_obj,Smoke%20battlestaff price
2015-03-26,5793430
2015-03-27,5793430
2015-03-28,5504132
2015-03-29,5498495
2015-03-30,5685454
2015-03-31,5766648
2015-04-01,5618125
2015-04-02,5341222
2015-04-03,5104466
2015-04-04,4885268
2015-04-05,4759903
2015-04-06,4630710
2015-04-07,4632486
2015-04-08,4775777
2015-04-09,4896568
2015-04-10,5056736
2015-04-11,5042628
2015-04-12,5160028
2015-04-13,5288705
2015-04-14,5361235
2015-04-15,5391639
2015-04-16,5450647
2015-04-17,5409414
2015-04-18,5464844
2015-04-19,5599421
2015-04-20,5599421
2015-04-21,5810571
2015-04-22,5812202
2015-04-23,5857451
2015-04-24,5879197
2015-04-25,5843111
2015-04-26,5836222
2015-04-27,5946826
2015-04-28,5931308
2015-04-29,5931308
2015-04-30,5924700
2015-05-01,5938685
2015-05-02,5900424
2015-05-03,5928226
2015-05-04,5941747
2015-05-05,6010303
2015-05-06,6086370
2015-05-07,6071468
2015-05-08,6044992
2015-05-09,5960727
2015-05-10,5852089
2015-05-11,5852089
2015-05-12,5744840
2015-05-13,5695245
2015-05-14,5619254
2015-05-15,5590779
2015-05-16,5534678
2015-05-17,5442196
2015-05-18,5406946
2015-05-19,5371462
2015-05-20,5150097
2015-05-21,4933954
2015-05-22,4687256
2015-05-23,4467024
2015-05-24,4425826
2015-05-25,4260420
2015-05-26,4170750
2015-05-27,4117678
2015-05-28,4126639
2015-05-29,4307226
2015-05-30,4234634
2015-05-31,4164151
2015-06-01,4134834
2015-06-02,4132193
2015-06-03,4212253
2015-06-04,4193902
2015-06-05,4123827
2015-06-06,4033074
2015-06-07,3987612
2015-06-08,3963270
2015-06-09,3992750
2015-06-10,4135371
2015-06-11,4236526
2015-06-12,4357563
2015-06-13,4472666
2015-06-14,4595727
2015-06-15,4721054
2015-06-16,4877732
2015-06-17,4950750
2015-06-18,4900219
2015-06-19,4844524
2015-06-20,4907859
2015-06-21,5135659
2015-06-22,5392352
2015-06-23,5611266
2015-06-24,5779343
2015-06-25,5740709
2015-06-26,5859098
2015-06-27,5823720
2015-06-28,5895889
2015-06-29,5954586
2015-06-30,6057630
2015-07-01,6135233
2015-07-02,5996238
2015-07-03,5963884
2015-07-04,5915942
2015-07-05,5877182
2015-07-06,5855828
2015-07-07,5933507
2015-07-08,5898562
2015-07-09,5883830
2015-07-10,5902748
2015-07-11,5879345
2015-07-12,5897614
2015-07-13,5812431
2015-07-14,5769310
2015-07-15,5739415
2015-07-16,5746881
2015-07-17,5784615
2015-07-18,5826707
2015-07-19,5766059
2015-07-20,5803702
2015-07-21,5772043
2015-07-22,5841776
2015-07-23,5863386
2015-07-24,5897718
2015-07-25,5876087
2015-07-26,5890989
2015-07-27,6003769
2015-07-28,6070340
2015-07-29,6099247
2015-07-30,6149854
2015-07-31,6233421
2015-08-01,6334357
2015-08-02,6287546
2015-08-03,6276878
2015-08-04,6306375
2015-08-05,6397368
2015-08-06,6322868
2015-08-07,6334227
2015-08-08,6273048
2015-08-09,6131061
2015-08-10,6103051
2015-08-11,6130655
2015-08-12,6092864
2015-08-13,6035525
2015-08-14,5945397
2015-08-15,5656304
2015-08-16,5426866
2015-08-17,5344212
2015-08-18,5324745
2015-08-19,5336928
2015-08-20,5406139
2015-08-21,5363801
2015-08-22,5292265
2015-08-23,5271298
2015-08-24,5386086
2015-08-25,5453413
2015-08-26,5605838
2015-08-27,5523729
2015-08-28,5495173
2015-08-29,5386441
2015-08-30,5371975
2015-08-31,5334616
2015-09-01,5186955
2015-09-02,5144719
2015-09-03,5099814
2015-09-04,5043576
2015-09-05,4983125
2015-09-06,4919310
2015-09-07,4738726
2015-09-08,4693837
2015-09-09,4706744
2015-09-10,4477413
2015-09-11,4253542
2015-09-12,4040864
2015-09-13,3838820
2015-09-14,3646879
2015-09-15,3464535
2015-09-16,3291308
2015-09-17,3126742
2015-09-18,2970404
2015-09-19,2821883
2015-09-20,2680788
2015-09-21,2546748
2015-09-22,2419410
2015-09-23,2298439
2015-09-24,2185827
2015-09-25,2076535
2015-09-27,1874383
2015-09-28,1780663
2015-09-29,1691629
2015-09-30,1607047
2015-10-05,1247956
2015-10-06,1199155
2015-10-07,1198770
2015-10-08,1257050
2015-10-09,1304079
2015-10-10,1304079
2015-10-11,1352115
2015-10-12,1337803
2015-10-13,1337085
2015-10-14,1332617
2015-10-15,1322463
2015-10-16,1288394
2015-10-17,1288394
2015-10-18,1289151
2015-10-19,1317444
2015-10-20,1371916
2015-10-22,1395552
2015-10-23,1405100
2015-10-24,1444180
2015-10-25,1446989
2015-10-26,1437747
2015-10-27,1493583
2015-10-29,1524847
2015-10-30,1530676
2015-10-31,1582093
2015-11-01,1582093
2015-11-02,1655974
2015-11-03,1738535
2015-11-04,1820057
2015-11-05,1903860
2015-11-06,1872131
2015-11-07,1854308
2015-11-08,1854308
2015-11-09,1920197
2015-11-10,2003954
2015-11-11,2057935
2015-11-12,2101599
2015-11-13,2161179
2015-11-14,2140353
2015-11-15,2168244
2015-11-16,2181650
2015-11-17,2261465
2015-11-18,2299109
2015-11-19,2366480
2015-11-20,2473245
2015-11-21,2473245
2015-11-22,2385075
2015-11-23,2385075
2015-11-24,2291237
2015-11-25,2217806
2015-11-26,2217806
2015-11-27,2190838
2015-11-28,2162010
2015-11-29,2193739
2015-11-30,2139877
2015-12-01,2126438
2015-12-02,2131215
2015-12-03,2178684
2015-12-04,2178684
2015-12-05,2273114
2015-12-06,2318427
2015-12-07,2400647
2015-12-08,2455824
2015-12-09,2466911
2015-12-10,2481749
2015-12-11,2494369
2015-12-12,2503249
2015-12-13,2524069
2015-12-14,2524069
2015-12-15,2526473
2015-12-16,2533660
2015-12-17,2507881
2015-12-18,2470293
2015-12-19,2410982
2015-12-20,2350703
2015-12-21,2285902
2015-12-22,2271432
2015-12-23,2279987
2015-12-24,2281736
2015-12-25,2284159
2015-12-26,2282480
2015-12-27,2300203
2015-12-28,2360463
2015-12-29,2379377
2015-12-30,2347465
2015-12-31,2350727
2016-01-01,2399788
2016-01-02,2409016
2016-01-03,2408162
2016-01-04,2396978
2016-01-05,2442937
2016-01-06,2417200
2016-01-07,2411949
2016-01-08,2508840
2016-01-09,2458770
2016-01-10,2453884
2016-01-11,2550648
2016-01-12,2648112
2016-01-13,2755867
2016-01-14,2845519
2016-01-15,2866240
2016-01-16,2971648
2016-01-17,2962681
2016-01-18,3011952
2016-01-19,2950308
2016-01-20,2951407
2016-01-21,2862373
2016-01-22,2773068
2016-01-23,2690960
2016-01-24,2679125
2016-01-25,2636573
2016-01-26,2625844
2016-01-27,2612943
2016-01-28,2612943
2016-01-29,2632789
2016-01-30,2632789
2016-01-31,2625603
2016-02-01,2623506
2016-02-02,2631080
2016-02-03,2610134
2016-02-04,2576435
2016-02-05,2590686
2016-02-06,2610772
2016-02-07,2613923
2016-02-08,2626957
2016-02-09,2712375
2016-02-10,2753213
2016-02-11,2832190
2016-02-12,2840179
2016-02-13,2865942
2016-02-14,2860765
2016-02-15,2866292
2016-02-16,2858779
2016-02-17,2877153
2016-02-18,2848381
2016-02-19,2841085
2016-02-20,2844232
2016-02-21,2795608
2016-02-22,2795608
2016-02-23,2762480
2016-02-24,2793895
2016-02-25,2776996
2016-02-26,2776996
2016-02-27,2782084
2016-02-28,2764265
2016-02-29,2730591
2016-03-01,2736000
2016-03-02,2724246
2016-03-03,2712360
2016-03-04,2700846
2016-03-05,2701055
2016-03-06,2688194
2016-03-07,2693970
2016-03-08,2683609
2016-03-09,2686722
2016-03-10,2686928
