date_obj,Mind%20talisman price
2015-03-26,2226
2015-03-27,2226
2015-03-28,2114
2015-03-29,2010
2015-03-30,1913
2015-03-31,1820
2015-04-01,1732
2015-04-02,1665
2015-04-03,1583
2015-04-04,1506
2015-04-05,1437
2015-04-06,1367
2015-04-07,1299
2015-04-08,1299
2015-04-09,1246
2015-04-10,1186
2015-04-11,1128
2015-04-12,1072
2015-04-13,1019
2015-04-14,1019
2015-04-15,968
2015-04-16,968
2015-04-17,919
2015-04-18,876
2015-04-19,833
2015-04-20,833
2015-04-21,792
2015-04-22,792
2015-04-23,752
2015-04-24,715
2015-04-25,680
2015-04-26,647
2015-04-27,615
2015-04-28,586
2015-04-29,586
2015-04-30,557
2015-05-01,530
2015-05-02,504
2015-05-03,504
2015-05-04,478
2015-05-05,478
2015-05-06,454
2015-05-07,454
2015-05-08,431
2015-05-09,411
2015-05-10,411
2015-05-11,398
2015-05-12,379
2015-05-13,379
2015-05-14,360
2015-05-15,360
2015-05-16,347
2015-05-17,330
2015-05-18,330
2015-05-19,314
2015-05-20,314
2015-05-21,314
2015-05-22,300
2015-05-23,300
2015-05-24,291
2015-05-25,277
2015-05-26,277
2015-05-27,264
2015-05-28,251
2015-05-29,239
2015-05-30,227
2015-05-31,227
2015-06-01,216
2015-06-02,216
2015-06-03,205
2015-06-04,205
2015-06-05,197
2015-06-06,188
2015-06-07,180
2015-06-08,180
2015-06-09,174
2015-06-10,168
2015-06-11,168
2015-06-12,161
2015-06-13,156
2015-06-14,156
2015-06-15,148
2015-06-16,148
2015-06-17,143
2015-06-18,135
2015-06-19,135
2015-06-20,128
2015-06-21,128
2015-06-22,122
2015-06-23,122
2015-06-24,116
2015-06-25,116
2015-06-26,110
2015-06-27,110
2015-06-28,109
2015-06-29,109
2015-06-30,103
2015-07-01,98
2015-07-02,98
2015-07-03,100
2015-07-04,100
2015-07-05,96
2015-07-06,96
2015-07-07,91
2015-07-08,91
2015-07-09,86
2015-07-10,82
2015-07-11,82
2015-07-12,78
2015-07-13,75
2015-07-14,75
2015-07-15,73
2015-07-16,73
2015-07-17,70
2015-07-18,70
2015-07-19,69
2015-07-20,66
2015-07-21,66
2015-07-22,66
2015-07-23,66
2015-07-24,68
2015-07-25,68
2015-07-26,68
2015-07-27,68
2015-07-28,70
2015-07-29,74
2015-07-30,74
2015-07-31,75
2015-08-01,75
2015-08-02,76
2015-08-03,76
2015-08-04,80
2015-08-05,83
2015-08-06,83
2015-08-07,82
2015-08-08,82
2015-08-09,87
2015-08-10,90
2015-08-11,95
2015-08-12,95
2015-08-13,99
2015-08-14,97
2015-08-15,97
2015-08-16,96
2015-08-17,101
2015-08-18,101
2015-08-19,105
2015-08-20,105
2015-08-21,107
2015-08-22,107
2015-08-23,109
2015-08-24,109
2015-08-25,109
2015-08-26,113
2015-08-27,111
2015-08-28,111
2015-08-29,108
2015-08-30,108
2015-08-31,110
2015-09-01,110
2015-09-02,108
2015-09-03,108
2015-09-04,104
2015-09-05,104
2015-09-06,101
2015-09-07,101
2015-09-08,104
2015-09-09,104
2015-09-10,106
2015-09-11,106
2015-09-12,108
2015-09-13,108
2015-09-14,111
2015-09-15,115
2015-09-16,115
2015-09-17,120
2015-09-18,120
2015-09-19,124
2015-09-20,124
2015-09-21,125
2015-09-22,125
2015-09-23,120
2015-09-24,120
2015-09-25,115
2015-09-27,109
2015-09-28,109
2015-09-29,104
2015-09-30,100
2015-10-05,94
2015-10-06,92
2015-10-07,92
2015-10-08,90
2015-10-09,90
2015-10-10,93
2015-10-11,89
2015-10-12,89
2015-10-13,87
2015-10-14,87
2015-10-15,83
2015-10-16,83
2015-10-17,83
2015-10-18,83
2015-10-19,84
2015-10-20,84
2015-10-22,86
2015-10-23,90
2015-10-24,90
2015-10-25,93
2015-10-26,93
2015-10-27,96
2015-10-29,99
2015-10-30,99
2015-10-31,104
2015-11-01,104
2015-11-02,105
