date_obj,Wooden%20shield price
2015-03-26,5636
2015-03-27,5636
2015-03-28,5361
2015-03-29,5361
2015-03-30,5092
2015-03-31,5092
2015-04-01,4856
2015-04-02,4856
2015-04-03,4630
2015-04-04,4630
2015-04-05,4403
2015-04-06,4403
2015-04-07,4186
2015-04-08,4186
2015-04-09,3983
2015-04-10,3983
2015-04-11,3789
2015-04-12,3789
2015-04-13,3606
2015-04-14,3606
2015-04-15,3454
2015-04-16,3290
2015-04-17,3137
2015-04-18,2985
2015-04-19,2857
2015-04-20,2857
2015-04-21,2723
2015-04-22,2723
2015-04-23,2586
2015-04-24,2586
2015-04-25,2456
2015-04-26,2346
2015-04-27,2235
2015-04-28,2136
2015-04-29,2136
2015-04-30,2029
2015-05-01,1934
2015-05-02,1844
2015-05-03,1844
2015-05-04,1751
2015-05-05,1666
2015-05-06,1586
2015-05-07,1515
2015-05-08,1444
2015-05-09,1374
2015-05-10,1308
2015-05-11,1308
2015-05-12,1242
2015-05-13,1242
2015-05-14,1179
2015-05-15,1179
2015-05-16,1122
2015-05-17,1065
2015-05-18,1024
2015-05-19,1024
2015-05-20,976
2015-05-21,976
2015-05-22,927
2015-05-23,927
2015-05-24,880
2015-05-25,837
2015-05-26,797
2015-05-27,797
2015-05-28,757
2015-05-29,721
2015-05-30,684
2015-05-31,684
2015-06-01,653
2015-06-02,653
2015-06-03,622
2015-06-04,592
2015-06-05,564
2015-06-06,537
2015-06-07,512
2015-06-08,489
2015-06-09,466
2015-06-10,454
2015-06-11,454
2015-06-12,437
2015-06-13,438
2015-06-14,420
2015-06-15,402
2015-06-16,390
2015-06-17,390
2015-06-18,380
2015-06-19,363
2015-06-20,352
2015-06-21,352
2015-06-22,344
2015-06-23,344
2015-06-24,326
2015-06-25,326
2015-06-26,309
2015-06-27,309
2015-06-28,302
2015-06-29,302
2015-06-30,295
2015-07-01,284
2015-07-02,284
2015-07-03,280
2015-07-04,269
2015-07-05,269
2015-07-06,255
2015-07-07,244
2015-07-08,238
2015-07-09,238
2015-07-10,231
2015-07-11,231
2015-07-12,222
2015-07-13,213
2015-07-14,215
2015-07-15,206
2015-07-16,196
2015-07-17,196
2015-07-18,196
2015-07-19,199
2015-07-20,202
2015-07-21,202
2015-07-22,197
2015-07-23,197
2015-07-24,195
2015-07-25,195
2015-07-26,185
