date_obj,Dwarven%20helmet price
2015-03-26,22907
2015-03-27,22907
2015-03-28,22907
2015-03-29,22907
2015-03-30,22907
2015-03-31,22907
2015-04-01,22907
2015-04-02,23940
2015-04-03,23940
2015-04-04,23940
2015-04-05,23940
2015-04-06,23940
2015-04-07,23940
2015-04-08,23940
2015-04-09,23940
2015-04-10,23940
2015-04-11,23940
2015-04-12,23940
2015-04-13,23940
2015-04-14,23940
2015-04-15,23940
2015-04-16,23940
2015-04-17,23940
2015-04-18,23940
2015-04-19,23940
2015-04-20,23940
2015-04-21,23940
2015-04-22,23940
2015-04-23,23940
2015-04-24,23940
2015-04-25,25031
2015-04-26,25031
2015-04-27,25031
2015-04-28,25031
2015-04-29,25031
2015-04-30,25031
2015-05-01,25031
2015-05-02,25031
2015-05-03,25031
2015-05-04,25031
2015-05-05,25031
2015-05-06,25031
2015-05-07,25031
2015-05-08,25031
2015-05-09,25031
2015-05-10,25031
2015-05-11,25031
2015-05-12,25031
2015-05-13,25031
2015-05-14,25031
2015-05-15,25031
2015-05-16,26176
2015-05-17,26176
2015-05-18,26176
2015-05-19,26176
2015-05-20,26176
2015-05-21,26176
2015-05-22,26176
2015-05-23,26176
2015-05-24,26176
2015-05-25,26176
2015-05-26,26176
2015-05-27,26176
2015-05-28,26176
2015-05-29,26176
2015-05-30,27459
2015-05-31,27459
2015-06-01,27459
2015-06-02,27459
2015-06-03,27459
2015-06-04,27459
2015-06-05,27459
2015-06-06,27459
2015-06-07,27459
2015-06-08,27459
2015-06-09,27459
2015-06-10,27459
2015-06-11,27459
2015-06-12,27459
2015-06-13,28736
2015-06-14,28736
2015-06-15,28736
2015-06-16,28736
2015-06-17,28736
2015-06-18,28736
2015-06-19,28736
2015-06-20,28736
2015-06-21,28736
2015-06-22,28736
2015-06-23,28736
2015-06-24,30086
2015-06-25,30086
2015-06-26,30086
2015-06-27,30086
2015-06-28,30086
2015-06-29,30086
2015-06-30,30086
2015-07-01,30086
2015-07-02,30086
2015-07-03,30086
2015-07-04,30086
2015-07-05,31228
2015-07-06,31228
2015-07-07,31228
2015-07-08,31228
2015-07-09,31228
2015-07-10,31228
2015-07-11,31228
2015-07-12,31228
2015-07-13,31228
2015-07-14,31228
2015-07-15,32727
2015-07-16,32727
2015-07-17,32727
2015-07-18,32727
2015-07-19,32727
2015-07-20,32727
2015-07-21,32727
2015-07-22,32727
2015-07-23,32727
2015-07-24,34191
2015-07-25,34191
2015-07-26,34191
2015-07-27,34191
2015-07-28,34191
2015-07-29,34191
2015-07-30,34191
2015-07-31,34191
2015-08-01,34191
2015-08-02,34191
2015-08-03,34191
2015-08-04,34191
2015-08-05,35320
2015-08-06,35320
2015-08-07,35320
2015-08-08,35320
2015-08-09,35320
2015-08-10,35320
2015-08-11,35320
2015-08-12,35320
2015-08-13,35320
2015-08-14,35320
2015-08-15,35320
2015-08-16,35320
2015-08-17,36193
2015-08-18,36193
2015-08-19,36193
2015-08-20,36193
2015-08-21,36193
2015-08-22,36193
2015-08-23,36193
2015-08-24,36193
2015-08-25,36193
2015-08-26,36193
2015-08-27,36193
2015-08-28,36193
2015-08-29,36193
2015-08-30,37553
2015-08-31,37553
2015-09-01,37553
2015-09-02,37553
2015-09-03,37553
2015-09-04,37553
2015-09-05,37553
2015-09-06,37553
2015-09-07,37553
2015-09-08,37553
2015-09-09,37553
2015-09-10,37553
2015-09-11,38394
2015-09-12,38394
2015-09-13,38394
2015-09-14,38394
2015-09-15,38394
2015-09-16,38394
2015-09-17,38394
2015-09-18,38394
2015-09-19,38394
2015-09-20,38394
2015-09-21,38394
2015-09-22,38422
2015-09-23,38422
2015-09-24,38422
2015-09-25,38422
2015-09-27,38422
2015-09-28,38422
2015-09-29,38422
2015-09-30,38422
2015-10-05,39116
2015-10-06,39116
2015-10-07,39116
2015-10-08,39116
2015-10-09,39116
2015-10-10,39116
2015-10-11,39116
2015-10-12,39116
2015-10-13,39116
2015-10-14,39116
2015-10-15,39116
2015-10-16,40255
2015-10-17,40255
2015-10-18,40255
2015-10-19,40255
2015-10-20,40255
2015-10-22,40255
2015-10-23,40255
2015-10-24,40255
2015-10-25,40255
2015-10-26,40934
2015-10-27,40934
2015-10-29,40934
2015-10-30,40934
2015-10-31,40934
2015-11-01,40934
2015-11-02,40934
2015-11-03,40934
2015-11-04,40934
2015-11-05,40934
2015-11-06,40934
2015-11-07,40934
2015-11-08,40934
2015-11-09,41976
2015-11-10,41976
2015-11-11,41976
2015-11-12,41976
2015-11-13,41976
2015-11-14,41976
2015-11-15,41976
2015-11-16,41976
2015-11-17,41976
2015-11-18,41976
2015-11-19,41976
2015-11-20,41976
2015-11-21,41976
2015-11-22,41976
2015-11-23,41976
2015-11-24,41976
2015-11-25,41830
2015-11-26,41830
2015-11-27,41830
2015-11-28,41830
2015-11-29,41830
2015-11-30,41830
2015-12-01,41830
2015-12-02,41830
2015-12-03,41830
2015-12-04,41830
2015-12-05,41830
2015-12-06,41830
2015-12-07,41830
2015-12-08,41830
2015-12-09,42117
2015-12-10,42117
2015-12-11,42117
2015-12-12,42117
2015-12-13,42117
2015-12-14,42117
2015-12-15,42117
2015-12-16,42117
2015-12-17,42117
2015-12-18,42117
2015-12-19,42117
2015-12-20,42117
2015-12-21,42117
2015-12-22,42249
2015-12-23,42249
2015-12-24,42249
2015-12-25,42249
2015-12-26,42249
2015-12-27,42249
2015-12-28,42249
2015-12-29,42249
2015-12-30,42249
2015-12-31,42249
2016-01-01,42249
2016-01-02,41881
2016-01-03,41881
2016-01-04,41881
2016-01-05,41881
2016-01-06,41881
2016-01-07,41881
2016-01-08,41881
2016-01-09,41881
2016-01-10,41881
2016-01-11,41474
2016-01-12,41474
2016-01-13,41474
2016-01-14,41474
