date_obj,Purple%20elegant%20shirt price
2015-03-26,47141
2015-03-27,47141
2015-03-28,45000
2015-03-29,45000
2015-03-30,42899
2015-03-31,42899
2015-04-01,40754
2015-04-02,40754
2015-04-03,38716
2015-04-04,36873
2015-04-05,36873
2015-04-06,35029
2015-04-07,35029
2015-04-08,33277
2015-04-09,33277
2015-04-10,31613
2015-04-11,31613
2015-04-12,30032
2015-04-13,30032
2015-04-14,29079
2015-04-15,28024
2015-04-16,28024
2015-04-17,26622
2015-04-18,26622
2015-04-19,25290
2015-04-20,25290
2015-04-21,24102
2015-04-22,24102
2015-04-23,23248
2015-04-24,23248
2015-04-25,22461
2015-04-26,22461
2015-04-27,21572
2015-04-28,21572
2015-04-29,21572
2015-04-30,20900
2015-05-01,20900
2015-05-02,20661
2015-05-03,20661
2015-05-04,20661
2015-05-05,20366
2015-05-06,20366
2015-05-07,19631
2015-05-08,19631
2015-05-09,19046
2015-05-10,19046
2015-05-11,18162
2015-05-12,18162
2015-05-13,17530
2015-05-14,17530
2015-05-15,16881
2015-05-16,16881
2015-05-17,16199
2015-05-18,16199
2015-05-19,15736
2015-05-20,15736
2015-05-21,15736
2015-05-22,15289
2015-05-23,15289
2015-05-24,14867
2015-05-25,14867
2015-05-26,14429
2015-05-27,14429
2015-05-28,14225
2015-05-29,14225
2015-05-30,13924
2015-05-31,13924
2015-06-01,13992
2015-06-02,13992
2015-06-03,13992
2015-06-04,14244
2015-06-05,14244
2015-06-06,14042
2015-06-07,14042
2015-06-08,14042
2015-06-09,13940
2015-06-10,13940
2015-06-11,13940
2015-06-12,14059
2015-06-13,14059
2015-06-14,13990
2015-06-15,13990
2015-06-16,13904
2015-06-17,13904
2015-06-18,13897
2015-06-19,13897
2015-06-20,13648
2015-06-21,13648
2015-06-22,13648
2015-06-23,13442
2015-06-24,13442
2015-06-25,13457
2015-06-26,13457
2015-06-27,13867
2015-06-28,13867
2015-06-29,13904
2015-06-30,13904
2015-07-01,13935
2015-07-02,13935
2015-07-03,13935
2015-07-04,14426
2015-07-05,14426
2015-07-06,14426
2015-07-07,15096
2015-07-08,15096
