date_obj,Adamant%20sword price
2015-03-26,1038
2015-03-27,1038
2015-03-28,1053
2015-03-29,1053
2015-03-30,1053
2015-03-31,1053
2015-04-01,1053
2015-04-02,1053
2015-04-03,1053
2015-04-04,1073
2015-04-05,1073
2015-04-06,1073
2015-04-07,1073
2015-04-08,1073
2015-04-09,1073
2015-04-10,1073
2015-04-11,1073
2015-04-12,1096
2015-04-13,1096
2015-04-14,1096
2015-04-15,1096
2015-04-16,1096
2015-04-17,1096
2015-04-18,1096
2015-04-19,1106
2015-04-20,1106
2015-04-21,1106
2015-04-22,1106
2015-04-23,1106
2015-04-24,1106
2015-04-25,1106
2015-04-26,1106
2015-04-27,1106
2015-04-28,1125
2015-04-29,1125
2015-04-30,1125
2015-05-01,1125
2015-05-02,1125
2015-05-03,1125
2015-05-04,1125
2015-05-05,1125
2015-05-06,1159
2015-05-07,1159
2015-05-08,1159
2015-05-09,1159
2015-05-10,1159
2015-05-11,1159
2015-05-12,1159
2015-05-13,1159
2015-05-14,1159
2015-05-15,1159
2015-05-16,1157
2015-05-17,1157
2015-05-18,1157
2015-05-19,1157
2015-05-20,1157
2015-05-21,1157
2015-05-22,1157
2015-05-23,1157
2015-05-24,1157
2015-05-25,1172
2015-05-26,1172
2015-05-27,1172
2015-05-28,1172
2015-05-29,1172
2015-05-30,1172
2015-05-31,1196
2015-06-01,1196
2015-06-02,1196
2015-06-03,1196
2015-06-04,1196
2015-06-05,1196
2015-06-06,1243
2015-06-07,1243
2015-06-08,1243
2015-06-09,1243
2015-06-10,1243
2015-06-11,1243
2015-06-12,1243
2015-06-13,1282
2015-06-14,1282
2015-06-15,1282
2015-06-16,1282
2015-06-17,1282
2015-06-18,1282
2015-06-19,1282
2015-06-20,1312
2015-06-21,1312
2015-06-22,1312
2015-06-23,1312
2015-06-24,1312
2015-06-25,1312
2015-06-26,1312
2015-06-27,1332
2015-06-28,1332
2015-06-29,1332
2015-06-30,1332
2015-07-01,1332
2015-07-02,1332
2015-07-03,1346
2015-07-04,1346
2015-07-05,1346
2015-07-06,1346
2015-07-07,1346
2015-07-08,1346
2015-07-09,1346
2015-07-10,1356
2015-07-11,1356
2015-07-12,1356
2015-07-13,1356
2015-07-14,1356
2015-07-15,1356
2015-07-16,1356
2015-07-17,1356
2015-07-18,1379
2015-07-19,1379
2015-07-20,1379
2015-07-21,1379
2015-07-22,1379
2015-07-23,1379
2015-07-24,1406
2015-07-25,1406
2015-07-26,1406
2015-07-27,1406
2015-07-28,1406
2015-07-29,1406
2015-07-30,1406
2015-07-31,1406
2015-08-01,1435
2015-08-02,1435
2015-08-03,1435
2015-08-04,1435
2015-08-05,1435
2015-08-06,1435
2015-08-07,1435
2015-08-08,1448
2015-08-09,1448
2015-08-10,1448
2015-08-11,1448
2015-08-12,1448
2015-08-13,1448
2015-08-14,1448
2015-08-15,1436
2015-08-16,1436
2015-08-17,1436
2015-08-18,1436
2015-08-19,1436
2015-08-20,1436
2015-08-21,1436
2015-08-22,1438
2015-08-23,1438
2015-08-24,1438
2015-08-25,1438
2015-08-26,1438
2015-08-27,1438
2015-08-28,1438
2015-08-29,1438
2015-08-30,1446
2015-08-31,1446
2015-09-01,1446
2015-09-02,1446
2015-09-03,1446
2015-09-04,1446
2015-09-05,1446
2015-09-06,1446
2015-09-07,1434
2015-09-08,1434
2015-09-09,1434
2015-09-10,1434
2015-09-11,1434
2015-09-12,1434
2015-09-13,1444
2015-09-14,1444
2015-09-15,1444
2015-09-16,1444
2015-09-17,1444
2015-09-18,1444
2015-09-19,1444
2015-09-20,1444
2015-09-21,1444
2015-09-22,1469
2015-09-23,1469
2015-09-24,1469
2015-09-25,1469
2015-09-27,1469
2015-09-28,1469
2015-09-29,1469
2015-09-30,1469
2015-10-05,1484
2015-10-06,1484
2015-10-07,1484
2015-10-08,1484
2015-10-09,1500
2015-10-10,1500
2015-10-11,1500
