date_obj,Ruby%20bolts%20(e) price
2015-03-26,384
2015-03-27,383
2015-03-28,382
2015-03-29,371
2015-03-30,353
2015-03-31,338
2015-04-01,332
2015-04-02,340
2015-04-03,342
2015-04-04,353
2015-04-05,367
2015-04-06,368
2015-04-07,358
2015-04-08,347
2015-04-09,352
2015-04-10,360
2015-04-11,371
2015-04-12,387
2015-04-13,383
2015-04-14,376
2015-04-15,375
2015-04-16,373
2015-04-17,370
2015-04-18,369
2015-04-19,372
2015-04-20,368
2015-04-21,370
2015-04-22,372
2015-04-23,376
2015-04-24,379
2015-04-25,389
2015-04-26,388
2015-04-27,384
2015-04-28,374
2015-04-29,363
2015-04-30,357
2015-05-01,356
2015-05-02,363
2015-05-03,371
2015-05-04,364
2015-05-05,360
2015-05-06,351
2015-05-07,347
2015-05-08,341
2015-05-09,336
2015-05-10,345
2015-05-11,353
2015-05-12,349
2015-05-13,349
2015-05-14,342
2015-05-15,341
2015-05-16,337
2015-05-17,346
2015-05-18,346
2015-05-19,346
2015-05-20,342
2015-05-21,341
2015-05-22,342
2015-05-23,353
2015-05-24,369
2015-05-25,384
2015-05-26,379
2015-05-27,363
2015-05-28,348
2015-05-29,346
2015-05-30,341
2015-05-31,344
2015-06-01,345
2015-06-02,341
2015-06-03,355
2015-06-04,371
2015-06-05,383
2015-06-06,387
2015-06-07,396
2015-06-08,384
2015-06-09,383
2015-06-10,394
2015-06-11,392
2015-06-12,382
2015-06-13,373
2015-06-14,379
2015-06-15,371
2015-06-16,366
2015-06-17,362
2015-06-18,366
2015-06-19,371
2015-06-20,365
2015-06-21,363
2015-06-22,365
2015-06-23,369
2015-06-24,366
2015-06-25,358
2015-06-26,355
2015-06-27,366
2015-06-28,358
2015-06-29,353
2015-06-30,356
2015-07-01,365
2015-07-02,378
2015-07-03,376
2015-07-04,384
2015-07-05,390
2015-07-06,403
2015-07-07,392
2015-07-08,381
2015-07-09,384
2015-07-10,373
2015-07-11,359
2015-07-12,370
2015-07-13,359
2015-07-14,357
2015-07-15,344
2015-07-16,353
2015-07-17,365
2015-07-18,358
2015-07-19,352
2015-07-20,337
2015-07-21,346
2015-07-22,346
2015-07-23,355
2015-07-24,360
2015-07-25,367
2015-07-26,371
2015-07-27,381
2015-07-28,384
2015-07-29,384
2015-07-30,372
2015-07-31,366
2015-08-01,364
2015-08-02,361
2015-08-03,358
2015-08-04,353
2015-08-05,351
2015-08-06,348
2015-08-07,342
2015-08-08,339
2015-08-09,351
2015-08-10,364
2015-08-11,369
2015-08-12,361
2015-08-13,356
2015-08-14,348
2015-08-15,349
2015-08-16,352
2015-08-17,362
2015-08-18,381
2015-08-19,399
2015-08-20,388
2015-08-21,389
2015-08-22,378
2015-08-23,373
2015-08-24,370
2015-08-25,374
2015-08-26,378
2015-08-27,375
2015-08-28,378
2015-08-29,382
2015-08-30,373
2015-08-31,375
2015-09-01,359
2015-09-02,352
2015-09-03,345
2015-09-04,342
2015-09-05,344
2015-09-06,339
2015-09-07,338
2015-09-08,339
2015-09-09,347
2015-09-10,347
2015-09-11,339
2015-09-12,329
2015-09-13,324
2015-09-14,321
2015-09-15,333
2015-09-16,338
2015-09-17,335
2015-09-18,338
2015-09-19,342
2015-09-20,327
2015-09-21,325
2015-09-22,327
2015-09-23,327
2015-09-24,323
2015-09-25,323
2015-09-27,318
2015-09-28,321
2015-09-29,324
2015-09-30,337
2015-10-05,349
2015-10-06,337
2015-10-07,335
2015-10-08,331
2015-10-09,339
2015-10-10,349
2015-10-11,345
2015-10-12,338
2015-10-13,322
2015-10-14,326
2015-10-15,329
2015-10-16,333
2015-10-17,336
2015-10-18,347
2015-10-19,337
2015-10-20,339
2015-10-22,322
2015-10-23,320
2015-10-24,327
2015-10-25,337
2015-10-26,345
2015-10-27,340
2015-10-29,331
2015-10-30,323
2015-10-31,331
2015-11-01,325
2015-11-02,322
2015-11-03,320
2015-11-04,315
2015-11-05,317
2015-11-06,317
2015-11-07,315
