date_obj,Iron%20gold-trimmed%20set%20(sk) price
2015-03-26,968000
2015-03-27,968000
2015-03-28,968000
2015-03-29,968000
2015-03-30,968000
2015-03-31,968000
2015-04-01,968000
2015-04-02,968000
2015-04-03,968000
2015-04-04,968000
2015-04-05,968000
2015-04-06,968000
2015-04-07,968000
2015-04-08,968000
2015-04-09,968000
2015-04-10,968000
2015-04-11,968000
2015-04-12,968000
2015-04-13,968000
2015-04-14,968000
2015-04-15,968000
2015-04-16,968000
2015-04-17,968000
2015-04-18,968000
2015-04-19,968000
2015-04-20,968000
2015-04-21,968000
2015-04-22,968000
2015-04-23,968000
2015-04-24,968000
2015-04-25,968000
2015-04-26,968000
2015-04-27,968000
2015-04-28,968000
2015-04-29,968000
2015-04-30,968000
2015-05-01,996770
2015-05-02,996770
2015-05-03,996770
2015-05-04,996770
2015-05-05,996770
2015-05-06,996770
2015-05-07,996770
2015-05-08,996770
2015-05-09,996770
2015-05-10,996770
2015-05-11,996770
2015-05-12,996770
2015-05-13,996770
2015-05-14,996770
2015-05-15,996770
2015-05-16,996770
2015-05-17,996770
2015-05-18,996770
2015-05-19,996770
2015-05-20,996770
2015-05-21,996770
2015-05-22,996770
2015-05-23,996770
2015-05-24,996770
2015-05-25,996770
2015-05-26,996770
2015-05-27,996770
2015-05-28,996770
2015-05-29,996770
2015-05-30,996770
2015-05-31,996770
2015-06-01,996770
2015-06-02,996770
2015-06-03,996770
2015-06-04,996770
2015-06-05,996770
2015-06-06,996770
2015-06-07,996770
2015-06-08,996770
2015-06-09,996770
2015-06-10,996770
2015-06-11,996770
2015-06-12,996770
2015-06-13,996770
2015-06-14,996770
2015-06-15,996770
2015-06-16,996770
2015-06-17,996770
2015-06-18,996770
2015-06-19,996770
2015-06-20,996770
2015-06-21,996770
2015-06-22,996770
2015-06-23,996770
2015-06-24,996770
2015-06-25,996770
2015-06-26,996770
2015-06-27,996770
2015-06-28,1015257
2015-06-29,1015257
2015-06-30,1015257
2015-07-01,1015257
2015-07-02,1015257
2015-07-03,1015257
2015-07-04,1015257
2015-07-05,1015257
2015-07-06,1015257
2015-07-07,1015257
2015-07-08,1015257
2015-07-09,1015257
2015-07-10,1015257
2015-07-11,1015257
2015-07-12,1015257
2015-07-13,1015257
2015-07-14,1015257
2015-07-15,1015257
2015-07-16,1015257
2015-07-17,1015257
2015-07-18,1015257
2015-07-19,1015257
2015-07-20,1015257
2015-07-21,1015257
2015-07-22,1015257
2015-07-23,1015257
2015-07-24,1015257
2015-07-25,1015257
2015-07-26,1015257
2015-07-27,1015257
2015-07-28,1015257
2015-07-29,1015257
2015-07-30,1015257
2015-07-31,1015257
2015-08-01,1015257
2015-08-02,1015257
2015-08-03,1015257
2015-08-04,1015257
2015-08-05,1042661
2015-08-06,1042661
2015-08-07,1042661
2015-08-08,1042661
2015-08-09,1042661
2015-08-10,1042661
2015-08-11,1042661
2015-08-12,1042661
2015-08-13,1042661
2015-08-14,1042661
2015-08-15,1042661
2015-08-16,1042661
2015-08-17,1042661
2015-08-18,1042661
2015-08-19,1042661
2015-08-20,1042661
2015-08-21,1042661
2015-08-22,1042661
2015-08-23,1042661
2015-08-24,1042661
2015-08-25,1042661
2015-08-26,1042661
2015-08-27,1042661
2015-08-28,1042661
2015-08-29,1042661
2015-08-30,1042661
2015-08-31,1042661
2015-09-01,1042661
2015-09-02,1042661
2015-09-03,1042661
2015-09-04,1042661
2015-09-05,1042661
2015-09-06,1042661
2015-09-07,1042661
2015-09-08,1042661
2015-09-09,1042661
2015-09-10,1042661
2015-09-11,1042661
2015-09-12,1042661
2015-09-13,1042661
2015-09-14,1042661
2015-09-15,1080059
2015-09-16,1080059
2015-09-17,1080059
2015-09-18,1080059
2015-09-19,1080059
2015-09-20,1080059
2015-09-21,1080059
2015-09-22,1080059
2015-09-23,1080059
2015-09-24,1080059
2015-09-25,1080059
2015-09-27,1080059
2015-09-28,1080059
2015-09-29,1080059
2015-09-30,1080059
2015-10-05,1080059
2015-10-06,1080059
2015-10-07,1080059
2015-10-08,1080059
2015-10-09,1080059
2015-10-10,1080059
2015-10-11,1080059
2015-10-12,1080059
2015-10-13,1080059
2015-10-14,1080059
2015-10-15,1080059
2015-10-16,1080059
2015-10-17,1080059
2015-10-18,1080059
2015-10-19,1080059
2015-10-20,1080059
2015-10-22,1080059
2015-10-23,1080059
2015-10-24,1080059
2015-10-25,1080059
2015-10-26,1080059
2015-10-27,1080059
2015-10-29,1080059
2015-10-30,1080059
2015-10-31,1123990
