date_obj,Wyrm%20bones price
2019-01-10,4000
2019-01-10,3800
2019-01-11,3610
2019-01-12,3429
2019-01-13,3257
2019-01-14,3094
2019-01-15,2939
2019-01-16,2792
2019-01-17,2652
2019-01-18,2519
2019-01-19,2393
2019-01-20,2273
2019-01-21,2159
2019-01-22,2051
2019-01-23,1948
2019-01-24,1850
2019-01-25,1757
2019-01-26,1669
2019-01-27,1585
2019-01-28,1505
2019-01-29,1429
2019-01-30,1357
2019-01-31,1290
2019-02-01,1231
2019-02-02,1184
2019-02-03,1130
2019-02-04,1130
2019-02-05,1147
2019-02-06,1201
2019-02-07,1220
2019-02-08,1160
2019-02-09,1110
2019-02-10,1077
2019-02-11,1029
2019-02-12,1016
2019-02-13,1006
2019-02-14,1039
2019-02-15,1082
2019-02-16,1042
2019-02-17,1038
2019-02-18,1014
2019-02-19,994
2019-02-20,1002
2019-02-21,1047
2019-02-22,1100
2019-02-23,1127
2019-02-24,1167
2019-02-25,1155
2019-02-26,1166
2019-02-27,1179
2019-02-28,1194
2019-03-01,1200
2019-03-02,1211
2019-03-03,1214
2019-03-04,1204
2019-03-05,1220
2019-03-06,1224
2019-03-07,1205
2019-03-08,1214
2019-03-09,1202
2019-03-10,1213
2019-03-11,1188
2019-03-12,1191
2019-03-13,1214
2019-03-14,1211
2019-03-15,1207
2019-03-16,1193
2019-03-17,1191
2019-03-18,1216
2019-03-19,1221
2019-03-20,1213
2019-03-21,1201
2019-03-22,1212
2019-03-23,1204
2019-03-24,1193
2019-03-25,1187
2019-03-26,1184
2019-03-27,1193
2019-03-28,1200
2019-03-29,1215
2019-03-30,1229
2019-03-31,1240
2019-04-01,1245
2019-04-02,1236
2019-04-03,1256
2019-04-04,1295
2019-04-05,1296
2019-04-06,1279
2019-04-07,1278
2019-04-08,1317
2019-04-09,1370
2019-04-10,1414
2019-04-11,1419
2019-04-12,1362
2019-04-13,1334
2019-04-14,1302
2019-04-15,1261
2019-04-16,1261
2019-04-17,1257
2019-04-18,1244
2019-04-19,1234
2019-04-20,1213
2019-04-21,1183
2019-04-22,1179
2019-04-23,1188
2019-04-24,1218
2019-04-25,1213
2019-04-26,1216
2019-04-27,1255
2019-04-28,1273
2019-04-29,1260
2019-04-30,1268
2019-05-01,1252
2019-05-02,1236
2019-05-03,1197
2019-05-04,1184
2019-05-05,1194
2019-05-06,1231
2019-05-07,1260
2019-05-08,1276
2019-05-09,1301
2019-05-10,1315
2019-05-11,1354
2019-05-12,1346
2019-05-13,1392
2019-05-14,1411
2019-05-15,1409
2019-05-16,1397
2019-05-17,1377
2019-05-18,1424
2019-05-19,1415
2019-05-20,1414
2019-05-21,1402
2019-05-22,1356
2019-05-23,1332
2019-05-24,1294
2019-05-25,1269
2019-05-26,1283
2019-05-27,1313
2019-05-28,1327
2019-05-29,1348
2019-05-30,1359
2019-05-31,1364
2019-06-01,1352
2019-06-02,1364
2019-06-03,1375
2019-06-04,1412
2019-06-05,1405
2019-06-06,1352
2019-06-07,1347
2019-06-08,1360
2019-06-09,1388
2019-06-10,1369
2019-06-11,1348
2019-06-12,1320
2019-06-13,1332
2019-06-14,1345
2019-06-15,1352
2019-06-16,1341
2019-06-17,1346
2019-06-18,1347
2019-06-19,1354
2019-06-20,1333
2019-06-21,1302
2019-06-22,1331
2019-06-23,1308
2019-06-24,1264
2019-06-25,1262
2019-06-26,1267
2019-06-27,1269
2019-06-28,1300
2019-06-29,1321
2019-06-30,1344
2019-07-01,1374
2019-07-02,1367
2019-07-03,1414
2019-07-04,1379
2019-07-05,1329
2019-07-06,1291
2019-07-07,1300
2019-07-08,1316
2019-07-09,1318
2019-07-10,1314
2019-07-11,1297
2019-07-12,1297
2019-07-13,1282
2019-07-14,1302
2019-07-15,1280
2019-07-16,1297
2019-07-17,1309
2019-07-18,1349
2019-07-19,1346
2019-07-20,1327
2019-07-21,1299
2019-07-22,1288
2019-07-23,1271
2019-07-24,1237
2019-07-25,1251
2019-07-26,1252
2019-07-27,1256
2019-07-28,1273
2019-07-29,1259
2019-07-30,1259
2019-07-31,1277
2019-08-01,1246
2019-08-02,1236
2019-08-03,1272
2019-08-04,1275
2019-08-05,1269
2019-08-06,1259
2019-08-07,1274
2019-08-08,1272
2019-08-09,1300
2019-08-10,1329
2019-08-11,1333
2019-08-12,1337
2019-08-13,1314
2019-08-14,1284
2019-08-15,1278
2019-08-16,1280
2019-08-17,1244
2019-08-18,1256
2019-08-19,1269
2019-08-20,1269
2019-08-21,1268
2019-08-22,1275
2019-08-23,1311
2019-08-24,1331
2019-08-24,1331
2019-08-25,1319
2019-08-25,1319
2019-08-26,1289
2019-08-26,1289
2019-08-27,1272
2019-08-27,1272
2019-08-28,1269
2019-08-29,1259
2019-08-30,1276
2019-08-31,1304
2019-09-01,1328
2019-09-02,1285
2019-09-03,1261
2019-09-04,1253
2019-09-05,1256
2019-09-06,1305
2019-09-07,1295
2019-09-08,1254
2019-09-09,1222
2019-09-10,1247
2019-09-11,1217
2019-09-12,1202
2019-09-13,1195
2019-09-14,1241
2019-09-15,1293
2019-09-16,1302
2019-09-17,1308
2019-09-18,1318
2019-09-19,1317
2019-09-20,1311
2019-09-21,1313
2019-09-22,1283
2019-09-23,1296
2019-09-24,1275
2019-09-25,1264
2019-09-26,1272
2019-09-27,1278
2019-09-28,1307
2019-09-29,1308
2019-09-30,1334
2019-10-01,1281
2019-10-02,1264
2019-10-03,1272
2019-10-04,1249
2019-10-05,1258
2019-10-06,1236
2019-10-07,1237
2019-10-08,1246
2019-10-09,1257
2019-10-10,1256
2019-10-11,1262
2019-10-12,1257
2019-10-13,1249
2019-10-14,1266
2019-10-15,1281
2019-10-16,1274
2019-10-17,1263
2019-10-18,1268
2019-10-19,1281
2019-10-20,1302
2019-10-21,1329
2019-10-22,1375
2019-10-23,1399
2019-10-24,1389
2019-10-25,1404
2019-10-26,1368
2019-10-27,1335
2019-10-28,1284
2019-10-29,1304
2019-10-30,1315
2019-10-31,1310
2019-11-01,1287
2019-11-02,1323
2019-11-03,1340
2019-11-04,1357
2019-11-05,1360
2019-11-06,1398
2019-11-07,1453
2019-11-08,1489
2019-11-09,1495
2019-11-10,1470
2019-11-11,1498
2019-11-12,1519
2019-11-13,1542
2019-11-14,1536
2019-11-15,1536
2019-11-16,1558
2019-11-17,1549
2019-11-18,1550
2019-11-19,1529
2019-11-20,1501
2019-11-21,1470
2019-11-22,1464
2019-11-23,1489
2019-11-24,1490
2019-11-25,1474
2019-11-26,1461
2019-11-27,1483
2019-11-28,1485
2019-11-29,1535
2019-11-30,1563
2019-12-01,1602
2019-12-02,1661
2019-12-03,1691
2019-12-04,1653
2019-12-05,1643
2019-12-06,1634
2019-12-07,1597
2019-12-08,1640
2019-12-09,1680
2019-12-10,1662
2019-12-11,1662
2019-12-12,1628
2019-12-13,1557
2019-12-14,1553
2019-12-15,1573
2019-12-16,1582
2019-12-17,1620
2019-12-18,1652
2019-12-19,1611
2019-12-20,1601
2019-12-21,1607
2019-12-22,1638
2019-12-23,1649
2019-12-24,1617
2019-12-25,1580
2019-12-26,1518
2019-12-27,1442
2019-12-28,1383
2019-12-29,1420
2019-12-30,1451
2019-12-31,1465
2020-01-01,1461
2020-01-02,1478
2020-01-03,1542
2020-01-04,1618
2020-01-05,1671
2020-01-06,1633
2020-01-07,1582
2020-01-08,1548
2020-01-09,1604
2020-01-10,1606
2020-01-11,1631
2020-01-12,1642
2020-01-13,1599
2020-01-14,1608
2020-01-15,1625
2020-01-16,1597
2020-01-17,1591
2020-01-18,1559
2020-01-19,1601
2020-01-20,1595
2020-01-21,1601
2020-01-22,1619
2020-01-23,1618
2020-01-24,1629
2020-01-25,1596
2020-01-26,1611
2020-01-27,1596
2020-01-28,1620
2020-01-29,1642
2020-01-30,1681
2020-01-31,1644
2020-02-01,1632
2020-02-02,1580
2020-02-03,1591
2020-02-04,1606
2020-02-05,1623
2020-02-06,1618
2020-02-07,1558
2020-02-08,1508
2020-02-09,1514
2020-02-10,1495
2020-02-11,1535
2020-02-12,1534
2020-02-13,1554
2020-02-14,1542
2020-02-15,1529
2020-02-16,1498
2020-02-17,1495
2020-02-18,1519
2020-02-19,1515
2020-02-20,1531
2020-02-21,1567
2020-02-22,1552
2020-02-23,1520
2020-02-24,1555
2020-02-25,1601
2020-02-26,1616
2020-02-27,1635
2020-02-28,1634
2020-02-29,1568
2020-03-01,1550
2020-03-02,1584
2020-03-03,1604
2020-03-04,1623
2020-03-05,1619
2020-03-06,1612
2020-03-07,1583
2020-03-08,1569
2020-03-09,1604
2020-03-10,1630
2020-03-11,1679
2020-03-12,1649
2020-03-13,1596
2020-03-14,1535
2020-03-15,1501
2020-03-16,1509
2020-03-17,1477
2020-03-18,1532
2020-03-19,1578
2020-03-20,1588
2020-03-21,1525
2020-03-22,1512
2020-03-23,1515
2020-03-24,1541
2020-03-25,1558
2020-03-26,1610
2020-03-27,1616
2020-03-28,1616
2020-03-29,1630
2020-03-30,1634
2020-03-31,1606
2020-04-01,1599
2020-04-02,1590
2020-04-03,1568
2020-04-04,1579
2020-04-05,1598
2020-04-06,1623
2020-04-07,1630
2020-04-08,1630
2020-04-09,1666
2020-04-10,1716
2020-04-11,1673
2020-04-12,1612
2020-04-13,1621
2020-04-14,1648
2020-04-15,1679
2020-04-16,1642
2020-04-17,1649
2020-04-18,1659
2020-04-19,1644
2020-04-20,1636
2020-04-21,1672
2020-04-22,1670
2020-04-23,1652
2020-04-24,1688
2020-04-25,1690
2020-04-26,1673
2020-04-27,1626
2020-04-28,1646
2020-04-29,1679
2020-04-30,1741
2020-05-01,1739
2020-05-02,1717
2020-05-03,1670
2020-05-04,1666
2020-05-05,1676
2020-05-06,1656
2020-05-07,1685
2020-05-08,1739
2020-05-09,1741
2020-05-10,1739
2020-05-11,1724
2020-05-12,1703
2020-05-13,1679
