date_obj,Facemask price
2015-03-04,456
2015-03-05,456
2015-03-06,471
2015-03-07,471
2015-03-08,471
2015-03-09,471
2015-03-10,476
2015-03-11,476
2015-03-12,476
2015-03-13,476
2015-03-14,482
2015-03-15,482
2015-03-16,482
2015-03-17,491
2015-03-18,491
2015-03-19,491
2015-03-20,491
2015-03-21,505
2015-03-22,505
2015-03-23,505
2015-03-24,509
2015-03-25,509
2015-03-26,509
2015-03-27,509
2015-03-28,517
2015-03-29,517
2015-03-30,517
2015-03-31,521
2015-04-01,521
2015-04-02,521
2015-04-03,543
2015-04-04,543
2015-04-05,543
2015-04-06,564
2015-04-07,564
2015-04-08,564
2015-04-09,581
2015-04-10,581
2015-04-11,581
2015-04-12,607
2015-04-13,607
2015-04-14,607
2015-04-15,626
2015-04-16,626
2015-04-17,626
2015-04-18,641
2015-04-19,641
2015-04-20,641
2015-04-21,643
2015-04-22,643
2015-04-23,643
2015-04-24,654
2015-04-25,654
2015-04-26,654
2015-04-27,655
2015-04-28,655
2015-04-29,655
2015-04-30,622
2015-05-01,622
2015-05-02,622
2015-05-03,614
2015-05-04,614
2015-05-05,614
2015-05-06,621
2015-05-07,621
2015-05-08,621
2015-05-09,617
2015-05-10,617
2015-05-11,617
2015-05-12,600
2015-05-13,600
2015-05-14,600
2015-05-15,617
2015-05-16,617
2015-05-17,617
2015-05-18,634
2015-05-19,634
2015-05-20,634
2015-05-21,634
2015-05-22,651
2015-05-23,651
2015-05-24,651
2015-05-25,656
2015-05-26,656
2015-05-27,656
2015-05-28,639
2015-05-29,639
2015-05-30,643
2015-05-31,643
2015-06-01,647
2015-06-02,647
2015-06-03,647
2015-06-04,652
2015-06-05,652
2015-06-06,655
2015-06-07,655
2015-06-08,655
2015-06-09,667
2015-06-10,667
2015-06-11,667
2015-06-12,687
2015-06-13,687
2015-06-14,687
2015-06-15,683
2015-06-16,683
2015-06-17,683
2015-06-18,668
2015-06-19,668
2015-06-20,665
2015-06-21,665
2015-06-22,665
2015-06-23,677
2015-06-24,677
2015-06-25,677
2015-06-26,692
2015-06-27,692
2015-06-28,692
2015-06-29,697
2015-06-30,697
2015-07-01,697
2015-07-02,684
2015-07-03,684
2015-07-04,687
2015-07-05,687
2015-07-06,687
2015-07-07,652
2015-07-08,652
2015-07-09,652
2015-07-10,641
2015-07-11,641
2015-07-12,641
2015-07-13,635
2015-07-14,635
2015-07-15,632
2015-07-16,632
2015-07-17,632
2015-07-18,630
2015-07-19,630
2015-07-20,653
2015-07-21,653
2015-07-22,666
2015-07-23,666
2015-07-24,666
2015-07-25,683
2015-07-26,683
2015-07-27,683
2015-07-28,674
2015-07-29,674
2015-07-30,675
2015-07-31,675
2015-08-01,675
2015-08-02,644
2015-08-03,644
2015-08-04,644
2015-08-05,617
2015-08-06,617
2015-08-07,617
2015-08-08,617
2015-08-09,617
2015-08-10,614
2015-08-11,614
2015-08-12,614
2015-08-13,623
2015-08-14,623
2015-08-15,642
2015-08-16,642
2015-08-17,628
2015-08-18,628
2015-08-19,642
2015-08-20,642
2015-08-21,642
2015-08-22,641
2015-08-23,641
2015-08-24,641
2015-08-25,610
2015-08-26,610
2015-08-27,582
2015-08-28,582
2015-08-29,582
2015-08-30,606
2015-09-02,612
2015-09-07,661
2015-09-08,661
2015-09-10,652
2015-09-14,659
2015-09-16,685
2015-09-22,693
2015-09-23,693
2015-09-24,670
2015-09-25,670
2015-09-27,680
2015-09-28,680
2015-09-29,680
2015-09-30,685
2015-10-05,704
2015-10-06,704
2015-10-07,732
2015-10-08,732
2015-10-09,732
2015-10-10,729
2015-10-11,729
2015-10-12,735
2015-10-13,735
2015-10-14,735
2015-10-15,729
2015-10-16,729
2015-10-17,729
2015-10-18,733
2015-10-19,733
2015-10-20,733
2015-10-22,752
2015-10-23,752
2015-10-24,746
2015-10-25,746
2015-10-26,733
2015-10-27,733
2015-10-29,733
2015-10-30,750
2015-10-31,750
2015-11-01,750
2015-11-02,741
2015-11-03,741
2015-11-04,741
2015-11-05,731
2015-11-06,731
2015-11-07,731
2015-11-08,698
2015-11-09,698
2015-11-10,698
2015-11-11,698
2015-11-12,698
2015-11-13,698
2015-11-14,698
2015-11-15,703
2015-11-16,703
2015-11-17,703
2015-11-18,703
2015-11-19,712
2015-11-20,712
2015-11-21,712
2015-11-22,726
2015-11-23,726
2015-11-24,726
2015-11-25,751
2015-11-26,751
2015-11-27,751
2015-11-28,725
2015-11-29,725
2015-11-30,731
2015-12-01,731
2015-12-02,731
2015-12-03,751
2015-12-04,751
2015-12-05,751
2015-12-06,769
2015-12-07,769
2015-12-08,769
2015-12-09,791
2015-12-10,791
2015-12-11,791
2015-12-12,808
2015-12-13,808
2015-12-14,808
2015-12-15,836
2015-12-16,836
2015-12-17,836
2015-12-18,847
2015-12-19,847
2015-12-20,865
2015-12-21,865
2015-12-22,865
2015-12-23,831
2015-12-24,831
2015-12-25,831
2015-12-26,789
2015-12-27,789
2015-12-28,749
2015-12-29,749
2015-12-30,716
2015-12-31,716
2016-01-01,716
2016-01-02,710
2016-01-03,710
2016-01-04,725
2016-01-05,725
2016-01-06,718
2016-01-07,718
2016-01-08,709
2016-01-09,709
2016-01-10,718
2016-01-11,718
2016-01-12,735
2016-01-13,735
2016-01-14,745
2016-01-15,745
2016-01-16,767
2016-01-17,767
2016-01-18,787
2016-01-19,787
2016-01-20,787
2016-01-21,792
2016-01-22,792
2016-01-23,777
2016-01-24,777
2016-01-25,783
2016-01-26,783
2016-01-27,802
2016-01-28,802
2016-01-29,804
2016-01-30,804
2016-01-31,804
2016-02-01,802
2016-02-02,802
2016-02-03,781
2016-02-04,781
2016-02-05,781
2016-02-06,786
2016-02-07,786
2016-02-08,786
2016-02-09,819
2016-02-10,819
