date_obj,Dragon%20boots%20ornament%20kit price
2018-01-25,218352
2018-01-26,229270
2018-01-27,240734
2018-01-28,252771
2018-01-29,265410
2018-01-30,278681
2018-01-31,292616
2018-02-01,307247
2018-02-02,322610
2018-02-03,338741
2018-02-04,355679
2018-02-05,373463
2018-02-06,392137
2018-02-07,411744
2018-02-08,431976
2018-02-09,453575
2018-02-10,476254
2018-02-11,500067
2018-02-12,525071
2018-02-13,551325
2018-02-14,578892
2018-02-15,607837
2018-02-16,638229
2018-02-17,670141
2018-02-18,703649
2018-02-19,738832
2018-02-20,775545
2018-02-21,814298
2018-02-22,854033
2018-02-23,867997
2018-02-24,876702
2018-02-25,862564
2018-02-26,849141
2018-02-27,821627
2018-02-28,807956
2018-03-01,807519
2018-03-02,798486
2018-03-03,777073
2018-03-04,796585
2018-03-05,803243
2018-03-06,790551
2018-03-07,761612
2018-03-08,738311
2018-03-09,717365
2018-03-10,689357
2018-03-11,674794
2018-03-12,654577
2018-03-13,635045
2018-03-14,621382
2018-03-15,599943
2018-03-16,579623
2018-03-17,552220
2018-03-18,524609
2018-03-20,478700
2018-03-21,465408
2018-03-23,429063
2018-03-24,414959
2018-03-25,398477
2018-03-26,382360
2018-03-27,369104
2018-03-28,378567
2018-03-29,390725
2018-03-30,394821
2018-03-31,393058
2018-04-01,403959
2018-04-02,409459
2018-04-03,409561
2018-04-04,409962
2018-04-05,423907
2018-04-06,424133
2018-04-07,415067
2018-04-08,411505
2018-04-09,423905
2018-04-10,439733
2018-04-11,440306
2018-04-12,427980
2018-04-13,427933
2018-04-14,429686
2018-04-15,439794
2018-04-16,451966
2018-04-17,448373
2018-04-18,468669
2018-04-19,466321
2018-04-20,454791
2018-04-21,436392
2018-04-22,427397
2018-04-23,420524
2018-04-24,417626
2018-04-25,400274
2018-04-26,393234
2018-04-27,392898
2018-04-28,390928
2018-04-29,394631
2018-04-30,404329
2018-05-01,417896
2018-05-03,453054
2018-05-04,475286
2018-05-05,495364
2018-05-07,482500
2018-05-08,480115
2018-05-09,472857
2018-05-10,469999
2018-05-11,463424
2018-05-12,448733
2018-05-13,451697
2018-05-14,467384
2018-05-15,467153
2018-05-16,467335
2018-05-17,469949
2018-05-18,476012
2018-05-19,480555
2018-05-20,484070
2018-05-21,488818
2018-05-22,488909
2018-05-23,494344
2018-05-24,507583
2018-05-25,523850
2018-05-26,536537
2018-05-27,537184
2018-05-28,544066
2018-05-29,535479
2018-05-30,533033
2018-05-31,524741
2018-06-01,523824
2018-06-02,508427
2018-06-03,485543
2018-06-04,461323
2018-06-05,439307
2018-06-06,418766
2018-06-07,397827
2018-06-08,379146
2018-06-09,362742
2018-06-10,351635
2018-06-11,339333
2018-06-12,334323
2018-06-13,331907
2018-06-14,341453
2018-06-15,343534
2018-06-16,348849
2018-06-17,348827
2018-06-18,346392
2018-06-19,350292
2018-06-20,348670
2018-06-21,345667
2018-06-22,346004
2018-06-23,350677
2018-06-24,350825
2018-06-25,360160
2018-06-26,366242
2018-06-27,370714
2018-06-28,378134
2018-06-29,386999
2018-06-30,383876
2018-07-01,382025
2018-07-02,379610
2018-07-03,375893
2018-07-04,366081
2018-07-05,357352
2018-07-06,363479
2018-07-07,369038
2018-07-08,374436
2018-07-09,388059
2018-07-10,381580
2018-07-11,373471
2018-07-12,372884
2018-07-13,362016
2018-07-14,346682
2018-07-15,334133
2018-07-16,319320
2018-07-17,306205
2018-07-18,304192
2018-07-19,303198
2018-07-20,306226
2018-07-21,307651
2018-07-22,311199
2018-07-23,315283
2018-07-24,316601
2018-07-25,317651
2018-07-26,321033
2018-07-27,324310
2018-07-28,326809
2018-07-29,318908
2018-07-30,321437
2018-07-31,325560
2018-08-01,332544
2018-08-02,341516
2018-08-03,339840
2018-08-04,350486
2018-08-05,354742
2018-08-06,358267
2018-08-07,361332
2018-08-08,362040
2018-08-09,354823
2018-08-10,353660
2018-08-11,347073
2018-08-12,336874
2018-08-14,330386
2018-08-16,331741
2018-08-17,321666
2018-08-18,311895
2018-08-19,308726
2018-08-20,307986
2018-08-21,302086
2018-08-22,296679
2018-08-23,293315
2018-08-24,292320
2018-08-25,291236
2018-08-26,286257
2018-08-27,286702
2018-08-28,287462
2018-08-29,288949
2018-08-30,287849
2018-08-31,289435
2018-09-01,291072
2018-09-02,294890
2018-09-03,295339
2018-09-04,295977
2018-09-05,299140
2018-09-06,306104
2018-09-07,308125
2018-09-08,311848
2018-09-09,318146
2018-09-10,315798
2018-09-11,319089
2018-09-12,320847
2018-09-13,322258
2018-09-14,320966
2018-09-15,318993
2018-09-16,318406
2018-09-17,318504
2018-09-18,309939
2018-09-19,298413
2018-09-20,284825
2018-09-21,276525
2018-09-22,272709
2018-09-23,274715
2018-09-24,274237
2018-09-25,274807
2018-09-26,276887
2018-09-27,275491
2018-09-28,280084
2018-09-29,284199
2018-09-30,284848
2018-10-02,283465
2018-10-03,281510
2018-10-04,275800
2018-10-05,277700
2018-10-06,274668
2018-10-07,267056
2018-10-08,260679
2018-10-09,248208
2018-10-10,238762
2018-10-11,228226
2018-10-12,220317
2018-10-13,215431
2018-10-14,205522
2018-10-15,197114
2018-10-16,189488
2018-10-17,180143
2018-10-18,172696
2018-10-19,167065
2018-10-20,165537
2018-10-21,166280
2018-10-22,169306
2018-10-23,169078
2018-10-24,174906
2018-10-25,182966
2018-10-26,191578
2018-10-27,199190
2018-10-28,205728
2018-10-29,210279
2018-10-30,211206
2018-10-31,216699
2018-11-01,221322
2018-11-03,234200
2018-11-04,242945
2018-11-05,252486
2018-11-06,261279
2018-11-07,267337
2018-11-08,273052
2018-11-09,279033
2018-11-10,287267
2018-11-11,297773
2018-11-12,309636
2018-11-13,319170
2018-11-14,325687
2018-11-15,335318
2018-11-16,343268
2018-11-17,351319
2018-11-18,359230
2018-11-19,364896
2018-11-20,370844
2018-11-21,371537
2018-11-22,370773
2018-11-23,362701
2018-11-24,346835
2018-11-25,329601
2018-11-26,317002
2018-11-27,305546
2018-11-28,291541
2018-11-29,282202
2018-12-01,268494
2018-12-02,261632
2018-12-03,256889
2018-12-04,250243
2018-12-05,244598
2018-12-07,236391
2018-12-09,229771
2018-12-10,228688
2018-12-11,227324
2018-12-12,226567
2018-12-13,227386
2018-12-14,232036
2018-12-15,238948
2018-12-16,245602
2018-12-17,249455
2018-12-18,253496
2018-12-19,258397
2018-12-20,260389
2018-12-21,261439
2018-12-22,262660
2018-12-23,265934
2018-12-24,266991
2018-12-25,269424
2018-12-26,270837
2018-12-27,273442
2018-12-28,276187
2018-12-29,278788
2018-12-30,277269
2018-12-31,277000
2019-01-01,275099
2019-01-02,274257
2019-01-03,273134
2019-01-04,272505
2019-01-05,268183
2019-01-06,264073
2019-01-08,261721
2019-01-10,255772
2019-01-11,247903
2019-01-12,237121
2019-01-13,226524
2019-01-14,216736
2019-01-15,208441
2019-01-16,201989
2019-01-17,193682
2019-01-18,186362
2019-01-19,180309
2019-01-20,177222
2019-01-21,168774
2019-01-22,164270
2019-01-23,162238
2019-01-24,160404
2019-01-25,164300
2019-01-26,169173
2019-01-27,172893
2019-01-28,179693
2019-01-29,181815
2019-01-30,180483
2019-01-31,175876
2019-02-01,174563
2019-02-02,172070
2019-02-03,171133
2019-02-04,171248
2019-02-05,171437
2019-02-06,170951
2019-02-07,170334
2019-02-08,170635
2019-02-09,168144
2019-02-10,167452
2019-02-11,165021
2019-02-12,163437
2019-02-13,161709
2019-02-14,161515
2019-02-15,161880
2019-02-16,162707
2019-02-17,163058
2019-02-18,165039
2019-02-19,165859
2019-02-20,164216
2019-02-21,165343
2019-02-22,169292
2019-02-23,171053
2019-02-24,170505
2019-02-25,172275
2019-02-26,175724
2019-02-27,178526
2019-02-28,180052
2019-03-01,182170
2019-03-02,183214
2019-03-03,183649
2019-03-04,183243
2019-03-05,181912
2019-03-06,182603
2019-03-07,181993
2019-03-08,183355
2019-03-09,183472
2019-03-10,185795
2019-03-11,186918
2019-03-12,188734
2019-03-13,190146
2019-03-14,191864
2019-03-15,190735
2019-03-16,193741
2019-03-17,196963
2019-03-18,195213
2019-03-19,195993
2019-03-20,196752
2019-03-21,196985
2019-03-22,198217
2019-03-23,197591
2019-03-24,197104
2019-03-25,198204
2019-03-26,199721
2019-03-27,199172
2019-03-28,198499
2019-03-29,197567
2019-03-30,197786
2019-03-31,197815
2019-04-01,195637
2019-04-02,194710
2019-04-03,194921
2019-04-04,195763
2019-04-05,196108
2019-04-06,196223
2019-04-07,196752
2019-04-08,197346
2019-04-09,200027
2019-04-10,201103
2019-04-11,201670
2019-04-12,203935
2019-04-13,207002
2019-04-14,208289
2019-04-15,206313
2019-04-16,205921
2019-04-17,211664
2019-04-18,214247
2019-04-19,215264
2019-04-20,216748
2019-04-21,218616
2019-04-22,218185
2019-04-23,216889
2019-04-24,214921
2019-04-25,207465
2019-04-26,198060
2019-04-27,188904
2019-04-28,180414
2019-04-29,176350
2019-04-30,170732
2019-05-01,167226
2019-05-02,162709
2019-05-03,159294
2019-05-04,155899
2019-05-05,150597
2019-05-06,146315
2019-05-07,143126
