date_obj,Sapphire%20amulet%20(u) price
2015-03-26,4711
2015-03-27,4711
2015-03-28,4711
2015-03-29,4711
2015-03-30,4480
2015-03-31,4480
2015-04-01,4480
2015-04-02,4480
2015-04-03,4480
2015-04-04,4480
2015-04-05,4480
2015-04-06,4480
2015-04-07,4480
2015-04-08,4480
2015-04-09,4480
2015-04-10,4480
2015-04-11,4261
2015-04-12,4261
2015-04-13,4261
2015-04-14,4261
2015-04-15,4261
2015-04-16,4261
2015-04-17,4261
2015-04-18,4261
2015-04-19,4261
2015-04-20,4261
2015-04-21,4261
2015-04-22,4261
2015-04-23,4261
2015-04-24,4261
2015-04-25,4051
2015-04-26,4051
2015-04-27,4051
2015-04-28,4051
2015-04-29,4051
2015-04-30,4051
2015-05-01,4051
2015-05-02,4051
2015-05-03,4051
2015-05-04,4051
2015-05-05,4051
2015-05-06,4051
2015-05-07,4051
2015-05-08,3850
2015-05-09,3850
2015-05-10,3850
2015-05-11,3850
2015-05-12,3850
2015-05-13,3850
2015-05-14,3850
2015-05-15,3850
2015-05-16,3850
2015-05-17,3850
2015-05-18,3850
2015-05-19,3850
2015-05-20,3850
2015-05-21,3850
2015-05-22,3660
2015-05-23,3660
2015-05-24,3660
2015-05-25,3660
2015-05-26,3660
2015-05-27,3660
2015-05-28,3660
2015-05-29,3660
2015-05-30,3660
2015-05-31,3660
2015-06-01,3660
2015-06-02,3660
2015-06-03,3482
2015-06-04,3482
2015-06-05,3482
2015-06-06,3482
2015-06-07,3482
2015-06-08,3482
2015-06-09,3482
2015-06-10,3482
2015-06-11,3482
2015-06-12,3482
2015-06-13,3482
2015-06-14,3482
2015-06-15,3482
2015-06-16,3310
2015-06-17,3310
2015-06-18,3310
2015-06-19,3310
2015-06-20,3310
2015-06-21,3310
2015-06-22,3310
2015-06-23,3310
2015-06-24,3310
2015-06-25,3310
2015-06-26,3310
2015-06-27,3310
2015-06-28,3149
2015-06-29,3149
2015-06-30,3149
2015-07-01,3149
2015-07-02,3149
2015-07-03,3149
2015-07-04,3149
2015-07-05,3149
2015-07-06,3149
2015-07-07,3149
2015-07-08,3149
2015-07-09,3149
2015-07-10,3149
2015-07-11,3149
2015-07-12,3149
2015-07-13,3149
2015-07-14,3149
