date_obj,Bagged%20maple%20tree price
2015-03-26,15500
2015-03-27,15500
2015-03-28,15500
2015-03-29,15500
2015-03-30,15500
2015-03-31,15500
2015-04-01,15500
2015-04-02,15500
2015-04-03,15500
2015-04-04,15500
2015-04-05,15500
2015-04-06,15965
2015-04-07,15965
2015-04-08,15965
2015-04-09,15965
2015-04-10,15965
2015-04-11,15965
2015-04-12,15965
2015-04-13,15965
2015-04-14,15965
2015-04-15,15965
2015-04-16,15965
2015-04-17,15965
2015-04-18,15965
2015-04-19,15965
2015-04-20,15965
2015-04-21,15965
2015-04-22,15965
2015-04-23,15965
2015-04-24,15965
2015-04-25,15965
2015-04-26,15965
2015-04-27,15965
2015-04-28,15965
2015-04-29,15965
2015-04-30,15965
2015-05-01,15965
2015-05-02,15965
2015-05-03,15965
2015-05-04,15965
2015-05-05,15965
2015-05-06,15965
2015-05-07,15965
2015-05-08,15965
2015-05-09,15965
2015-05-10,15965
2015-05-11,15965
2015-05-12,15965
2015-05-13,15965
2015-05-14,15965
2015-05-15,16385
2015-05-16,16385
2015-05-17,16385
2015-05-18,16385
2015-05-19,16385
2015-05-20,16385
2015-05-21,16385
2015-05-22,16385
2015-05-23,16385
2015-05-24,16385
2015-05-25,16385
2015-05-26,16385
2015-05-27,16385
2015-05-28,16385
2015-05-29,16385
2015-05-30,16385
2015-05-31,16385
2015-06-01,16385
2015-06-02,16385
2015-06-03,16385
2015-06-04,16385
2015-06-05,16385
2015-06-06,16385
2015-06-07,16385
2015-06-08,16385
2015-06-09,16385
2015-06-10,16385
2015-06-11,16385
2015-06-12,16385
2015-06-13,16385
2015-06-14,16385
2015-06-15,16385
2015-06-16,16385
2015-06-17,16385
2015-06-18,16385
2015-06-19,16385
2015-06-20,16895
2015-06-21,16895
2015-06-22,16895
2015-06-23,16895
2015-06-24,16895
2015-06-25,16895
2015-06-26,16895
2015-06-27,16895
2015-06-28,16895
2015-06-29,16895
2015-06-30,16895
2015-07-01,16895
2015-07-02,16895
2015-07-03,16895
2015-07-04,16895
2015-07-05,16895
2015-07-06,16895
2015-07-07,16895
2015-07-08,16895
2015-07-09,16895
2015-07-10,16895
2015-07-11,16895
2015-07-12,16895
2015-07-13,16895
2015-07-14,16895
2015-07-15,16895
2015-07-16,16895
2015-07-17,16895
2015-07-18,16895
2015-07-19,16895
2015-07-20,16895
2015-07-21,16895
2015-07-22,16895
2015-07-23,16895
2015-07-24,16895
2015-07-25,16895
2015-07-26,16895
2015-07-27,16895
2015-07-28,16895
2015-07-29,16910
