date_obj,Leather%20body price
2015-03-26,68
2015-03-27,68
2015-03-28,68
2015-03-29,66
2015-03-30,64
2015-03-31,63
2015-04-01,61
2015-04-02,60
2015-04-03,59
2015-04-04,58
2015-04-05,57
2015-04-06,55
2015-04-07,53
2015-04-08,52
2015-04-09,50
2015-04-10,48
2015-04-11,47
2015-04-12,46
2015-04-13,46
2015-04-14,45
2015-04-15,45
2015-04-16,45
2015-04-17,45
2015-04-18,44
2015-04-19,43
2015-04-20,41
2015-04-21,41
2015-04-22,41
2015-04-23,40
2015-04-24,39
2015-04-25,38
2015-04-26,37
2015-04-27,37
2015-04-28,36
2015-04-29,35
2015-04-30,35
2015-05-01,35
2015-05-02,35
2015-05-03,35
2015-05-04,35
2015-05-05,35
2015-05-06,35
2015-05-07,34
2015-05-08,34
2015-05-09,34
2015-05-10,34
2015-05-11,33
2015-05-12,33
2015-05-13,32
2015-05-14,31
2015-05-15,31
2015-05-16,31
2015-05-17,31
2015-05-18,31
2015-05-19,31
2015-05-20,31
2015-05-21,31
2015-05-22,30
2015-05-23,29
2015-05-24,29
2015-05-25,29
2015-05-26,29
2015-05-27,29
2015-05-28,29
2015-05-29,29
2015-05-30,29
2015-05-31,29
2015-06-01,29
2015-06-02,29
2015-06-03,29
2015-06-04,29
2015-06-05,29
2015-06-06,29
2015-06-07,29
2015-06-08,29
2015-06-09,29
2015-06-10,28
2015-06-11,28
2015-06-12,27
2015-06-13,27
2015-06-14,27
2015-06-15,27
2015-06-16,27
2015-06-17,26
2015-06-18,26
2015-06-19,25
2015-06-20,25
2015-06-21,26
2015-06-22,26
2015-06-23,27
2015-06-24,28
2015-06-25,28
2015-06-26,28
2015-06-27,28
2015-06-28,28
2015-06-29,28
2015-06-30,28
2015-07-01,28
2015-07-02,28
2015-07-03,28
2015-07-04,29
2015-07-05,28
2015-07-06,27
2015-07-07,27
2015-07-08,27
2015-07-09,27
2015-07-10,27
2015-07-11,27
2015-07-12,27
2015-07-13,27
2015-07-14,27
2015-07-15,27
2015-07-16,28
2015-07-17,28
2015-07-18,27
2015-07-19,27
2015-07-20,26
2015-07-21,26
2015-07-22,26
2015-07-23,27
2015-07-24,28
2015-07-25,28
2015-07-26,27
2015-07-27,27
2015-07-28,27
2015-07-29,28
2015-07-30,28
2015-07-31,28
2015-08-01,29
2015-08-02,30
2015-08-03,30
2015-08-04,31
2015-08-05,32
2015-08-06,33
2015-08-07,34
2015-08-08,35
2015-08-09,36
2015-08-10,36
2015-08-11,37
2015-08-12,37
2015-08-13,38
2015-08-14,37
2015-08-15,38
2015-08-16,38
2015-08-17,38
2015-08-18,38
2015-08-19,38
2015-08-20,39
2015-08-21,40
2015-08-22,41
2015-08-23,42
2015-08-24,42
2015-08-25,41
2015-08-26,41
2015-08-27,42
2015-08-28,42
2015-08-29,42
2015-08-30,40
2015-08-31,40
2015-09-01,40
2015-09-02,40
2015-09-03,41
2015-09-04,42
2015-09-05,43
2015-09-06,44
2015-09-07,43
2015-09-08,40
2015-09-09,39
2015-09-10,40
2015-09-11,41
2015-09-12,41
2015-09-13,41
2015-09-14,41
2015-09-15,40
2015-09-16,39
2015-09-17,39
2015-09-18,39
2015-09-19,39
2015-09-20,40
2015-09-21,41
2015-09-22,42
2015-09-23,42
2015-09-24,42
2015-09-25,43
2015-09-27,43
2015-09-28,42
2015-09-29,42
2015-09-30,41
2015-10-05,44
2015-10-06,43
2015-10-07,43
2015-10-08,43
2015-10-09,42
2015-10-10,41
2015-10-11,42
2015-10-12,43
2015-10-13,44
2015-10-14,44
2015-10-15,45
2015-10-16,45
2015-10-17,45
2015-10-18,45
2015-10-19,45
2015-10-20,45
2015-10-22,46
2015-10-23,46
2015-10-24,46
2015-10-25,47
2015-10-26,48
2015-10-27,48
2015-10-29,50
2015-10-30,50
2015-10-31,49
2015-11-01,48
2015-11-02,47
2015-11-03,45
2015-11-04,43
2015-11-05,42
2015-11-06,40
2015-11-07,39
2015-11-08,39
2015-11-09,37
2015-11-10,36
2015-11-11,35
2015-11-12,34
2015-11-13,33
2015-11-14,32
2015-11-15,31
2015-11-16,30
2015-11-17,29
2015-11-18,28
2015-11-19,27
2015-11-20,25
2015-11-21,23
2015-11-22,22
2015-11-23,21
2015-11-24,21
2015-11-25,22
2015-11-26,22
2015-11-27,22
2015-11-28,21
2015-11-29,20
2015-11-30,20
2015-12-01,20
2015-12-02,20
2015-12-03,20
2015-12-04,20
2015-12-05,20
2015-12-06,20
2015-12-07,20
2015-12-08,19
2015-12-09,19
2015-12-10,19
2015-12-11,18
2015-12-12,18
2015-12-13,18
2015-12-14,18
2015-12-15,18
2015-12-16,18
2015-12-17,19
2015-12-18,19
2015-12-19,19
2015-12-20,19
2015-12-21,19
2015-12-22,19
2015-12-23,19
2015-12-24,19
2015-12-25,19
2015-12-26,19
2015-12-27,19
2015-12-28,19
2015-12-29,19
2015-12-30,19
2015-12-31,19
2016-01-01,19
2016-01-02,19
2016-01-03,19
2016-01-04,18
2016-01-05,17
2016-01-06,17
2016-01-07,16
2016-01-08,16
2016-01-09,15
2016-01-10,15
2016-01-11,15
2016-01-12,15
2016-01-13,15
2016-01-14,15
2016-01-15,14
2016-01-16,14
2016-01-17,14
2016-01-18,13
2016-01-19,13
2016-01-20,13
2016-01-21,13
2016-01-22,13
2016-01-23,13
2016-01-24,13
2016-01-25,13
2016-01-26,13
2016-01-27,13
2016-01-28,13
2016-01-29,13
2016-01-30,13
2016-01-31,13
2016-02-01,14
2016-02-02,14
2016-02-03,14
2016-02-04,14
2016-02-05,14
2016-02-06,14
2016-02-07,14
2016-02-08,14
2016-02-09,14
2016-02-10,14
2016-02-11,14
2016-02-12,14
2016-02-13,14
2016-02-14,14
2016-02-15,14
2016-02-16,14
2016-02-17,14
2016-02-18,14
2016-02-19,14
2016-02-20,14
2016-02-21,14
2016-02-22,14
2016-02-23,14
2016-02-24,14
2016-02-25,13
2016-02-26,13
2016-02-27,13
2016-02-28,13
2016-02-29,13
2016-03-01,13
2016-03-02,13
2016-03-03,13
2016-03-04,13
2016-03-05,13
2016-03-06,13
2016-03-07,13
2016-03-08,13
2016-03-09,14
2016-03-10,14
2016-03-11,14
2016-03-12,15
2016-03-13,15
2016-03-14,15
2016-03-15,15
2016-03-16,15
2016-03-17,15
2016-03-18,15
2016-03-19,15
2016-03-20,15
2016-03-21,15
2016-03-22,16
2016-03-23,16
2016-03-24,16
2016-03-25,16
2016-03-26,16
2016-03-27,16
2016-03-28,16
2016-03-29,16
2016-03-30,16
2016-03-31,16
2016-04-01,16
2016-04-02,16
2016-04-03,16
2016-04-04,16
2016-04-05,16
2016-04-06,16
2016-04-07,16
2016-04-08,16
2016-04-09,16
2016-04-10,16
2016-04-11,16
2016-04-12,16
2016-04-13,16
2016-04-14,16
2016-04-15,16
2016-04-16,16
2016-04-17,16
2016-04-18,16
2016-04-19,16
2016-04-20,16
2016-04-21,16
2016-04-22,16
2016-04-23,16
2016-04-24,15
2016-04-25,15
2016-04-26,15
2016-04-27,15
2016-04-28,15
2016-04-29,15
2016-04-30,15
2016-05-01,14
2016-05-02,14
2016-05-03,14
2016-05-04,14
2016-05-05,14
2016-05-06,14
2016-05-07,14
2016-05-08,14
2016-05-09,14
2016-05-10,14
2016-05-11,14
2016-05-12,14
2016-05-13,14
2016-05-14,14
2016-05-15,14
2016-05-16,13
2016-05-17,13
2016-05-18,13
2016-05-19,13
2016-05-22,13
2016-05-23,13
2016-05-24,13
2016-05-25,13
2016-05-26,13
2016-05-27,13
2016-05-28,12
2016-05-29,12
2016-05-30,12
2016-05-31,12
2016-06-01,12
2016-06-02,12
2016-06-03,11
2016-06-04,11
2016-06-05,11
2016-06-06,11
2016-06-07,10
2016-06-08,10
2016-06-09,9
2016-06-10,9
2016-06-11,9
2016-06-12,9
2016-06-13,9
2016-06-14,9
2016-06-15,9
2016-06-16,8
2016-06-17,8
2016-06-18,8
2016-06-19,8
2016-06-20,8
2016-06-21,8
2016-06-22,8
2016-06-23,8
2016-06-24,8
2016-06-25,8
2016-06-26,8
2016-06-27,8
2016-06-28,8
2016-06-29,8
2016-06-30,8
2016-07-01,8
2016-07-02,8
2016-07-03,8
2016-07-04,8
2016-07-05,8
2016-07-06,8
2016-07-07,7
2016-07-08,7
2016-07-09,7
2016-07-10,7
2016-07-11,7
2016-07-12,7
2016-07-13,7
2016-07-14,7
2016-07-15,7
2016-07-16,7
2016-07-17,7
2016-07-18,7
2016-07-23,7
2016-07-24,7
2016-07-25,7
2016-07-26,7
2016-07-27,8
2016-07-28,9
2016-07-29,9
2016-07-30,9
2016-07-31,9
2016-08-01,10
2016-08-02,10
2016-08-03,11
2016-08-04,11
2016-08-05,11
2016-08-06,11
2016-08-07,11
2016-08-08,11
2016-08-09,11
2016-08-10,11
2016-08-11,11
2016-08-12,11
2016-08-13,11
2016-08-14,11
2016-08-15,11
2016-08-16,11
2016-08-17,11
2016-08-18,11
2016-08-19,11
2016-08-20,11
2016-08-21,11
2016-08-22,11
2016-08-23,11
2016-08-24,11
