date_obj,Dharok's%20helm price
2015-03-26,443800
2015-03-27,443800
2015-03-28,430756
2015-03-29,419846
2015-03-30,409735
2015-03-31,415208
2015-04-01,415208
2015-04-02,415900
2015-04-03,409530
2015-04-04,401869
2015-04-05,397124
2015-04-06,396486
2015-04-07,396268
2015-04-08,396268
2015-04-09,393033
2015-04-10,388005
2015-04-11,383215
2015-04-12,381908
2015-04-13,383287
2015-04-14,383287
2015-04-15,390320
2015-04-16,394057
2015-04-17,392795
2015-04-18,386740
2015-04-19,393633
2015-04-20,393633
2015-04-21,406207
2015-04-22,406207
2015-04-23,399191
2015-04-24,386503
2015-04-25,378696
2015-04-26,371938
2015-04-27,366595
2015-04-28,370288
2015-04-29,370288
2015-04-30,364781
2015-05-01,354949
2015-05-02,350538
2015-05-03,350538
2015-05-04,347007
2015-05-05,348107
2015-05-06,351189
2015-05-07,360850
2015-05-08,360850
2015-05-09,375371
2015-05-10,377655
2015-05-11,377655
2015-05-12,365992
2015-05-13,365992
2015-05-14,357229
2015-05-15,357229
2015-05-16,351136
2015-05-17,351942
2015-05-18,349742
2015-05-19,346982
2015-05-20,346982
2015-05-21,344621
2015-05-22,340078
2015-05-23,339773
2015-05-24,341013
2015-05-25,341508
2015-05-26,341376
2015-05-27,341376
2015-05-28,340843
2015-05-29,340194
2015-05-30,340948
2015-05-31,335366
2015-06-01,331746
2015-06-02,335946
2015-06-03,349839
2015-06-04,362732
2015-06-05,358159
2015-06-06,347083
2015-06-07,335297
2015-06-08,329387
2015-06-09,323977
2015-06-10,318243
2015-06-11,316411
2015-06-12,316802
2015-06-13,313750
2015-06-14,309006
2015-06-15,303097
2015-06-16,302248
2015-06-17,297308
2015-06-18,288030
2015-06-19,287328
2015-06-20,280388
2015-06-21,282237
2015-06-22,282820
2015-06-23,293645
2015-06-24,297517
2015-06-25,297517
2015-06-26,291083
2015-06-27,285546
2015-06-28,288995
2015-06-29,282468
2015-06-30,279245
2015-07-01,268301
2015-07-02,268301
2015-07-03,264549
2015-07-04,259853
2015-07-05,258207
2015-07-06,253122
2015-07-07,248895
2015-07-08,243162
2015-07-09,243162
2015-07-10,239105
2015-07-11,235594
2015-07-12,230886
2015-07-13,230437
2015-07-14,224606
2015-07-15,216079
2015-07-16,212015
2015-07-17,213826
2015-07-18,213859
2015-07-19,223276
2015-07-20,233252
2015-07-21,235465
2015-07-22,230284
2015-07-23,230284
2015-07-24,239872
2015-07-25,239889
2015-07-26,242967
2015-07-27,242151
2015-07-28,251549
2015-07-29,262663
2015-07-30,263788
2015-07-31,267454
2015-08-01,267198
2015-08-02,276577
2015-08-03,274006
2015-08-04,276502
2015-08-05,280870
2015-08-06,283506
2015-08-07,284102
2015-08-08,285292
2015-08-09,286929
2015-08-10,276382
2015-08-11,275486
2015-08-12,272547
2015-08-13,265195
2015-08-14,255532
2015-08-15,260653
2015-08-16,267378
2015-08-17,270892
2015-08-18,270487
2015-08-19,268710
2015-08-20,263109
2015-08-21,257455
2015-08-22,252483
2015-08-23,257472
2015-08-24,254549
2015-08-25,254549
2015-08-26,252098
2015-08-27,245404
2015-08-28,248344
2015-08-29,253596
2015-08-30,266256
2015-08-31,279056
2015-09-01,287378
2015-09-02,284517
2015-09-03,294119
2015-09-04,308094
2015-09-05,305633
2015-09-06,304913
2015-09-07,320159
2015-09-08,333388
2015-09-09,328190
2015-09-10,338429
2015-09-11,333458
2015-09-12,332895
2015-09-13,328551
2015-09-14,343919
2015-09-15,341538
2015-09-16,334203
2015-09-17,329715
2015-09-18,331712
2015-09-19,319300
2015-09-20,311879
2015-09-21,310846
2015-09-22,307077
2015-09-23,310350
2015-09-24,302456
2015-09-25,295151
2015-09-27,291450
2015-09-28,305174
2015-09-29,313073
2015-09-30,308908
2015-10-05,277791
2015-10-06,275557
2015-10-07,265655
2015-10-08,261263
2015-10-09,266591
2015-10-10,266591
2015-10-11,265743
2015-10-12,263453
2015-10-13,257563
2015-10-14,252312
2015-10-15,242723
2015-10-16,239311
2015-10-17,239311
2015-10-18,235918
2015-10-19,237885
2015-10-20,238907
2015-10-22,236631
2015-10-23,239103
2015-10-24,240372
2015-10-25,249346
2015-10-26,261687
2015-10-27,271383
2015-10-29,280479
2015-10-30,291952
2015-10-31,299125
2015-11-01,312938
2015-11-02,316106
2015-11-03,329886
2015-11-04,338923
2015-11-05,351920
2015-11-06,353325
2015-11-07,345549
2015-11-08,345549
2015-11-09,331990
2015-11-10,326468
2015-11-11,329560
2015-11-12,341930
2015-11-13,349454
2015-11-14,359259
2015-11-15,354874
2015-11-16,353906
2015-11-17,341179
2015-11-18,344605
2015-11-19,346249
2015-11-20,334487
2015-11-21,334487
2015-11-22,337248
2015-11-23,337248
2015-11-24,351295
2015-11-25,360770
2015-11-26,360770
2015-11-27,354324
2015-11-28,365141
2015-11-29,356091
2015-11-30,354894
2015-12-01,366425
2015-12-02,361627
2015-12-03,352637
2015-12-04,345422
2015-12-05,343586
2015-12-06,345093
2015-12-07,334656
2015-12-08,325064
2015-12-09,330921
2015-12-10,345457
2015-12-11,358452
2015-12-12,353737
2015-12-13,345076
2015-12-14,345076
2015-12-15,356210
2015-12-16,368214
2015-12-17,354384
2015-12-18,342818
2015-12-19,347692
2015-12-20,358131
2015-12-21,356157
2015-12-22,360283
2015-12-23,344759
2015-12-24,333565
2015-12-25,338170
2015-12-26,346938
2015-12-27,348635
2015-12-28,346745
2015-12-29,358545
2015-12-30,374334
2015-12-31,392406
2016-01-01,402741
2016-01-02,394748
2016-01-03,396354
2016-01-04,400267
2016-01-05,414440
2016-01-06,402777
2016-01-07,390098
2016-01-08,404677
2016-01-09,397769
2016-01-10,394874
2016-01-11,389618
2016-01-12,381118
2016-01-13,380430
2016-01-14,375578
2016-01-15,374964
2016-01-16,384574
2016-01-17,387588
2016-01-18,385290
2016-01-19,380705
2016-01-20,392157
2016-01-21,407810
2016-01-22,400005
2016-01-23,381889
2016-01-24,373231
2016-01-25,359565
2016-01-26,355154
2016-01-27,360283
2016-01-28,360283
2016-01-29,355752
2016-01-30,345545
2016-01-31,341749
2016-02-01,353025
2016-02-02,354194
2016-02-03,353645
2016-02-04,368717
2016-02-05,381772
2016-02-06,386805
2016-02-07,391248
2016-02-08,393953
2016-02-09,395858
2016-02-10,386074
2016-02-11,379619
2016-02-12,381848
2016-02-13,388938
2016-02-14,386400
2016-02-15,397563
2016-02-16,400594
2016-02-17,395366
2016-02-18,393663
2016-02-19,392944
2016-02-20,389764
2016-02-21,384720
2016-02-22,384720
2016-02-23,389823
2016-02-24,381834
2016-02-25,389144
2016-02-26,389347
2016-02-27,379388
2016-02-28,364696
2016-03-01,347552
2016-03-02,334181
2016-03-03,328409
2016-03-04,332120
2016-03-05,324860
2016-03-06,326073
2016-03-07,341257
2016-03-08,351569
2016-03-09,348865
2016-03-10,345385
2016-03-11,334754
2016-03-12,333871
2016-03-13,336565
2016-03-14,335746
2016-03-15,336153
2016-03-16,331974
2016-03-17,333952
2016-03-18,340301
2016-03-19,353436
2016-03-20,360451
2016-03-21,353475
2016-03-22,347317
2016-03-23,330572
2016-03-24,316913
2016-03-25,302463
2016-03-26,290343
2016-03-27,277784
2016-03-28,272051
2016-03-29,267779
2016-03-30,267779
2016-03-31,264603
2016-04-01,267707
2016-04-02,277000
2016-04-03,277503
2016-04-04,269593
2016-04-05,269514
2016-04-06,264688
2016-04-07,258087
2016-04-08,258870
2016-04-09,256911
2016-04-10,250683
2016-04-11,250683
2016-04-12,248821
2016-04-13,255225
2016-04-14,259270
2016-04-15,263831
2016-04-16,265230
2016-04-17,262580
2016-04-18,260607
2016-04-19,259228
2016-04-20,266296
2016-04-21,275522
2016-04-22,284559
2016-04-23,297054
2016-04-24,296733
2016-04-25,291806
2016-04-26,289528
2016-04-27,277483
2016-04-28,271451
2016-04-29,269555
2016-04-30,269650
2016-05-01,265035
2016-05-02,258840
2016-05-03,254474
2016-05-04,251631
2016-05-05,255913
2016-05-06,255913
2016-05-07,263075
2016-05-08,254072
2016-05-09,254022
2016-05-10,264883
2016-05-11,260510
2016-05-12,255729
2016-05-13,255387
2016-05-14,257949
2016-05-15,257874
2016-05-16,255316
2016-05-17,252065
2016-05-18,256375
2016-05-19,268243
2016-05-22,287672
2016-05-23,285758
2016-05-24,286125
2016-05-25,286195
2016-05-26,285889
2016-05-27,290381
2016-05-28,290326
2016-05-29,296299
2016-05-30,300387
2016-05-31,299060
2016-06-01,289737
2016-06-02,278039
2016-06-03,266826
2016-06-04,254839
2016-06-05,246057
2016-06-06,250966
2016-06-07,255539
2016-06-08,258499
2016-06-09,260942
2016-06-10,267737
2016-06-11,267684
2016-06-12,260249
2016-06-13,260485
2016-06-14,254005
2016-06-15,254305
2016-06-16,260725
2016-06-17,261345
2016-06-18,265719
2016-06-19,263937
2016-06-20,270998
2016-06-21,280992
2016-06-22,290428
2016-06-23,288191
2016-06-24,286004
2016-06-25,289073
2016-06-26,285288
2016-06-27,276758
2016-06-28,274918
2016-06-29,274893
2016-06-30,274876
2016-07-01,282644
2016-07-02,289433
2016-07-03,286329
2016-07-04,289860
2016-07-05,284517
2016-07-06,270399
2016-07-07,257624
2016-07-08,252292
2016-07-09,247195
2016-07-10,245491
2016-07-11,237813
2016-07-12,233130
2016-07-13,234205
2016-07-14,223305
2016-07-15,212236
2016-07-16,206918
2016-07-17,207030
2016-07-18,210150
2016-07-23,244068
2016-07-24,256162
2016-07-25,260691
2016-07-26,248734
2016-07-27,242756
2016-07-28,236586
2016-07-29,241791
2016-07-30,246904
2016-07-31,246904
2016-08-01,257371
2016-08-02,270240
2016-08-03,282316
2016-08-04,283805
2016-08-05,287482
2016-08-06,292678
2016-08-07,301901
2016-08-08,315033
2016-08-09,329232
2016-08-10,345610
2016-08-11,345610
2016-08-12,351848
2016-08-13,351950
2016-08-14,345418
2016-08-15,336068
2016-08-16,340722
2016-08-17,355286
2016-08-18,367682
2016-08-19,365488
2016-08-20,363083
2016-08-21,358237
2016-08-22,359943
2016-08-23,343536
2016-08-24,355232
2016-08-25,371959
2016-08-26,371959
2016-08-28,372704
2016-08-31,348946
2016-09-01,332517
2016-09-02,332517
2016-09-03,318175
2016-09-04,308019
2016-09-05,297892
2016-09-06,282997
2016-09-07,268847
2016-09-08,255404
2016-09-09,249367
2016-09-10,255429
2016-09-11,255429
2016-09-12,249531
2016-09-13,237851
2016-09-14,235112
2016-09-15,230350
2016-09-16,230350
2016-09-17,236805
2016-09-18,246176
2016-09-19,253481
2016-09-20,253481
2016-09-21,249286
2016-09-22,239374
2016-09-23,229042
2016-09-24,229042
2016-09-25,224376
2016-09-26,234058
2016-09-27,244002
2016-09-28,242165
2016-09-29,236296
2016-09-30,242774
2016-10-01,252375
2016-10-02,252375
2016-10-03,255711
2016-10-04,260378
2016-10-05,258245
2016-10-06,257813
2016-10-07,251171
2016-10-08,255672
2016-10-09,257206
2016-10-10,246952
2016-10-11,237294
2016-10-12,227812
2016-10-13,221995
2016-10-14,223009
2016-10-15,227964
2016-10-16,230633
2016-10-17,227278
2016-10-18,228248
2016-10-19,230233
2016-10-20,228906
2016-10-21,219902
2016-10-22,219902
2016-10-23,220775
2016-10-24,227306
2016-10-25,227306
2016-10-26,237174
2016-10-27,249033
2016-10-28,261485
2016-10-29,274444
2016-10-30,288013
2016-10-31,289109
2016-11-01,275132
2016-11-02,261375
2016-11-03,248306
2016-11-04,237687
2016-11-05,237687
2016-11-06,242298
2016-11-07,234574
2016-11-08,231421
2016-11-09,232154
2016-11-10,232686
2016-11-11,231395
2016-11-12,232474
2016-11-13,230798
2016-11-14,224961
2016-11-15,228127
2016-12-07,248493
2016-12-08,245790
2016-12-09,249046
2016-12-10,249078
2016-12-11,248205
2016-12-12,254109
2016-12-13,252396
2016-12-14,260020
2016-12-15,260020
2016-12-16,259393
2016-12-17,270469
2016-12-18,260123
2016-12-19,253687
2016-12-20,248146
2016-12-21,243649
2016-12-22,243750
2016-12-23,245093
2016-12-24,242881
2016-12-25,242703
2016-12-26,243766
2016-12-27,251121
2016-12-28,258047
2016-12-29,250420
2016-12-30,247863
2016-12-31,254089
2017-01-01,252684
2017-01-02,248666
2017-01-03,245626
2017-01-04,244055
2017-01-05,243006
2017-01-06,238411
2017-01-07,235438
2017-01-08,229627
2017-01-09,223109
2017-01-10,226383
2017-01-11,224179
2017-01-12,222403
2017-01-13,224695
2017-01-14,230338
2017-01-15,236838
2017-01-16,232682
2017-01-17,227257
2017-01-18,222884
2017-01-19,224461
2017-01-20,224626
2017-01-21,226405
2017-01-22,227009
2017-01-23,225656
2017-01-27,236794
2017-01-28,237201
2017-01-29,234345
2017-01-30,227710
2017-01-31,225523
2017-02-01,224710
2017-02-02,226005
2017-02-03,228215
2017-02-04,229540
2017-02-05,226996
2017-02-06,225765
2017-02-07,224976
2017-02-08,226091
2017-02-09,224893
2017-02-10,225727
2017-02-11,224947
2017-02-12,224841
2017-02-13,223215
2017-02-14,223752
2017-02-15,225852
2017-02-16,225405
2017-02-18,231252
2017-02-19,233896
2017-02-20,229343
2017-02-21,235908
2017-02-22,232513
2017-02-23,224143
2017-02-24,213637
2017-02-25,206156
2017-02-26,203371
2017-02-27,203106
2017-02-28,207264
2017-03-01,210644
2017-03-02,215107
2017-03-03,225863
2017-03-04,237157
2017-03-05,244768
2017-03-06,244258
2017-03-07,244144
2017-03-08,244675
2017-03-09,244743
2017-03-10,245086
2017-03-11,245737
2017-03-12,245124
2017-03-13,244567
2017-03-14,245274
2017-03-15,245529
2017-03-16,245351
2017-03-17,245073
2017-03-18,245978
2017-03-19,243888
2017-03-20,245153
2017-03-21,243558
2017-03-22,239801
2017-03-23,238438
2017-03-24,240223
2017-03-25,240223
2017-03-26,237545
2017-03-27,238747
2017-03-28,250089
2017-03-29,245161
2017-03-30,241351
2017-03-31,239910
2017-04-01,243396
2017-04-02,255011
2017-04-03,263760
2017-04-04,266460
2017-04-12,257296
2017-04-13,254331
2017-04-14,255548
2017-04-15,258947
2017-04-16,257522
2017-04-17,257303
2017-04-18,258940
2017-04-19,258375
2017-04-20,263957
2017-04-21,266627
2017-04-22,270366
2017-04-23,276738
2017-04-24,289781
2017-04-25,303381
2017-04-26,316620
2017-04-27,324175
2017-04-28,315641
2017-04-29,329694
2017-04-30,345891
2017-05-01,359684
2017-05-02,369008
2017-05-03,375464
2017-05-04,391781
2017-05-05,410226
2017-05-06,428917
2017-05-07,450083
2017-05-08,449092
2017-05-09,446557
2017-05-10,446940
2017-05-11,446501
2017-05-12,448473
2017-05-13,447731
2017-05-14,446709
2017-05-15,445911
2017-05-16,447198
2017-05-17,448688
2017-05-18,448618
2017-05-19,451760
2017-05-20,447362
2017-05-21,447362
2017-05-22,447385
2017-05-23,446835
2017-05-24,447926
2017-05-25,448432
