date_obj,Pantaloons price
2015-03-26,13983
2015-03-27,13983
2015-03-28,13983
2015-03-29,13354
2015-03-30,13354
2015-03-31,12761
2015-04-01,12761
2015-04-02,12761
2015-04-03,12175
2015-04-04,12175
2015-04-05,11615
2015-04-06,11615
2015-04-07,11092
2015-04-08,11092
2015-04-09,11092
2015-04-10,10579
2015-04-11,10579
2015-04-12,10137
2015-04-13,10137
2015-04-14,10137
2015-04-15,9630
2015-04-16,9630
2015-04-17,9630
2015-04-18,9220
2015-04-19,9220
2015-04-20,9220
2015-04-21,8803
2015-04-22,8803
2015-04-23,8803
2015-04-24,8416
2015-04-25,8416
2015-04-26,8416
2015-04-27,8017
2015-04-28,8017
2015-04-29,8017
2015-04-30,7668
2015-05-01,7668
2015-05-02,7329
2015-05-03,7329
2015-05-04,7329
2015-05-05,6983
2015-05-06,6983
2015-05-07,6680
2015-05-08,6680
2015-05-09,6378
2015-05-10,6378
2015-05-11,6378
2015-05-12,6098
2015-05-13,6098
2015-05-14,6098
2015-05-15,5823
2015-05-16,5823
2015-05-17,5823
2015-05-18,5568
2015-05-19,5568
2015-05-20,5568
2015-05-21,5568
2015-05-22,5371
2015-05-23,5371
2015-05-24,5371
2015-05-25,5231
2015-05-26,5231
2015-05-27,5231
2015-05-28,5231
2015-05-29,4989
2015-05-30,4989
2015-05-31,4989
2015-06-01,4782
2015-06-02,4782
2015-06-03,4782
2015-06-04,4782
2015-06-05,4702
2015-06-06,4702
2015-06-07,4702
2015-06-08,4702
2015-06-09,4567
2015-06-10,4567
2015-06-11,4567
2015-06-12,4567
2015-06-13,4433
2015-06-14,4433
2015-06-15,4433
2015-06-16,4433
2015-06-17,4345
2015-06-18,4345
2015-06-19,4345
2015-06-20,4345
2015-06-21,4309
2015-06-22,4309
2015-06-23,4309
2015-06-24,4309
2015-06-25,4188
2015-06-26,4188
2015-06-27,4188
2015-06-28,4188
2015-06-29,4074
2015-06-30,4074
2015-07-01,4074
2015-07-02,4074
2015-07-03,4016
2015-07-04,4016
2015-07-05,4016
2015-07-06,4016
2015-07-07,3923
2015-07-08,3923
2015-07-09,3923
2015-07-10,3923
2015-07-11,3825
2015-07-12,3825
2015-07-13,3825
2015-07-14,3825
2015-07-15,3745
2015-07-16,3745
2015-07-17,3745
2015-07-18,3745
2015-07-19,3757
2015-07-20,3757
2015-07-21,3757
2015-07-22,3695
2015-07-23,3695
2015-07-24,3695
2015-07-25,3695
2015-07-26,3785
2015-07-27,3785
2015-07-28,3785
2015-07-29,3685
2015-07-30,3685
2015-07-31,3685
2015-08-01,3685
2015-08-02,3634
2015-08-03,3634
2015-08-04,3634
2015-08-05,3634
2015-08-06,3503
2015-08-07,3503
2015-08-08,3503
2015-08-09,3417
2015-08-10,3417
2015-08-11,3417
2015-08-12,3417
2015-08-13,3417
2015-08-14,3540
2015-08-15,3540
2015-08-16,3540
