date_obj,Fine%20cloth price
2015-03-26,15500
2015-03-27,15500
2015-03-28,15500
2015-03-29,15500
2015-03-30,15500
2015-03-31,15500
2015-04-01,15500
2015-04-02,15500
2015-04-03,15500
2015-04-04,15500
2015-04-05,15500
2015-04-06,15500
2015-04-07,15500
2015-04-08,15500
2015-04-09,15500
2015-04-10,15500
2015-04-11,15500
2015-04-12,15500
2015-04-13,15500
2015-04-14,15500
2015-04-15,15500
2015-04-16,15500
2015-04-17,15500
2015-04-18,15500
2015-04-19,15500
2015-04-20,15500
2015-04-21,15500
2015-04-22,15500
2015-04-23,15500
2015-04-24,15500
2015-04-25,15500
2015-04-26,15500
2015-04-27,15500
2015-04-28,15500
2015-04-29,15500
2015-04-30,14743
2015-05-01,14743
2015-05-02,14743
2015-05-03,14743
2015-05-04,14743
2015-05-05,14743
2015-05-06,14743
2015-05-07,14743
2015-05-08,14743
2015-05-09,14743
2015-05-10,14743
2015-05-11,14743
2015-05-12,14743
2015-05-13,14743
2015-05-14,14743
2015-05-15,14743
2015-05-16,14743
2015-05-17,14743
2015-05-18,14743
2015-05-19,14743
2015-05-20,14743
2015-05-21,14743
2015-05-22,14743
2015-05-23,14743
2015-05-24,14743
2015-05-25,14743
2015-05-26,14743
2015-05-27,14743
2015-05-28,14005
2015-05-29,14005
2015-05-30,14005
2015-05-31,14005
2015-06-01,14005
2015-06-02,14005
2015-06-03,14005
2015-06-04,14005
2015-06-05,14005
2015-06-06,14005
2015-06-07,14005
2015-06-08,14005
2015-06-09,14005
2015-06-10,14005
2015-06-11,14005
2015-06-12,14005
2015-06-13,14005
2015-06-14,14005
2015-06-15,14005
2015-06-16,14005
2015-06-17,14005
2015-06-18,14005
2015-06-19,14005
2015-06-20,14005
2015-06-21,14005
2015-06-22,14005
2015-06-23,14005
2015-06-24,14005
2015-06-25,14005
2015-06-26,14005
2015-06-27,14005
2015-06-28,14005
2015-06-29,14005
2015-06-30,14005
2015-07-01,14005
2015-07-02,14005
2015-07-03,14005
2015-07-04,14005
2015-07-05,14005
2015-07-06,14005
2015-07-07,14005
2015-07-08,14005
2015-07-09,14005
2015-07-10,14005
2015-07-11,14005
2015-07-12,14005
2015-07-13,14005
2015-07-14,14005
2015-07-15,14005
2015-07-16,14005
2015-07-17,14005
2015-07-18,14005
2015-07-19,14005
2015-07-20,14005
2015-07-21,14005
2015-07-22,14005
2015-07-23,14005
2015-07-24,13320
2015-07-25,13320
2015-07-26,13320
2015-07-27,13320
2015-07-28,13320
2015-07-29,13320
2015-07-30,13320
