date_obj,Wolf%20mask price
2019-04-11,74000
2019-04-11,77700
2019-04-12,81585
2019-04-13,85665
2019-04-14,89949
2019-04-15,170000
2019-04-16,171049
2019-04-17,171477
2019-04-18,172955
2019-04-19,167729
2019-04-20,164356
2019-04-21,158850
2019-04-22,153266
2019-04-23,146720
2019-04-24,139834
2019-04-25,132842
2019-04-26,126199
2019-04-27,119889
2019-04-28,113894
2019-04-29,108199
2019-04-30,102789
2019-05-01,97649
2019-05-02,92766
2019-05-03,88127
2019-05-04,83720
2019-05-05,79534
2019-05-06,75557
2019-05-07,71779
2019-05-08,68190
2019-05-09,64780
2019-05-10,61577
2019-05-11,58498
2019-05-12,55573
2019-05-13,52794
2019-05-14,50154
2019-05-15,47761
2019-05-16,45372
2019-05-17,43437
2019-05-18,41610
2019-05-19,40012
2019-05-20,38721
2019-05-21,37835
2019-05-22,37468
2019-05-23,36104
2019-05-24,34514
2019-05-25,33072
2019-05-26,31934
2019-05-27,30360
2019-05-28,29707
2019-05-29,28982
2019-05-30,28090
2019-05-31,27588
2019-06-01,26703
2019-06-02,26285
2019-06-03,25894
2019-06-04,26018
2019-06-05,26911
2019-06-06,28230
2019-06-07,29414
2019-06-08,30009
2019-06-09,30633
2019-06-10,30633
2019-06-11,31285
2019-06-12,32309
2019-06-13,32841
2019-06-14,32997
2019-06-15,33064
2019-06-16,32655
2019-06-17,31783
2019-06-18,30964
2019-06-19,29982
2019-06-20,29654
2019-06-21,29740
2019-06-22,31227
2019-06-23,32640
2019-06-24,34075
2019-06-25,34724
2019-06-26,34041
2019-06-27,32588
2019-06-28,32588
2019-06-29,33168
2019-06-30,34827
2019-07-01,36143
2019-07-02,36395
2019-07-03,36981
2019-07-04,37472
2019-07-05,37372
2019-07-06,36961
2019-07-07,37094
2019-07-08,37236
2019-07-09,37769
2019-07-10,38397
2019-07-11,38100
2019-07-12,39178
2019-07-13,39178
2019-07-14,39204
2019-07-15,39204
2019-07-16,39484
2019-07-17,39333
2019-07-18,39868
2019-07-19,39530
2019-07-20,40003
2019-07-21,40542
2019-07-22,40978
2019-07-23,40381
2019-07-24,40381
2019-07-25,40012
2019-07-26,39910
2019-07-27,40107
2019-07-28,40556
2019-07-29,40294
2019-07-30,40591
2019-07-31,40965
2019-08-01,41495
2019-08-02,41300
2019-08-03,41384
2019-08-04,40600
2019-08-05,40456
2019-08-06,39897
2019-08-07,39111
2019-08-08,38289
2019-08-09,38270
2019-08-10,37718
2019-08-11,37424
2019-08-12,37580
2019-08-13,37129
2019-08-14,38931
2019-08-15,39533
2019-08-16,39901
2019-08-17,39901
2019-08-18,41017
2019-08-19,41387
2019-08-20,42130
2019-08-21,41851
2019-08-22,43131
2019-08-23,43538
2019-08-24,44045
2019-08-24,44045
2019-08-25,44255
2019-08-25,44255
2019-08-26,44281
2019-08-26,44281
2019-08-27,44589
2019-08-27,44589
2019-08-28,45026
2019-08-29,45362
2019-08-30,44725
2019-08-31,44725
2019-09-01,44923
2019-09-02,44923
2019-09-03,45014
2019-09-04,46328
2019-09-05,47255
2019-09-06,47255
2019-09-07,47090
2019-09-08,47943
2019-09-09,47943
2019-09-10,47124
2019-09-11,46923
2019-09-12,45997
2019-09-13,45997
2019-09-14,45753
2019-09-15,44800
2019-09-16,43926
2019-09-17,43663
2019-09-18,44357
2019-09-19,43205
2019-09-20,43205
2019-09-21,43110
2019-09-22,42457
2019-09-23,42705
2019-09-24,42705
2019-09-25,41295
2019-09-26,39602
2019-09-27,39407
2019-09-28,38547
2019-09-29,38547
2019-09-30,37526
2019-10-01,36780
2019-10-02,36780
2019-10-03,35245
2019-10-04,35245
2019-10-05,33707
2019-10-06,32049
2019-10-07,30640
2019-10-08,29473
2019-10-09,29473
2019-10-10,28393
2019-10-11,27167
2019-10-12,25836
2019-10-13,24559
2019-10-14,23331
2019-10-15,22394
2019-10-16,21670
2019-10-17,21153
2019-10-18,20809
2019-10-19,19832
2019-10-20,19189
2019-10-21,18495
2019-10-22,18233
2019-10-23,17943
2019-10-24,17899
2019-10-25,17269
2019-10-26,16805
2019-10-27,16332
2019-10-28,15891
2019-10-29,15891
2019-10-30,15691
2019-10-31,15829
2019-11-01,15585
2019-11-02,15493
2019-11-03,15577
2019-11-04,15286
2019-11-05,15286
2019-11-06,15253
2019-11-07,15014
2019-11-08,14584
2019-11-09,14247
2019-11-10,13920
2019-11-11,14419
2019-11-12,14419
2019-11-13,14938
2019-11-14,14974
2019-11-15,15049
2019-11-16,15157
2019-11-17,15157
2019-11-18,15008
2019-11-19,15008
2019-11-20,14967
2019-11-21,14967
2019-11-22,15146
2019-11-23,15343
2019-11-24,15186
2019-11-25,14979
2019-11-26,14531
2019-11-27,14531
2019-11-28,14335
2019-11-29,14335
2019-11-30,14005
2019-12-01,14005
2019-12-02,13763
2019-12-03,13402
2019-12-04,13402
2019-12-05,13406
2019-12-06,12793
2019-12-07,12153
2019-12-08,12153
2019-12-09,11545
2019-12-10,11172
2019-12-11,11418
2019-12-12,11418
2019-12-13,11475
2019-12-14,11746
2019-12-15,11764
2019-12-16,11984
2019-12-17,12266
2019-12-18,12266
2019-12-19,12316
2019-12-20,12910
2019-12-21,13551
2019-12-22,14188
2019-12-23,14188
2019-12-24,14521
2019-12-25,14929
2019-12-26,14929
2019-12-27,14650
2019-12-28,14802
2019-12-29,14802
2019-12-30,14821
2019-12-31,14821
2020-01-01,14674
2020-01-02,14109
2020-01-03,14109
2020-01-04,14259
2020-01-05,14216
2020-01-06,14216
2020-01-07,13924
2020-01-08,13924
2020-01-09,13752
2020-01-10,13421
2020-01-11,12749
2020-01-12,12515
2020-01-13,12515
2020-01-14,12281
2020-01-15,11920
2020-01-16,11852
2020-01-17,12142
2020-01-18,12142
2020-01-19,11727
2020-01-20,11225
2020-01-21,11225
2020-01-22,11160
2020-01-23,10859
2020-01-24,10802
2020-01-25,10457
2020-01-26,10382
2020-01-27,10334
2020-01-28,10163
2020-01-29,9898
2020-01-30,9785
2020-01-31,10018
2020-02-01,9799
2020-02-02,9429
2020-02-03,9239
2020-02-04,9337
2020-02-05,9159
2020-02-06,8934
2020-02-07,8934
2020-02-08,8791
2020-02-09,8840
2020-02-10,9076
2020-02-11,9342
2020-02-12,9263
2020-02-13,9263
2020-02-14,9243
2020-02-15,9050
2020-02-16,8944
2020-02-17,9037
2020-02-18,9177
2020-02-19,9177
2020-02-20,9284
2020-02-21,9284
2020-02-22,9362
2020-02-23,9172
2020-02-24,8780
2020-02-25,8579
2020-02-26,8512
2020-02-27,8507
2020-02-28,8491
2020-02-29,8491
2020-03-01,8163
2020-03-02,7919
2020-03-03,7589
2020-03-04,7589
2020-03-05,7338
2020-03-06,7062
2020-03-07,6882
2020-03-08,6758
2020-03-09,6781
2020-03-10,7076
2020-03-11,7228
2020-03-12,7065
2020-03-13,6993
2020-03-14,6959
2020-03-15,7186
2020-03-16,7426
2020-03-17,7712
2020-03-18,7960
2020-03-19,8217
2020-03-20,8438
2020-03-21,8670
2020-03-22,8974
2020-03-23,8819
2020-03-24,8699
2020-03-25,8795
2020-03-26,9037
2020-03-27,9485
2020-03-28,9960
2020-03-29,10087
2020-03-30,10366
2020-03-31,10880
2020-04-01,11247
2020-04-02,11558
2020-04-03,11558
2020-04-04,11787
2020-04-05,11680
2020-04-06,11403
2020-04-07,10832
2020-04-08,10341
2020-04-09,10059
2020-04-10,9893
2020-04-11,9754
2020-04-12,9397
2020-04-13,9221
2020-04-14,9274
2020-04-15,9526
2020-04-16,9526
2020-04-17,9913
2020-04-18,10362
2020-04-19,10738
2020-04-20,11133
2020-04-21,11271
2020-04-22,11590
2020-04-23,11936
2020-04-24,12265
2020-04-25,12739
2020-04-26,12915
2020-04-27,13121
2020-04-28,12684
2020-04-29,12049
2020-04-30,11493
2020-05-01,11443
2020-05-02,11830
2020-05-03,12019
2020-05-04,11888
2020-05-05,11692
2020-05-06,11608
2020-05-07,11354
2020-05-08,10968
2020-05-09,10769
2020-05-10,10783
2020-05-11,10521
2020-05-12,10209
2020-05-13,9777
