date_obj,Rune%20platelegs price
2015-03-26,41316
2015-03-27,40710
2015-03-28,40995
2015-03-29,41247
2015-03-30,41012
2015-03-31,42039
2015-04-01,41774
2015-04-02,41040
2015-04-03,39985
2015-04-04,40324
2015-04-05,40685
2015-04-06,40281
2015-04-07,40115
2015-04-08,40188
2015-04-09,40598
2015-04-10,40421
2015-04-11,40291
2015-04-12,40761
2015-04-13,41285
2015-04-14,40862
2015-04-15,41350
2015-04-16,41255
2015-04-17,40865
2015-04-18,41144
2015-04-19,41443
2015-04-20,41987
2015-04-21,41907
2015-04-22,42095
2015-04-23,41687
2015-04-24,41644
2015-04-25,41526
2015-04-26,41420
2015-04-27,41604
2015-04-28,41885
2015-04-29,41744
2015-04-30,41787
2015-05-01,41891
2015-05-02,42099
2015-05-03,41714
2015-05-04,41821
2015-05-05,41666
2015-05-06,41577
2015-05-07,41483
2015-05-08,41608
2015-05-09,41685
2015-05-10,41603
2015-05-11,41188
2015-05-12,40962
2015-05-13,41217
2015-05-14,41873
2015-05-15,41513
2015-05-16,41394
2015-05-17,41215
2015-05-18,41553
2015-05-19,41492
2015-05-20,41668
2015-05-21,42025
2015-05-22,42025
2015-05-23,41826
2015-05-24,41732
2015-05-25,41784
2015-05-26,42223
2015-05-27,42030
2015-05-28,41804
2015-05-29,41192
2015-05-30,40352
2015-05-31,41098
2015-06-01,41819
2015-06-02,41590
2015-06-03,41037
2015-06-04,40996
2015-06-05,40418
2015-06-06,40930
2015-06-07,41079
2015-06-08,41470
2015-06-09,41342
2015-06-10,40860
2015-06-11,40203
2015-06-12,39590
2015-06-13,39834
2015-06-14,39953
2015-06-15,40513
2015-06-16,40965
2015-06-17,41714
2015-06-18,41354
2015-06-19,41017
2015-06-20,40455
2015-06-21,40486
2015-06-22,40662
2015-06-23,41000
2015-06-24,40937
2015-06-25,40435
2015-06-26,40490
2015-06-27,40451
2015-06-28,40824
2015-06-29,40993
2015-06-30,41373
2015-07-01,41845
2015-07-02,41030
2015-07-03,40898
2015-07-04,39840
2015-07-05,39724
2015-07-06,40082
2015-07-07,40600
2015-07-08,40641
2015-07-09,40937
2015-07-10,40669
2015-07-11,40395
2015-07-12,40695
2015-07-13,41021
2015-07-14,41214
2015-07-15,40628
2015-07-16,40881
2015-07-17,40651
2015-07-18,41308
2015-07-19,41657
2015-07-20,41308
2015-07-21,41572
2015-07-22,41643
2015-07-23,41034
2015-07-24,40554
2015-07-25,39642
2015-07-26,39574
2015-07-27,39942
2015-07-28,40573
2015-07-29,41107
2015-07-30,41297
2015-07-31,40787
2015-08-01,41135
2015-08-02,41269
2015-08-03,41533
2015-08-04,41762
2015-08-05,41974
2015-08-06,41838
2015-08-07,41892
2015-08-08,41775
2015-08-09,42166
2015-08-10,42122
2015-08-11,42318
2015-08-12,42167
2015-08-13,41868
2015-08-14,41918
2015-08-15,41573
2015-08-16,41308
2015-08-17,41749
2015-08-18,42164
2015-08-19,41883
2015-08-20,42098
2015-08-21,42108
2015-08-22,41736
2015-08-23,41807
2015-08-24,41899
2015-08-25,42310
2015-08-26,42252
2015-08-27,41593
2015-08-28,41530
2015-08-29,41560
2015-08-30,41547
2015-08-31,41529
2015-09-01,41267
2015-09-02,41340
2015-09-03,41495
2015-09-04,41349
2015-09-05,41176
2015-09-06,41125
2015-09-07,41290
2015-09-08,41626
2015-09-09,41796
2015-09-10,42328
2015-09-11,41702
2015-09-12,41568
2015-09-13,40967
2015-09-14,41274
2015-09-15,41067
2015-09-16,40904
2015-09-17,40936
2015-09-18,40879
2015-09-19,41320
2015-09-20,41263
2015-09-21,41500
2015-09-22,41381
2015-09-23,41524
2015-09-24,41887
2015-09-25,41935
2015-09-27,41806
2015-09-28,42365
2015-09-29,42664
2015-09-30,41994
2015-10-05,40577
2015-10-06,40886
2015-10-07,41070
2015-10-08,40748
2015-10-09,40376
2015-10-10,41346
2015-10-11,40772
2015-10-12,40768
2015-10-13,41175
2015-10-14,41344
2015-10-15,40773
2015-10-16,40938
2015-10-17,38891
2015-10-18,40252
2015-10-19,41687
2015-10-20,42158
2015-10-22,41868
2015-10-23,41586
2015-10-24,41294
2015-10-25,40817
2015-10-26,41739
2015-10-27,42032
2015-10-29,42097
2015-10-30,42204
2015-10-31,42140
2015-11-01,41940
2015-11-02,41607
2015-11-03,41480
2015-11-04,41676
2015-11-05,42003
2015-11-06,42048
2015-11-07,42976
2015-11-08,42411
2015-11-09,41669
2015-11-10,41412
2015-11-11,41427
2015-11-12,42391
2015-11-13,42028
2015-11-14,42239
2015-11-15,42958
2015-11-16,43039
2015-11-17,42884
2015-11-18,42499
2015-11-19,42932
2015-11-20,42803
2015-11-21,42784
2015-11-22,42964
2015-11-23,42819
2015-11-24,43133
2015-11-25,43278
2015-11-26,43604
2015-11-27,42846
2015-11-28,42836
2015-11-29,42948
2015-11-30,42666
2015-12-01,42684
2015-12-02,42538
2015-12-03,41946
2015-12-04,42076
2015-12-05,42101
2015-12-06,42193
2015-12-07,42209
2015-12-08,42232
2015-12-09,42213
2015-12-10,42521
2015-12-11,42280
2015-12-12,42310
2015-12-13,41967
2015-12-14,41673
2015-12-15,42119
2015-12-16,42177
2015-12-17,42243
2015-12-18,42300
2015-12-19,42420
2015-12-20,42591
2015-12-21,42726
2015-12-22,42652
2015-12-23,42483
2015-12-24,42091
2015-12-25,42590
2015-12-26,42500
2015-12-27,42692
2015-12-28,42485
2015-12-29,42374
2015-12-30,42670
2015-12-31,42067
2016-01-01,41877
2016-01-02,41416
2016-01-03,41770
2016-01-04,41798
2016-01-05,41531
2016-01-06,40938
2016-01-07,40933
2016-01-08,41118
2016-01-09,41669
2016-01-10,41585
2016-01-11,41196
2016-01-12,41360
2016-01-13,41321
2016-01-14,41136
2016-01-15,41039
2016-01-16,41069
2016-01-17,41090
2016-01-18,41049
2016-01-19,41261
2016-01-20,41261
2016-01-21,41648
2016-01-22,41830
2016-01-23,41534
2016-01-24,41567
2016-01-25,41452
2016-01-26,40979
2016-01-27,40929
2016-01-28,40662
2016-01-29,41247
2016-01-30,41014
2016-01-31,41237
2016-02-01,41725
2016-02-02,42078
2016-02-03,41849
2016-02-04,41283
2016-02-05,41115
2016-02-06,41202
2016-02-07,41222
2016-02-08,41050
2016-02-09,41385
2016-02-10,41375
2016-02-11,41532
2016-02-12,41436
2016-02-13,41693
2016-02-14,41874
2016-02-15,41956
2016-02-16,41895
2016-02-17,41960
2016-02-18,41665
2016-02-19,41520
2016-02-20,41047
2016-02-21,41475
2016-02-22,41906
2016-02-23,42097
2016-02-24,42379
2016-02-25,42289
2016-02-26,42058
2016-02-27,41921
2016-02-28,41924
2016-02-29,41870
2016-03-01,42055
2016-03-02,41633
2016-03-03,41597
2016-03-04,41801
2016-03-05,41671
2016-03-06,41617
2016-03-07,41485
2016-03-08,41423
2016-03-09,41076
2016-03-10,40944
2016-03-11,41104
2016-03-12,41565
2016-03-13,41591
2016-03-14,41717
2016-03-15,41524
2016-03-16,41685
2016-03-17,41447
2016-03-18,41589
2016-03-19,41821
2016-03-20,41767
2016-03-21,41663
2016-03-22,41620
2016-03-23,41552
2016-03-24,41293
2016-03-25,41315
2016-03-26,41494
2016-03-27,41581
2016-03-28,41798
2016-03-29,41900
2016-03-30,41482
2016-03-31,41723
2016-04-01,41806
2016-04-02,41705
2016-04-03,41650
2016-04-04,41753
2016-04-05,41556
2016-04-06,41440
2016-04-07,41563
2016-04-08,41633
2016-04-09,41737
2016-04-10,41780
2016-04-11,41853
2016-04-12,41850
2016-04-13,41625
2016-04-14,41738
2016-04-15,41644
2016-04-16,42054
2016-04-17,41760
2016-04-18,42309
2016-04-19,42259
2016-04-20,42219
2016-04-21,42094
2016-04-22,41791
2016-04-23,41666
2016-04-24,41873
2016-04-25,41620
2016-04-26,41607
2016-04-27,41713
2016-04-28,41687
2016-04-29,41708
2016-04-30,41660
2016-05-01,41563
2016-05-02,41635
2016-05-03,41758
2016-05-04,41332
2016-05-05,41465
2016-05-06,41078
2016-05-07,40545
2016-05-08,40111
2016-05-09,40597
2016-05-10,39948
2016-05-11,39048
2016-05-12,39014
2016-05-13,39030
2016-05-14,38509
2016-05-15,38521
2016-05-16,38540
2016-05-17,38725
2016-05-18,38653
2016-05-19,39402
2016-05-22,38826
2016-05-23,38862
2016-05-24,39311
2016-05-25,40204
2016-05-26,40783
2016-05-27,40736
2016-05-28,40863
2016-05-29,40543
2016-05-30,40107
2016-05-31,40853
2016-06-01,40793
2016-06-02,41247
2016-06-03,40812
2016-06-04,41151
2016-06-05,41623
2016-06-06,41223
2016-06-07,40195
2016-06-08,39821
2016-06-09,39935
2016-06-10,39958
2016-06-11,39763
2016-06-12,39677
2016-06-13,40071
2016-06-14,39898
2016-06-15,39823
2016-06-16,40127
2016-06-17,39758
2016-06-18,39590
2016-06-19,39279
2016-06-20,39179
2016-06-21,39405
2016-06-22,39660
2016-06-23,40330
2016-06-24,39939
2016-06-25,39672
2016-06-26,39784
2016-06-27,40324
2016-06-28,40348
2016-06-29,40129
2016-06-30,39688
2016-07-01,40479
2016-07-02,40688
2016-07-03,40722
2016-07-04,40467
2016-07-05,40831
2016-07-06,41013
2016-07-07,41004
2016-07-08,41138
2016-07-09,40675
2016-07-10,40360
2016-07-11,39702
2016-07-12,39765
2016-07-13,39846
2016-07-14,40081
2016-07-15,40075
2016-07-16,40150
2016-07-17,40204
2016-07-18,40210
2016-07-23,39850
2016-07-24,40272
2016-07-25,40117
2016-07-26,40498
2016-07-27,40957
2016-07-28,41466
2016-07-29,41999
2016-07-30,41671
2016-07-31,41691
2016-08-01,41952
2016-08-02,41900
2016-08-03,41418
2016-08-04,41465
2016-08-05,40829
2016-08-06,41248
2016-08-07,41251
2016-08-08,41033
2016-08-09,41615
2016-08-10,41521
2016-08-11,41500
2016-08-12,41197
2016-08-13,41597
2016-08-14,41348
2016-08-15,41520
2016-08-16,41980
2016-08-17,41815
2016-08-18,41587
2016-08-19,41368
2016-08-20,40973
2016-08-21,41066
2016-08-22,41217
2016-08-23,41099
2016-08-24,40955
2016-08-25,40973
2016-08-26,41131
2016-08-28,41063
2016-08-31,41519
2016-09-01,41316
2016-09-02,41470
2016-09-03,41460
2016-09-04,41309
2016-09-05,41342
2016-09-06,41839
2016-09-07,41624
2016-09-08,41560
2016-09-09,41620
2016-09-10,41617
2016-09-11,41612
2016-09-12,41765
2016-09-13,41561
2016-09-14,40973
2016-09-15,40807
2016-09-16,41173
2016-09-17,41406
2016-09-18,40751
2016-09-19,41149
2016-09-20,41025
2016-09-21,41098
2016-09-22,41195
2016-09-23,41343
2016-09-24,41026
2016-09-25,41220
2016-09-26,41215
2016-09-27,41253
2016-09-28,41247
2016-09-29,40797
2016-09-30,41036
2016-10-01,41175
2016-10-02,40853
2016-10-03,40731
2016-10-04,40407
2016-10-05,40039
2016-10-06,40180
2016-10-07,40909
2016-10-08,41053
2016-10-09,40697
2016-10-10,40353
2016-10-11,40537
2016-10-12,40656
2016-10-13,40723
2016-10-14,40892
2016-10-15,40809
2016-10-16,40801
2016-10-17,41097
2016-10-18,41237
2016-10-19,41172
2016-10-20,41256
2016-10-21,40840
2016-10-22,40347
2016-10-23,40891
2016-10-24,40905
2016-10-25,40794
2016-10-26,40957
2016-10-27,40814
2016-10-28,41171
2016-10-29,40880
2016-10-30,40731
2016-10-31,41183
2016-11-01,41156
2016-11-02,40977
2016-11-03,40998
2016-11-04,41038
2016-11-05,40742
2016-11-06,40812
2016-11-07,40604
2016-11-08,40322
2016-11-09,40648
2016-11-10,40850
2016-11-11,40714
2016-11-12,40809
2016-11-13,40816
2016-11-14,40992
2016-12-08,40513
2016-12-09,40313
2016-12-10,40145
2016-12-11,40328
2016-12-12,40316
2016-12-13,40640
2016-12-14,40781
2016-12-15,40749
2016-12-16,41025
2016-12-17,41096
2016-12-18,40752
2016-12-19,40798
2016-12-20,40958
2016-12-21,41084
2016-12-22,41083
2016-12-23,40655
2016-12-24,40710
2016-12-25,40996
2016-12-26,40646
