date_obj,Gilded%202h%20sword price
2016-07-06,1297379
2016-07-07,1354359
2016-07-08,1417354
2016-07-09,1484724
2016-07-10,1552629
2016-07-11,1621216
2016-07-12,1692479
2016-07-13,1771538
2016-07-14,1856010
2016-07-15,1944448
2016-07-16,2030034
2016-07-17,2117240
2016-07-18,2211748
2016-07-23,2761198
2016-07-24,2883205
2016-07-25,3012080
2016-07-26,3012080
2016-07-27,3146100
2016-07-28,3287977
2016-07-29,3434935
2016-07-30,3594126
2016-07-31,3594126
2016-08-01,3747740
2016-08-02,3906781
2016-08-03,3906781
2016-08-04,4066595
2016-08-05,4066595
2016-08-06,4239116
2016-08-07,4239116
2016-08-08,4410525
2016-08-09,4410525
2016-08-10,4598349
2016-08-11,4598349
2016-08-12,4793240
2016-08-13,4793240
2016-08-14,4999906
2016-08-15,4999906
2016-08-16,5108111
2016-08-17,5108111
2016-08-18,5108111
2016-08-19,5287962
2016-08-20,5287962
2016-08-21,5287962
2016-08-22,5514728
2016-08-23,5514728
2016-08-24,5742861
2016-08-25,5742861
2016-08-26,5742861
2016-08-28,5977716
2016-08-31,6219331
2016-09-01,6489795
2016-09-02,6489795
2016-09-03,6489795
2016-09-04,6755219
2016-09-05,6755219
2016-09-06,6755219
2016-09-07,7058107
2016-09-08,7058107
2016-09-09,7058107
2016-09-10,7058107
2016-09-11,7058107
2016-09-12,7348918
2016-09-13,7348918
2016-09-14,7348918
2016-09-15,7662749
2016-09-16,7662749
2016-09-17,7662749
2016-09-18,8001541
2016-09-19,8001541
2016-09-20,8001541
2016-09-21,8361466
2016-09-22,8361466
2016-09-23,8754091
2016-09-24,8754091
2016-09-25,9140235
2016-09-26,9140235
2016-09-27,9140235
2016-09-28,9528848
2016-09-29,9528848
2016-09-30,9528848
2016-10-01,9672115
2016-10-02,9672115
2016-10-03,9672115
2016-10-04,9672115
2016-10-05,9672115
2016-10-06,9299757
2016-10-07,9299757
2016-10-08,8864988
2016-10-09,8864988
2016-10-10,8864988
2016-10-11,8548702
2016-10-12,8548702
2016-10-13,8548702
2016-10-14,8418328
2016-10-15,8418328
2016-10-16,8418328
2016-10-17,8009116
2016-10-18,8009116
2016-10-19,8009116
2016-10-20,8009116
2016-10-21,7608660
2016-10-22,7608660
2016-10-23,7608660
2016-10-24,7238439
2016-10-25,7238439
2016-10-26,7238439
2016-10-27,6876517
2016-10-28,6876517
2016-10-29,6876517
2016-10-30,7000688
2016-10-31,7000688
2016-11-01,7000688
2016-11-02,7299257
2016-11-03,7299257
2016-11-04,7299257
2016-11-05,7427349
2016-11-06,7427349
2016-11-07,7427349
2016-11-08,7123437
2016-11-09,7123437
2016-11-10,7123437
2016-11-11,6820994
