date_obj,Black%20cavalier price
2015-03-26,84913
2015-03-27,84913
2015-03-28,84913
2015-03-29,84458
2015-03-30,84458
2015-03-31,84458
2015-04-01,84027
2015-04-02,84027
2015-04-03,84027
2015-04-04,83056
2015-04-05,83056
2015-04-06,83056
2015-04-07,82303
2015-04-08,82303
2015-04-09,82303
2015-04-10,82487
2015-04-11,82487
2015-04-12,82487
2015-04-13,81655
2015-04-14,81655
2015-04-15,81655
2015-04-16,81559
2015-04-17,81559
2015-04-18,81559
2015-04-19,80456
2015-04-20,80456
2015-04-21,80456
2015-04-22,80456
2015-04-23,79086
2015-04-24,79086
2015-04-25,79086
2015-04-26,78344
2015-04-27,78344
2015-04-28,76429
2015-04-29,76429
2015-04-30,76429
2015-05-01,75359
2015-05-02,75359
2015-05-03,75359
2015-05-04,72341
2015-05-05,72341
2015-05-06,72341
2015-05-07,70214
2015-05-08,70214
2015-05-09,70214
2015-05-10,70050
2015-05-11,70050
2015-05-12,70050
2015-05-13,70889
2015-05-14,70889
2015-05-15,70889
2015-05-16,70889
2015-05-17,71937
2015-05-18,71937
2015-05-19,71937
2015-05-20,71937
2015-05-21,71109
2015-05-22,71109
2015-05-23,71109
2015-05-24,69915
2015-05-25,69915
2015-05-26,69915
2015-05-27,68813
2015-05-28,68813
2015-05-29,67671
2015-05-30,67001
2015-05-31,67001
2015-06-01,66034
2015-06-02,66034
2015-06-03,66034
2015-06-04,65165
2015-06-05,65165
2015-06-06,63850
2015-06-07,63850
2015-06-08,63042
2015-06-09,63042
2015-06-10,62445
2015-06-11,62445
2015-06-12,62445
2015-06-13,62542
2015-06-14,62542
2015-06-15,62399
2015-06-16,62399
2015-06-17,63151
2015-06-18,63151
2015-06-19,64294
2015-06-20,64294
2015-06-21,63924
2015-06-22,63924
2015-06-23,63029
2015-06-24,63029
2015-06-25,62157
2015-06-26,62157
2015-06-27,61771
2015-06-28,61771
2015-06-29,63229
2015-06-30,63229
2015-07-01,64986
2015-07-02,64986
2015-07-03,66344
2015-07-04,66344
2015-07-05,67335
2015-07-06,67335
2015-07-07,67637
2015-07-08,67637
2015-07-09,67637
2015-07-10,66448
2015-07-11,66448
2015-07-12,66448
2015-07-13,65340
2015-07-14,65340
2015-07-15,64701
2015-07-16,64701
2015-07-17,64592
2015-07-18,64592
2015-07-19,64497
2015-07-20,64497
2015-07-21,64799
2015-07-22,64825
2015-07-23,64825
2015-07-24,64878
2015-07-25,64878
2015-07-26,64878
2015-07-27,65341
2015-07-28,65341
2015-07-29,65993
2015-07-30,65993
2015-07-31,67158
2015-08-01,67158
2015-08-02,68518
2015-08-03,68518
2015-08-04,68518
2015-08-05,68690
2015-08-06,68690
2015-08-07,69857
2015-08-08,69857
2015-08-09,72101
2015-08-10,72101
2015-08-11,73906
2015-08-12,73906
2015-08-13,73906
2015-08-14,74684
2015-08-15,74684
2015-08-16,74263
2015-08-17,74263
2015-08-18,72479
2015-08-19,72479
2015-08-20,72476
2015-08-21,72476
2015-08-22,72112
2015-08-23,72112
2015-08-24,73475
2015-08-25,73475
2015-08-26,73475
2015-08-27,72401
2015-08-28,72401
2015-08-29,71090
2015-08-30,71090
2015-08-31,70596
2015-09-01,70596
2015-09-02,69821
2015-09-03,69821
2015-09-04,69893
2015-09-05,69893
2015-09-06,69893
2015-09-07,69593
2015-09-08,69593
2015-09-09,69608
2015-09-10,69608
2015-09-11,68256
2015-09-12,68256
2015-09-13,67611
2015-09-14,67611
2015-09-15,67329
2015-09-16,67329
2015-09-17,67129
2015-09-18,67129
2015-09-19,67065
2015-09-20,67065
2015-09-21,67065
2015-09-22,66956
2015-09-23,66956
2015-09-24,66779
2015-09-25,66779
2015-09-27,66901
2015-09-28,66283
2015-09-29,66283
2015-09-30,66746
2015-10-05,67551
2015-10-06,67551
2015-10-07,67551
2015-10-08,67289
2015-10-09,67289
2015-10-10,67289
2015-10-11,66560
2015-10-12,66560
2015-10-13,66560
2015-10-14,66115
2015-10-15,66115
2015-10-16,66039
2015-10-17,66039
2015-10-18,66039
2015-10-19,65762
2015-10-20,65762
2015-10-22,65133
2015-10-23,65133
2015-10-24,64140
2015-10-25,64140
2015-10-26,64243
2015-10-27,64243
2015-10-28,64243
2015-10-29,64310
2015-10-30,64310
2015-10-31,64759
2015-11-01,64759
2015-11-02,64759
2015-11-03,64201
2015-11-04,64201
2015-11-05,64201
2015-11-06,64465
2015-11-07,64465
2015-11-08,64109
2015-11-09,64109
2015-11-10,64109
2015-11-11,64565
2015-11-12,64565
2015-11-13,64565
2015-11-14,64565
2015-11-15,65161
2015-11-16,65161
2015-11-17,65161
2015-11-18,66986
2015-11-19,66986
2015-11-20,70160
2015-11-21,70160
2015-11-22,72967
2015-11-23,72967
2015-11-24,72967
2015-11-25,73763
2015-11-26,73763
2015-11-27,73763
2015-11-28,75304
2015-11-29,75304
2015-11-30,76160
2015-12-01,76160
2015-12-02,76160
2015-12-03,75781
2015-12-04,75781
2015-12-05,75781
2015-12-06,75726
2015-12-07,75726
2015-12-08,75726
2015-12-09,75067
2015-12-10,75067
2015-12-11,75067
2015-12-12,74754
2015-12-13,74754
2015-12-14,74754
2015-12-15,73514
2015-12-16,73514
2015-12-17,73514
2015-12-18,71843
2015-12-19,71843
2015-12-20,69806
2015-12-21,69806
2015-12-22,69806
2015-12-23,67968
2015-12-24,67968
2015-12-25,67968
2015-12-26,65102
2015-12-27,65102
2015-12-28,63313
2015-12-29,63313
2015-12-30,61528
2015-12-31,61528
2016-01-01,61528
2016-01-02,58472
2016-01-03,58472
2016-01-04,55892
2016-01-05,55892
2016-01-06,53836
2016-01-07,53836
2016-01-08,52576
2016-01-09,52576
2016-01-10,50643
2016-01-11,50643
2016-01-12,48675
2016-01-13,48675
2016-01-14,48938
2016-01-15,48938
2016-01-16,48938
2016-01-17,49954
2016-01-18,49954
2016-01-19,50475
2016-01-20,50475
2016-01-21,50319
2016-01-22,50319
2016-01-23,50681
2016-01-24,50681
2016-01-25,49888
2016-01-26,49888
2016-01-27,49192
2016-01-28,49192
2016-01-29,49295
2016-01-30,49295
2016-01-31,48950
2016-02-01,48950
2016-02-02,47475
2016-02-03,47475
2016-02-04,46019
2016-02-05,46019
2016-02-06,46079
2016-02-07,46079
2016-02-08,46079
2016-02-09,46288
2016-02-10,46288
2016-02-11,45683
2016-02-12,45683
2016-02-13,45514
2016-02-14,45514
2016-02-15,45279
2016-02-16,45279
2016-02-17,44685
2016-02-18,44685
2016-02-19,44685
2016-02-20,43900
2016-02-21,43658
2016-02-22,43658
2016-02-23,44224
2016-02-24,44224
2016-02-25,44199
2016-02-26,44199
2016-02-27,43575
2016-02-28,43575
2016-02-29,42578
2016-03-01,42578
2016-03-02,42307
2016-03-03,42307
2016-03-04,42482
2016-03-05,42482
2016-03-06,43142
2016-03-07,43142
2016-03-08,43484
2016-03-09,43484
2016-03-10,44003
2016-03-11,44003
2016-03-12,43332
2016-03-13,43332
2016-03-14,43332
2016-03-15,42382
2016-03-16,42382
2016-03-17,41679
2016-03-18,41679
2016-03-19,41329
2016-03-20,41329
2016-03-21,41465
2016-03-22,41465
2016-03-23,41328
2016-03-24,41328
2016-03-25,40911
2016-03-26,40911
2016-03-27,40499
2016-03-28,39785
2016-03-29,39785
2016-03-30,39554
2016-03-31,39554
2016-04-01,40601
2016-04-02,40601
2016-04-03,41211
2016-04-04,41211
2016-04-05,41548
2016-04-06,41548
2016-04-07,41462
2016-04-08,41462
2016-04-09,42607
2016-04-10,42607
2016-04-11,43684
2016-04-12,43684
2016-04-13,44418
2016-04-14,44418
2016-04-15,44265
2016-04-16,44265
2016-04-17,43886
2016-04-18,44636
2016-04-19,44636
2016-04-20,44928
2016-04-21,44928
2016-04-22,44928
2016-04-23,45722
2016-04-24,45722
2016-04-25,46279
2016-04-26,46279
2016-04-27,46873
2016-04-28,46873
2016-04-29,46638
2016-04-30,46638
2016-05-01,46477
2016-05-02,46477
2016-05-03,46681
2016-05-04,46681
2016-05-05,46937
2016-05-06,46937
2016-05-07,45514
2016-05-08,45514
2016-05-09,45081
2016-05-10,45081
2016-05-11,45320
2016-05-12,45320
2016-05-13,44169
2016-05-14,44169
2016-05-15,43363
2016-05-16,43363
2016-05-17,41881
2016-05-18,41881
2016-05-19,41936
2016-05-22,41684
2016-05-23,41016
2016-05-24,41016
2016-05-25,40485
2016-05-26,40485
2016-05-27,39572
2016-05-28,39572
2016-05-29,39529
2016-05-30,39529
2016-05-31,38795
2016-06-01,38795
2016-06-02,37952
2016-06-03,37952
2016-06-04,37827
2016-06-05,37827
2016-06-06,38070
2016-06-07,38070
2016-06-08,38341
2016-06-09,38341
