date_obj,Emerald%20dragon%20bolts%20(e) price
2018-01-03,1130
2018-01-04,1130
2018-01-05,1130
2018-01-06,1186
2018-01-07,1186
2018-01-08,1186
2018-01-09,1186
2018-01-10,1186
2018-01-11,1179
2018-01-12,1179
2018-01-13,1179
2018-01-14,1179
2018-01-15,1120
2018-01-16,1120
2018-01-17,1120
2018-01-18,1120
2018-01-19,1120
2018-01-20,1069
2018-01-21,1069
2018-01-22,1069
2018-01-23,1069
2018-01-25,1045
2018-01-26,1045
2018-01-27,1045
2018-01-28,1009
2018-01-29,1009
2018-01-30,1009
2018-01-31,988
2018-02-01,988
2018-02-02,988
2018-02-03,988
2018-02-04,978
2018-02-05,978
2018-02-06,978
2018-02-07,959
2018-02-08,959
2018-02-09,959
2018-02-10,959
2018-02-11,968
2018-02-12,968
2018-02-13,968
2018-02-14,968
2018-02-15,981
2018-02-16,981
2018-02-17,981
2018-02-18,981
2018-02-19,986
2018-02-20,986
2018-02-21,986
2018-02-22,986
2018-02-23,1025
2018-02-24,1025
2018-02-25,1025
2018-02-26,1025
2018-02-27,1068
2018-02-28,1068
2018-03-01,1068
2018-03-02,1068
2018-03-03,1115
2018-03-04,1115
2018-03-05,1115
2018-03-06,1115
2018-03-07,1168
2018-03-09,1168
2018-03-10,1168
2018-03-11,1168
2018-03-12,1225
2018-03-13,1225
2018-03-14,1225
2018-03-15,1225
2018-03-16,1225
2018-03-17,1225
2018-03-18,1263
2018-03-20,1263
2018-03-21,1263
2018-03-23,1309
2018-03-24,1309
2018-03-25,1309
2018-03-26,1309
2018-03-27,1309
2018-03-28,1309
2018-03-29,1364
2018-03-30,1364
2018-03-31,1364
2018-04-01,1364
2018-04-02,1364
2018-04-03,1364
2018-04-04,1422
2018-04-05,1422
2018-04-06,1422
2018-04-07,1422
2018-04-08,1422
2018-04-09,1422
2018-04-10,1422
2018-04-11,1472
2018-04-12,1472
2018-04-13,1472
2018-04-14,1472
2018-04-15,1472
2018-04-16,1472
2018-04-17,1534
2018-04-18,1534
2018-04-19,1534
2018-04-20,1534
2018-04-21,1534
2018-04-22,1534
2018-04-23,1585
2018-04-24,1585
2018-04-25,1585
2018-04-26,1585
2018-04-27,1585
2018-04-28,1585
2018-04-29,1657
2018-04-30,1657
2018-05-01,1657
2018-05-03,1657
2018-05-04,1657
2018-05-05,1657
2018-05-07,1736
2018-05-08,1736
2018-05-09,1736
2018-05-10,1736
2018-05-11,1736
2018-05-12,1736
2018-05-13,1802
2018-05-14,1802
2018-05-15,1802
2018-05-16,1802
2018-05-17,1802
2018-05-18,1802
2018-05-19,1865
2018-05-20,1865
2018-05-21,1865
2018-05-22,1865
2018-05-23,1865
2018-05-24,1865
2018-05-25,1949
2018-05-26,1949
2018-05-27,1949
2018-05-28,1949
2018-05-29,1949
2018-05-30,1949
2018-05-31,2034
2018-06-01,2034
2018-06-02,2034
2018-06-03,2034
2018-06-04,2034
2018-06-05,2034
2018-06-06,2034
2018-06-07,2099
2018-06-08,2099
2018-06-09,2099
2018-06-10,2099
2018-06-11,2099
2018-06-12,2099
2018-06-13,2099
2018-06-14,2118
2018-06-15,2118
2018-06-16,2118
2018-06-17,2118
2018-06-18,2118
2018-06-19,2018
2018-06-20,2018
2018-06-22,2018
2018-06-23,2018
2018-06-24,2012
2018-06-25,2012
2018-06-26,2012
2018-06-27,2012
2018-06-28,2012
2018-06-29,2012
2018-06-30,1974
2018-07-01,1974
2018-07-02,1974
2018-07-03,1974
2018-07-04,1974
2018-07-05,1974
2018-07-06,1927
2018-07-07,1927
2018-07-08,1927
2018-07-09,1927
2018-07-10,1927
2018-07-11,1902
2018-07-12,1902
2018-07-13,1902
2018-07-14,1836
2018-07-15,1836
2018-07-16,1836
2018-07-17,1836
2018-07-18,1835
2018-07-19,1835
2018-07-20,1835
2018-07-21,1835
2018-07-22,1831
2018-07-23,1831
2018-07-24,1831
2018-07-25,1831
2018-07-26,1769
2018-07-27,1769
2018-07-28,1769
2018-07-29,1769
2018-07-30,1724
2018-07-31,1724
2018-08-01,1724
2018-08-02,1724
2018-08-03,1724
2018-08-04,1693
2018-08-05,1693
2018-08-06,1693
2018-08-07,1693
2018-08-08,1698
2018-08-09,1698
2018-08-10,1698
2018-08-11,1698
2018-08-12,1698
2018-08-14,1672
2018-08-16,1672
2018-08-17,1672
2018-08-18,1672
2018-08-19,1678
2018-08-20,1678
2018-08-21,1678
2018-08-22,1678
2018-08-23,1678
2018-08-24,1644
2018-08-25,1644
2018-08-26,1644
2018-08-27,1644
2018-08-28,1617
2018-08-29,1617
2018-08-30,1617
2018-08-31,1617
2018-09-01,1613
2018-09-02,1613
2018-09-03,1613
2018-09-04,1613
2018-09-05,1613
2018-09-06,1547
2018-09-07,1547
2018-09-08,1547
2018-09-09,1547
2018-09-10,1517
2018-09-11,1517
2018-09-12,1517
2018-09-13,1517
2018-09-14,1472
2018-09-15,1472
2018-09-16,1472
2018-09-17,1472
2018-09-18,1470
2018-09-19,1470
2018-09-20,1470
2018-09-21,1470
2018-09-22,1508
2018-09-23,1508
2018-09-24,1508
2018-09-25,1508
2018-09-26,1457
2018-09-27,1457
2018-09-28,1457
2018-09-29,1457
2018-09-30,1459
2018-10-02,1459
2018-10-03,1459
2018-10-04,1434
2018-10-05,1434
2018-10-06,1434
2018-10-07,1434
2018-10-08,1469
2018-10-09,1469
2018-10-10,1469
2018-10-11,1469
2018-10-12,1469
2018-10-13,1490
2018-10-14,1490
2018-10-15,1490
2018-10-16,1490
2018-10-17,1490
2018-10-18,1518
2018-10-19,1518
2018-10-20,1518
2018-10-21,1518
2018-10-22,1518
2018-10-23,1518
2018-10-24,1515
2018-10-25,1515
2018-10-26,1515
2018-10-27,1515
2018-10-28,1515
2018-10-29,1516
2018-10-30,1516
2018-10-31,1516
