date_obj,Red%20beret price
2015-03-26,35885
2015-03-27,34291
2015-03-28,34291
2015-03-29,32835
2015-03-30,32835
2015-03-31,31242
2015-04-01,31242
2015-04-02,31242
2015-04-03,30307
2015-04-04,30307
2015-04-05,29126
2015-04-06,29126
2015-04-07,29126
2015-04-08,28050
2015-04-09,28050
2015-04-10,28050
2015-04-11,27045
2015-04-12,27045
2015-04-13,26514
2015-04-14,26514
2015-04-15,26514
2015-04-16,25547
2015-04-17,25547
2015-04-18,25547
2015-04-19,24793
2015-04-20,24793
2015-04-21,24793
2015-04-22,25089
2015-04-23,25089
2015-04-24,25532
2015-04-25,25532
2015-04-26,25532
2015-04-27,24744
2015-04-28,24744
2015-04-29,24744
2015-04-30,23529
2015-05-01,23529
2015-05-02,23081
2015-05-03,23081
2015-05-04,23081
2015-05-05,23115
2015-05-06,23115
2015-05-07,23115
2015-05-08,22251
2015-05-09,22251
2015-05-10,21641
2015-05-11,21641
2015-05-12,21641
2015-05-13,21480
2015-05-14,21480
2015-05-15,21480
2015-05-16,21031
2015-05-17,21031
2015-05-18,20658
2015-05-19,20658
2015-05-20,20658
2015-05-21,20658
2015-05-22,20185
2015-05-23,20185
2015-05-24,20185
2015-05-25,19819
2015-05-26,19819
2015-05-27,19819
2015-05-28,19819
2015-05-29,19127
2015-05-30,19127
2015-05-31,19127
2015-06-01,18340
2015-06-02,18340
2015-06-03,18340
2015-06-04,18340
2015-06-05,17980
2015-06-06,17980
2015-06-07,17980
2015-06-08,17891
2015-06-09,17891
2015-06-10,17891
2015-06-11,17653
2015-06-12,17653
2015-06-13,17653
2015-06-14,17876
2015-06-15,17876
2015-06-16,17876
2015-06-17,17876
2015-06-18,17626
2015-06-19,17626
2015-06-20,17626
2015-06-21,17626
2015-06-22,17390
2015-06-23,17390
2015-06-24,17390
2015-06-25,17390
2015-06-26,17209
2015-06-27,17209
2015-06-28,17209
2015-06-29,17209
2015-06-30,17375
2015-07-01,17375
2015-07-02,17375
2015-07-03,17788
2015-07-04,17788
2015-07-05,17788
2015-07-06,17788
2015-07-07,18075
2015-07-08,18075
2015-07-09,18075
2015-07-10,18075
2015-07-11,18295
2015-07-12,18295
2015-07-13,18295
2015-07-14,18616
2015-07-15,18616
2015-07-16,18616
2015-07-17,19045
2015-07-18,19045
2015-07-19,19045
2015-07-20,19157
2015-07-21,19157
2015-07-22,19157
2015-07-23,18997
2015-07-24,18997
2015-07-25,18997
2015-07-26,19057
2015-07-27,19057
2015-07-28,19057
2015-07-29,19294
2015-07-30,19294
2015-07-31,19294
2015-08-01,19294
2015-08-02,19164
2015-08-03,19164
2015-08-04,19164
2015-08-05,19020
2015-08-06,19020
2015-08-07,19020
2015-08-08,19020
2015-08-09,19090
2015-08-10,19090
2015-08-11,19090
2015-08-12,19016
2015-08-13,19016
2015-08-14,19016
2015-08-15,18914
2015-08-16,18914
2015-08-17,18914
2015-08-18,18916
2015-08-19,18916
