date_obj,Gilded%20kiteshield price
2015-03-26,381827
2015-03-27,381827
2015-03-28,381827
2015-03-29,363476
2015-03-30,363476
2015-03-31,363476
2015-04-01,363476
2015-04-02,363476
2015-04-03,363476
2015-04-04,363476
2015-04-05,363476
2015-04-06,363476
2015-04-07,346056
2015-04-08,346056
2015-04-09,346056
2015-04-10,346056
2015-04-11,346056
2015-04-12,346056
2015-04-13,346056
2015-04-14,346056
2015-04-15,346056
2015-04-16,329227
2015-04-17,329227
2015-04-18,329227
2015-04-19,329227
2015-04-20,329227
2015-04-21,329227
2015-04-22,329227
2015-04-23,329227
2015-04-24,329227
2015-04-25,313646
2015-04-26,313646
2015-04-27,313646
2015-04-28,313646
2015-04-29,313646
2015-04-30,313646
2015-05-01,313646
2015-05-02,313646
2015-05-03,298812
2015-05-04,298812
2015-05-05,298812
2015-05-06,298812
2015-05-07,298812
2015-05-08,298812
2015-05-09,298812
2015-05-10,298812
2015-05-11,298812
2015-05-12,284431
2015-05-13,284431
2015-05-14,284431
2015-05-15,284431
2015-05-16,284431
2015-05-17,284431
2015-05-18,284431
2015-05-19,284431
2015-05-20,284431
2015-05-21,284431
2015-05-22,270789
2015-05-23,270789
2015-05-24,270789
2015-05-25,270789
2015-05-26,270789
2015-05-27,270789
2015-05-28,258987
2015-05-29,258987
2015-05-30,258987
2015-05-31,258987
2015-06-01,258987
2015-06-02,252337
2015-06-03,252337
2015-06-04,252337
2015-06-05,252337
2015-06-06,252337
2015-06-07,252337
2015-06-08,242180
2015-06-09,242180
2015-06-10,242180
2015-06-11,242180
2015-06-12,242180
2015-06-13,242180
2015-06-14,239047
2015-06-15,239047
2015-06-16,239047
2015-06-17,239047
2015-06-18,239047
2015-06-19,239047
2015-06-20,250149
2015-06-21,250149
2015-06-22,250149
2015-06-23,250149
2015-06-24,250149
2015-06-25,250149
2015-06-26,258653
2015-06-27,258653
2015-06-28,258653
2015-06-29,258653
2015-06-30,258653
2015-07-01,258653
2015-07-02,263310
2015-07-03,263310
2015-07-04,263310
2015-07-05,263310
2015-07-06,263310
2015-07-07,258881
2015-07-08,258881
2015-07-09,258881
2015-07-10,258881
2015-07-11,258881
2015-07-12,258881
2015-07-13,247027
2015-07-14,247027
2015-07-15,247027
2015-07-16,247027
2015-07-17,247027
2015-07-18,238046
2015-07-19,238046
2015-07-20,238046
2015-07-21,238046
2015-07-22,232475
2015-07-23,232475
2015-07-24,232475
2015-07-25,232475
2015-07-26,232357
2015-07-27,232357
2015-07-28,232357
2015-07-29,232357
2015-07-30,228330
2015-07-31,228330
2015-08-01,228330
2015-08-02,228330
2015-08-03,228330
2015-08-04,225409
2015-08-05,225409
2015-08-06,225409
2015-08-07,225409
2015-08-08,225409
2015-08-09,220261
2015-08-10,220261
2015-08-11,220261
2015-08-12,220261
2015-08-13,220261
2015-08-14,212220
2015-08-15,212220
2015-08-16,212220
2015-08-17,212220
2015-08-18,212220
2015-08-19,209294
2015-08-20,209294
2015-08-21,209294
2015-08-22,209294
2015-08-23,209294
2015-08-24,200566
2015-08-25,200566
2015-08-26,200566
2015-08-27,200566
