date_obj,Yew%20sapling price
2015-03-26,64165
2015-03-27,64165
2015-03-28,67048
2015-03-29,67048
2015-03-30,67048
2015-03-31,67048
2015-04-01,67048
2015-04-02,67048
2015-04-03,70046
2015-04-04,70046
2015-04-05,70046
2015-04-06,70046
2015-04-07,70046
2015-04-08,70046
2015-04-09,70046
2015-04-10,69116
2015-04-11,69116
2015-04-12,69116
2015-04-13,69116
2015-04-14,69116
2015-04-15,69116
2015-04-16,67643
2015-04-17,67643
2015-04-18,67643
2015-04-19,67643
2015-04-20,67643
2015-04-21,67643
2015-04-22,70758
2015-04-23,70758
2015-04-24,70758
2015-04-25,70758
2015-04-26,70758
2015-04-27,70758
2015-04-28,74123
2015-04-29,74123
2015-04-30,74123
2015-05-01,74123
2015-05-02,74123
2015-05-03,74123
2015-05-04,77641
2015-05-05,77641
2015-05-06,77641
2015-05-07,77641
2015-05-08,77641
2015-05-09,77641
2015-05-10,81253
2015-05-11,81253
2015-05-12,81253
2015-05-13,81253
2015-05-14,81253
2015-05-15,81253
2015-05-16,81253
2015-05-17,81253
2015-05-18,84310
2015-05-19,84310
2015-05-20,84310
2015-05-21,84310
2015-05-22,84310
2015-05-23,84310
2015-05-24,84310
2015-05-25,84310
2015-05-26,84310
2015-05-27,83507
2015-05-28,83507
2015-05-29,83507
2015-05-30,83507
2015-05-31,83507
2015-06-01,86383
2015-06-02,86383
2015-06-03,86383
2015-06-04,86383
2015-06-05,86383
2015-06-06,86383
2015-06-07,83753
2015-06-08,83753
2015-06-09,83753
2015-06-10,83753
2015-06-11,83753
2015-06-12,83753
2015-06-13,84357
2015-06-14,84357
2015-06-15,84357
2015-06-16,84357
2015-06-17,84357
2015-06-18,84357
2015-06-19,84357
2015-06-20,80846
2015-06-21,80846
2015-06-22,80846
2015-06-23,80846
2015-06-24,80846
2015-06-25,80846
2015-06-26,77901
2015-06-27,77901
2015-06-28,77901
2015-06-29,77901
2015-06-30,77901
2015-07-01,77901
2015-07-02,77901
2015-07-03,74361
2015-07-04,74361
2015-07-05,74361
2015-07-06,74361
2015-07-07,74361
2015-07-08,74361
2015-07-09,70690
2015-07-10,70690
2015-07-11,70690
2015-07-12,70690
2015-07-13,70690
2015-07-14,70690
2015-07-15,67155
2015-07-16,67155
2015-07-17,67155
2015-07-18,67155
2015-07-19,67155
2015-07-20,65165
2015-07-21,65165
2015-07-22,65165
2015-07-23,65165
2015-07-24,67237
2015-07-25,67237
2015-07-26,67237
2015-07-27,67237
2015-07-28,67237
2015-07-29,70373
2015-07-30,70373
2015-07-31,70373
2015-08-01,70373
2015-08-02,70373
2015-08-03,73701
2015-08-04,73701
2015-08-05,73701
2015-08-06,73701
2015-08-07,73701
2015-08-08,77160
2015-08-09,77160
2015-08-10,77160
2015-08-11,77160
2015-08-12,77160
2015-08-13,80951
2015-08-14,80951
2015-08-15,80951
2015-08-16,80951
2015-08-17,80951
2015-08-18,84255
2015-08-19,84255
2015-08-20,84255
2015-08-21,84255
2015-08-22,87595
2015-08-23,87595
2015-08-24,87595
2015-08-25,87595
2015-08-26,87595
2015-08-27,89274
2015-08-28,89274
2015-08-29,89274
2015-08-30,89274
2015-08-31,89274
2015-09-01,91974
2015-09-02,91974
2015-09-03,91974
2015-09-04,91974
2015-09-05,91974
2015-09-06,91974
2015-09-07,92667
2015-09-08,92667
2015-09-09,92667
2015-09-10,92667
