date_obj,Ancient%20chaps price
2015-03-26,25158
2015-03-27,25158
2015-03-28,25222
2015-03-29,24949
2015-03-30,25054
2015-03-31,24671
2015-04-01,24480
2015-04-02,24327
2015-04-03,24740
2015-04-04,24566
2015-04-05,24080
2015-04-06,23839
2015-04-07,23366
2015-04-08,22838
2015-04-09,22509
2015-04-10,22320
2015-04-11,21887
2015-04-12,21885
2015-04-13,21699
2015-04-14,21317
2015-04-15,20927
2015-04-16,20248
2015-04-17,20031
2015-04-18,19801
2015-04-19,19818
2015-04-20,19790
2015-04-21,19243
2015-04-22,19177
2015-04-23,18883
2015-04-24,18760
2015-04-25,18702
2015-04-26,18360
2015-04-27,18674
2015-04-28,19076
2015-04-29,19076
2015-04-30,19243
2015-05-01,19150
2015-05-02,18780
2015-05-03,18235
2015-05-04,18204
2015-05-05,18304
2015-05-06,17838
2015-05-07,17353
2015-05-08,17109
2015-05-09,16993
2015-05-10,16939
2015-05-11,16977
2015-05-12,17053
2015-05-13,17123
2015-05-14,16867
2015-05-15,16719
2015-05-16,16008
2015-05-17,15784
2015-05-18,15837
2015-05-19,16208
2015-05-20,16208
2015-05-21,16092
2015-05-22,16638
2015-05-23,16965
2015-05-24,16850
2015-05-25,17306
2015-05-26,16765
2015-05-27,16805
2015-05-28,17312
2015-05-29,17584
2015-05-30,18003
2015-05-31,17993
2015-06-01,18168
2015-06-02,18412
2015-06-03,18460
2015-06-04,18722
2015-06-05,18841
2015-06-06,18561
2015-06-07,18297
2015-06-08,18497
2015-06-09,18782
2015-06-10,19133
2015-06-11,19090
2015-06-12,19295
2015-06-13,19932
2015-06-14,20629
2015-06-15,21653
2015-06-16,22604
2015-06-17,23533
2015-06-18,24631
2015-06-19,25218
2015-06-20,24923
2015-06-21,24306
2015-06-22,24232
2015-06-23,24487
2015-06-24,24908
2015-06-25,25358
2015-06-26,26061
2015-06-27,25702
2015-06-28,26027
2015-06-29,25967
2015-06-30,26218
2015-07-01,26058
2015-07-02,26058
2015-07-03,27197
2015-07-04,28485
2015-07-05,29511
2015-07-06,30358
2015-07-07,31774
2015-07-08,33093
2015-07-09,33093
2015-07-10,34015
2015-07-11,34113
2015-07-12,35109
2015-07-13,35242
2015-07-14,34410
2015-07-15,32855
2015-07-16,32692
2015-07-17,32714
2015-07-18,32946
2015-07-19,33296
2015-07-20,33177
2015-07-21,33075
2015-07-22,32807
2015-07-23,32807
2015-07-24,33638
2015-07-25,33422
2015-07-26,33686
2015-07-27,33861
2015-07-28,34517
2015-07-29,34595
2015-07-30,34558
2015-07-31,34911
2015-08-01,34931
2015-08-02,34843
2015-08-03,35239
2015-08-04,35271
2015-08-05,35392
2015-08-06,35761
2015-08-07,35755
2015-08-08,34929
2015-08-09,34056
2015-08-10,34292
2015-08-11,34613
2015-08-12,34613
2015-08-13,34249
2015-08-14,34246
2015-08-15,33493
2015-08-16,33114
2015-08-17,32600
2015-08-18,32239
2015-08-19,32150
2015-08-20,32372
2015-08-21,31411
2015-08-22,31261
2015-08-23,31100
2015-08-24,31305
2015-08-25,31305
2015-08-26,30924
2015-08-27,30322
2015-08-28,29983
2015-08-29,29428
2015-08-30,29023
2015-08-31,29003
2015-09-01,29153
2015-09-02,28691
2015-09-03,28704
2015-09-04,28604
2015-09-05,28381
2015-09-06,28195
2015-09-07,28039
2015-09-08,27916
2015-09-09,28777
2015-09-10,28683
2015-09-11,28935
2015-09-12,28998
2015-09-13,28706
2015-09-14,29677
2015-09-15,31004
2015-09-16,32476
2015-09-17,32824
2015-09-18,32251
2015-09-19,32047
2015-09-20,31425
2015-09-21,31171
2015-09-22,30670
2015-09-23,30651
2015-09-24,30258
2015-09-25,29381
2015-09-27,27934
2015-09-28,27051
2015-09-29,26426
2015-09-30,25922
2015-10-05,23816
2015-10-06,22736
2015-10-07,21808
2015-10-08,20717
2015-10-09,20015
2015-10-10,20015
2015-10-11,19386
2015-10-12,18965
2015-10-13,18869
2015-10-14,19079
2015-10-15,18908
2015-10-16,19195
2015-10-17,19195
2015-10-18,19121
2015-10-19,18689
2015-10-20,18151
2015-10-22,17302
2015-10-23,16875
2015-10-24,16671
2015-10-25,16843
2015-10-26,17367
2015-10-27,17512
2015-10-28,17533
2015-10-29,17907
2015-10-30,17998
2015-10-31,18310
2015-11-01,18462
2015-11-02,18271
2015-11-03,18343
2015-11-04,18211
2015-11-05,18180
2015-11-06,18406
2015-11-07,18888
2015-11-08,19286
2015-11-09,19651
2015-11-10,19339
2015-11-11,19179
2015-11-12,19272
2015-11-13,19030
2015-11-14,19330
2015-11-15,18638
2015-11-16,17888
2015-11-17,17027
2015-11-18,16323
2015-11-19,15947
2015-11-20,15451
2015-11-21,15451
2015-11-22,15348
2015-11-23,15348
2015-11-24,15458
2015-11-25,16017
2015-11-26,16017
2015-11-27,16724
2015-11-28,17500
2015-11-29,18179
2015-11-30,18782
2015-12-01,19306
2015-12-02,19679
2015-12-03,20339
2015-12-04,20833
2015-12-05,20363
2015-12-06,19981
2015-12-07,19904
2015-12-08,19174
2015-12-09,18875
2015-12-10,18375
2015-12-11,17843
2015-12-12,17183
2015-12-13,16323
2015-12-14,15602
2015-12-15,15323
2015-12-16,14852
2015-12-17,14426
2015-12-18,14265
2015-12-19,14201
2015-12-20,13972
2015-12-21,14025
2015-12-22,13986
2015-12-23,14161
2015-12-24,13995
2015-12-25,13945
2015-12-26,13764
2015-12-27,13761
2015-12-28,14233
2015-12-29,14645
2015-12-30,14622
2015-12-31,14586
2016-01-01,14943
2016-01-02,15119
2016-01-04,15634
2016-01-05,15569
2016-01-06,15400
2016-01-07,15328
2016-01-08,15292
2016-01-09,15052
2016-01-10,15134
2016-01-11,15003
2016-01-12,15279
2016-01-13,15120
2016-01-14,15406
2016-01-15,16177
2016-01-16,16412
2016-01-17,16342
2016-01-18,17150
2016-01-19,18008
2016-01-20,18747
2016-01-21,19286
2016-01-22,19509
2016-01-23,20196
2016-01-24,20784
2016-01-25,21735
2016-01-26,22207
2016-01-27,22647
2016-01-28,22647
2016-01-29,22998
2016-01-30,23596
2016-01-31,24076
2016-02-01,25059
2016-02-02,25183
2016-02-03,26048
2016-02-04,27031
2016-02-05,27292
2016-02-06,28637
2016-02-07,29431
2016-02-08,30005
2016-02-09,30853
2016-02-10,31532
2016-02-11,32144
2016-02-12,32730
2016-02-13,32634
2016-02-14,32684
2016-02-15,32592
2016-02-16,32690
2016-02-17,32403
2016-02-18,32301
2016-02-19,32353
2016-02-20,31891
2016-02-21,31272
2016-02-22,31815
2016-02-23,32086
2016-02-24,31152
2016-02-25,30932
2016-02-26,29967
2016-02-27,28897
2016-02-28,28147
2016-02-29,28089
2016-03-01,27421
2016-03-02,27563
2016-03-03,27279
2016-03-04,26914
2016-03-05,26592
2016-03-06,25818
2016-03-07,24698
2016-03-08,23889
2016-03-09,22777
2016-03-10,22583
2016-03-11,22646
2016-03-12,22436
2016-03-13,21946
2016-03-14,22124
2016-03-15,21964
2016-03-16,21903
2016-03-17,20952
2016-03-18,20764
2016-03-19,20944
2016-03-20,21432
2016-03-21,22098
2016-03-22,22158
2016-03-23,22408
2016-03-24,22796
2016-03-25,23269
2016-03-26,23512
2016-03-27,23384
2016-03-28,23788
2016-03-29,23809
2016-03-30,23699
2016-03-31,23797
2016-04-01,23016
2016-04-02,22788
2016-04-03,22990
2016-04-04,23103
2016-04-05,23155
2016-04-06,23377
2016-04-07,23179
2016-04-08,23024
2016-04-09,22930
2016-04-10,23508
2016-04-11,23817
2016-04-12,24281
2016-04-13,25116
2016-04-14,24644
2016-04-15,24292
2016-04-16,24476
2016-04-17,25021
2016-04-18,25439
2016-04-19,25976
2016-04-20,25836
2016-04-21,24616
2016-04-22,23610
2016-04-23,23032
2016-04-24,21917
2016-04-25,21111
2016-04-26,21331
2016-04-27,21413
2016-04-28,21743
2016-04-29,22121
2016-04-30,22382
2016-05-01,23004
2016-05-02,23914
2016-05-03,24490
2016-05-04,25263
2016-05-05,26313
2016-05-06,27179
2016-05-07,27393
2016-05-08,26664
2016-05-09,26721
2016-05-10,26853
2016-05-11,27426
2016-05-12,27701
2016-05-13,27631
2016-05-14,27813
2016-05-15,28174
2016-05-16,28639
2016-05-17,28956
2016-05-18,29214
2016-05-19,29510
2016-05-22,29722
2016-05-23,29876
2016-05-24,29863
2016-05-25,28806
2016-05-26,28161
2016-05-27,27692
2016-05-28,27242
2016-05-29,26338
2016-05-30,25743
2016-05-31,25844
2016-06-01,26473
2016-06-02,27041
2016-06-03,27686
2016-06-04,28130
2016-06-05,28058
2016-06-06,28300
2016-06-07,28517
2016-06-08,28588
2016-06-09,28544
2016-06-10,28898
2016-06-11,30152
2016-06-12,29785
2016-06-13,30536
2016-06-14,31188
2016-06-15,32612
2016-06-16,33638
2016-06-17,33700
2016-06-18,33063
2016-06-19,33135
2016-06-20,33232
2016-06-21,34447
2016-06-22,35774
2016-06-23,37461
2016-06-24,38903
2016-06-25,39487
2016-06-26,38333
2016-06-27,37522
2016-06-28,36491
2016-06-29,35598
2016-06-30,34882
2016-07-01,33823
2016-07-02,32833
2016-07-03,31481
2016-07-04,31188
2016-07-05,30962
2016-07-06,30571
2016-07-07,29796
2016-07-08,29604
2016-07-09,29440
2016-07-10,29343
2016-07-11,30141
2016-07-12,30552
2016-07-13,30999
2016-07-14,31888
2016-07-15,32411
2016-07-16,32514
2016-07-17,33329
2016-07-18,34391
2016-07-23,40609
2016-07-24,42024
2016-07-25,42717
2016-07-26,43705
2016-07-27,43679
2016-07-28,42461
2016-07-29,41095
2016-07-30,40264
2016-07-31,40281
2016-08-01,41250
2016-08-02,40828
2016-08-03,41350
2016-08-04,40869
2016-08-05,41141
2016-08-06,40740
2016-08-07,41231
2016-08-08,41246
2016-08-09,41391
2016-08-10,42494
2016-08-11,42957
2016-08-12,42842
2016-08-13,41791
2016-08-14,40139
2016-08-15,38727
2016-08-16,37669
2016-08-17,36794
2016-08-18,35416
2016-08-19,34869
2016-08-20,34534
2016-08-21,33389
2016-08-22,32384
2016-08-23,31698
2016-08-24,30219
2016-08-25,29902
2016-08-26,30028
2016-08-28,30572
2016-08-31,32368
2016-09-01,32455
2016-09-02,32455
2016-09-03,32985
2016-09-04,33147
2016-09-05,33121
2016-09-06,33377
2016-09-07,33414
2016-09-08,34489
2016-09-09,35301
2016-09-10,35594
2016-09-11,35580
2016-09-12,35865
2016-09-13,36120
2016-09-14,34793
2016-09-15,34440
2016-09-16,34309
2016-09-17,33402
2016-09-18,33525
2016-09-19,33804
2016-09-20,34110
2016-09-21,34961
2016-09-22,36111
2016-09-23,36936
2016-09-24,36936
2016-09-25,37688
2016-09-26,36153
2016-09-27,35386
2016-09-28,34248
2016-09-29,33291
2016-09-30,33598
2016-10-01,32494
2016-10-02,31350
2016-10-03,29802
2016-10-04,28313
2016-10-05,26902
2016-10-06,26837
2016-10-07,26967
2016-10-08,26277
2016-10-09,26085
2016-10-10,25910
2016-10-11,26076
2016-10-12,26299
2016-10-13,27154
2016-10-14,27705
2016-10-15,28422
2016-10-16,28404
2016-10-17,27969
2016-10-18,28000
2016-10-19,27990
2016-10-20,27981
2016-10-21,28247
2016-10-22,28443
2016-10-23,28025
2016-10-24,28226
2016-10-25,28278
2016-10-26,28079
2016-10-27,27492
2016-10-28,27062
2016-10-29,26267
2016-10-30,26068
2016-10-31,26159
2016-11-01,25812
2016-11-02,25337
2016-11-03,25175
2016-11-04,24893
2016-11-05,24208
2016-11-06,24574
2016-11-07,25627
2016-11-08,26247
2016-11-09,26939
2016-11-10,27160
2016-11-11,27395
2016-11-12,27906
2016-11-13,28332
2016-11-14,29014
2016-11-15,29208
2016-12-07,32342
2016-12-08,32297
2016-12-09,31397
2016-12-10,30424
2016-12-11,30146
2016-12-12,29856
2016-12-13,29888
2016-12-14,29598
2016-12-15,29377
2016-12-16,29454
2016-12-17,28521
2016-12-18,27291
2016-12-19,26443
2016-12-20,26056
2016-12-21,26602
2016-12-22,26771
2016-12-23,27251
2016-12-24,27718
2016-12-25,28869
2016-12-26,30144
2016-12-27,30923
2016-12-28,31726
2016-12-29,32997
2016-12-30,33838
2016-12-31,34906
2017-01-01,36154
2017-01-02,36161
2017-01-03,36030
2017-01-04,36350
2017-01-05,35679
2017-01-06,34093
2017-01-07,33226
2017-01-08,32898
2017-01-09,32017
2017-01-10,31041
2017-01-11,30668
2017-01-12,30469
2017-01-13,30584
2017-01-14,30855
2017-01-15,30881
2017-01-16,30210
2017-01-17,29643
2017-01-18,29429
2017-01-19,29363
2017-01-20,28644
2017-01-21,27707
2017-01-22,26945
2017-01-23,26726
2017-01-27,26319
2017-01-28,26269
2017-01-29,26014
2017-01-30,26227
2017-01-31,26434
2017-02-01,26973
2017-02-02,27092
2017-02-03,27074
2017-02-04,27181
2017-02-05,27635
2017-02-06,27780
2017-02-07,27740
2017-02-08,27799
2017-02-09,27910
2017-02-10,27484
2017-02-11,26926
2017-02-12,26668
2017-02-13,26514
2017-02-14,26565
2017-02-15,26571
2017-02-16,26489
2017-02-17,26282
2017-02-18,26217
2017-02-19,25742
2017-02-20,25249
2017-02-21,24852
2017-02-22,24791
2017-02-23,24723
2017-02-24,24250
2017-02-25,24171
2017-02-26,23922
2017-02-27,24119
2017-02-28,24929
2017-03-01,25675
2017-03-02,26254
2017-03-03,26989
2017-03-04,27824
2017-03-05,28889
2017-03-06,29307
2017-03-07,29922
2017-03-08,29864
2017-03-09,30182
2017-03-10,29863
2017-03-11,30105
2017-03-12,30696
2017-03-13,30944
2017-03-14,31086
2017-03-15,31165
2017-03-16,31250
2017-03-17,31585
2017-03-18,31594
2017-03-19,31660
2017-03-20,31946
2017-03-21,31086
2017-03-22,30327
2017-03-23,30625
2017-03-24,30659
2017-03-25,30413
2017-03-26,30266
2017-03-27,30121
2017-03-28,30403
2017-03-29,30422
2017-03-30,31045
2017-03-31,31274
2017-04-01,31775
2017-04-02,31723
2017-04-03,31323
2017-04-04,31665
2017-04-05,31395
2017-04-12,33969
2017-04-13,34827
2017-04-14,35886
2017-04-15,36645
2017-04-16,36212
2017-04-17,36817
2017-04-18,36846
2017-04-19,37643
2017-04-20,38482
2017-04-21,40066
2017-04-22,41017
2017-04-23,41582
2017-04-24,41168
2017-04-25,40288
2017-04-26,39059
2017-04-27,38445
2017-04-28,38163
2017-04-29,38402
2017-04-30,38441
2017-05-01,39526
2017-05-02,39625
2017-05-03,40148
2017-05-04,40192
2017-05-05,41157
2017-05-06,42606
2017-05-07,43399
2017-05-08,44154
2017-05-09,43498
2017-05-10,43030
2017-05-11,42841
2017-05-12,41535
2017-05-13,40671
2017-05-14,40600
2017-05-15,40135
2017-05-16,40604
2017-05-17,41819
2017-05-18,42876
2017-05-19,43032
2017-05-20,43120
2017-05-21,43694
2017-05-22,43716
2017-05-23,43684
2017-05-24,43705
2017-05-25,44333
2017-05-26,44818
2017-05-27,46215
2017-05-28,47182
2017-05-29,48677
