date_obj,Bandos%20page%201 price
2015-03-26,19557
2015-03-27,19557
2015-03-28,18730
2015-03-29,18730
2015-03-30,17885
2015-03-31,17885
2015-04-01,17089
2015-04-02,17089
2015-04-03,16318
2015-04-04,16318
2015-04-05,15574
2015-04-06,15574
2015-04-07,14868
2015-04-08,14868
2015-04-09,14868
2015-04-10,14124
2015-04-11,14124
2015-04-12,13449
2015-04-13,13449
2015-04-14,12859
2015-04-15,12859
2015-04-16,12268
2015-04-17,12268
2015-04-18,11686
2015-04-19,11175
2015-04-20,11175
2015-04-21,10656
2015-04-22,10656
2015-04-23,10171
2015-04-24,10171
2015-04-25,9742
2015-04-26,9742
2015-04-27,9273
2015-04-28,9273
2015-04-29,9273
2015-04-30,8838
2015-05-01,8838
2015-05-02,8396
2015-05-03,8396
2015-05-04,8006
2015-05-05,8006
2015-05-06,7652
2015-05-07,7652
2015-05-08,7298
2015-05-09,7298
2015-05-10,6933
2015-05-11,6933
2015-05-12,6708
2015-05-13,6708
2015-05-14,6439
2015-05-15,6439
2015-05-16,6439
2015-05-17,6161
2015-05-18,6161
2015-05-19,5907
2015-05-20,5907
2015-05-21,5907
2015-05-22,5677
2015-05-23,5677
2015-05-24,5451
2015-05-25,5451
2015-05-26,5305
2015-05-27,5305
2015-05-28,5106
2015-05-29,5106
2015-05-30,4949
2015-05-31,4949
2015-06-01,5004
2015-06-02,5004
2015-06-03,5181
2015-06-04,5181
2015-06-05,5210
2015-06-06,5210
2015-06-07,5047
2015-06-08,5047
2015-06-09,4794
2015-06-10,4794
2015-06-11,4605
2015-06-12,4605
2015-06-13,4390
2015-06-14,4390
2015-06-15,4189
2015-06-16,4189
2015-06-17,3998
2015-06-18,3998
2015-06-19,3849
2015-06-20,3849
2015-06-21,3692
2015-06-22,3692
2015-06-23,3523
2015-06-24,3523
2015-06-25,3347
2015-06-26,3347
2015-06-27,3179
2015-06-28,3179
2015-06-29,3039
2015-06-30,3039
2015-07-01,2945
2015-07-02,2945
2015-07-03,2882
2015-07-04,2882
2015-07-05,2875
2015-07-06,2875
2015-07-07,2785
2015-07-08,2785
2015-07-09,2735
2015-07-10,2735
2015-07-11,2702
2015-07-12,2702
2015-07-13,2599
2015-07-14,2599
2015-07-15,2515
2015-07-16,2515
