date_obj,Red%20halloween%20mask price
2015-03-04,24234
2015-03-05,23140
2015-03-06,22518
2015-03-07,22184
2015-03-08,21987
2015-03-09,22924
2015-03-10,24071
2015-03-11,25213
2015-03-12,25482
2015-03-13,25924
2015-03-14,26291
2015-03-15,25451
2015-03-16,25293
2015-03-17,25705
2015-03-18,25705
2015-03-19,26630
2015-03-20,27331
2015-03-21,27331
2015-03-22,28122
2015-03-23,28122
2015-03-24,29010
2015-03-25,29046
2015-03-26,28320
2015-03-27,28320
2015-03-28,27114
2015-03-29,26076
2015-03-30,25242
2015-03-31,25242
2015-04-01,24938
2015-04-02,24938
2015-04-03,24168
2015-04-04,23323
2015-04-05,23323
2015-04-06,22230
2015-04-07,22230
2015-04-08,22017
2015-04-09,22017
2015-04-10,21475
2015-04-11,21475
2015-04-12,20698
2015-04-13,20698
2015-04-14,20073
2015-04-15,20073
2015-04-16,19558
2015-04-17,19558
2015-04-18,19007
2015-04-19,19007
2015-04-20,19142
2015-04-21,19142
2015-04-22,19090
2015-04-23,19082
2015-04-24,19082
2015-04-25,19741
2015-04-26,19741
2015-04-27,20419
2015-04-28,20419
2015-04-29,20593
2015-04-30,20593
2015-05-01,20793
2015-05-02,20793
2015-05-03,21334
2015-05-04,21334
2015-05-05,20771
2015-05-06,20771
2015-05-07,21246
2015-05-08,21246
2015-05-09,21560
2015-05-10,21560
2015-05-11,21265
2015-05-12,21265
2015-05-13,21579
2015-05-14,21579
2015-05-15,22403
2015-05-16,22403
2015-05-17,22688
2015-05-18,22688
2015-05-19,22411
2015-05-20,22411
2015-05-21,22411
2015-05-22,22651
2015-05-23,22651
2015-05-24,22512
2015-05-25,22512
2015-05-26,22984
2015-05-27,22984
2015-05-28,23085
2015-05-29,23085
2015-05-30,22885
2015-05-31,22885
2015-06-01,23400
2015-06-02,23400
2015-06-03,23384
2015-06-04,23384
2015-06-05,22840
2015-06-06,22840
2015-06-07,23239
2015-06-08,23239
2015-06-09,23041
2015-06-10,23041
2015-06-11,22921
2015-06-12,22921
