date_obj,Black%20plateskirt price
2015-03-26,32932
2015-03-27,32932
2015-03-28,32932
2015-03-29,32932
2015-03-30,32932
2015-03-31,32932
2015-04-01,32932
2015-04-02,32932
2015-04-03,32932
2015-04-04,32932
2015-04-05,32932
2015-04-06,32932
2015-04-07,32932
2015-04-08,32932
2015-04-09,32932
2015-04-10,32932
2015-04-11,31322
2015-04-12,31322
2015-04-13,31322
2015-04-14,31322
2015-04-15,31322
2015-04-16,31322
2015-04-17,31322
2015-04-18,31322
2015-04-19,31322
2015-04-20,31322
2015-04-21,31322
2015-04-22,31322
2015-04-23,31322
2015-04-24,31322
2015-04-25,31322
2015-04-26,31322
2015-04-27,31322
2015-04-28,31322
2015-04-29,31322
2015-04-30,31322
2015-05-01,31322
2015-05-02,31322
2015-05-03,31322
2015-05-04,31322
2015-05-05,31322
2015-05-06,31322
2015-05-07,29782
2015-05-08,29782
2015-05-09,29782
2015-05-10,29782
2015-05-11,29782
2015-05-12,29782
2015-05-13,29782
2015-05-14,29782
2015-05-15,29782
2015-05-16,29782
2015-05-17,29782
2015-05-18,29782
2015-05-19,29782
2015-05-20,29782
2015-05-21,29782
2015-05-22,29782
2015-05-23,29782
2015-05-24,29782
2015-05-25,29782
2015-05-26,29782
2015-05-27,29782
2015-05-28,28342
2015-05-29,28342
2015-05-30,28342
2015-05-31,28342
2015-06-01,28342
2015-06-02,28342
2015-06-03,28342
2015-06-04,28342
2015-06-05,28342
2015-06-06,28342
2015-06-07,28342
2015-06-08,28342
2015-06-09,28342
2015-06-10,28342
2015-06-11,28342
2015-06-12,28342
2015-06-13,28342
2015-06-14,26963
2015-06-15,26963
2015-06-16,26963
2015-06-17,26963
2015-06-18,26963
2015-06-19,26963
2015-06-20,26963
2015-06-21,26963
2015-06-22,26963
2015-06-23,26963
2015-06-24,26963
2015-06-25,26963
2015-06-26,26963
2015-06-27,26963
2015-06-28,26963
2015-06-29,26963
2015-06-30,26963
2015-07-01,26963
2015-07-02,26963
2015-07-03,25652
2015-07-04,25652
2015-07-05,25652
2015-07-06,25652
2015-07-07,25652
2015-07-08,25652
2015-07-09,25652
2015-07-10,25652
2015-07-11,25652
2015-07-12,25652
2015-07-13,25652
2015-07-14,25652
2015-07-15,25652
2015-07-16,25652
2015-07-17,25652
2015-07-18,25652
2015-07-19,25652
2015-07-20,25652
2015-07-21,24449
2015-07-22,24449
2015-07-23,24449
2015-07-24,24449
2015-07-25,24449
2015-07-26,24449
2015-07-27,24449
2015-07-28,24449
2015-07-29,24449
2015-07-30,24449
2015-07-31,24449
2015-08-01,23249
2015-08-02,23249
2015-08-03,23249
2015-08-04,23249
2015-08-05,23249
2015-08-06,23249
2015-08-07,23249
2015-08-08,23249
2015-08-09,23249
2015-08-10,23249
2015-08-11,22120
2015-08-12,22120
2015-08-13,22120
2015-08-14,22120
2015-08-15,22120
2015-08-16,22120
2015-08-17,22120
2015-08-18,22120
2015-08-19,22120
2015-08-20,22120
2015-08-21,22120
2015-08-22,22120
2015-08-23,22120
2015-08-24,21044
2015-08-25,21044
2015-08-26,21044
2015-08-27,21044
2015-08-28,21044
2015-08-29,21044
2015-08-30,21044
2015-08-31,21044
2015-09-01,21044
2015-09-02,21044
2015-09-03,21044
2015-09-04,21044
2015-09-05,21044
2015-09-06,21044
2015-09-07,20065
2015-09-08,20065
2015-09-09,20065
2015-09-10,20065
2015-09-11,20065
2015-09-12,20065
2015-09-13,20065
2015-09-14,20065
2015-09-15,20065
2015-09-16,20065
2015-09-17,20065
2015-09-18,20065
2015-09-19,20065
2015-09-20,19133
2015-09-21,19133
2015-09-22,19133
2015-09-23,19133
2015-09-24,19133
2015-09-25,19133
2015-09-27,19133
2015-09-28,19133
2015-09-29,19133
2015-09-30,19133
2015-10-05,18241
2015-10-06,18241
2015-10-07,18241
2015-10-08,18241
2015-10-09,18241
2015-10-10,18241
2015-10-11,18241
2015-10-12,18241
2015-10-13,18241
2015-10-14,18241
2015-10-15,18241
2015-10-16,18241
2015-10-17,18241
2015-10-18,18241
2015-10-19,18241
2015-10-20,17377
2015-10-22,17377
2015-10-23,17377
2015-10-24,17377
2015-10-25,17377
2015-10-26,17377
2015-10-27,17377
2015-10-29,17377
2015-10-30,17377
2015-10-31,17377
2015-11-01,17377
2015-11-02,17377
2015-11-03,16548
2015-11-04,16548
2015-11-05,16548
2015-11-06,16548
2015-11-07,16548
2015-11-08,16548
2015-11-09,16548
2015-11-10,16548
2015-11-11,16548
2015-11-12,16548
2015-11-13,16548
2015-11-14,16548
2015-11-15,16548
2015-11-16,16548
2015-11-17,15784
2015-11-18,15784
2015-11-19,15784
2015-11-20,15784
2015-11-21,15784
2015-11-22,15784
2015-11-23,15784
2015-11-24,15784
2015-11-25,15784
2015-11-26,15784
2015-11-27,15784
2015-11-28,15784
2015-11-29,15062
2015-11-30,15062
2015-12-01,15062
2015-12-02,15062
2015-12-03,15062
2015-12-04,15062
2015-12-05,15062
2015-12-06,15062
2015-12-07,15062
2015-12-08,15062
2015-12-09,15062
2015-12-10,14339
2015-12-11,14339
2015-12-12,14339
2015-12-13,14339
2015-12-14,14339
2015-12-15,14339
2015-12-16,14339
2015-12-17,14339
2015-12-18,14339
2015-12-19,14339
2015-12-20,14339
2015-12-21,13655
2015-12-22,13655
2015-12-23,13655
2015-12-24,13655
2015-12-25,13655
2015-12-26,13655
2015-12-27,13655
2015-12-28,13655
2015-12-29,13655
2015-12-30,13655
2015-12-31,13655
2016-01-01,13655
2016-01-02,13005
2016-01-03,13005
2016-01-04,13005
2016-01-05,13005
2016-01-06,13005
2016-01-07,13005
2016-01-08,13005
2016-01-09,13005
2016-01-10,13005
2016-01-11,13005
2016-01-12,12389
2016-01-13,12389
2016-01-14,12389
2016-01-15,12389
2016-01-16,12389
2016-01-17,12389
2016-01-18,12389
2016-01-19,12389
2016-01-20,12389
2016-01-21,12389
2016-01-22,11835
2016-01-23,11835
2016-01-24,11835
2016-01-25,11835
2016-01-26,11835
2016-01-27,11835
2016-01-28,11835
2016-01-29,11316
2016-01-30,11316
2016-01-31,11316
2016-02-01,11316
2016-02-02,11316
2016-02-03,11316
2016-02-04,11316
2016-02-05,11316
2016-02-06,10803
2016-02-07,10803
2016-02-08,10803
2016-02-09,10803
2016-02-10,10803
2016-02-11,10803
2016-02-12,10803
2016-02-13,10803
2016-02-14,10803
2016-02-15,10301
2016-02-16,10301
2016-02-17,10301
2016-02-18,10301
2016-02-19,10301
2016-02-20,10301
2016-02-21,9829
2016-02-22,9829
2016-02-23,9829
2016-02-24,9829
2016-02-25,9361
2016-02-26,9361
2016-02-27,9361
2016-02-28,9361
2016-02-29,8922
2016-03-01,8922
2016-03-02,8922
2016-03-03,8922
2016-03-04,8506
2016-03-05,8506
2016-03-06,8506
2016-03-07,8506
2016-03-08,8506
2016-03-09,8094
2016-03-10,8094
2016-03-11,8094
2016-03-12,8094
2016-03-13,8094
2016-03-14,8094
2016-03-15,7700
2016-03-16,7700
2016-03-17,7700
2016-03-18,7700
2016-03-19,7700
2016-03-20,7700
2016-03-21,7700
2016-03-22,7372
2016-03-23,7372
2016-03-24,7372
2016-03-25,7372
2016-03-26,7372
2016-03-27,7372
2016-03-28,7372
2016-03-29,7015
2016-03-30,7015
2016-03-31,7015
2016-04-01,7015
2016-04-02,7015
2016-04-03,7015
2016-04-04,7015
2016-04-05,7015
2016-04-06,6681
2016-04-07,6681
2016-04-08,6681
2016-04-09,6681
2016-04-10,6681
2016-04-11,6681
2016-04-12,6681
2016-04-13,6681
2016-04-14,6681
2016-04-15,6365
2016-04-16,6365
2016-04-17,6365
2016-04-18,6365
2016-04-19,6365
2016-04-20,6365
2016-04-21,6365
2016-04-22,6365
2016-04-23,6055
2016-04-24,6055
2016-04-25,6055
2016-04-26,6055
2016-04-27,6055
2016-04-28,6055
2016-04-29,6055
