date_obj,Dragonstone%20amulet%20(u) price
2015-03-04,50250
2015-03-05,50250
2015-03-06,50250
2015-03-07,50250
2015-03-08,50250
2015-03-09,50250
2015-03-10,50250
2015-03-11,50250
2015-03-12,50250
2015-03-13,50250
2015-03-14,50250
2015-03-15,50250
2015-03-16,50250
2015-03-17,50250
2015-03-18,50250
2015-03-19,50250
2015-03-20,50250
2015-03-21,50250
2015-03-22,50250
2015-03-23,50250
2015-03-24,50250
2015-03-25,50250
2015-03-26,50250
2015-03-27,50250
2015-03-28,50250
2015-03-29,50250
2015-03-30,50250
2015-03-31,50250
2015-04-01,50250
2015-04-02,50250
2015-04-03,50250
2015-04-04,50250
2015-04-05,50250
2015-04-06,50250
2015-04-07,50250
2015-04-08,50250
2015-04-09,50250
2015-04-10,50250
2015-04-11,50250
2015-04-12,50250
2015-04-13,50250
2015-04-14,50250
2015-04-15,50250
2015-04-16,50250
2015-04-17,50250
2015-04-18,50250
2015-04-19,50250
2015-04-20,50250
2015-04-21,50250
2015-04-22,50250
2015-04-23,50250
2015-04-24,50250
2015-04-25,50250
2015-04-26,50250
2015-04-27,50250
2015-04-28,50250
2015-04-29,50250
2015-04-30,50250
2015-05-01,50250
2015-05-02,50250
2015-05-03,50250
2015-05-04,50250
2015-05-05,50250
2015-05-06,50250
2015-05-07,50250
2015-05-08,50250
2015-05-09,50250
2015-05-10,50250
2015-05-11,50250
2015-05-12,50250
2015-05-13,50250
2015-05-14,50250
2015-05-15,50250
2015-05-16,50250
2015-05-17,50250
2015-05-18,50250
2015-05-19,50250
2015-05-20,50250
2015-05-21,50250
2015-05-22,50250
2015-05-23,50250
2015-05-24,50250
2015-05-25,50250
2015-05-26,50250
2015-05-27,50250
2015-05-28,50250
2015-05-29,50250
2015-05-30,47890
2015-05-31,47890
2015-06-01,47890
2015-06-02,47890
2015-06-03,47890
2015-06-04,47890
2015-06-05,47890
2015-06-06,47890
2015-06-07,47890
2015-06-08,47890
2015-06-09,47890
2015-06-10,47890
2015-06-11,47890
2015-06-12,47890
2015-06-13,47890
2015-06-14,47890
2015-06-15,47890
2015-06-16,47890
2015-06-17,47890
2015-06-18,47890
2015-06-19,47890
2015-06-20,47890
2015-06-21,47890
2015-06-22,47890
2015-06-23,47890
2015-06-24,47890
2015-06-25,47890
2015-06-26,47890
2015-06-27,47890
2015-06-28,47890
2015-06-29,47890
2015-06-30,47890
2015-07-01,47890
2015-07-02,47890
2015-07-03,47890
2015-07-04,47890
2015-07-05,47890
2015-07-06,47890
2015-07-07,47890
2015-07-08,47890
2015-07-09,47890
2015-07-10,47890
2015-07-11,47890
2015-07-12,47890
2015-07-13,47890
2015-07-14,47890
2015-07-15,47890
2015-07-16,47890
2015-07-17,47890
2015-07-18,47890
2015-07-19,47890
2015-07-20,47890
2015-07-21,47890
2015-07-22,47890
2015-07-23,47890
2015-07-24,47890
2015-07-25,47890
2015-07-26,47890
2015-07-27,47890
2015-07-28,47890
2015-07-29,47890
2015-07-30,47890
2015-07-31,47890
2015-08-01,47890
2015-08-02,47890
2015-08-03,47890
2015-08-04,47890
2015-08-05,47890
2015-08-06,47890
2015-08-07,47890
2015-08-08,47890
2015-08-09,47890
2015-08-10,47890
2015-08-11,47890
2015-08-12,47890
2015-08-13,47890
2015-08-14,47890
2015-08-15,47890
2015-08-16,47890
2015-08-17,47890
2015-08-18,47890
2015-08-19,47890
2015-08-20,47890
2015-08-21,47890
2015-08-22,47890
2015-08-23,47890
2015-08-24,47890
2015-08-25,47890
2015-08-26,47890
2015-08-27,47890
2015-08-28,47890
2015-08-29,47890
2015-08-30,47890
2015-08-31,47890
2015-09-02,47890
2015-09-07,47890
2015-09-08,47890
2015-09-10,47890
2015-09-14,47890
2015-09-16,47890
2015-09-22,47890
2015-09-23,47890
2015-09-24,47890
2015-09-25,47890
2015-09-27,47890
2015-09-28,47890
2015-09-29,47890
2015-09-30,47890
2015-10-05,47890
2015-10-06,47890
2015-10-07,47890
2015-10-08,47890
2015-10-09,47890
2015-10-10,47890
2015-10-11,47890
2015-10-12,47890
2015-10-13,47890
2015-10-14,47890
2015-10-15,47890
2015-10-16,47890
2015-10-17,47890
2015-10-18,47890
2015-10-19,47890
2015-10-20,47890
2015-10-22,47890
2015-10-23,47890
2015-10-24,47890
2015-10-25,47890
2015-10-26,47890
2015-10-27,47890
2015-10-29,47890
2015-10-30,47890
2015-10-31,45706
2015-11-01,45706
2015-11-02,45706
2015-11-03,45706
2015-11-04,45706
2015-11-05,45706
2015-11-06,45706
2015-11-07,45706
2015-11-08,45706
2015-11-09,45706
2015-11-10,45706
2015-11-11,45706
2015-11-12,45706
2015-11-13,45706
2015-11-14,45706
2015-11-15,45706
2015-11-16,45706
2015-11-17,45706
2015-11-18,45706
2015-11-19,45706
2015-11-20,45706
2015-11-21,45706
2015-11-22,45706
2015-11-23,45706
2015-11-24,45706
2015-11-25,45706
2015-11-26,45706
2015-11-27,45706
2015-11-28,45706
2015-11-29,45706
2015-11-30,45706
2015-12-01,45706
2015-12-02,45706
2015-12-03,45706
2015-12-04,45706
2015-12-05,45706
2015-12-06,45706
2015-12-07,45706
2015-12-08,45706
2015-12-09,45706
2015-12-10,45706
2015-12-11,45706
2015-12-12,45706
2015-12-13,45706
2015-12-14,45706
2015-12-15,45706
2015-12-16,45706
2015-12-17,45706
2015-12-18,45706
2015-12-19,45706
2015-12-20,45706
2015-12-21,45706
2015-12-22,45706
2015-12-23,45706
2015-12-24,45706
2015-12-25,45706
2015-12-26,45706
2015-12-27,45706
2015-12-28,45706
2015-12-29,45706
2015-12-30,45706
2015-12-31,45706
2016-01-01,45706
2016-01-02,45706
2016-01-03,45706
2016-01-04,45706
2016-01-05,45706
2016-01-06,45706
2016-01-07,45706
2016-01-08,45706
2016-01-09,45706
2016-01-10,45706
2016-01-11,45706
2016-01-12,45706
2016-01-13,45706
2016-01-14,45706
2016-01-15,45706
2016-01-16,45706
2016-01-17,45706
2016-01-18,45706
2016-01-19,45706
2016-01-20,45706
2016-01-21,45706
2016-01-22,45706
2016-01-23,45706
2016-01-24,45706
2016-01-25,45706
2016-01-26,45706
2016-01-27,45706
2016-01-28,45706
2016-01-29,45706
2016-01-30,45706
2016-01-31,45706
2016-02-01,45706
2016-02-02,45706
2016-02-03,45706
2016-02-04,45706
2016-02-05,45706
2016-02-06,45706
2016-02-07,45706
2016-02-08,45706
2016-02-09,45706
2016-02-10,45706
2016-02-11,45706
2016-02-12,45706
2016-02-13,45706
2016-02-14,45706
2016-02-15,45706
