date_obj,Dragonbone%20necklace price
2018-01-03,20000000
2018-01-04,20095130
2018-01-05,19090373
2018-01-06,18135854
2018-01-07,17229625
2018-01-08,16368143
2018-01-09,15549735
2018-01-10,14772248
2018-01-11,14033635
2018-01-12,13331953
2018-01-13,12665355
2018-01-14,12040452
2018-01-15,11438429
2018-01-16,10866507
2018-01-17,10323181
2018-01-18,9807021
2018-01-19,9807021
2018-01-20,9316669
2018-01-21,8865205
2018-01-22,8437207
2018-01-23,8022160
2018-01-25,7239999
2018-01-26,6877999
2018-01-27,6534099
2018-01-28,6207394
2018-01-29,5897024
2018-01-30,1975300
2018-01-31,1876535
2018-02-01,1782708
2018-02-02,1693572
2018-02-03,1608893
2018-02-04,1528448
2018-02-05,1452025
2018-02-06,1379423
2018-02-07,1310451
2018-02-08,1310451
2018-02-09,1244928
2018-02-10,1244928
2018-02-11,1182681
2018-02-12,1123546
2018-02-13,1123546
2018-02-14,1067368
2018-02-15,1013999
2018-02-16,969486
2018-02-17,921011
2018-02-18,874960
2018-02-19,831212
2018-02-20,831212
2018-02-21,789651
2018-02-22,765609
2018-02-23,798341
2018-02-24,798341
2018-02-25,836604
2018-02-26,876788
2018-02-27,910984
2018-02-28,952475
2018-03-01,997392
2018-03-02,1025275
2018-03-03,1013103
2018-03-04,1013103
2018-03-05,973655
2018-03-06,973716
2018-03-07,1019738
2018-03-09,1123818
2018-03-10,1180009
2018-03-11,1235209
2018-03-12,1293952
2018-03-13,1358650
2018-03-14,1423141
2018-03-15,1423141
2018-03-16,1492618
2018-03-17,1534903
2018-03-18,1559345
2018-03-20,1483513
2018-03-21,1413303
2018-03-23,1342847
2018-03-24,1283535
2018-03-25,1227421
2018-03-26,1227421
2018-03-27,1167594
2018-03-28,1167594
2018-03-29,1109214
2018-03-30,1053753
2018-03-31,1001065
2018-04-01,954754
2018-04-02,907804
2018-04-03,870893
2018-04-04,834466
2018-04-05,834466
2018-04-06,859433
2018-04-07,900272
2018-04-08,945286
2018-04-09,992551
2018-04-10,1019374
2018-04-11,1069089
2018-04-12,1105216
2018-04-13,1105216
2018-04-14,1138330
2018-04-15,1111025
2018-04-16,1111025
2018-04-17,1057684
2018-04-18,1057684
2018-04-19,1005233
2018-04-20,954971
2018-04-21,908048
2018-04-22,871888
2018-04-23,848486
2018-04-24,866041
2018-04-25,872479
2018-04-26,872479
2018-04-27,879361
2018-04-28,893658
2018-04-29,885312
2018-04-30,874882
2018-05-01,872067
2018-05-03,873913
2018-05-04,873913
2018-05-05,872125
2018-05-07,835118
2018-05-08,798819
2018-05-09,808621
2018-05-10,805411
2018-05-11,805411
2018-05-12,790497
2018-05-13,790497
2018-05-14,759932
2018-05-15,759932
2018-05-16,725676
2018-05-17,700558
2018-05-18,698160
2018-05-19,706684
2018-05-20,706684
2018-05-21,714736
2018-05-22,714736
2018-05-23,742796
2018-05-24,742796
2018-05-25,717007
2018-05-26,688573
2018-05-27,688573
2018-05-28,658216
2018-05-29,631030
2018-05-30,631030
2018-05-31,646390
2018-06-01,665124
2018-06-02,664075
2018-06-03,664075
2018-06-04,664215
2018-06-05,651509
2018-06-06,645650
2018-06-07,645650
2018-06-08,613367
2018-06-09,613367
2018-06-10,582698
2018-06-11,554429
2018-06-12,526707
2018-06-13,500832
2018-06-14,476455
2018-06-15,476455
2018-06-16,452632
2018-06-17,430000
2018-06-18,408500
2018-06-19,388075
2018-06-20,388075
2018-06-21,368680
2018-06-22,350246
2018-06-23,350246
2018-06-24,334122
2018-06-25,318159
2018-06-26,318159
2018-06-27,304327
2018-06-28,295264
2018-06-29,284807
2018-06-30,284807
2018-07-01,280099
2018-07-02,280099
2018-07-03,292511
2018-07-04,304000
2018-07-05,304000
2018-07-06,308306
2018-07-07,308306
2018-07-08,306618
2018-07-09,308326
2018-07-10,308292
2018-07-11,304763
2018-07-12,304763
2018-07-13,307670
2018-07-14,302113
2018-07-15,302113
2018-07-16,301409
2018-07-17,291831
2018-07-18,291831
2018-07-19,282205
2018-07-20,283834
2018-07-21,280271
2018-07-22,285984
2018-07-23,295463
2018-07-24,295463
2018-07-25,303174
2018-07-26,313205
2018-07-27,328847
2018-07-28,338030
2018-07-29,354932
2018-07-30,372679
2018-07-31,391279
2018-08-01,391279
2018-08-02,410387
2018-08-03,429141
2018-08-04,418836
2018-08-05,397894
2018-08-06,377999
2018-08-07,359099
2018-08-08,343583
2018-08-09,343583
2018-08-10,330549
2018-08-11,319911
2018-08-12,315867
2018-08-14,307243
2018-08-16,300239
2018-08-17,303330
2018-08-18,303330
2018-08-19,298175
2018-08-20,283607
2018-08-21,283607
2018-08-22,282199
2018-08-23,282199
2018-08-24,271011
2018-08-25,269158
2018-08-26,269158
2018-08-27,264585
2018-08-28,262813
2018-08-29,262813
2018-08-30,256268
2018-08-31,252796
2018-09-01,247728
2018-09-02,239291
2018-09-03,247284
2018-09-04,259548
2018-09-05,270958
2018-09-06,270958
2018-09-07,274401
2018-09-08,273178
2018-09-09,273178
2018-09-10,260966
2018-09-11,260966
2018-09-12,248033
2018-09-13,244027
2018-09-14,239015
2018-09-15,245494
2018-09-16,245494
2018-09-17,251816
2018-09-18,256037
2018-09-19,256037
2018-09-20,267056
2018-09-21,267056
2018-09-22,264330
2018-09-23,260458
2018-09-24,257159
2018-09-25,257159
2018-09-26,255853
2018-09-27,255853
2018-09-28,250343
2018-09-29,247314
2018-09-30,247971
2018-10-02,245114
2018-10-03,248046
2018-10-04,248046
2018-10-05,238751
2018-10-06,249585
2018-10-07,262065
2018-10-08,275169
2018-10-09,287659
2018-10-10,302024
2018-10-11,316470
2018-10-12,332294
2018-10-13,348909
2018-10-14,366355
2018-10-15,384673
2018-10-16,403907
2018-10-17,424103
2018-10-18,445309
2018-10-19,449854
2018-10-20,430034
2018-10-21,408538
2018-10-22,388111
2018-10-23,369467
2018-10-24,350993
2018-10-25,347145
2018-10-26,344777
2018-10-27,336735
2018-10-28,333544
2018-10-29,333544
2018-10-30,320775
2018-10-31,307828
2018-11-01,315663
2018-11-03,337506
2018-11-04,346608
2018-11-05,356897
2018-11-06,364971
2018-11-07,361618
2018-11-08,362950
2018-11-09,351654
2018-11-10,336934
2018-11-11,335976
2018-11-12,349307
2018-11-13,366773
2018-11-14,385112
2018-11-15,404357
2018-11-16,424524
2018-11-17,445751
2018-11-18,464759
2018-11-19,475827
2018-11-20,486734
2018-11-21,479129
2018-11-22,468963
2018-11-23,445514
2018-11-24,429341
2018-11-25,413182
2018-11-26,392927
2018-11-27,374885
2018-11-28,381701
2018-11-29,399289
2018-12-01,419134
2018-12-02,416528
2018-12-03,416528
2018-12-04,421772
2018-12-05,407535
2018-12-07,409541
2018-12-09,391515
2018-12-10,388442
2018-12-11,395709
2018-12-12,409410
2018-12-13,406343
2018-12-14,409277
2018-12-15,403742
2018-12-16,390444
2018-12-17,381326
2018-12-18,379477
2018-12-19,380149
2018-12-20,399055
2018-12-21,418457
2018-12-22,421807
2018-12-23,435327
2018-12-24,453124
2018-12-25,463126
2018-12-26,476232
2018-12-27,473518
2018-12-28,476774
2018-12-29,477330
2018-12-30,469255
2018-12-31,464068
2019-01-01,474140
2019-01-02,461607
2019-01-03,479502
2019-01-04,503445
2019-01-05,528618
2019-01-06,548552
2019-01-08,576719
2019-01-10,532250
2019-01-11,505637
2019-01-12,480355
2019-01-13,456337
2019-01-14,433520
2019-01-15,411844
2019-01-16,391251
2019-01-17,371688
2019-01-18,353103
2019-01-19,335447
