date_obj,Guthix%20chaps price
2015-03-26,21078
2015-03-27,21078
2015-03-28,20757
2015-03-29,20562
2015-03-30,20508
2015-03-31,20676
2015-04-01,20610
2015-04-02,20057
2015-04-03,19673
2015-04-04,19440
2015-04-05,19107
2015-04-06,18775
2015-04-07,18228
2015-04-08,17925
2015-04-09,17479
2015-04-10,16848
2015-04-11,16509
2015-04-12,15879
2015-04-13,15190
2015-04-14,14824
2015-04-15,15095
2015-04-16,14608
2015-04-17,14439
2015-04-18,14821
2015-04-19,15437
2015-04-20,15863
2015-04-21,16438
2015-04-22,17195
2015-04-23,17706
2015-04-24,18451
2015-04-25,18662
2015-04-26,18659
2015-04-27,19129
2015-04-28,19177
2015-04-29,18911
2015-04-30,19099
2015-05-01,18900
2015-05-02,18349
2015-05-03,17456
2015-05-04,17244
2015-05-05,16859
2015-05-06,16563
2015-05-07,16223
2015-05-08,16183
2015-05-09,16283
2015-05-10,16928
2015-05-11,17638
2015-05-12,17907
2015-05-13,18161
2015-05-14,18015
2015-05-15,17708
2015-05-16,17339
2015-05-17,17019
2015-05-18,16817
2015-05-19,17151
2015-05-20,17099
2015-05-21,17227
2015-05-22,17068
2015-05-23,17166
2015-05-24,16928
2015-05-25,16349
2015-05-26,16357
2015-05-27,16860
2015-05-28,17545
2015-05-29,17818
2015-05-30,17935
2015-05-31,17780
2015-06-01,17656
2015-06-02,17656
2015-06-03,17268
2015-06-04,16897
2015-06-05,16178
2015-06-06,15993
2015-06-07,15596
2015-06-08,15164
2015-06-09,14746
2015-06-10,14500
2015-06-11,14454
2015-06-12,14407
2015-06-13,14792
2015-06-14,15011
2015-06-15,15453
2015-06-16,15590
2015-06-17,15780
2015-06-18,15724
2015-06-19,15618
2015-06-20,15822
2015-06-21,15718
2015-06-22,15420
2015-06-23,15422
2015-06-24,15568
2015-06-25,15422
2015-06-26,15338
2015-06-27,15258
2015-06-28,15168
2015-06-29,14830
2015-06-30,14906
2015-07-01,15251
2015-07-02,15213
2015-07-03,15648
2015-07-04,15919
2015-07-05,15713
2015-07-06,15798
2015-07-07,15958
2015-07-08,16052
2015-07-09,16052
2015-07-10,16247
2015-07-11,16610
2015-07-12,16774
2015-07-13,17048
2015-07-14,17301
2015-07-15,17688
2015-07-16,17775
2015-07-17,17850
2015-07-18,18140
2015-07-19,18246
2015-07-20,18190
2015-07-21,18057
2015-07-22,17854
2015-07-23,17854
2015-07-24,17228
2015-07-25,16366
2015-07-26,16077
2015-07-27,15641
2015-07-28,15400
2015-07-29,15691
2015-07-30,16202
2015-07-31,17012
2015-08-01,17491
2015-08-02,17855
2015-08-03,18003
2015-08-04,17994
2015-08-05,18277
2015-08-06,18624
2015-08-07,19128
2015-08-08,19040
2015-08-09,19092
2015-08-10,19555
2015-08-11,20162
2015-08-12,20605
2015-08-13,20915
2015-08-14,21502
2015-08-15,21467
2015-08-16,21274
2015-08-17,21557
2015-08-18,21857
2015-08-19,22189
2015-08-20,22513
2015-08-21,22449
2015-08-22,22666
2015-08-23,22832
2015-08-24,22924
2015-08-25,22924
2015-08-26,23270
2015-08-27,23193
2015-08-28,23134
2015-08-29,23439
2015-08-30,24035
2015-08-31,23827
2015-09-01,24050
2015-09-02,23995
2015-09-03,23731
2015-09-04,23539
2015-09-05,23700
2015-09-06,23513
2015-09-07,22864
2015-09-08,22910
2015-09-09,23244
2015-09-10,23646
2015-09-11,23911
2015-09-12,23796
2015-09-13,23833
2015-09-14,24087
2015-09-15,25042
2015-09-16,26295
2015-09-17,27486
2015-09-18,27778
2015-09-19,28719
2015-09-20,29328
2015-09-21,29855
2015-09-22,29243
2015-09-23,29224
2015-09-24,29224
2015-09-25,28690
2015-09-27,29376
2015-09-28,29157
2015-09-29,28914
2015-09-30,28969
2015-10-05,28520
2015-10-06,27715
2015-10-07,26805
2015-10-08,26555
2015-10-09,26548
2015-10-10,26548
2015-10-11,26492
2015-10-12,25487
2015-10-13,25503
2015-10-14,24993
2015-10-15,24762
2015-10-16,24071
2015-10-17,23422
2015-10-18,22871
2015-10-19,22498
2015-10-20,21523
2015-10-22,20231
2015-10-23,19636
2015-10-24,18654
2015-10-25,18153
2015-10-26,18099
2015-10-27,18089
2015-10-29,17481
2015-10-30,17090
2015-10-31,16938
2015-11-01,16840
2015-11-02,16527
2015-11-03,16414
2015-11-04,16100
2015-11-05,15937
2015-11-06,15950
2015-11-07,15838
2015-11-08,16172
2015-11-09,16127
2015-11-10,16191
2015-11-11,16225
2015-11-12,16036
2015-11-13,15500
2015-11-14,15133
2015-11-15,14756
2015-11-16,14181
2015-11-17,13888
2015-11-18,13303
2015-11-19,12799
2015-11-20,12486
2015-11-21,12486
2015-11-22,12811
2015-11-23,12811
2015-11-24,13276
2015-11-25,13788
2015-11-26,14218
2015-11-27,14361
2015-11-28,14772
2015-11-29,15107
2015-11-30,15235
2015-12-01,15346
2015-12-02,15810
2015-12-03,16060
2015-12-04,16555
2015-12-05,16955
2015-12-06,17216
2015-12-07,17125
2015-12-08,17309
2015-12-09,17550
2015-12-10,17763
2015-12-11,17953
2015-12-12,18419
2015-12-13,18481
2015-12-14,18763
2015-12-15,19312
2015-12-16,19857
2015-12-17,20070
2015-12-18,20343
2015-12-19,20101
2015-12-20,20484
2015-12-21,20214
2015-12-22,19676
2015-12-23,19202
2015-12-24,18488
2015-12-25,17896
2015-12-26,17333
2015-12-27,16557
2015-12-28,16289
2015-12-29,16227
2015-12-30,16437
2015-12-31,16273
2016-01-01,16481
2016-01-02,16955
2016-01-03,17312
2016-01-04,17130
2016-01-05,17129
2016-01-06,17166
2016-01-07,17235
2016-01-08,17156
2016-01-09,17317
2016-01-10,17303
2016-01-11,17198
2016-01-12,17109
2016-01-13,17316
2016-01-14,17445
2016-01-15,17756
2016-01-16,17905
2016-01-17,17861
2016-01-18,17925
2016-01-19,17961
2016-01-20,18084
2016-01-21,18452
2016-01-22,18707
2016-01-23,18520
2016-01-24,18887
2016-01-25,19516
2016-01-26,19706
2016-01-27,19151
2016-01-28,18537
2016-01-29,18315
2016-01-30,18278
2016-01-31,18023
2016-02-01,17960
2016-02-02,18344
2016-02-03,18651
2016-02-04,18829
2016-02-05,19105
2016-02-06,19315
2016-02-07,19530
2016-02-08,19795
2016-02-09,20200
2016-02-10,19323
2016-02-11,19082
2016-02-12,18395
2016-02-13,17689
2016-02-14,17188
2016-02-15,16860
2016-02-16,16454
2016-02-17,16159
2016-02-18,16044
2016-02-19,16031
2016-02-20,15974
2016-02-21,15850
2016-02-22,16052
2016-02-23,15954
2016-02-24,15611
2016-02-25,15605
2016-02-26,15338
2016-02-27,15523
2016-02-28,15075
2016-02-29,15354
2016-03-01,15544
2016-03-02,15050
2016-03-03,15070
2016-03-04,14753
2016-03-05,14844
2016-03-06,14865
2016-03-07,14996
2016-03-08,15415
2016-03-09,15080
2016-03-10,15319
2016-03-11,15584
2016-03-12,15703
2016-03-13,15792
2016-03-14,15940
2016-03-15,15757
2016-03-16,15618
2016-03-17,15629
2016-03-18,16165
2016-03-19,16711
2016-03-20,16915
2016-03-21,17396
2016-03-22,17752
2016-03-23,18169
2016-03-24,18918
2016-03-25,19409
2016-03-26,19678
2016-03-27,19452
2016-03-28,19821
2016-03-29,19919
2016-03-30,19971
2016-03-31,20138
2016-04-01,20400
2016-04-02,20434
2016-04-03,20669
2016-04-04,20501
