date_obj,Unstrung%20light%20ballista price
2016-05-05,20000000
2016-05-06,20000000
2016-05-07,20000000
2016-05-08,20000000
2016-05-09,19000000
2016-05-10,19000000
2016-05-11,19000000
2016-05-12,18054338
2016-05-13,18054338
2016-05-14,17151621
2016-05-15,16304029
2016-05-16,16304029
2016-05-17,15488827
2016-05-18,900000
2016-05-19,900000
2016-05-22,900000
2016-05-23,900000
2016-05-24,900000
2016-05-25,857349
2016-05-26,857349
2016-05-27,857349
2016-05-28,857349
2016-05-29,857349
2016-05-30,857349
2016-05-31,857349
2016-06-01,857349
2016-06-02,857349
2016-06-03,857349
2016-06-04,857349
2016-06-05,857349
2016-06-06,857349
2016-06-07,857349
2016-06-08,857349
2016-06-09,857349
2016-06-10,857349
2016-06-11,815623
2016-06-12,815623
2016-06-13,815623
2016-06-14,815623
2016-06-15,815623
2016-06-16,815623
2016-06-17,815623
2016-06-18,815623
2016-06-19,815623
2016-06-20,815623
2016-06-21,815623
2016-06-22,815623
2016-06-23,815623
2016-06-24,815623
2016-06-25,775699
2016-06-26,775699
2016-06-27,775699
2016-06-28,775699
2016-06-29,775699
2016-06-30,775699
2016-07-01,775699
2016-07-02,775699
2016-07-03,775699
2016-07-04,775699
2016-07-05,775699
2016-07-06,737780
2016-07-07,737780
2016-07-08,737780
2016-07-09,737780
2016-07-10,737780
2016-07-11,737780
2016-07-12,737780
2016-07-13,737780
2016-07-14,737780
2016-07-15,737780
2016-07-16,737780
2016-07-17,737780
2016-07-18,737780
2016-07-24,737780
2016-07-25,737780
2016-07-26,737780
2016-07-27,737780
2016-07-28,737780
2016-07-29,737780
2016-07-30,737780
2016-07-31,737780
2016-08-01,737780
2016-08-02,737780
2016-08-03,737780
2016-08-04,737780
2016-08-05,737780
2016-08-06,737780
2016-08-07,737780
2016-08-08,737780
2016-08-09,737780
2016-08-10,737780
2016-08-11,737780
2016-08-12,737780
2016-08-13,737780
2016-08-14,737780
2016-08-15,737780
2016-08-16,737780
2016-08-17,737780
2016-08-18,737780
2016-08-19,737780
2016-08-20,737780
2016-08-21,737780
2016-08-22,737780
2016-08-23,737780
2016-08-24,737780
2016-08-25,737780
2016-08-26,737780
2016-08-28,737780
2016-08-31,702183
2016-09-01,702183
2016-09-02,702183
2016-09-03,702183
2016-09-04,702183
2016-09-05,702183
2016-09-06,702183
2016-09-07,702183
2016-09-08,702183
2016-09-09,702183
2016-09-10,702183
2016-09-11,702183
2016-09-12,702183
2016-09-13,702183
2016-09-14,702183
2016-09-15,702183
2016-09-16,702183
2016-09-17,702183
2016-09-18,702183
2016-09-19,702183
2016-09-20,702183
2016-09-21,702183
2016-09-22,702183
2016-09-23,702183
2016-09-24,702183
2016-09-25,702183
2016-09-26,702183
2016-09-27,702183
2016-09-28,702183
2016-09-29,702183
2016-09-30,702183
2016-10-01,702183
2016-10-02,702183
2016-10-03,702183
2016-10-04,702183
2016-10-05,702183
2016-10-06,702183
2016-10-07,702183
2016-10-08,702183
2016-10-09,702183
2016-10-10,702183
2016-10-11,702183
2016-10-12,702183
2016-10-13,702183
2016-10-14,702183
2016-10-15,702183
2016-10-16,702183
2016-10-17,702183
2016-10-18,702183
2016-10-19,702183
2016-10-20,702183
2016-10-21,702183
2016-10-22,702183
2016-10-23,702183
2016-10-24,702183
2016-10-25,702183
2016-10-26,702183
2016-10-27,702183
2016-10-28,702183
2016-10-29,667787
2016-10-30,667787
2016-10-31,667787
2016-11-01,667787
2016-11-02,667787
2016-11-03,667787
2016-11-04,667787
2016-11-05,667787
2016-11-06,667787
2016-11-07,667787
2016-11-08,667787
2016-11-09,667787
2016-11-10,667787
2016-11-11,667787
2016-11-12,667787
2016-11-13,667787
2016-11-14,667787
2016-12-08,634814
2016-12-09,634814
2016-12-10,634814
2016-12-11,634814
2016-12-12,634814
2016-12-13,634814
2016-12-14,634814
2016-12-15,634814
2016-12-16,634814
2016-12-17,634814
2016-12-18,634814
2016-12-19,634814
2016-12-20,634814
2016-12-21,634814
2016-12-22,634814
2016-12-23,634814
2016-12-24,634814
2016-12-25,634814
2016-12-26,634814
2016-12-27,634814
2016-12-28,634814
2016-12-29,634814
2016-12-30,634814
2016-12-31,634814
2017-01-01,634814
2017-01-02,634814
2017-01-03,634814
2017-01-04,634814
2017-01-05,634814
2017-01-06,634814
2017-01-07,634814
2017-01-08,634814
2017-01-09,634814
2017-01-10,634814
2017-01-11,603732
2017-01-12,603732
2017-01-13,603732
2017-01-14,603732
2017-01-15,603732
2017-01-16,603732
2017-01-17,603732
2017-01-18,603732
2017-01-19,603732
2017-01-20,603732
2017-01-21,603732
2017-01-22,603732
2017-01-27,603732
2017-01-28,603732
2017-01-29,603732
2017-01-30,603732
2017-01-31,603732
2017-02-01,603732
2017-02-02,603732
2017-02-03,603732
2017-02-04,603732
2017-02-05,603732
2017-02-06,603732
2017-02-07,603732
2017-02-08,603732
2017-02-09,603732
2017-02-10,603732
2017-02-11,603732
2017-02-12,603732
2017-02-13,603732
2017-02-14,603732
2017-02-15,574285
2017-02-16,574285
2017-02-18,574285
2017-02-19,574285
2017-02-20,574285
2017-02-21,574285
2017-02-22,574285
2017-02-23,574285
2017-02-24,574285
2017-02-25,574285
2017-02-26,574285
2017-02-27,574285
2017-02-28,574285
2017-03-01,574285
2017-03-02,574285
2017-03-03,574285
2017-03-04,574285
2017-03-05,574285
2017-03-06,574285
2017-03-07,574285
2017-03-08,574285
2017-03-09,574285
2017-03-10,574285
2017-03-11,574285
2017-03-12,574285
2017-03-13,574285
2017-03-14,574285
2017-03-15,574285
2017-03-16,574285
2017-03-17,574285
2017-03-18,574285
2017-03-19,574285
2017-03-20,574285
2017-03-21,574285
2017-03-22,574285
2017-03-23,574285
2017-03-24,574285
2017-03-25,574285
2017-03-26,574285
2017-03-27,574285
2017-03-28,574285
2017-03-29,574285
2017-03-30,574285
2017-03-31,574285
2017-04-01,574285
2017-04-02,574285
2017-04-03,574285
2017-04-04,574285
2017-04-12,119800
2017-04-13,119800
2017-04-14,119800
2017-04-15,119800
2017-04-16,119800
2017-04-17,119800
2017-04-18,119800
2017-04-19,119800
2017-04-20,119800
2017-04-21,119800
2017-04-22,119800
2017-04-23,119800
2017-04-24,119800
2017-04-25,119800
2017-04-26,119800
2017-04-27,119800
2017-04-28,119800
2017-04-29,119800
2017-04-30,119800
2017-05-01,119800
2017-05-02,119800
2017-05-03,119800
2017-05-04,119800
2017-05-05,119800
2017-05-06,119800
2017-05-07,119800
2017-05-08,119800
2017-05-09,119800
2017-05-10,119800
2017-05-11,119800
2017-05-12,119800
2017-05-13,119800
2017-05-14,119800
2017-05-15,119800
2017-05-16,119800
2017-05-17,119800
2017-05-18,119800
2017-05-19,119800
2017-05-20,119800
2017-05-21,119800
2017-05-22,119800
2017-05-23,119800
2017-05-24,119800
2017-05-25,119800
2017-05-26,119800
2017-05-27,119800
2017-05-28,119800
2017-05-29,119800
2017-05-30,119800
2017-05-31,119800
2017-06-01,119800
2017-06-02,119800
2017-06-03,119800
2017-06-06,119800
2017-06-07,119800
2017-06-08,119800
2017-06-09,114615
2017-06-10,114615
2017-06-11,114615
2017-06-12,114615
2017-06-13,114615
2017-06-14,114615
2017-06-15,114615
2017-06-16,114615
2017-06-17,114615
2017-06-18,114615
2017-06-19,114615
2017-06-20,114615
2017-06-21,114615
2017-06-22,114615
