date_obj,Summer%20pie price
2015-03-26,1636
2015-03-27,1636
2015-03-28,1588
2015-03-29,1543
2015-03-30,1547
2015-03-31,1549
2015-04-01,1526
2015-04-02,1544
2015-04-03,1555
2015-04-04,1583
2015-04-05,1621
2015-04-06,1691
2015-04-07,1771
2015-04-08,1771
2015-04-09,1856
2015-04-10,1903
2015-04-11,1999
2015-04-12,2092
2015-04-13,2157
2015-04-14,2202
2015-04-15,2148
2015-04-16,2045
2015-04-17,2009
2015-04-18,1994
2015-04-19,2055
2015-04-20,2055
2015-04-21,2080
2015-04-22,2080
2015-04-23,2031
2015-04-24,1968
2015-04-25,1931
2015-04-26,1911
2015-04-27,1856
2015-04-28,1869
2015-04-29,1869
2015-04-30,1841
2015-05-01,1923
2015-05-02,2014
2015-05-03,2014
2015-05-04,2005
2015-05-05,1907
2015-05-06,1816
2015-05-07,1726
2015-05-08,1639
2015-05-09,1557
2015-05-10,1486
2015-05-11,1486
2015-05-12,1415
2015-05-13,1351
2015-05-14,1283
2015-05-15,1230
2015-05-16,1214
2015-05-17,1207
2015-05-18,1210
2015-05-19,1249
2015-05-20,1249
2015-05-21,1311
2015-05-22,1311
2015-05-23,1281
2015-05-24,1296
2015-05-25,1274
2015-05-26,1316
2015-05-27,1349
2015-05-28,1337
2015-05-29,1303
2015-05-30,1280
2015-05-31,1313
2015-06-01,1346
2015-06-02,1414
2015-06-03,1443
2015-06-04,1512
2015-06-05,1569
2015-06-06,1492
2015-06-07,1438
2015-06-08,1401
2015-06-09,1376
2015-06-10,1376
2015-06-11,1390
2015-06-12,1411
2015-06-13,1466
2015-06-14,1536
2015-06-15,1591
2015-06-16,1642
2015-06-17,1663
2015-06-18,1709
2015-06-19,1759
2015-06-20,1805
2015-06-21,1850
2015-06-22,1930
2015-06-23,2023
2015-06-24,2125
2015-06-25,2175
2015-06-26,2171
2015-06-27,2262
2015-06-28,2232
2015-06-29,2170
2015-06-30,2109
2015-07-01,2094
2015-07-02,2122
2015-07-03,2119
