date_obj,Toad's%20legs price
2015-03-26,168
2015-03-27,168
2015-03-28,168
2015-03-29,168
2015-03-30,160
2015-03-31,160
2015-04-01,160
2015-04-02,160
2015-04-03,153
2015-04-04,153
2015-04-05,153
2015-04-06,153
2015-04-07,145
2015-04-08,145
2015-04-09,145
2015-04-10,145
2015-04-11,145
2015-04-12,137
2015-04-13,137
2015-04-14,137
2015-04-15,137
2015-04-16,137
2015-04-17,130
2015-04-18,130
2015-04-19,130
2015-04-20,130
2015-04-21,130
2015-04-22,130
2015-04-23,124
2015-04-24,124
2015-04-25,124
2015-04-26,124
2015-04-27,124
2015-04-28,117
2015-04-29,117
2015-04-30,117
2015-05-01,117
2015-05-02,117
2015-05-03,117
2015-05-04,112
2015-05-05,112
2015-05-06,112
2015-05-07,112
2015-05-08,112
2015-05-09,112
2015-05-10,106
2015-05-11,106
2015-05-12,106
2015-05-13,106
2015-05-14,106
2015-05-15,106
2015-05-16,106
2015-05-17,100
2015-05-18,100
2015-05-19,100
2015-05-20,100
2015-05-21,100
2015-05-22,100
2015-05-23,100
2015-05-24,95
2015-05-25,95
2015-05-26,95
2015-05-27,95
2015-05-28,90
2015-05-29,90
2015-05-30,90
2015-05-31,90
2015-06-01,85
2015-06-02,85
2015-06-03,85
2015-06-04,85
2015-06-05,85
2015-06-06,81
2015-06-07,81
2015-06-08,81
2015-06-09,81
2015-06-10,81
2015-06-11,76
2015-06-12,76
2015-06-13,76
2015-06-14,76
2015-06-15,76
2015-06-16,76
2015-06-17,72
2015-06-18,72
2015-06-19,72
2015-06-20,72
2015-06-21,72
2015-06-22,68
2015-06-23,68
2015-06-24,68
2015-06-25,68
2015-06-26,68
2015-06-27,68
2015-06-28,64
2015-06-29,64
2015-06-30,64
2015-07-01,64
2015-07-02,64
2015-07-03,64
2015-07-04,60
2015-07-05,60
2015-07-06,60
2015-07-07,60
2015-07-08,60
2015-07-09,60
2015-07-10,60
2015-07-11,57
2015-07-12,57
2015-07-13,57
2015-07-14,57
2015-07-15,57
2015-07-16,57
2015-07-17,54
2015-07-18,54
2015-07-19,54
2015-07-20,54
2015-07-21,54
2015-07-22,54
2015-07-23,51
2015-07-24,51
2015-07-25,51
2015-07-26,51
2015-07-27,51
2015-07-28,51
2015-07-29,48
2015-07-30,48
2015-07-31,48
2015-08-01,48
2015-08-02,48
2015-08-03,48
2015-08-04,48
2015-08-05,45
2015-08-06,45
2015-08-07,45
2015-08-08,45
2015-08-09,45
2015-08-10,45
2015-08-11,44
2015-08-12,44
2015-08-13,44
2015-08-14,44
