date_obj,Mist%20rune price
2015-03-26,718
2015-03-27,718
2015-03-28,683
2015-03-29,683
2015-03-30,649
2015-03-31,649
2015-04-01,616
2015-04-02,616
2015-04-03,585
2015-04-04,585
2015-04-05,556
2015-04-06,556
2015-04-07,528
2015-04-08,528
2015-04-09,502
2015-04-10,502
2015-04-11,477
2015-04-12,477
2015-04-13,453
2015-04-14,453
2015-04-15,430
2015-04-16,430
2015-04-17,409
2015-04-18,409
2015-04-19,389
2015-04-20,389
2015-04-21,369
2015-04-22,369
2015-04-23,350
2015-04-24,350
2015-04-25,350
2015-04-26,332
2015-04-27,332
2015-04-28,315
2015-04-29,315
2015-04-30,300
2015-05-01,300
2015-05-02,286
2015-05-03,286
2015-05-04,272
2015-05-05,272
2015-05-06,258
2015-05-07,258
2015-05-08,245
2015-05-09,245
2015-05-10,232
2015-05-11,232
2015-05-12,220
2015-05-13,220
2015-05-14,209
2015-05-15,209
2015-05-16,209
2015-05-17,198
2015-05-18,198
2015-05-19,198
2015-05-20,188
2015-05-21,188
2015-05-22,188
2015-05-23,178
2015-05-24,178
2015-05-25,169
2015-05-26,169
2015-05-27,169
2015-05-28,160
2015-05-29,160
2015-05-30,152
2015-05-31,152
2015-06-01,144
2015-06-02,144
2015-06-03,144
2015-06-04,137
2015-06-05,137
2015-06-06,130
2015-06-07,130
2015-06-08,130
2015-06-09,123
2015-06-10,123
2015-06-11,123
2015-06-12,116
2015-06-13,116
2015-06-14,110
2015-06-15,110
2015-06-16,104
2015-06-17,104
2015-06-18,98
2015-06-19,98
2015-06-20,98
2015-06-21,93
2015-06-22,93
2015-06-23,93
2015-06-24,88
2015-06-25,88
2015-06-26,88
2015-06-27,83
2015-06-28,83
2015-06-29,78
2015-06-30,78
2015-07-01,78
2015-07-02,74
2015-07-03,74
2015-07-04,70
2015-07-05,70
2015-07-06,70
2015-07-07,66
2015-07-08,66
2015-07-09,66
2015-07-10,62
2015-07-11,62
2015-07-12,62
2015-07-13,58
2015-07-14,58
2015-07-15,58
2015-07-16,55
2015-07-17,55
2015-07-18,55
2015-07-19,52
2015-07-20,52
2015-07-21,49
2015-07-22,49
2015-07-23,49
2015-07-24,46
2015-07-25,46
2015-07-26,46
2015-07-27,43
2015-07-28,43
2015-07-29,40
2015-07-30,40
2015-07-31,40
2015-08-01,38
2015-08-02,38
2015-08-03,36
2015-08-04,36
2015-08-05,36
2015-08-06,34
2015-08-07,34
2015-08-08,32
2015-08-09,32
2015-08-10,30
2015-08-11,30
2015-08-12,30
2015-08-13,30
2015-08-14,28
2015-08-15,28
2015-08-16,28
2015-08-17,28
2015-08-18,26
2015-08-19,26
2015-08-20,26
2015-08-21,24
2015-08-22,24
2015-08-23,24
2015-08-24,24
2015-08-25,22
2015-08-26,22
2015-08-27,22
2015-08-28,22
2015-08-29,20
2015-08-30,20
2015-08-31,20
2015-09-01,20
2015-09-02,20
2015-09-03,19
2015-09-04,19
2015-09-05,19
2015-09-06,19
2015-09-07,18
2015-09-08,18
2015-09-09,18
2015-09-10,18
2015-09-11,17
2015-09-12,17
2015-09-13,17
2015-09-14,17
2015-09-15,17
2015-09-16,17
2015-09-17,17
2015-09-18,17
2015-09-19,17
2015-09-20,17
2015-09-21,16
2015-09-22,16
2015-09-23,16
2015-09-24,16
2015-09-25,16
2015-09-27,15
2015-09-28,15
2015-09-29,15
2015-09-30,15
2015-10-05,14
2015-10-06,14
2015-10-07,14
2015-10-08,14
2015-10-09,14
2015-10-10,14
2015-10-11,14
2015-10-12,13
2015-10-13,13
2015-10-14,13
2015-10-15,13
2015-10-16,13
2015-10-17,13
2015-10-18,12
2015-10-19,12
2015-10-20,12
2015-10-22,12
2015-10-23,11
2015-10-24,11
2015-10-25,11
