date_obj,Lava%20battlestaff price
2015-03-26,9733
2015-03-27,9733
2015-03-28,9648
2015-03-29,9680
2015-03-30,9705
2015-03-31,9779
2015-04-01,9735
2015-04-02,9776
2015-04-03,9751
2015-04-04,9708
2015-04-05,9648
2015-04-06,9738
2015-04-07,9786
2015-04-08,9704
2015-04-09,9658
2015-04-10,9732
2015-04-11,9731
2015-04-12,9789
2015-04-13,9859
2015-04-14,9849
2015-04-15,9876
2015-04-16,9769
2015-04-17,9738
2015-04-18,9711
2015-04-19,9683
2015-04-20,9784
2015-04-21,9776
2015-04-22,9766
2015-04-23,9745
2015-04-24,9720
2015-04-25,9791
2015-04-26,9757
2015-04-27,9814
2015-04-28,9771
2015-04-29,9771
2015-04-30,9755
2015-05-01,9691
2015-05-02,9702
2015-05-03,9728
2015-05-04,9818
2015-05-05,9824
2015-05-06,9889
2015-05-07,9822
2015-05-08,9827
2015-05-09,9817
2015-05-10,9782
2015-05-11,9779
2015-05-12,9812
2015-05-13,9750
2015-05-14,9742
2015-05-15,9786
2015-05-16,9695
2015-05-17,9693
2015-05-18,9658
2015-05-19,9703
2015-05-20,9652
2015-05-21,9736
2015-05-22,9737
2015-05-23,9711
2015-05-24,9729
2015-05-25,9754
2015-05-26,9817
2015-05-27,9812
2015-05-28,9788
2015-05-29,9823
2015-05-30,9800
2015-05-31,9802
2015-06-01,9701
2015-06-02,9758
2015-06-03,9829
2015-06-04,9752
2015-06-05,9821
2015-06-06,9858
2015-06-07,9773
2015-06-08,9791
2015-06-09,9843
2015-06-10,9837
2015-06-11,9855
2015-06-12,9826
2015-06-13,9845
2015-06-14,9812
2015-06-15,9806
2015-06-16,9862
2015-06-17,9812
2015-06-18,9822
2015-06-19,9824
2015-06-20,9791
2015-06-21,9638
2015-06-22,9797
2015-06-23,9790
2015-06-24,9854
2015-06-25,9765
2015-06-26,9830
2015-06-27,9811
2015-06-28,9768
2015-06-29,9816
2015-06-30,9845
2015-07-01,9856
2015-07-02,9735
2015-07-03,9854
2015-07-04,9850
2015-07-05,9754
2015-07-06,9744
2015-07-07,9683
2015-07-08,9738
2015-07-09,9770
2015-07-10,9796
2015-07-11,9708
2015-07-12,9661
2015-07-13,9760
2015-07-14,9795
2015-07-15,9785
2015-07-16,9811
2015-07-17,9783
2015-07-18,9768
2015-07-19,9698
2015-07-20,9862
2015-07-21,9783
2015-07-22,9813
2015-07-23,9847
2015-07-24,9882
2015-07-25,9813
2015-07-26,9825
2015-07-27,9869
2015-07-28,9842
2015-07-29,9846
2015-07-30,9899
2015-07-31,9877
2015-08-01,9847
2015-08-02,9842
2015-08-03,9679
2015-08-04,9659
2015-08-05,9767
2015-08-06,9752
2015-08-07,9827
2015-08-08,9852
2015-08-09,9767
2015-08-10,9790
2015-08-11,9766
2015-08-12,9632
2015-08-13,9772
2015-08-14,9775
2015-08-15,9779
2015-08-16,9709
2015-08-17,9765
2015-08-18,9747
2015-08-19,9816
2015-08-20,9872
2015-08-21,9838
2015-08-22,9878
2015-08-23,9866
2015-08-24,9835
2015-08-25,9796
2015-08-26,9839
2015-08-27,9848
2015-08-28,9855
2015-08-29,9780
2015-08-30,9775
2015-08-31,9778
2015-09-01,9745
2015-09-02,9718
2015-09-03,9715
2015-09-04,9670
2015-09-05,9688
2015-09-06,9678
2015-09-07,9787
2015-09-08,9729
2015-09-09,9741
2015-09-10,9769
2015-09-11,9832
2015-09-12,9871
2015-09-13,9775
2015-09-14,9772
2015-09-15,9849
2015-09-16,9752
2015-09-17,9847
2015-09-18,9836
2015-09-19,9837
2015-09-20,9745
2015-09-21,9844
2015-09-22,9859
2015-09-23,9846
2015-09-24,9848
2015-09-25,9857
2015-09-27,9752
2015-09-28,9765
2015-09-29,9811
2015-09-30,9812
2015-10-05,9825
2015-10-06,9848
2015-10-07,9825
2015-10-08,9850
2015-10-09,9860
2015-10-10,9798
2015-10-11,9864
2015-10-12,9865
2015-10-13,9827
2015-10-14,9879
2015-10-15,9880
2015-10-16,9854
2015-10-17,9816
2015-10-18,9817
2015-10-19,9915
2015-10-20,9874
2015-10-22,9893
2015-10-23,9871
2015-10-24,9755
2015-10-25,9718
2015-10-26,9764
2015-10-27,9815
2015-10-29,9852
2015-10-30,9872
2015-10-31,9878
2015-11-01,9749
2015-11-02,9919
2015-11-03,9839
2015-11-04,9831
2015-11-05,9906
2015-11-06,9906
2015-11-07,9847
2015-11-08,9780
2015-11-09,9817
2015-11-10,9834
2015-11-11,9866
2015-11-12,9876
2015-11-13,9820
2015-11-14,9807
2015-11-15,9845
2015-11-16,9869
2015-11-17,9910
2015-11-18,9920
2015-11-19,9927
2015-11-20,9911
2015-11-21,9805
2015-11-22,9814
2015-11-23,9803
2015-11-24,9836
2015-11-25,9835
2015-11-26,9899
2015-11-27,9879
2015-11-28,9847
2015-11-29,9754
2015-11-30,9868
2015-12-01,9879
2015-12-02,9874
2015-12-03,9920
2015-12-04,9895
2015-12-05,9797
2015-12-06,9853
2015-12-07,9870
2015-12-08,9867
2015-12-09,9911
2015-12-10,9915
2015-12-11,9867
2015-12-12,9893
2015-12-13,9872
2015-12-14,9745
2015-12-15,9815
2015-12-16,9842
2015-12-17,9902
2015-12-18,9897
2015-12-19,9913
2015-12-20,9894
2015-12-21,9885
2015-12-22,9859
2015-12-23,9879
2015-12-24,9926
2015-12-25,9870
2015-12-26,9849
2015-12-27,9841
2015-12-28,9795
2015-12-29,9846
2015-12-30,9865
2015-12-31,9897
2016-01-01,9838
2016-01-02,9790
2016-01-03,9841
2016-01-04,9871
2016-01-05,9863
2016-01-06,9836
2016-01-07,9781
2016-01-08,9774
2016-01-09,9812
2016-01-10,9826
2016-01-11,9884
2016-01-12,9846
2016-01-13,9887
2016-01-14,9917
2016-01-15,9889
2016-01-16,9898
2016-01-17,9826
2016-01-18,9880
2016-01-19,9903
2016-01-20,9907
2016-01-21,9817
2016-01-22,9809
2016-01-23,9724
2016-01-24,9533
2016-01-25,9724
2016-01-26,9714
2016-01-27,9816
2016-01-28,9698
2016-01-29,9812
2016-01-30,9793
2016-01-31,9771
2016-02-01,9852
2016-02-02,9850
2016-02-03,9890
2016-02-04,9927
2016-02-05,9914
2016-02-06,9896
2016-02-07,9882
2016-02-08,9900
2016-02-09,9861
2016-02-10,9850
2016-02-11,9826
2016-02-12,9820
2016-02-13,9780
2016-02-14,9730
2016-02-15,9873
2016-02-16,9858
2016-02-17,9864
2016-02-18,9798
2016-02-19,9853
2016-02-20,9845
2016-02-21,9839
2016-02-22,9869
2016-02-23,9894
2016-02-24,9879
2016-02-25,9893
2016-02-26,9859
2016-02-27,9857
2016-02-28,9790
2016-02-29,9797
2016-03-01,9854
2016-03-02,9814
2016-03-03,9838
2016-03-04,9864
2016-03-05,9867
2016-03-06,9834
2016-03-07,9850
2016-03-08,9861
2016-03-09,9891
2016-03-10,9839
2016-03-11,9760
2016-03-12,9863
2016-03-13,9809
2016-03-14,9859
2016-03-15,9890
2016-03-16,9832
2016-03-17,9757
2016-03-18,9832
2016-03-19,9777
2016-03-20,9792
2016-03-21,9743
2016-03-22,9818
2016-03-23,9816
2016-03-24,9844
2016-03-25,9870
2016-03-26,9765
2016-03-27,9813
2016-03-28,9839
2016-03-29,9874
2016-03-30,9640
2016-03-31,9878
2016-04-01,9878
