date_obj,Pink%20boots price
2015-03-04,15000
2015-03-05,14285
2015-03-06,14285
2015-03-07,14285
2015-03-08,14285
2015-03-09,14285
2015-03-10,14285
2015-03-11,14285
2015-03-12,14285
2015-03-13,13602
2015-03-14,13602
2015-03-15,13602
2015-03-16,13602
2015-03-17,13602
2015-03-18,13602
2015-03-19,13602
2015-03-20,13602
2015-03-21,12924
2015-03-22,12924
2015-03-23,12924
2015-03-24,12924
2015-03-25,12924
2015-03-26,12924
2015-03-27,12924
2015-03-28,12924
2015-03-29,12278
2015-03-30,12278
2015-03-31,12278
2015-04-01,12278
2015-04-02,12278
2015-04-03,12278
2015-04-04,12278
2015-04-05,12278
2015-04-06,11664
2015-04-07,11664
2015-04-08,11664
2015-04-09,11664
2015-04-10,11664
2015-04-11,11664
2015-04-12,11664
2015-04-13,11083
2015-04-14,11083
2015-04-15,11083
2015-04-16,11083
2015-04-17,11083
2015-04-18,11083
2015-04-19,11083
2015-04-20,11083
2015-04-21,10550
2015-04-22,10550
2015-04-23,10550
2015-04-24,10550
2015-04-25,10550
2015-04-26,10550
2015-04-27,10550
2015-04-28,10550
2015-04-29,10024
2015-04-30,10024
2015-05-01,10024
2015-05-02,10024
2015-05-03,10024
2015-05-04,10024
2015-05-05,10024
2015-05-06,10024
2015-05-07,9527
2015-05-08,9527
2015-05-09,9527
2015-05-10,9527
2015-05-11,9527
2015-05-12,9527
2015-05-13,9527
2015-05-14,9527
2015-05-15,9055
2015-05-16,9055
2015-05-17,9055
2015-05-18,9055
2015-05-19,9055
2015-05-20,9055
2015-05-21,9055
2015-05-22,9055
2015-05-23,9055
2015-05-24,8606
2015-05-25,8606
2015-05-26,8606
2015-05-27,8606
2015-05-28,8606
2015-05-29,8191
2015-05-30,8191
2015-05-31,8191
2015-06-01,8191
2015-06-02,8191
2015-06-03,8191
2015-06-04,7789
2015-06-05,7789
2015-06-06,7789
2015-06-07,7789
2015-06-08,7789
2015-06-09,7435
2015-06-10,7435
2015-06-11,7435
2015-06-12,7435
2015-06-13,7435
2015-06-14,7435
2015-06-15,7090
2015-06-16,7090
2015-06-17,7090
2015-06-18,7090
2015-06-19,7090
2015-06-20,7090
2015-06-21,6743
2015-06-22,6743
2015-06-23,6743
2015-06-24,6743
2015-06-25,6743
2015-06-26,6743
2015-06-27,6743
2015-06-28,6405
2015-06-29,6405
2015-06-30,6405
2015-07-01,6405
2015-07-02,6405
2015-07-03,6405
2015-07-04,6120
2015-07-05,6120
2015-07-06,6120
2015-07-07,6120
2015-07-08,6120
2015-07-09,6120
2015-07-10,6120
2015-07-11,5819
2015-07-12,5819
2015-07-13,5819
2015-07-14,5819
2015-07-15,5819
2015-07-16,5819
2015-07-17,5561
2015-07-18,5561
2015-07-19,5561
2015-07-20,5561
2015-07-21,5561
2015-07-22,5561
2015-07-23,5286
2015-07-24,5286
2015-07-25,5286
2015-07-26,5286
2015-07-27,5286
2015-07-28,5025
2015-07-29,5025
2015-07-30,5025
2015-07-31,5025
2015-08-01,5025
2015-08-02,4814
2015-08-03,4814
2015-08-04,4814
2015-08-05,4814
2015-08-06,4814
2015-08-07,4814
2015-08-08,4576
2015-08-09,4576
2015-08-10,4576
2015-08-11,4576
2015-08-12,4576
2015-08-13,4352
2015-08-14,4352
2015-08-15,4352
2015-08-16,4352
2015-08-17,4352
2015-08-18,4148
2015-08-19,4148
2015-08-20,4148
2015-08-21,4148
2015-08-22,4148
2015-08-23,3948
2015-08-24,3948
2015-08-25,3948
2015-08-26,3948
2015-08-27,3948
2015-08-28,3948
2015-08-29,3753
2015-08-30,3753
2015-08-31,3753
2015-09-01,502
2015-09-02,3753
2015-09-07,3567
2015-09-08,3567
2015-09-10,3426
2015-09-14,3426
2015-09-16,3426
2015-09-22,3297
2015-09-23,3297
2015-09-24,3297
2015-09-25,3139
2015-09-27,3139
2015-09-28,3139
2015-09-29,3139
2015-09-30,3139
2015-10-05,2984
2015-10-06,2984
2015-10-07,2984
2015-10-08,2850
2015-10-09,2850
2015-10-10,2850
2015-10-11,2850
2015-10-12,2850
2015-10-13,2850
2015-10-14,2850
2015-10-15,2714
2015-10-16,2714
2015-10-17,2714
2015-10-18,2714
2015-10-19,2714
2015-10-20,2714
2015-10-22,2584
2015-10-23,2584
2015-10-24,2584
2015-10-25,2584
2015-10-26,2584
2015-10-27,2584
2015-10-29,2461
2015-10-30,2461
2015-10-31,2461
2015-11-01,2461
2015-11-02,2461
2015-11-03,2461
2015-11-04,2461
2015-11-05,2341
2015-11-06,2341
2015-11-07,2341
2015-11-08,2341
2015-11-09,2341
2015-11-10,2341
2015-11-11,2341
2015-11-12,2275
2015-11-13,2275
2015-11-14,2275
2015-11-15,2275
2015-11-16,2275
2015-11-17,2275
2015-11-18,2275
2015-11-19,2162
2015-11-20,2162
2015-11-21,2162
2015-11-22,2162
2015-11-23,2162
2015-11-24,2162
2015-11-25,2095
2015-11-26,2095
2015-11-27,2095
2015-11-28,2095
2015-11-29,2095
2015-11-30,2095
