date_obj,Mystic%20hat%20(dark) price
2015-03-04,17096
2015-03-05,17096
2015-03-06,16241
2015-03-07,15485
2015-03-08,14790
2015-03-09,14790
2015-03-10,14050
2015-03-11,14050
2015-03-12,13379
2015-03-13,13379
2015-03-14,12710
2015-03-15,12710
2015-03-16,12095
2015-03-17,11535
2015-03-18,11535
2015-03-19,10958
2015-03-20,10958
2015-03-21,10466
2015-03-22,10015
2015-03-23,10015
2015-03-24,9594
2015-03-25,9594
2015-03-26,9321
2015-03-27,9321
2015-03-28,9566
2015-03-29,9566
2015-03-30,9692
2015-03-31,9692
2015-04-01,9876
2015-04-02,9876
2015-04-03,9717
2015-04-04,9704
2015-04-05,9704
2015-04-06,10011
2015-04-07,10011
2015-04-08,9686
2015-04-09,9686
2015-04-10,9297
2015-04-11,9297
2015-04-12,9018
2015-04-13,9018
2015-04-14,8924
2015-04-15,8983
2015-04-16,8983
2015-04-17,8969
2015-04-18,8969
2015-04-19,8883
2015-04-20,8883
2015-04-21,8851
2015-04-22,8851
2015-04-23,8816
2015-04-24,8816
2015-04-25,9006
2015-04-26,9006
2015-04-27,8969
2015-04-28,8969
2015-04-29,8881
2015-04-30,8881
2015-05-01,8871
2015-05-02,8871
2015-05-03,9033
2015-05-04,9033
2015-05-05,9156
2015-05-06,9156
2015-05-07,9165
2015-05-08,9165
2015-05-09,9549
2015-05-10,9549
2015-05-11,9609
2015-05-12,9609
2015-05-13,9414
2015-05-14,9414
2015-05-15,9220
2015-05-16,9220
2015-05-17,8996
2015-05-18,8996
2015-05-19,9027
2015-05-20,9027
2015-05-21,9027
2015-05-22,9088
2015-05-23,9088
2015-05-24,9098
2015-05-25,9251
2015-05-26,9251
2015-05-27,9484
2015-05-28,9492
2015-05-29,9492
2015-05-30,9705
2015-05-31,9705
2015-06-01,9678
2015-06-02,9678
2015-06-03,9474
2015-06-04,9474
2015-06-05,9180
2015-06-06,9043
2015-06-07,9039
2015-06-08,9039
2015-06-09,9148
2015-06-10,8903
2015-06-11,8903
2015-06-12,8828
2015-06-13,8818
2015-06-14,8818
2015-06-15,8896
2015-06-16,8937
2015-06-17,8937
2015-06-18,8878
2015-06-19,8878
2015-06-20,8911
2015-06-21,8911
2015-06-22,9037
2015-06-23,9037
2015-06-24,9239
2015-06-25,9239
2015-06-26,9163
2015-06-27,9163
2015-06-28,9240
2015-06-29,9240
2015-06-30,9342
2015-07-01,9590
2015-07-02,9590
2015-07-03,10057
2015-07-04,10057
2015-07-05,10384
2015-07-06,10384
2015-07-07,10732
2015-07-08,10955
2015-07-09,10955
2015-07-10,11008
2015-07-11,11008
2015-07-12,10743
2015-07-13,10235
2015-07-14,9778
2015-07-15,9354
2015-07-16,9087
2015-07-17,9349
2015-07-18,9349
2015-07-19,9665
2015-07-20,9953
2015-07-21,9953
2015-07-22,9945
2015-07-23,9945
2015-07-24,9552
2015-07-25,9552
2015-07-26,9266
2015-07-27,8973
2015-07-28,8973
2015-07-29,8996
2015-07-30,8996
2015-07-31,9267
2015-08-01,9267
2015-08-02,9433
2015-08-03,9433
2015-08-04,9470
2015-08-05,9492
2015-08-06,9492
2015-08-07,9957
2015-08-08,9957
2015-08-09,9938
2015-08-10,9938
2015-08-11,9890
2015-08-12,9890
2015-08-13,9657
2015-08-14,9384
2015-08-15,9384
2015-08-16,9330
2015-08-17,9371
2015-08-18,9371
2015-08-19,9444
2015-08-20,9444
2015-08-21,9422
2015-08-22,9422
2015-08-23,9267
2015-08-24,9088
2015-08-25,9088
2015-08-26,9014
2015-08-27,8862
2015-08-28,8862
2015-08-29,8727
2015-08-30,8727
2015-08-31,8830
2015-09-02,9255
2015-09-07,9458
2015-09-08,9275
2015-09-10,9138
2015-09-14,9350
2015-09-16,9576
2015-09-22,9742
2015-09-23,9501
2015-09-24,9501
2015-09-25,9501
2015-09-27,9274
2015-09-28,9237
2015-09-29,9237
2015-09-30,9194
2015-10-05,9159
