date_obj,Ham%20cloak price
2015-03-26,7113
2015-03-27,7113
2015-03-28,6765
2015-03-29,6765
2015-03-30,6457
2015-03-31,6457
2015-04-01,6457
2015-04-02,6159
2015-04-03,6159
2015-04-04,5851
2015-04-05,5851
2015-04-06,5578
2015-04-07,5578
2015-04-08,5578
2015-04-09,5299
2015-04-10,5299
2015-04-11,5034
2015-04-12,5034
2015-04-13,4782
2015-04-14,4782
2015-04-15,4546
2015-04-16,4546
2015-04-17,4546
2015-04-18,4318
2015-04-19,4318
2015-04-20,4318
2015-04-21,4102
2015-04-22,4102
2015-04-23,3901
2015-04-24,3901
2015-04-25,3901
2015-04-26,3705
2015-04-27,3705
2015-04-28,3519
2015-04-29,3519
2015-04-30,3519
2015-05-01,3343
2015-05-02,3343
2015-05-03,3247
2015-05-04,3247
2015-05-05,3184
2015-05-06,3184
2015-05-07,3042
2015-05-08,3042
2015-05-09,2889
2015-05-10,2889
2015-05-11,2889
2015-05-12,2744
2015-05-13,2744
2015-05-14,2606
2015-05-15,2606
2015-05-16,2606
2015-05-17,2477
2015-05-18,2477
2015-05-19,2358
2015-05-20,2358
2015-05-21,2358
2015-05-22,2240
2015-05-23,2240
2015-05-24,2149
2015-05-25,2149
2015-05-26,2073
2015-05-27,2073
2015-05-28,2001
2015-05-29,2001
2015-05-30,1910
2015-05-31,1910
2015-06-01,1815
2015-06-02,1815
2015-06-03,1729
2015-06-04,1729
2015-06-05,1642
2015-06-06,1642
2015-06-07,1569
2015-06-08,1569
2015-06-09,1539
2015-06-10,1539
2015-06-11,1462
2015-06-12,1462
2015-06-13,1445
2015-06-14,1445
2015-06-15,1429
2015-06-16,1429
2015-06-17,1380
2015-06-18,1380
2015-06-19,1360
2015-06-20,1360
2015-06-21,1357
2015-06-22,1357
2015-06-23,1320
2015-06-24,1320
2015-06-25,1307
2015-06-26,1307
2015-06-27,1308
2015-06-28,1308
2015-06-29,1296
2015-06-30,1296
2015-07-01,1319
2015-07-02,1319
2015-07-03,1358
2015-07-04,1358
2015-07-05,1383
2015-07-06,1383
2015-07-07,1410
2015-07-08,1410
2015-07-09,1435
2015-07-10,1435
2015-07-11,1461
2015-07-12,1461
2015-07-13,1414
2015-07-14,1414
2015-07-15,1440
2015-07-16,1440
2015-07-17,1455
2015-07-18,1455
2015-07-19,1449
2015-07-20,1449
2015-07-21,1492
2015-07-22,1477
2015-07-23,1477
2015-07-24,1485
2015-07-25,1485
2015-07-26,1511
2015-07-27,1511
2015-07-28,1496
2015-07-29,1496
2015-07-30,1467
2015-07-31,1467
2015-08-01,1467
2015-08-02,1419
2015-08-03,1419
2015-08-04,1390
2015-08-05,1390
2015-08-06,1367
2015-08-07,1367
2015-08-08,1336
2015-08-09,1336
2015-08-10,1337
2015-08-11,1337
2015-08-12,1292
2015-08-13,1292
2015-08-14,1232
2015-08-15,1232
2015-08-16,1221
2015-08-17,1221
2015-08-18,1182
2015-08-19,1182
2015-08-20,1166
2015-08-21,1166
2015-08-22,1115
2015-08-23,1115
2015-08-24,1075
2015-08-25,1075
2015-08-26,1075
2015-08-27,1032
2015-08-28,1032
2015-08-29,997
2015-08-30,997
2015-08-31,997
2015-09-01,964
2015-09-02,964
2015-09-03,964
2015-09-04,937
2015-09-05,937
2015-09-06,937
2015-09-07,928
2015-09-08,928
2015-09-09,918
2015-09-10,918
