date_obj,Wildblood%20hops price
2015-03-05,600
2015-03-06,600
2015-03-07,600
2015-03-08,600
2015-03-09,600
2015-03-10,600
2015-03-11,600
2015-03-12,600
2015-03-13,600
2015-03-14,600
2015-03-15,600
2015-03-16,600
2015-03-17,600
2015-03-18,600
2015-03-19,600
2015-03-20,600
2015-03-21,600
2015-03-22,600
2015-03-23,600
2015-03-24,600
2015-03-25,600
2015-03-26,600
2015-03-27,600
2015-03-28,600
2015-03-29,600
2015-03-30,600
2015-03-31,600
2015-04-01,600
2015-04-02,600
2015-04-03,600
2015-04-04,600
2015-04-05,600
2015-04-06,600
2015-04-07,600
2015-04-08,600
2015-04-09,600
2015-04-10,600
2015-04-11,600
2015-04-12,600
2015-04-13,600
2015-04-14,600
2015-04-15,600
2015-04-16,600
2015-04-17,600
2015-04-18,600
2015-04-19,600
2015-04-20,600
2015-04-21,600
2015-04-22,600
2015-04-23,600
2015-04-24,600
2015-04-25,600
2015-04-26,600
2015-04-27,600
2015-04-28,600
2015-04-29,600
2015-04-30,600
2015-05-01,600
2015-05-02,600
2015-05-03,600
2015-05-04,600
2015-05-05,600
2015-05-06,600
2015-05-07,600
2015-05-08,600
2015-05-09,600
2015-05-10,600
2015-05-11,600
2015-05-12,600
2015-05-13,600
2015-05-14,600
2015-05-15,600
2015-05-16,600
2015-05-17,600
2015-05-18,600
2015-05-19,600
2015-05-20,600
2015-05-21,600
2015-05-22,600
2015-05-23,600
2015-05-24,600
2015-05-25,600
2015-05-26,600
2015-05-27,600
2015-05-28,573
2015-05-29,573
2015-05-30,573
2015-05-31,573
2015-06-01,573
2015-06-02,573
2015-06-03,573
2015-06-04,573
2015-06-05,573
2015-06-06,573
2015-06-07,573
2015-06-08,573
2015-06-09,573
2015-06-10,573
2015-06-11,573
2015-06-12,573
2015-06-13,573
2015-06-14,573
2015-06-15,573
2015-06-16,573
2015-06-17,573
2015-06-18,573
2015-06-19,573
2015-06-20,573
2015-06-21,573
2015-06-22,573
2015-06-23,573
2015-06-24,573
2015-06-25,573
2015-06-26,573
2015-06-27,573
2015-06-28,573
2015-06-29,573
2015-06-30,573
2015-07-01,573
2015-07-02,573
2015-07-03,573
2015-07-04,573
2015-07-05,573
2015-07-06,573
2015-07-07,573
2015-07-08,573
2015-07-09,573
2015-07-10,573
2015-07-11,573
2015-07-12,573
2015-07-13,573
2015-07-14,573
2015-07-15,573
2015-07-16,573
2015-07-17,573
2015-07-18,573
2015-07-19,573
2015-07-20,573
2015-07-21,573
