date_obj,Bandos%20cloak price
2015-03-26,283767
2015-03-27,283767
2015-03-28,278506
2015-03-29,277172
2015-03-30,279824
2015-03-31,278012
2015-04-01,281521
2015-04-02,280898
2015-04-03,281766
2015-04-04,282673
2015-04-05,284730
2015-04-06,283566
2015-04-07,282203
2015-04-08,282940
2015-04-09,281202
2015-04-10,281479
2015-04-11,282290
2015-04-12,280222
2015-04-13,275671
2015-04-14,270258
2015-04-15,260037
2015-04-16,250812
2015-04-17,240613
2015-04-18,233850
2015-04-19,229913
2015-04-20,228149
2015-04-21,222765
2015-04-22,219180
2015-04-23,217265
2015-04-24,214568
2015-04-25,213280
2015-04-26,213855
2015-04-27,214567
2015-04-28,215347
2015-04-29,216366
2015-04-30,217147
2015-05-01,217577
2015-05-02,212532
2015-05-03,208359
2015-05-04,200562
2015-05-05,196091
2015-05-06,190934
2015-05-07,185097
2015-05-08,177295
2015-05-09,168449
2015-05-10,160026
2015-05-11,152024
2015-05-12,144873
2015-05-13,140798
2015-05-14,136590
2015-05-15,134241
2015-05-16,132575
2015-05-17,134979
2015-05-18,134671
2015-05-19,134299
2015-05-20,135423
2015-05-21,135896
2015-05-22,131719
2015-05-23,125730
2015-05-24,121526
2015-05-25,119158
2015-05-26,117630
2015-05-27,117541
2015-05-28,115525
2015-05-29,114430
2015-05-30,111500
2015-05-31,109567
2015-06-01,108125
2015-06-02,109462
2015-06-03,109772
2015-06-04,113576
2015-06-05,116954
2015-06-06,120433
2015-06-07,126338
2015-06-08,132655
2015-06-09,139288
2015-06-10,145983
2015-06-11,153092
2015-06-12,159469
2015-06-13,166683
2015-06-14,172916
2015-06-15,169604
2015-06-16,164903
2015-06-17,163358
2015-06-18,163569
2015-06-19,164575
2015-06-20,166913
2015-06-21,169654
2015-06-22,172809
2015-06-23,169369
2015-06-24,170884
2015-06-25,167031
2015-06-26,163364
2015-06-27,167845
2015-06-28,174096
2015-06-29,179720
2015-06-30,183468
2015-07-01,176463
2015-07-02,173871
2015-07-03,173673
2015-07-04,174533
2015-07-05,171596
2015-07-06,168611
2015-07-07,168311
2015-07-08,167411
2015-07-09,169389
2015-07-10,167446
2015-07-11,164836
2015-07-12,162105
2015-07-13,159723
2015-07-14,157426
2015-07-15,159861
2015-07-16,161864
